прес	press
меша	mixes
вејн	wayne
крокодил	crocodile
драчево	connecticut
толкува	interpret
толкува	interpreted
мзт	mzt
надворешно	outdoor
надворешно	external
луизијана	louisiana
кутии	boxes
купер	cooper
чичко	uncle
верувал	believed
момчиња	boys
убиец	killer
убиец	murderer
убиец	assassin
стојанов	stoyanov
бери	barry
мермер	marble
сличности	similarities
жупанија	county
покана	invitation
бирмингем	birmingham
слаби	weak
другари	pals
другари	buddies
другари	comrades
другари	mates
путин	putin
орландо	orlando
скулптура	sculpture
ветрови	winds
сродни	kindred
емануел	emanuel
емануел	emmanuel
брдо	brdo
брдо	hill
трајно	permanent
трајно	permanently
еднаквост	equality
племето	tribe
реченици	sentences
атланта	atlanta
мориња	seas
супстанци	substances
кампањи	campaigns
билјана	biljana
власи	vlach
власи	vlachs
преводи	translations
белег	scar
белег	birthmark
белег	mark
митови	myths
фелпс	phelps
астрономијата	astronomy
реагира	react
реагира	reacts
бомби	bombs
кнежество	achaia
еврото	euro
конг	kong
програм	program
орион	orion
споени	merged
комунизмот	communism
уништувањето	tug
ефикасноста	effectiveness
ефикасноста	efficacy
организатор	organizer
организатор	organiser
доделен	assigned
негативна	negative
забите	teeth
најмладиот	youngest
верона	verona
перо	pero
перо	feather
перо	quill
илјада	thousand
кејт	kate
геометриски	geometric
авторите	authors
коле	kole
коле	slaughters
непозната	unknown
ранет	wounded
дарко	darko
дефиниции	definitions
ресторан	diner
ресторан	restaurant
вили	willy
вили	willie
вили	villas
развод	divorce
електроника	electronics
предок	ancestor
подготовки	preparation
подготовки	preparations
гугл	google
кабли	cables
конрад	conrad
конрад	konrad
алт	alt
подарок	present
подарок	gift
предлага	suggest
предлага	suggests
предлага	proposing
предлага	proposes
дивината	wilderness
промет	circulation
промет	turnover
нега	care
интересни	interesting
михајло	mihailo
михајло	mihajlo
предложени	suggested
предложени	proposed
распространета	widespread
пирс	pierce
пирс	piers
интерпретација	interpretation
беј	bay
сведоци	witnesses
астон	aston
ројал	royal
претседателски	presidential
дишење	breathing
дишење	respiration
стенли	stanley
сиера	sierra
секторот	borough
четириесет	forty
постојаните	incessant
божество	deity
опфатени	covered
волфганг	wolfgang
возачите	drivers
тунел	tunnel
освоен	conquered
дијана	diana
дијана	diane
виртемберг	württemberg
именување	naming
молитва	prayer
посетеност	attendance
признае	acknowledge
признае	recognise
динамика	dynamic
динамика	dynamics
динамика	dynamism
динамика	momentum
огледало	mirror
дигитален	digital
узбекистан	uzbekistan
видеа	videos
пустината	desert
дигитална	digital
остри	sharp
остри	harsh
сексуални	sexual
обновен	renewed
обновен	restored
аргументи	arguments
бојан	bojan
полинезиски	polynesian
понеделник	monday
партнерство	partnership
напуштат	abandon
напуштат	flee
американците	americans
дефиниран	defined
дефиниран	aps
воведени	introduced
лесен	easy
низи	strings
глобално	globally
глобално	global
гер	guerre
екологија	ecology
надминува	exceeds
достигнување	accomplishment
достигнување	achievement
даглас	douglas
тото	toto
даг	dug
даг	doug
лок	lok
лок	locke
започнување	launching
сиетл	seattle
вектор	vector
опаѓа	dropping
пиво	beer
метју	mathew
метју	matthew
метју	mater
аеродроми	airports
одбивање	refusal
одбивање	rejection
стомакот	belly
стомакот	abdomen
хормони	hormone
хормони	hormones
микеланџело	michelangelo
шок	shock
тенис	tennis
емил	emile
емил	emil
герман	german
траење	duration
гај	gaius
гај	guy
идентификација	ld
идентификација	identification
идентификација	id
тули	bricks
тули	brick
тули	tully
алтернатива	alternative
експанзија	expansion
оженет	married
презентација	presentation
мекларен	mclaren
сатурн	saturn
перспектива	prospect
перспектива	perspective
малтретирање	bullying
малтретирање	harassment
изразена	expressed
стратешки	strategic
винсент	vincent
реализација	realisation
реализација	realization
еднина	singular
чисти	clean
полско	polish
паднала	fell
нива	cornfield
глад	famine
глад	starvation
глад	hunger
рене	renee
рене	rené
рене	rene
дозволуваат	permissible
крунисан	crowned
претходна	previous
неопределено	fuzzy
неопределено	indefinite
директни	direct
шанси	chances
шанси	chance
шанси	shaanxi
гете	goethe
карактеризираат	characterise
илиноис	illinois
заробеништво	captivity
управниот	steering
бура	thunderstorm
бура	storm
валверде	valverde
театри	theatres
театри	theaters
четврто	fourth
григор	grigor
бренд	brand
верувале	believed
подолги	longer
признаен	recognised
сервер	host
сервер	server
пирамида	pyramid
асистенции	assists
бремен	bremen
изработена	drafted
велигден	easter
опкружен	surrounded
графика	graphics
махмуд	mahmud
махмуд	mahmoud
платон	plato
платите	wages
платите	salaries
значителни	substantial
оружја	weapons
администратори	administrators
администратори	admins
стандардни	defaults
стандардни	standard
решено	resolved
решено	solved
прсти	toes
прсти	fingers
рангиран	ranked
арѓеш	argeș
означи	tag
марсел	marcel
клод	claude
бордо	bordeaux
фока	seal
парма	parma
стабилна	reliably
стабилна	stable
занимавал	practised
лекари	physicians
лекари	doctors
натриум	sodium
албрехт	albrecht
поинаку	different
поинаку	differently
наставник	teacher
групирани	grouped
атар	athar
квалитети	qualities
далас	dallas
банско	bansko
картичка	card
моторот	engine
мото	motto
мото	moto
дрвена	wooden
дрвена	picket
слободан	slobodan
признал	confessed
колорадо	colorado
зимбабве	zimbabwe
тереза	teresa
тереза	theresa
студијата	study
кејп	cape
сегмент	niche
сегмент	segment
патрон	patron
службеник	clerk
роди	born
роди	roddy
војводина	vojvodina
телевизиската	televised
црево	hose
црево	intestine
темите	topics
јута	utah
јута	jutta
типична	typical
кристали	crystals
кисела	alkaline
магазин	magazine
седмиот	seventh
сезонски	seasonal
аргумент	argument
колонизација	colonization
сали	sully
сали	sali
сали	sulley
сали	sally
секција	section
плеј	playoff
воспаление	inflammation
максимум	maximum
фил	phil
течности	liquids
течности	fluids
предниот	anterior
охајо	ohio
војување	warfare
јакоб	jakob
јакоб	jacob
нејзе	her
ломбардија	lombardy
вршење	committing
бакар	copper
мерења	measurements
усвоено	adopted
варираат	vary
известување	advisory
известување	notification
индивидуи	individuals
жица	wire
педесет	fifty
андер	ander
нормални	normal
адријан	hadrian
адријан	adrian
дрим	drin
бангладеш	bangladesh
измислен	imaginary
бронза	bronze
хепберн	hepburn
цигари	cigarettes
цигари	cigars
цигари	cigarette
заклучи	lock
синоним	synonymous
синоним	synonym
велосипед	bike
велосипед	bicycle
судијата	judge
судијата	referee
сандерленд	sunderland
опозиција	opposition
дизајнер	designer
екран	screen
роза	rose
роза	rosa
роза	roza
ејми	amy
ејми	ame
водопади	falls
водопади	waterfalls
потпис	signature
пронајдена	found
волт	walt
дискриминација	discrimination
наслови	headlines
наслови	titles
ага	aga
куско	cusco
произведе	produce
одделно	separately
одделно	separate
судска	judicial
убијци	assassins
убијци	killers
убијци	murderers
магдалена	magdalene
магдалена	magdalena
данскиот	danish
осудени	convicted
осудени	sentenced
осудени	doomed
просториите	premises
кирибати	kiribati
монро	monroe
патувал	travelled
патувал	traveled
изгубени	lost
етички	ethical
етички	ethically
стрес	stress
лукас	lucas
лукас	lukas
фотографијата	photo
секаде	everywhere
тибет	tibet
заработи	earn
автономни	autonomous
паралелни	parallel
линкови	links
мара	mara
нилски	hippopotamus
новела	novel
новела	novella
прослава	celebration
сок	juice
сок	smoothies
родно	native
кану	canoe
номинирана	nominated
александра	alexandra
александра	aleksandra
симетрија	symmetry
физиологија	physiology
оперски	opera
злото	evil
беркли	berkley
беркли	berkeley
архив	archive
архив	archives
накратко	briefly
возови	trains
изабела	isabella
изабела	isabelle
плато	plateau
опции	options
хасан	hassan
хасан	hasan
жупа	župa
корисна	useful
корисна	instructive
преведени	translated
жолти	yellow
повлекува	withdraws
повлекува	entail
испраќање	sending
богатства	treasures
богатства	riches
здравство	healthcare
умерено	moderately
соберат	gather
фрески	frescoes
јон	ion
отиде	went
босански	bosnian
партизани	partisans
ракометна	handball
сахара	sahara
раѓа	born
раѓа	dawned
наводнување	irrigation
должности	duties
сфати	understood
сфати	understand
сфати	realise
хром	chrome
хром	chromium
лед	lce
лед	ice
електронско	electronic
опстанок	survival
демо	demo
доза	dosage
доза	dose
воздушни	aerial
извршната	executable
германци	germans
намибија	namibia
спроведена	conducted
гласа	votes
бронзен	bronze
викенд	weekend
заменета	commuted
заменета	replaced
фабрики	factories
емирати	emirates
минимум	minimum
недоволно	insufficient
универзален	universal
спортист	athlete
спортист	sportsman
ангола	angola
поглавје	chapter
намален	diminished
намален	reduced
вигинс	wiggins
достигнат	reached
достигнат	reach
стотина	hundred
стотина	hundreds
алтернативен	alternate
кемал	kemal
видлива	visible
сведочи	testifies
сведочи	testify
откриваат	reveal
вратен	returned
просечен	average
ќерамиди	roofing
инка	inca
инка	funnel
ротација	rotation
ротација	rotate
тенкови	tanks
загрозен	endangered
загрозен	threatened
човечко	human
опен	open
публикации	publications
теодора	theodora
заболување	disease
прстени	rings
воведува	introduces
практики	practises
практики	practices
младоста	youth
болки	aches
болки	pain
академска	academic
практична	practical
тврдејќи	arguing
тврдејќи	claiming
панама	panama
театарска	theatrical
мастерс	masters
каталонија	catalonia
галиција	galicia
сенка	shadow
сенка	shade
привилегии	privilege
привилегии	privileges
подигнат	erected
тоше	tose
занает	craft
донесувањето	enacting
витези	knights
витези	paladins
скијање	skiing
брест	brest
анастасија	anastasia
оман	oman
диригент	conductor
супстанции	substance
супстанции	substances
вечери	dinners
вечери	evenings
гнездо	nest
пфалц	palatinate
кралско	royal
кралско	imperial
резерват	reserve
религиозна	religious
топлината	warmth
математичари	mathematicians
вага	libra
фрази	phrases
лорен	lorraine
лорен	lauren
лорен	loren
кнежевство	principality
кози	goats
установа	facility
карибите	caribbean
теологија	theology
исклучоци	exceptions
оператор	operator
јачина	intensity
јачина	magnitude
утрински	morning
неуспешен	unsuccessful
носејќи	bearing
носејќи	carrying
преовладува	prevails
наша	our
наша	ours
грмушки	bushes
грмушки	bush
сегменти	segments
ремо	remo
зајак	rabbit
доволна	enough
наставници	teachers
лош	bad
кал	mud
кал	kal
кал	cale
кал	cal
дан	dan
дан	dunne
дан	dunn
дан	dun
соочи	face
помало	lesser
помало	smaller
урбана	urban
шести	sixth
предизвик	challenge
малтер	mortar
исполнети	fulfilled
творба	articulation
матеј	matthew
претседателството	presidency
ријана	rihanna
пенали	penalties
радиус	radius
незадоволство	discontent
незадоволство	displeasure
незадоволство	dissatisfaction
свештеникот	priest
предизвикувајќи	sparking
предизвикувајќи	causing
предизвикувајќи	triggering
празни	empty
шефот	chief
шефот	boss
четворица	four
гледајќи	watching
пластика	plastics
пластика	plastic
јемен	yemen
уран	uranus
обоени	painted
обоени	colored
обоени	coloured
портрети	portraits
австронезиски	austronesian
алба	alba
глетка	sight
идентификува	identifies
божиќ	christmas
алгебра	algebra
боби	bobby
ранети	wounded
роси	rossi
учествуваше	participated
мештаните	locals
покриен	covered
точна	accurate
точна	exact
точна	correct
подот	pod
подот	floor
обемот	volume
дипломат	diplomat
месопотамија	mesopotamia
должноста	duty
пури	cigar
пури	cigars
стекнува	gaining
инцидент	incident
работеше	worked
вторник	tuesday
вирус	virus
добиток	cattle
посредник	middleman
посредник	intermediary
посредник	mediator
траат	lasts
состаноци	meetings
сиромаштија	poverty
геолошки	geological
шер	shere
шер	sher
шер	cher
алмати	almaty
разгледува	considering
обележани	marked
курсеви	courses
штабот	hq
фокус	focus
дејан	dejan
конкретни	specific
конкретни	concrete
супстанца	substance
наназад	backwards
наназад	backward
лејди	lady
рап	rap
скали	ladders
скали	stairway
скали	stairs
скали	stair
раководители	managers
раководители	executives
ресурсите	resources
очекувања	expectations
примарна	primary
времетраење	duration
лесна	easy
лесна	lightweight
мадагаскар	madagascar
едрене	edirne
праќа	sends
типични	typical
пејџ	paige
џордан	jordan
постоечки	existing
јапонска	japanese
џузепе	giuseppe
џејсон	jason
извршат	commit
вегас	vegas
статистичка	statistical
големини	sizes
признат	recognised
признат	recognized
остро	strongly
остро	sharp
остро	harshly
формирано	formed
атракција	attraction
параметар	parameter
експлоатација	exploitation
експлоатација	exploration
конечен	final
пештери	caves
андалузија	andalusia
вишок	surplus
вишок	redundant
вишок	excess
стенфорд	stanford
нормандија	normandie
нормандија	normandy
изложеност	exposure
антропологија	anthropology
хаити	haiti
свадба	wedding
крајбрежјето	waterfront
оценка	score
сони	sony
сони	sonny
нирнберг	nuremberg
изолација	isolation
ралф	ralph
самуил	samuel
следна	next
стравот	fear
почитува	respects
ритуали	rituals
интензитет	intensity
обнови	restore
обнови	renew
промовирање	promotion
промовирање	promoting
поразена	vanquished
поразена	defeated
упатува	references
согорување	combustion
согорување	incineration
заседа	ambush
континуирано	continuously
континуирано	continuous
континуирано	continually
факултети	colleges
факултети	faculties
берде	börde
евиденција	records
евиденција	log
индиректно	indirect
индиректно	indirectly
спротивни	divergent
спротивни	opposite
кралевите	kings
пеколот	hell
пеколот	inferno
сознанија	findings
тениско	tennis
протест	protest
рајот	heaven
панорама	panorama
опасни	dangerous
почина	died
ангели	angels
еми	emmy
еми	emmys
шеми	patterns
шеми	schemes
среда	wednesday
среда	wednesdays
врат	neck
собири	gatherings
играчки	toys
медичи	medici
медичи	medicis
масовни	mass
масовни	massive
групна	multiplayer
групна	group
ник	nick
ник	nic
ник	nik
крсто	krsto
идол	idol
витамин	vitamin
одби	declined
одби	refused
одење	walking
одење	trekking
граѓанин	citizen
материјална	material
комесар	commissioner
комесар	commissar
професионалец	professional
професионалец	pro
декларацијата	declaration
религиски	religious
припаѓал	belonged
брегови	shores
индекси	indices
мајмуни	monkeys
спартак	spartacus
спартак	spartak
докторат	doctorate
докторат	phd
верувањето	belief
моќност	power
артисти	artists
врзани	bound
врзани	tied
англо	anglo
клун	beak
празен	empty
празен	blank
штајнбург	steinburg
протеини	protein
тирено	tirreno
мастејн	mustaine
михаел	michael
тел	tel
стразбур	strasbourg
предвидување	prediction
лил	lil
лил	lille
длабоки	deep
барбара	barbara
осло	oslo
пристигнува	arriving
пристигнува	arrives
пристигнува	incoming
армстронг	armstrong
цветови	flowers
цветови	blossoms
руси	russians
бесплатно	free
милтон	milton
задоволи	satisfy
фрлање	throwing
фрлање	toss
фрлање	throw
припаѓале	belonged
гари	garry
гари	gary
милошевиќ	milosevic
базен	pool
капацитети	facilities
капацитети	capacities
капацитети	venues
грос	gross
грос	groß
рус	rus
учествуваа	featured
учествуваа	participated
одраз	reflect
одраз	reflection
шарлот	charlotte
ататурк	ataturk
ататурк	atatürk
хумор	humor
хумор	humour
работничка	worker
католици	catholics
наклон	tilt
утро	morning
мис	miss
сооднос	ratio
реми	remy
реми	remi
претставништво	representation
пазарите	markets
планетите	planets
клајн	klein
атлетико	atletico
атлетико	atlético
кафеава	brown
уганда	uganda
брана	dam
украси	ornaments
украси	decorations
привремена	temporary
привремена	temp
драстично	drastically
адријатико	adriatico
лужица	lusatia
неопходни	necessary
половината	waist
половината	half
изолирани	isolated
откри	revealed
френклин	franklin
бродовите	ships
бродовите	ferries
предупредување	warning
кршење	violation
кршење	breaking
кршење	smashing
државјанство	citizenship
предци	ancestors
натписи	articles
харисон	harrison
леви	levi
обама	obama
раскажувач	storyteller
осветлување	lighting
прославата	celebration
славко	slavko
експериментални	experimental
масти	fat
семејствата	families
паскал	pascal
пипин	pippin
вавилон	babylon
скандинавија	scandinavia
обреди	observance
обреди	rites
сакаше	loved
сакаше	wanted
конкретно	concretely
конкретно	specifically
роберто	roberto
бетмен	batman
правник	lawyer
манифестација	manifestation
запишување	writable
запишување	writing
тропски	tropical
пит	pete
ненадејно	suddenly
ненадејно	sudden
ненадејно	abruptly
ацо	aco
дебелина	obesity
дебелина	thickness
евангелие	gospel
ловат	hunt
фридман	friedman
волк	wolf
бањи	spas
бањи	bathrooms
бањи	baths
распад	decay
господин	mister
господин	gentleman
прилики	occasions
грама	grams
сместување	accommodation
сместување	lodging
крила	wings
курт	kurt
курт	curt
регионална	regional
боуви	bowie
летно	summertime
пушки	rifles
пушки	guns
умерена	temperate
умерена	moderate
цивилизации	civilizations
цивилизации	civilisations
болни	painful
болни	sick
лаос	laos
отон	otho
полот	gender
гравитација	gravity
памук	pamuk
памук	cotton
редовна	regular
олимпија	olympia
олимпија	olympias
погодни	convenient
клинтон	clinton
учеснички	participating
учеснички	participants
варна	varna
климатските	climatic
валути	currency
валути	currencies
дно	bottom
дно	bottoms
бега	flees
среќен	happy
постава	lineup
азиски	asian
идентични	identical
поканети	invited
зограф	zograf
сведок	witness
сведок	witnessed
арапска	arab
уста	mouth
хив	hiv
дилан	dylan
антиохија	antioch
болката	pain
управувани	managed
вработен	employee
вработен	employed
стручно	expert
ладен	laden
бернард	bernard
девојче	girl
мајнц	mainz
сценарист	screenwriter
моќни	powerful
реда	rows
мисисипи	mississippi
добиена	won
преспанско	prespa
мигел	miguel
чуда	miracles
чуда	wonders
покани	invitations
покани	invite
покани	invites
робот	robot
одредби	provisions
рамен	flat
рамен	ramen
гледал	watched
обележја	emblems
обележја	landmarks
детално	detailed
детално	detail
предаваат	teach
хранливи	nutritional
модни	fashion
имплементација	implementation
сини	blue
пијалаци	beverage
пијалаци	beverages
пијалаци	drinks
онтарио	ontario
нивите	dusting
додатни	additional
ген	gene
ген	gen
капабланка	capablanca
штети	hurting
штети	damages
штети	damage
веста	vesta
антониј	antony
антониј	antonius
континенти	continents
надмине	overcomes
надмине	exceed
надмине	surpass
надмине	overcome
ризици	risks
трик	trick
придружен	accompanied
есеист	essayist
емоции	emotion
емоции	emotions
тери	terri
тери	teri
тери	terry
бич	beech
бич	beach
доминантен	dominant
судење	trial
протестанти	protestants
протестанти	protesters
исполнет	filled
конференции	conference
конференции	conferences
пирин	pirin
мажот	husband
татковината	motherland
избегнува	avoids
заклучоци	findings
заклучоци	conclusions
кабинет	cabinet
зачуван	saved
арагон	aragon
значителна	substantial
значителна	considerable
значителна	significant
сончев	sunny
здраво	hi
здраво	hello
корпорација	corporation
радијација	radiation
анимација	animation
собрал	gathered
помогнале	helped
неутрони	neutrons
краков	krakow
едвај	barely
едвај	hardly
зегеберг	segeberg
одеднаш	suddenly
одеднаш	sudden
ферари	ferraris
ферари	ferrari
прописи	regulations
прописи	regulation
премиери	premieres
дуран	durant
дуран	duran
кремљ	kremlin
распон	span
кромид	onions
кромид	onion
мередит	meredith
успее	succeeds
продукт	product
пролог	prologue
античко	antiquity
свесни	conscious
свесни	aware
висорамнина	highlands
освојувач	conqueror
викиликс	wikileaks
налог	warrant
започната	launched
задоволува	satisfies
југословенска	yugoslav
џеф	jeff
подигање	boot
подигање	raise
подигање	raising
мак	mac
мак	mack
мак	mak
колона	column
нијанси	nuances
нијанси	shades
облаци	clouds
адамс	adams
шират	spreading
самоа	samoa
иновации	innovations
иновации	innovation
топла	hot
топла	warm
заинтересиран	interested
спроведени	implemented
корпорации	corporations
тропските	tropics
соработувал	collaborated
спротивна	opposite
забави	parties
грло	throat
зборник	zbornik
потсетува	reminiscent
потсетува	reminds
бизниси	businesses
теоретичар	theorist
жорж	georges
моќен	mighty
моќен	powerful
воспоставена	established
зими	winters
пилот	pilot
линколн	lincoln
вируси	viral
вируси	viruses
свесен	aware
свесен	conscious
криви	curves
витез	knight
печатени	printed
осигура	ensure
нагласува	emphasises
искористување	exploitation
рајх	reich
додадена	added
семиња	seeds
интервјуа	interviews
браната	dam
вагнер	wagner
рејчел	rachael
рејчел	rachel
рамна	flat
предвидено	zoned
предвидено	envisioned
предвидено	predicted
санчез	sanchez
санчез	sánchez
извршувањето	execution
декади	decades
забранети	forbidden
забранети	prohibited
забранети	banned
преименувана	renamed
чудно	awkward
чудно	strange
чудно	weird
чудно	odd
писменост	literacy
џефри	geoffrey
џефри	jeffrey
пијалоци	drinks
тактика	tactics
тактика	tactic
кастро	castro
одри	audrey
поплави	floods
поплави	flooding
поплави	flood
тринидад	trinidad
архиепископот	archbishop
извоз	exports
извоз	export
благоевград	blagoevgrad
единбург	edinburgh
тесна	tight
багдад	baghdad
багдад	bagdad
доминираат	dominate
ката	kata
ката	floors
аризона	arizona
масла	oils
организирано	organized
класифицирани	classified
ривали	rivals
советници	advisors
советници	advisers
советници	councilors
советници	counselors
советници	councillors
советници	counsellors
лажни	fake
опозицијата	opposition
спушта	descends
евентуално	possibly
кук	cook
кук	kuk
изработката	drafting
битерфелд	bitterfeld
полк	regiment
полк	polk
лоара	loire
просторија	room
моделите	patterns
соседи	neighbors
соседи	neighbours
струма	struma
неделно	weekly
базирано	based
дамаск	damascus
бруно	bruno
повторува	repeats
хал	hal
черепот	skull
паѓаат	falling
плажи	beaches
таблички	plates
делфин	dolphin
делфин	delphine
канцеларии	offices
одиграно	played
инструкции	instruction
инструкции	instructions
придонесуваат	contribute
чувар	keeper
чувар	guardian
чувар	guard
подобрува	improves
потешкотии	hardship
потешкотии	difficulty
потешкотии	difficulties
нотација	notation
сончева	solar
ајхсфелд	eichsfeld
судиите	judges
судиите	refs
пречка	hurdle
пречка	obstacle
пречка	impediment
пречка	hindrance
поинаков	different
клинички	clinical
клинички	clinically
именка	noun
отворања	openings
вообичаени	customary
вообичаени	usual
купува	buys
измислени	imaginary
измислени	invented
измислени	fabricated
измислени	fictional
континентот	continent
ерп	earp
фан	fan
синовите	sons
алесандро	alessandro
еквивалент	equivalent
придружува	accompany
придружува	accompanies
трчање	running
комуницираат	communicating
драматург	playwright
означен	tagged
роџерс	rogers
духовен	spiritual
бенџамин	benjamin
лиги	leagues
арт	art
рудник	mine
кажа	kaja
минимална	minimum
минимална	minimal
минимална	min
чаир	cair
чаир	čair
реален	realistic
чистење	cleaning
самоил	samuel
елстер	elster
прованса	provence
купувачот	buyer
монарх	monarch
омилен	favourite
омилен	favorite
одразува	reflected
одразува	reflects
тежи	weighs
пресврт	twist
хармонија	harmony
жил	jules
жил	gilles
портали	portals
едгар	edgar
обновено	revived
обновено	renewed
обновено	restored
минг	ming
грејс	grace
постол	pella
стрипови	comics
атанасов	atanasov
заслуга	credit
сајмон	simon
крие	conceals
крие	hides
крие	hiding
сантјаго	santiago
губат	losing
губат	lose
дијалог	dialogue
филипс	phillips
картер	carter
елементот	element
нагло	sharply
колумбо	columbus
колумбо	columbo
тигри	tigers
самостоен	solo
добиен	obtained
умрела	died
економии	economies
комедии	comedies
терористи	terrorists
парламентарни	parliamentary
рој	roy
рој	roj
рој	swarm
снабдување	supply
стебло	tree
гази	ghazi
гази	gazi
обвинети	indicted
обвинети	accused
обвинети	defendants
обвинети	charged
бот	bot
војводите	dukes
цска	cska
сакајќи	wanting
сакајќи	seeking
феномени	phenomena
затвори	close
затвори	closed
вакуум	vacuum
студентски	student
братучед	cousin
братучед	cuz
фасада	facade
земјоделско	agricultural
лазаров	lazarov
присуствуваат	attending
присуствуваат	attend
одигран	played
особина	trait
спротивност	opposite
продуценти	producers
орлеанс	orleans
заминување	departure
мансфелд	mansfeld
миле	mile
одел	odell
фасо	faso
образовен	educational
одделенија	wards
клас	class
клас	clas
сена	sena
сена	senna
сена	seine
полови	gender
непријателот	enemy
повторување	recurrence
повторување	repetition
повторување	repeat
вотсон	watson
научи	learn
пантелејмон	panteleimon
тропска	tropical
иматија	imathia
серверот	server
релативна	relative
томи	tommy
развивањето	developing
карпите	wrecks
процедури	procedures
духовни	spiritual
безбедно	safe
безбедно	safely
постигнато	accomplished
постигнато	achieved
намерата	intention
намерата	intent
преостанатите	remaining
велосипеди	bicycles
велосипеди	bikes
уставна	constitutional
ископувања	excavation
ископувања	excavations
ископувања	digs
монастир	monastir
олга	olga
стандардно	default
стандардно	standard
американец	american
домаќини	hosts
одлучено	decided
контраст	contrast
поен	score
задачата	task
дијагноза	diagnosis
данлоп	dunlop
пчиња	pčinja
лоренцо	lorenzo
топки	scoops
топки	balls
тргување	trading
мој	my
мој	mine
романди	romandie
