adressen	endereços
grafiken	gráficos
dragon	dragon
montenegro	montenegro
savoyen	saboia
staatsmann	estadista
energien	energias
bunker	bunker
she	she
wings	wings
giacomo	giacomo
astronomische	astronómicas
rekorde	recordes
hertha	hertha
adenauer	adenauer
auvergne	auvergne
odenwald	odenwald
versprechen	promessa
lenz	lenz
vernichtung	destruição
jensen	jensen
unzureichend	insuficiente
richmond	richmond
myspace	myspace
palace	palace
demonstration	manifestação
verweigert	negado
hunt	hunt
träume	sonhos
rassismus	racismo
through	through
commander	comandante
hobby	passatempo
abel	abel
sara	sara
weinheim	weinheim
schießen	disparar
beatles	beatles
marquis	marquês
alexei	alexei
erobern	conquistar
ökologie	ecologia
jude	judeu
sánchez	sánchez
schwimmer	nadador
ottawa	ottawa
jahrzehnt	década
ceo	ceo
faschismus	fascismo
kuhn	kuhn
owen	owen
roosevelt	roosevelt
nebenflüsse	afluentes
clan	clã
reims	reims
blei	chumbo
wasserburg	wasserburg
relative	relativo
walk	walk
leuchtturm	farol
panik	pânico
angelika	angelika
cameron	cameron
schmetterling	borboleta
jupiter	júpiter
verona	verona
kastilien	castela
emmanuel	emmanuel
organische	orgânicos
lachen	rir
claire	claire
rätsel	enigmas
hardcore	hardcore
nicola	nicola
diener	servos
daily	daily
friends	friends
pflichten	obrigações
salt	salt
maritime	maritime
beliebtheit	popularidade
katzen	gatos
gestört	perturbado
basic	basic
versicherung	seguro
patricia	patricia
heritage	patrimônio
zweifelhaft	duvidoso
neigung	inclinação
fabian	fabian
orlando	orlando
una	una
ausgeübt	exerceu
quo	quo
madagaskar	madagáscar
detlef	detlef
kanäle	canais
akte	lima
krim	crimeia
einseitig	unilateral
sullivan	sullivan
erbracht	prestados
anmeldung	inscrição
köpfe	cabeças
berührt	tocado
pat	pat
massen	massas
siebte	sétima
verleiht	confere
bang	bang
mer	mer
gespannt	ansioso
stabil	estável
kreuzberg	kreuzberg
heiner	heiner
ahmad	ahmad
geschenk	presente
habsburger	habsburgos
dreißig	trinta
verurteilung	condenação
unterschrift	assinatura
tragödie	tragédia
gegossen	vazado
missionar	missionário
niger	níger
laser	laser
fbi	fbi
obst	fruta
maske	máscara
padua	pádua
drachen	dragões
aha	aha
bären	ursos
geschmückt	enfeitados
got	got
gestoßen	empurrado
elberfeld	elberfeld
gewebe	tecidos
erhebungen	inquéritos
moin	moin
maxim	maxim
hendrik	hendrik
jet	jet
potsdamer	potsdamer
impact	impact
unerwünscht	indesejado
missionen	missões
definierte	definiu
mare	mare
arg	arg
kenia	quénia
legenden	lendas
verbrannt	queimado
mendelssohn	mendelssohn
zweibrücken	zweibrücken
robertson	robertson
pedal	pedal
wiley	wiley
fusionierte	fundiu
css	css
schaffhausen	schaffhausen
navigation	navegação
parkplatz	estacionamento
komponistin	compositora
flughäfen	aeroportos
eingabe	digitando
drucker	impressora
elster	elster
apotheke	farmácia
verursachte	causou
animation	animação
sic	sic
strich	traço
won	won
pérez	pérez
kommentiert	comentem
daimler	daimler
erzgebirge	parana
heil	salve
pascha	pasha
belle	belle
klingen	lâminas
empfang	recepção
sweet	sweet
rap	rap
clinton	clinton
filmemacher	cineasta
zealand	zealand
mentor	mentor
dialekte	dialectos
coupé	coupé
einwanderer	imigrantes
tastatur	teclado
verleihen	conferir
rebellion	rebelião
joel	joel
saturn	saturno
herausforderung	desafio
initiativen	iniciativas
seat	seat
asche	cinzas
binden	amarrar
late	late
kontrast	contraste
wittgenstein	wittgenstein
next	next
karel	karel
beinamen	epíteto
boulevard	boulevard
gelehrter	erudito
palmer	palmer
buchstabe	letra
rolling	rolling
neuburg	neuburg
realismus	realismo
stiel	pedúnculo
reichenbach	reichenbach
hansa	hansa
gras	erva
schätze	tesouros
interpretationen	interpretações
maas	maas
strauß	avestruz
spree	farra
malcolm	malcolm
eduardo	eduardo
brunner	brunner
verl	verl
batterie	bateria
sidney	sidney
pink	pink
mantel	manto
arsenal	arsenal
karen	karen
intel	intel
thieme	thieme
melchior	melchior
staatsbibliothek	staatsbibliothek
libyen	líbia
krupp	krupp
schmerzen	dor
between	between
käufer	comprador
käufer	compradores
vampir	vampiro
moderatorin	apresentadora
pfeil	seta
ähneln	assemelhar
cent	cêntimo
geographic	geographic
töne	tons
technologien	tecnologias
living	living
mundart	vernáculo
toledo	toledo
pfeiffer	pfeiffer
foster	foster
angola	angola
argumentieren	argumentar
dis	dis
botanik	botânica
eiche	carvalho
och	poxa
kath	kath
wünschenswert	desejável
léon	léon
scholz	scholz
pseudo	pseudo
reichtum	riqueza
vie	vie
ewige	eterno
unregelmäßig	irregular
professional	professional
gesetzgebung	legislação
merkt	anota
córdoba	córdoba
geformt	moldado
strengen	rigoroso
briefmarken	selos
gewölbe	abóbada
engelbert	engelbert
guinea	guiné
ahl	ahl
curtis	curtis
pete	pete
halberstadt	halberstadt
steel	steel
amberg	amberg
schuppen	barracão
erzbistums	arcebispado
nachhaltige	sustentável
modul	módulo
bewaffnung	armamento
greg	greg
price	price
konfrontiert	confrontado
vorsicht	cuidado
einwände	objecções
sojus	soyuz
schlafen	dormir
lions	lions
kräftig	vigoroso
luc	luc
rupert	rupert
wasserstoff	hidrogénio
nielsen	nielsen
taz	taz
rapid	rapid
gaius	caio
erleichtert	facilita
shaw	shaw
überwacht	monitora
rachel	rachel
behinderung	deficiência
mythen	mitos
vulkan	vulcão
ionen	iões
schalke	schalke
kleist	kleist
profis	prós
profis	profissionais
carol	carol
jesse	jesse
ziffern	algarismos
gekrönt	coroado
vorderseite	frente
propheten	profetas
grove	grove
pisa	pisa
valle	valle
eder	eder
grundstücke	terrenos
fähre	ferry
verhält	comporta
artur	artur
intervention	intervenção
hallen	salões
zweige	ramos
verfall	decadência
außerordentlicher	extraordinário
rötlich	avermelhado
benno	benno
skala	escala
paraguay	paraguai
privilegien	privilégios
chirurg	cirurgião
paper	paper
autonomie	autonomia
petri	petri
nizza	nice
bulletin	boletim
glaubte	acreditou
glaubte	acreditava
mason	mason
hunger	fome
wieviel	quanto
reuter	reuter
illustration	ilustração
ried	ried
strenge	rigor
sardinien	sardenha
staub	poeira
airways	airways
schütz	schütz
biennale	bienal
gif	gif
wurzel	raiz
todesstrafe	pena
train	train
fleck	mancha
leistet	presta
bryan	bryan
bennett	bennett
empfehlungen	recomendações
lie	lie
bildschirm	tela
swing	swing
bombe	bomba
bestraft	punido
vereinfacht	simplifica
anthropologie	antropologia
vandalen	vândalos
columbus	columbus
radar	radar
monde	luas
abweichungen	desvios
bonaparte	bonaparte
eur	eur
wünscht	deseja
juri	yuri
xavier	xavier
trompete	trompete
imperial	imperial
schweinfurt	schweinfurt
satzung	estatutos
fasste	resumiu
haller	haller
masuren	masúria
ableitung	derivada
kaliber	calibre
ahmed	ahmed
vierzehn	quatorze
vierzehn	catorze
fünfzehn	quinze
ain	ain
russ	russ
frequenzen	frequências
praktizierte	praticou
kirchberg	kirchberg
vandenhoeck	vandenhoeck
montgomery	montgomery
yves	yves
fragment	fragmento
interstate	interestadual
soko	soko
drücken	prima
hofer	hofer
bart	bart
horror	horror
ullstein	ullstein
hey	ei
gruber	gruber
aufzählung	enumeração
sergio	sergio
absteiger	relegado
cornelia	cornelia
aserbaidschan	azerbaijão
scientific	scientific
radikalen	radical
eleonore	leonor
rail	rail
ruhm	glória
bezweifle	duvido
midi	midi
entführt	raptado
heaven	heaven
schlaf	sono
schreibweisen	grafias
iss	iss
segment	segmento
ermland	vármia
critics	critics
platin	platina
erklärten	explicaram
cello	violoncelo
toskana	toscana
künstlichen	artificiais
gemalt	pintado
plauen	plauen
reparatur	reparação
leder	couro
konstruktiv	construtivo
wehr	açude
dokumentieren	documentar
ute	ute
mafia	máfia
mitarbeiterin	colaboradora
agency	agency
lès	lès
landwehr	landwehr
websites	websites
göttinger	göttinger
ruderer	remadores
drive	drive
import	importação
psychiater	psiquiatra
freiwilliger	voluntário
regelt	regulamenta
beleidigungen	insultos
ital	ital
archäologen	arqueólogos
anden	andes
stubs	stubs
badische	badische
torsten	torsten
leber	fígado
fühlte	senti
prototypen	protótipos
schlucht	ravina
leidet	sofre
cold	cold
dmitri	dmitri
stile	estilos
cool	legal
wei	wei
wells	wells
fürstenberg	fürstenberg
experimentelle	experimental
wetzlar	wetzlar
wüsste	saberia
reed	reed
leningrad	leninegrado
korn	grão
brooks	brooks
corpus	corpus
anglo	anglo
lobte	elogiou
prüfungen	ensaios
nickel	níquel
roche	roche
break	break
linear	linear
reuß	reuss
percy	percy
betten	camas
dominik	dominik
gebet	oração
verse	versos
cum	cum
palm	palm
landet	aterra
anker	âncora
triest	trieste
untertitel	legenda
jin	jin
wallis	wallis
sibirien	sibéria
chip	chip
ausführen	executar
bezirksliga	bezirksliga
alberta	alberta
abbey	abbey
domenico	domenico
child	child
genießen	desfrutar
protestanten	protestantes
nietzsche	nietzsche
kid	kid
elke	elke
illegal	ilegal
mill	mill
helmuth	helmuth
teheran	teerão
transparenz	transparência
operette	opereta
kalkstein	calcário
wat	wat
luca	luca
derby	derby
zerfall	desintegração
trinidad	trinidad
chinesen	chineses
cole	cole
widerlegt	refutado
ausübung	exercício
morton	morton
spiegelt	reflete
andersen	andersen
körner	grãos
logistik	logística
zorn	raiva
geograph	geógrafo
ausdrücken	expressar
viscount	visconde
verknüpfung	atalho
false	false
saône	saône
vista	vista
elfmeterschießen	penaltis
kreta	creta
copyright	copyright
fakt	fato
betty	betty
naumburg	naumburg
hefte	dobradores
amalie	amália
annäherung	aproximação
ger	ger
ghetto	gueto
wing	wing
optional	opcional
gps	gps
sbb	sbb
tags	tags
skandinavien	escandinávia
zitieren	citar
mauerwerk	alvenaria
radius	raio
calgary	calgary
bertram	bertram
minsk	minsk
bedürfnisse	necessidades
genauigkeit	precisão
sgb	sgb
wohlstand	prosperidade
überholt	ultrapassado
jamie	jamie
bradley	bradley
theodore	theodore
glenn	glenn
kaukasus	cáucaso
ellis	ellis
verdiente	mereceu
friedberg	friedberg
peerage	peerage
absichtlich	intencional
absichtlich	intencionalmente
than	than
rocky	rocky
straubing	straubing
märkte	mercados
lech	lech
belastet	cobrado
hannah	hannah
originale	originais
sachs	sachs
wolken	nuvens
proben	amostras
schaumburg	schaumburg
aargau	aargau
schuhe	sapatos
gérard	gérard
wiedergabe	reprodução
cricket	cricket
ibrahim	ibrahim
simple	simple
komiker	comediante
orientation	orientation
autobahnen	autoestradas
trans	trans
antenne	antena
faber	faber
stich	facada
annie	annie
comte	comte
parma	parma
gift	veneno
senden	enviar
antarktis	antártida
nicolaus	nicolaus
betrachter	visualizador
heidi	heidi
rudolstadt	rudolstadt
versailles	versalhes
kapellmeister	kapellmeister
demonstrationen	manifestações
kurator	curador
waffenstillstand	tréguas
medici	medici
krater	cratera
julien	juliano
variable	variável
voigt	voigt
schott	schott
workshops	workshops
viehzucht	pecuária
kingdom	kingdom
verraten	traído
guardian	guardian
mechanismus	mecanismo
steyr	steyr
lille	lille
anregungen	sugestões
bereitete	preparou
schale	casca
birds	birds
brenner	queimador
arrangeur	arranjador
enrico	enrico
marino	marino
powell	powell
kompliziert	complicado
verbandsliga	verbandsliga
nicolai	nicolai
haven	haven
rain	rain
fisher	fisher
vorbereitungen	preparativos
helligkeit	brilho
toleranz	tolerância
kämpften	lutaram
amy	amy
gau	gau
kenny	kenny
blume	flor
wimbledon	wimbledon
milan	milan
immobilien	imobiliário
beyond	beyond
lauenburg	lauenburgo
spvgg	spvgg
tolle	ótima
tolle	ótimas
keltischen	celta
eingeschlossen	incluído
todd	todd
without	without
begleiten	acompanhar
grabstein	lápide
dominique	dominique
davies	davies
empfiehlt	recomenda
comté	comté
karlheinz	karlheinz
tipps	dicas
airbus	airbus
rassen	raças
flying	flying
schlange	cobra
federal	federal
aids	sida
niederschlag	precipitação
bloch	bloch
fröhlich	alegre
symbolisiert	simboliza
garmisch	figueira
sorgfältig	cuidadosamente
churchill	churchill
canyon	canyon
virtuelle	virtual
schwarzenberg	schwarzenberg
pearl	pearl
anita	anita
syntax	sintaxe
eyes	eyes
municipal	municipal
money	money
unendlich	infinito
krönung	coroação
besetzen	ocupam
kids	kids
sklaverei	escravidão
gate	gate
freilassung	libertação
darwin	darwin
duncan	duncan
knie	joelho
initiator	iniciador
recklinghausen	recklinghausen
schulte	schulte
jessica	jessica
bartholomäus	bartolomeu
benny	benny
schlimmer	pior
insassen	reclusos
insassen	ocupantes
sulzbach	sulzbach
patriarch	patriarca
proteine	proteínas
variieren	variam
variieren	variar
gmünd	gmünd
nissan	nissan
sparta	esparta
ast	galho
bachmann	bachmann
neo	neo
infektion	infecção
battista	battista
neunkirchen	neunkirchen
émile	émile
ukrainisch	ucraniano
bsp	pnb
exportiert	exportados
leone	leoa
übel	males
bekanntgegeben	afixado
memmingen	florianopolis
torwart	goleiro
fabriken	fábricas
buchenwald	buchenwald
atlantis	atlântida
berechnen	calcular
programmierung	programação
delaware	delaware
physiologie	fisiologia
lindau	lindau
klicken	clique
pforzheim	pforzheim
schätzungen	estimativas
geschwindigkeiten	velocidades
pool	piscina
doppelten	duplo
brest	brest
dynamik	dinâmica
martínez	martínez
simpson	simpson
aufgetreten	ocorreu
crawford	crawford
rhode	rhode
asiaten	asiáticos
kohlhammer	kohlhammer
bey	bey
verkündet	anunciado
klee	trevo
ideale	ideais
gent	gand
rau	áspero
another	another
nepal	nepal
stadien	estádios
formeln	fórmulas
würdigung	apreciação
transparent	transparente
schwiegersohn	genro
claudio	claudio
sen	sen
pauline	pauline
korruption	corrupção
franke	franke
denver	denver
schrader	schrader
lucy	lucy
richards	richards
porter	porter
mills	mills
ole	ole
flüge	voos
fsv	fsv
bräuchte	precisaria
newcastle	newcastle
strategien	estratégias
reagierte	reagiu
esther	esther
zeugnisse	testemunhos
asian	asian
regiert	governa
atom	átomo
mathematics	mathematics
synode	sínodo
häufigkeit	frequência
staatsangehörigkeit	nacionalidade
soest	soest
schwarzburg	schwarzburg
away	away
weisheit	sabedoria
nächster	próximo
sehnsucht	saudade
arne	arne
pixel	pixel
pixel	pixels
memphis	memphis
codes	códigos
henderson	henderson
alfonso	alfonso
klinge	lâmina
gibson	gibson
emily	emily
mad	mad
said	said
satire	sátira
ruder	leme
osmanen	otomanos
hass	ódio
mazedonien	macedónia
workshop	workshop
diamond	diamond
homer	homer
stan	stan
initiiert	iniciadas
dichterin	poetisa
alphabetisch	alfabética
flaggen	bandeiras
led	led
flammen	chamas
kapitalismus	capitalismo
sascha	sasha
sous	sous
überlebende	sobreviventes
federico	federico
socken	meias
lieferung	entrega
serben	sérvios
done	done
testen	testar
horizont	horizonte
nische	nicho
dekret	decreto
absurd	absurdo
harper	harper
martín	martín
journalismus	jornalismo
einrichten	configurar
verstöße	infracções
sysop	sysop
defa	defa
hausen	hausen
sylvia	sylvia
derek	derek
cups	cups
ausgestorben	extinto
kurzform	diminutivo
federn	penas
tessin	ticino
übungen	exercícios
blake	blake
transportieren	transportar
lou	lou
crystal	crystal
beyer	beyer
btw	btw
schultz	schultz
spandau	spandau
motion	motion
javier	javier
continent	continent
unterirdischen	subterrâneo
absolventen	diplomados
anja	anja
bytes	bytes
schwangerschaft	gravidez
pohl	pohl
lucky	lucky
zahn	dente
nat	nat
skizzen	esboços
abgabe	imposição
gelobt	elogiado
landsmann	compatriota
schuh	sapato
sexualität	sexualidade
recordings	recordings
zusammenhängen	contextos
batman	batman
mächtige	poderosa
räder	rodas
inflation	inflação
folter	tortura
richardson	richardson
phänomene	fenômenos
berufe	profissões
athletic	athletic
bertrand	bertrand
creative	creative
stumpf	coto
kennst	conhece
vergehen	delitos
milton	milton
prädikat	predicado
wählten	escolheram
burton	burton
croix	croix
geoffrey	geoffrey
franziskaner	franciscanos
urteile	acórdãos
dawn	dawn
wartung	manutenção
teresa	teresa
zutreffend	verdadeiro
entführung	sequestro
akzeptanz	aceitação
bravo	bravo
foreign	foreign
siegmund	siegmund
ausgelagert	terceirizados
schickt	mandem
lasst	deixem
kombinationen	combinações
maximum	máximo
ocean	ocean
underground	underground
nichte	sobrinha
genealogie	genealogia
profile	perfis
beleidigt	ofendido
ingenieure	engenheiros
trompeter	trompetista
finanzieren	financiar
torres	torres
genossenschaft	cooperativa
cox	cox
trail	trail
bauernhof	fazenda
cap	cap
indianapolis	indianapolis
vieh	gado
ähnlichkeiten	semelhanças
hohenlohe	hohenlohe
cotta	cotta
volkswagen	volkswagen
paket	pacote
neuwied	neuwied
beeindruckt	impressionado
miniserie	minissérie
far	far
bregenz	bregenz
ghost	ghost
bundesarchiv	bundesarchiv
kreuzzug	cruzada
unglücklich	infeliz
liberty	liberty
neueste	últimas
subjekt	sujeito
too	too
depression	depressão
elena	elena
untertanen	súbditos
wellington	wellington
arbeitslosigkeit	desemprego
ira	ira
gilles	gilles
therese	teresinha
spitzname	alcunha
salem	salem
gerüchte	boatos
#ffffff	#ffffff
schrott	sucata
lucia	lúcia
hess	hess
brühl	brühl
konstante	constante
suzuki	suzuki
photo	photo
bögen	arcos
enrique	enrique
geister	fantasmas
tank	tanque
krank	doente
diözesen	dioceses
möbel	mobiliário
eden	eden
lancaster	lancaster
sonja	sónia
verschont	poupem
aurich	aurich
olympic	olympic
republic	republic
extremen	extremos
fries	fries
weißenburg	caneças
gambia	gambia
mais	milho
bella	bella
sarajevo	sarajevo
dagmar	dagmar
liebhaber	amante
steinkohle	hulha
sprang	saltou
riesen	gigantes
intensität	intensidade
sprachlichen	linguística
plaza	plaza
tyler	tyler
markieren	marcar
lugano	lugano
xml	xml
erasmus	erasmus
gnade	misericórdia
streichen	riscar
einblick	introspecção
discussion	discussion
erstaunlich	surpreendente
urs	urs
lücken	lacunas
vicente	vicente
sendet	envia
tendenzen	tendências
tina	tina
stella	stella
eth	eth
leeds	leeds
büste	busto
kickers	kickers
woods	woods
core	core
formulierte	formulou
herne	herne
sts	sts
torpedo	torpedo
beschlagnahmt	apreendidos
posthum	postumamente
senatoren	senadores
entschlossen	determinado
jahrtausend	milênio
angels	angels
radikale	radicais
welcome	welcome
alfredo	alfredo
rey	rey
bailey	bailey
deck	convés
postum	póstuma
tan	tan
rich	rich
montpellier	montpellier
chelsea	chelsea
mali	mali
cola	cola
navarra	navarra
sportlich	atlético
krems	krems
moos	musgo
gruppierung	agrupamento
andrews	andrews
branch	branch
tourte	excursionou
praktiziert	pratica
internat	internato
tödliche	mortal
hübner	hübner
betraf	abrangeu
nva	nva
verden	verden
xbox	xbox
aborigines	aborígenes
matura	matura
chemical	chemical
kategorisieren	categorizar
arzneimittel	medicamentos
demonstranten	manifestantes
cincinnati	cincinnati
papua	papua
idaho	idaho
neuanfang	recomeço
abweichende	divergente
cbs	cbs
heike	heike
inszeniert	encenado
bonus	bônus
anwenden	aplicar
jur	jur
verbieten	proibir
gestoppt	parado
armeen	exércitos
bagdad	bagdá
tango	tango
bevorzugen	preferir
monitor	monitor
korrekturen	correcções
zoologie	zoologia
sheffield	sheffield
begrenzung	limitação
calais	calais
rivers	rivers
eisenberg	eisenberg
gerard	gerard
alfa	alfa
unterteilung	subdivisão
stärkung	reforço
lund	lund
visuelle	visual
canterbury	canterbury
beer	beer
moers	moers
spin	spin
thessaloniki	salónica
spielerinnen	jogadoras
wiktionary	wikcionário
fertigen	acabados
mahler	mahler
jacobi	jacobi
senegal	senegal
jemen	iémen
reichswehr	reichswehr
jacobs	jacobs
kanadier	canadenses
missbraucht	abusado
turbine	turbina
want	want
georgi	georgi
etymologie	etimologia
hexe	bruxa
afc	afc
drängen	empurrando
sfondo	sfondo
kabarett	cabaré
pieter	pieter
thorsten	thorsten
hood	hood
männlich	masculino
gürtel	cinto
archivar	arquivista
cecil	cecil
