that	kad
valley	slėnis
bank	bankas
energy	energija
energy	energetika
active	aktyviai
active	aktyvi
active	aktyvus
bridge	tilto
bridge	tiltas
families	šeimų
soon	greit
soon	greitai
sold	parduota
sold	parduodami
sold	parduotas
sold	parduodama
professor	profesorius
studio	studijoje
studio	studija
studio	studio
studio	studijos
campaign	kampanija
campaign	kampanijos
theatre	teatras
theatre	teatro
theatre	teatre
empire	imperija
length	ilguma
length	ilgis
singer	dainininkė
soviet	sovietų
soviet	tsrs
market	rinka
words	žodžiai
producer	gamintojas
hockey	ritulio
novel	romanas
referee	arbitražo
referee	teisėjas
sport	sportui
sport	sporto
sport	sportas
sound	garsas
status	būsena
status	statusą
status	būklė
status	būsenos
irish	airių
irish	airijos
irish	airiai
child	vaikas
child	vaikui
perhaps	galbūt
idea	idėja
idea	mintis
foreign	užsienio
municipality	savivaldybė
isn	isn
coverage	aprėpties
minor	nedideli
says	sako
whose	kieno
units	vienetai
movie	filmas
movie	filmai
runs	krypsta
runs	valdo
simply	tiesiog
student	studentų
student	studentė
student	studentas
governor	reguliatorius
governor	gubernatorius
test	bandymo
test	bandomoji
test	bandymas
bill	bilas
theory	teorijos
theory	teorija
regional	regionų
computer	kompiuteris
carolina	karolina
tournament	turnyras
tournament	turnyro
winning	laimėti
hospital	ligoninė
hospital	ligoninės
mountain	kalnų
mountain	kalnas
angeles	miesta
food	maistas
thing	daiktas
thing	dalykas
woman	moteris
greek	graikų
speed	greitis
speed	greičio
senior	vyr
senior	vyresnysis
politician	politikas
true	tiesa
true	tikra
cities	miestai
birth	gimimas
longer	ilgesnis
longer	ilgesnės
longer	ilgiau
rugby	regbio
famous	žymi
religious	religinių
god	dievas
bit	bitų
running	veikiančių
running	važiavimas
brought	atnešė
missing	trūksta
quite	gana
spain	ispanija
spain	ispanijos
joseph	joseph
lord	viešpatie
web	interneto
web	žiniatinklio
function	funkcija
louis	louis
assembly	susirinkimas
assembly	mazgas
assembly	surinkimo
queen	karaliene
queen	karalienė
queen	queen
operation	eksploatavimas
operation	veikimas
operation	operacija
call	vadina
successful	sėkmingai
legal	teisinių
jewish	žydų
bad	blogai
bad	bloga
bad	blogas
bad	blogi
attendance	dalyvavimą
attendance	dalyvavimas
nature	pobūdžio
nature	gamta
nature	prigimtis
allowed	leidžiama
allowed	absoliutus
captain	kapitonas
township	township
structures	konstrukcijos
structures	struktūras
saying	sakau
saying	sako
elections	rinkimai
box	dėžė
box	langelyje
box	dėžutė
lines	eilutės
lines	linijos
democratic	demokratinė
democratic	demokratinis
democratic	demokratinės
democratic	demokratinėje
success	sėkmė
success	sėkmės
singles	singles
traditional	tradicinės
traditional	tradiciniai
traditional	tradicinė
rest	poilsio
rest	poilsis
highway	greitkelis
wide	platus
admin	administratorius
therefore	todėl
jersey	džersio
michigan	mičigano
master	kapitonas
stop	sustabdyti
needed	reikėjo
illinois	ilinojaus
engineering	inžinerija
engineering	inžinieriai
engineering	inžinerijos
lee	li
lee	lee
lee	ly
recording	įrašas
recording	įrašymo
recording	registravimas
recording	įrašymas
themselves	patys
youth	jaunimo
youth	jaunimas
houses	namai
heart	širdy
heart	širdies
heart	širdis
room	kambarys
stone	akmens
drama	drama
drama	dramos
scores	balai
dead	miręs
shot	kadras
occupation	profesija
occupation	užsiėmimas
scottish	škotijos
executive	generalinis
plant	gamykla
plant	augaliniai
plant	augalas
plant	augalų
villages	kaimų
villages	kaimai
languages	kalbos
internet	interneto
internet	internetas
feel	jaustis
ancient	senovės
property	savybė
property	turtas
property	nuosavybė
finally	pagaliau
fiction	fantastika
nations	tautos
lived	gyveno
lived	gyvenau
seat	sėdynės
seat	sėdynė
bbc	bbc
dance	šokio
prize	prizo
prize	prizas
prize	prizą
prize	premija
georgia	gruzija
georgia	gruzijos
pacific	ramiojo
castle	pilis
castle	pilies
transport	transportas
ratio	santykis
fall	krenta
wing	korpusas
purpose	tikslas
purpose	paskirtis
winter	žiemos
winter	žiemą
winter	ziema
winter	žiema
congress	kongresas
peak	didžiausia
bass	žemi
super	super
complex	kompleksas
complex	sudėtingas
academic	akademinių
stars	žvaigždžių
asian	azijos
asked	paprašė
friends	draugus
friends	draugų
friends	draugės
friends	draugai
financial	finansiniai
financial	finansinis
asia	azija
actress	aktorė
boston	boston
forest	miškas
champion	čempionas
columbia	kolumbija
columbia	kolumbijos
temple	šventyklą
administration	administravimas
ended	pasibaigė
jones	jones
parish	parapija
israel	izraelis
israel	izraelio
actors	aktoriai
actors	veikėjai
sister	sesuo
sister	sese
sister	sesė
nine	devyni
friend	draugė
friend	draugo
friend	drauge
friend	draugas
winner	laimėtojas
chart	diagrama
architecture	architektūra
spent	praleido
spent	praleistas
spent	išleista
girl	mergaite
girl	mergaitė
girl	mergina
girl	merga
junior	junior
junior	jaunesnysis
francisco	francisco
francisco	franciskas
tom	tomas
tom	tom
flight	skrydžio
flight	skrydis
candidate	kandidatas
candidate	kandidatės
matches	atitinka
claimed	teigė
oil	naftos
oil	alyva
oil	aliejus
assistant	ass
assistant	asistentas
assistant	padėjėjas
regiment	pulkas
regiment	pulką
stories	aprašymai
stories	istorijų
represented	sudarė
branch	filialas
branch	šaka
victoria	viktorija
frank	frank
frank	frenkas
miles	km
blocked	užblokuotas
comedy	komedija
creek	upelio
goes	eina
faculty	fakulteto
camp	stovyklos
camp	stovykla
variety	veislė
owner	savininkas
heavy	sunkus
heavy	galinga
alexander	aleksandras
alexander	aleksandro
alexander	alexander
episodes	epizodai
educational	švietimo
dark	tamsus
dark	tamsi
dark	tamsiai
attention	dėmesį
attention	dėmesio
mind	protas
corps	korpusas
administrative	administracinis
administrative	administracinės
cut	taupymo
becoming	tampa
footballer	futbolininkas
pro	pro
beach	beach
nearly	beveik
write	rašyti
towns	miestus
towns	miestai
inside	viduje
solid	kietu
solid	tvirtas
authority	institucija
continue	tęsti
cost	savikaina
vice	vice
drive	vykdyti
forced	priverstinis
looks	atrodo
job	darbas
photo	nuotraukos
photo	foto
photo	nuotrauka
spring	pavasario
spring	pavasaris
oxford	oksfordo
opera	opera
critical	esminė
founder	įkūrėjas
husband	vyru
husband	vyro
husband	vyras
technical	techninių
necessary	būtinas
operated	valdomi
mountains	kalnai
mountains	kalnuose
importance	svarbą
musicians	muzikantai
girls	mergaitės
girls	mergaites
girls	merginos
crew	įgula
crew	įgulos
boy	berniukas
ontario	ontarijas
nation	tauta
defense	gynyba
defense	gynybos
champions	čempionai
golden	auksinis
faith	tikėjimą
racing	lenktynių
auto	auto
auto	automatinė
unless	nebent
lives	gyvena
hot	karšti
hot	karšto
hot	karšta
hot	karštas
entertainment	pramogos
entertainment	pramoga
entertainment	pramogų
net	grynasis
net	grynoji
net	grynosios
net	grynieji
soccer	futbolas
soccer	futbolo
creation	kūryba
creation	laikinojo
tower	bokštas
tower	bokšte
votes	balsai
votes	balsų
squadron	squadron
contemporary	šiuolaikinio
marriage	santuokos
marriage	santuoka
naval	laivyno
memorial	atminimo
peace	taikos
peace	taikai
peace	fredas
peace	taika
iran	iranas
korea	korėja
analysis	analizė
winners	laimėtojus
winners	laimėtojai
winners	nugalėtojai
poor	vargšas
poor	vargšai
cricket	kriketo
judge	teisėjas
exist	egzistuoti
piano	pianino
novels	romanus
hour	valanda
brothers	brolių
brothers	brothers
brothers	broliai
attacks	išpuoliai
attacks	išpuolių
encyclopedia	enciklopedija
republican	respublikonų
ability	gebėjimas
ability	gebėjimą
studied	tiriamas
wall	sienos
wall	siena
urban	urban
urban	miesto
marine	jūrų
marine	jūrinė
troops	kariai
coming	ateina
coming	ateinu
coming	ateis
emperor	imperatorius
couple	pora
fellow	kolegos
duke	kunigaikštis
gallery	galerija
gallery	galerijoje
tree	medžio
hits	variantų
jazz	džiazo
protection	apsauga
protection	apsaugos
count	skaičiuoti
classical	klasikinio
lady	ledi
lady	dama
lady	damos
influence	įtaka
address	adresas
linear	tiesinis
linear	linijinis
linear	tiesinė
machine	įranga
elements	elementai
nov	nov
sydney	sidney
blood	kraujas
boys	berniukai
toronto	toronto
edited	redaguota
infantry	pėstininkų
jun	birželis
oct	sp
conflict	konfliktas
workers	darbininkai
workers	darbuotojai
workers	darbininkų
philadelphia	filadelfijos
dispute	ginčas
dispute	ginčai
method	metodas
berlin	berlynas
arms	ginklų
arms	rankos
arms	ginklai
races	lenktynes
maybe	gal
maybe	galbūt
discovered	atrado
discovered	aptikta
iron	geležies
iron	geležis
churches	bažnyčios
churches	bažnyčių
ball	balius
ball	kamuolys
quickly	greitai
possibly	galimai
indiana	indiana
soldiers	kareiviai
soldiers	kariai
korean	korėjos
fish	žuvis
fish	žuvys
fish	žuvų
senate	senato
senate	senatas
gun	pistoletas
gun	ginklą
gun	ginklas
heritage	paveldo
heritage	paveldas
doctor	gydytojo
doctor	gydytojas
rivers	upės
rivers	upių
rivers	upes
liberal	liberalų
bob	bobas
bob	bob
publishing	leidyba
publishing	leidybos
answer	atsakymas
answer	atsakyti
sex	lytis
mixed	sumaišyti
rail	geležinkelis
rail	geležinkelių
rail	geležinkeliai
die	mirti
premier	premjerą
wisconsin	viskonsino
root	root
comics	comics
earned	pelnęs
horse	žirgas
horse	arklys
horse	arkliai
horse	arklio
actual	faktinės
contributions	įnašai
contributions	įmokos
wood	medienos
wood	mediena
origin	kilmė
origin	kilme
pretty	gan
pretty	gana
rank	perspektyvas
bus	autobusas
bus	autobuso
bus	autobusų
gas	dujos
guide	vadove
resources	ištekliai
resources	išteklių
animals	gyvūnai
animals	gyvuliai
animals	gyvūnų
laws	įstatymai
jim	džimas
composer	kompozitorius
agency	agentūra
supreme	aukščiausiasis
weight	svoris
ask	klausti
ask	paprašyti
fighting	kovoti
jackson	jackson
treatment	gydymas
andrew	endriu
daniel	daniel
info	info
sciences	mokslai
fame	fame
everything	viskuo
everything	visko
everything	viską
everything	viskas
travel	kelionėms
travel	kelionei
travel	kelione
travel	kelionės
travel	kelionė
housing	būstas
capacity	pajėgumas
capacity	pajėgumai
capacity	talpa
#efefef	#efefef
exchange	keitimosi
exchange	mainai
translation	vertimo
translation	vertimas
males	patinai
managed	pavyko
managed	valdoma
managed	valdomi
bring	įtraukti
piece	vnt
piece	gabalas
growth	augimas
growth	augimo
drums	būgnai
avoid	išvengti
tony	tony
tony	tonis
criteria	kriterijus
revolution	revoliucijos
revolution	revoliucija
fully	visiškai
fully	pilnai
wars	karai
aug	aug
distribution	platinimas
distribution	paskirstymo
distribution	paskirstymas
distribution	pasiskirstymas
medicine	vaistas
garden	sode
garden	sodas
turkey	turkiją
turkey	turkija
turkey	turkijos
females	patelių
females	patelės
impact	poveikio
morning	ryto
morning	rytas
morning	ryte
honor	garbės
honor	garbė
deep	gilus
deep	gili
deep	giliai
arthur	arturas
arthur	artūras
elizabeth	elizabet
worth	verta
colorado	kolorado
falls	krenta
zone	zona
learning	mokymosi
learning	mokymuisi
learning	mokytis
learning	mokymasis
engineer	inžinierius
farm	farm
acquired	įsigijo
poet	poetas
build	statybos
remain	likti
orchestra	orkestras
versions	versijos
versions	versijų
equipment	įrangos
equipment	įranga
ray	ray
yellow	geltona
pressure	slėgis
pressure	slėgio
prison	kalėjimas
store	laikyti
store	parduotuvė
taylor	taylor
independence	nepriklausomybės
independence	nepriklausomybė
independence	nepriklausomumas
independence	savarankiškumas
teacher	mokytoja
nuclear	branduolinės
nuclear	branduolinis
models	modelių
models	modeliai
easily	lengvai
description	apibūdinimas
agreed	sutarta
covers	apima
stack	krauti
rationale	pagrindimas
combined	kombinuotosios
bronze	bronza
hosted	surengė
programming	programavimo
programming	programavimas
sri	šri
railroad	geležinkelis
unique	unikali
unique	unikalus
ocean	vandenynas
cell	ląstelių
missouri	misūrio
concert	koncerto
concert	koncertas
biography	biografija
loan	paskolos
loan	paskola
shortly	netrukus
contact	paskiria
contact	kontaktas
tennessee	tenesio
safety	saugos
safety	sauga
stephen	stephen
painting	dažymas
price	kaina
price	kainos
flying	skrenda
flying	skraidyti
municipal	buitinių
serious	rimti
serious	rimta
serious	rimtas
serious	rimtų
cemetery	kapinės
fields	laukai
generation	karta
join	prisijungti
copies	kopijas
finals	finalo
fox	lapė
guy	vyrukas
guy	vaikinas
philippines	filipinai
serves	tarnauja
conservative	konservatorių
share	akcija
share	dalintis
philosophy	filosofijos
philosophy	filosofija
ways	būdais
arrived	atvyko
floor	grindys
floor	grindų
yard	kiemas
yard	kiemo
cancer	vėžys
cancer	vėžio
tax	mokestis
traffic	eismas
guest	svečias
jews	žydai
formation	formavimas
economy	ekonomika
storm	audros
storm	audra
tells	sako
mile	konfliktas
mile	mylios
protected	saugomų
bowl	dubenį
classic	klasikinis
damage	žala
damage	žalos
harry	haris
harry	hari
harry	harry
challenge	iššūkis
density	tankio
density	tankis
literary	literatūros
htm	htm
kentucky	kentukio
sales	pardavimai
sales	pardavimas
sales	parduotas
fleet	laivyno
fleet	laivynas
supporting	remti
recognized	pripažintos
francis	pranciškus
interested	domina
interested	susidomėję
heard	girdėjau
blank	tuščia
blank	tuščias
musician	muzikantas
seats	sėdynės
seats	vietų
tennis	teniso
logs	rąstus
ring	žiedas
universities	universitetų
universities	universitetai
communist	komunistų
communist	komunistai
agent	agentas
difference	skirtumas
animal	gyvūnai
animal	gyvuliai
animal	gyvūnas
animal	gyvūno
animal	gyvūnų
positions	pozicijas
exactly	tiksliai
exactly	būtent
palace	pilies
card	kortelės
card	kortelė
opposition	opozicijos
understanding	supratimas
wrestling	imtynių
critics	kritikai
growing	auga
latm	latm
participated	dalyvavo
materials	medžiagų
materials	medžiagos
turkish	turkijoje
turkish	turkija
turkish	turkų
turkish	turkijos
promotion	skatinimas
promotion	propagavimas
promotion	skatinimo
apparently	matyt
battalion	bataliono
mobile	mobilusis
mobile	saugojimo
mobile	mobilus
existence	buvimas
eye	akies
eye	akių
eye	akis
eye	eye
louisiana	luizianos
lewis	lewis
brigade	brigada
screen	ekranas
screen	ekrano
ban	ban
ban	uždrausti
ban	uždraudimas
steel	plienas
presence	buvimas
max	daugiausiai
wild	laukiniai
wild	laukinių
easy	lengva
easy	lengvai
happy	laiminga
happy	laimingas
happy	laimingi
acts	aktus
save	išsaugoti
theater	teatras
theater	teatro
theater	teatre
roles	vaidmenys
roles	vaidmenis
chance	galimybė
linecolor	linecolor
felt	veltinio
powers	jėgos
birds	paukščiai
defeat	nugalėti
cape	žaliojo
mine	mano
teaching	mokymo
teaching	mokymas
simon	saimonas
simon	simonas
depth	gylis
lyrics	tekstus
lyrics	tekstai
christmas	kalėdų
greece	graikija
federation	federacija
federation	federacijos
voivodeship	vaivadija
journalist	žurnalistai
journalist	žurnalistas
declared	deklaruotas
constitution	konstitucija
standing	nuolatinio
sons	sūnūs
plot	kreivės
firm	firma
proper	tinkamai
ends	baigiama
ends	baigiasi
receive	gavimo
educated	išsilavinę
americans	amerikiečiai
directors	direktoriai
stock	atsargų
hills	kalvų
visit	aplankyti
portion	porcija
residence	gyventi
walter	walter
interesting	įdomu
interesting	įdomus
moon	palydovas
minute	minutė
minute	minutę
bell	bell
wind	akių
wind	vėjas
architect	architektas
ideas	idėjų
ideas	idėjos
electronic	elektroninių
electronic	elektroniniai
crown	karūna
weapons	ginklas
weapons	ginklai
neutral	neutralus
armed	ginkluotas
armed	ginkluoti
rating	reitingų
rating	reitingas
rating	įvertinimas
rating	įvertis
squad	būrys
dynasty	dinastija
alliance	aljanso
methods	metodai
alabama	alabama
tropical	atogrąžų
dvd	dvd
heat	karštis
heat	šiluma
heat	šiluminė
heat	šilumos
fans	fanai
surrounding	aplinkinių
commons	commons
boat	valties
boat	valtis
boxes	dėžės
boxes	dėžių
boxes	dėžėse
boxes	dėžutės
ethnic	etninės
arena	arena
roads	keliai
core	branduolys
dog	suo
dog	šuo
kill	nužudyti
wikiproject	wikiproject
athletic	athletic
oldest	seniausias
sixth	šeštoji
sixth	šešta
sixth	šeštasis
sixth	šeštosios
weak	silpnas
nfl	nfl
supply	tiekimas
tradition	tradicijos
tradition	tradicijomis
tradition	tradicija
tradition	tradicijų
household	buitinių
spirit	dvasios
spirit	dvasia
task	uždavinys
task	užduotis
incident	incidentas
sunday	sekmadienis
sunday	sekmadienį
sunday	sekmadienio
climate	klimato
climate	klimatas
purchased	perkami
purchased	įsigytas
purchased	pirktas
purchased	nupirkti
purchased	įsigyta
singapore	singapūre
singapore	singapūro
singapore	singapūras
guns	ginklus
guns	ginklų
guns	ginklai
trees	medžiai
gone	dingo
pope	popiežius
officials	pareigūnai
officials	pareigūnams
glass	stiklas
glass	stiklinė
glass	stiklo
miller	mileris
posted	nustačiusi
defence	gynyba
defence	gynybos
respectively	atitinkamai
rich	turtingas
fast	greitas
fast	greita
fast	greiti
fast	greitai
fast	greit
properties	ypatybės
taught	mokoma
taught	išmokė
exhibition	parodos
exhibition	paroda
straight	tiesus
straight	tiesiai
internal	vidaus
orange	apelsinų
argentina	argentinoje
argentina	argentina
argentina	argentinos
brief	trumpalaikis
brief	trumpas
performances	pasirodymai
adult	suaugusieji
adult	suaugusiems
adult	suaugusiųjų
newly	naujai
identity	tapatybę
identity	tapatybė
identity	tapatybės
identity	tapatumas
singers	dainininkai
egypt	egipte
egypt	egipto
egypt	egiptas
scoring	balų
anthony	antanas
blues	bliuzo
hungarian	vengrijos
arab	arabų
trains	traukiniai
eyes	akimis
eyes	akys
eyes	akis
gmina	palenkės
commonwealth	sandraugos
finish	baigti
finish	užbaigti
accused	kaltina
divisions	skyriai
divisions	kvadratai
objects	objektų
diego	diego
fighter	kovotojas
coaches	trenerių
beat	nugalėti
ford	ford
swiss	šveicarijos
swiss	šveicarija
sorry	gaila
houston	hiustone
worldwide	pasaulyje
cathedral	katedra
cathedral	katedros
reality	tikrovė
reality	realybe
reality	realybės
reality	realybė
broadcasting	transliavimas
broadcasting	transliavimo
adam	adamas
vandalism	vandalizmo
youtube	youtube
buried	palaidotas
respect	pagarba
detroit	detroito
colleges	kolegijose
killing	žudo
killing	žudymas
maximum	didžiausias
fan	išplėtimo
hamilton	hamilton
returning	grįžimas
passes	praeina
pieces	gabaliukai
pieces	gabalai
competitions	varžybose
competitions	varžybų
aid	pagalbos
aid	pagalba
driver	vairuotojo
driver	mašinistas
driver	vairuotojas
folk	liaudis
dan	dan
khan	khan
baby	baby
baby	mažyte
baby	mažylis
baby	kūdikis
denmark	danija
denmark	danijoje
denmark	danijos
tokyo	tokijo
billboard	billboard
calling	ragina
anne	anne
formula	formulę
formula	formulės
formula	formulė
interior	interjero
weather	orai
weather	oras
powerful	galingas
powerful	galinga
powerful	galingi
muslim	musulmonų
sounds	skamba
sounds	garsus
sounds	garsai
eric	erikas
eric	eric
douglas	douglas
fund	fondas
fund	fondo
athletes	sportininkai
cat	katės
cat	katinas
cat	cat
cat	katė
chemical	cheminis
chemical	cheminė
items	elementų
lane	eile
holding	valda
counties	apskritys
ncaa	ncaa
speak	kalbėk
speak	kalbėti
ali	ali
false	klaidingai
caught	pagavo
aviation	aviacijos
aviation	aviacija
failure	gedimas
failure	nesėkmė
failure	nepakankamumas
knight	žirgas
knight	riteris
concern	susirūpinimą
juan	juan
mississippi	misisipės
calls	skambučius
criticism	kritika
criticism	kritikos
