que	dass
padrão	standard
dez	zehn
miguel	miguel
resultados	ergebnisse
responsável	verantwortlich
tinham	hatten
usuários	benutzer
defesa	verteidigung
episódios	episoden
bar	bar
ilhas	inseln
minutos	minuten
administração	verwaltung
pequeno	kleinen
pequeno	klein
campanha	kampagne
red	red
prefeito	bürgermeister
duque	herzog
bgcolor	bgcolor
povo	volk
material	material
imagens	bilder
segurança	sicherheit
especialmente	besonders
situação	situation
presença	anwesenheit
equipes	mannschaften
realizado	durchgeführt
artista	künstler
classificação	einstufung
cantor	sänger
pop	pop
global	global
eliminação	entsorgung
ataque	angriff
papa	papst
missão	mission
elementos	elemente
visto	visum
raio	radius
termos	begriffe
antónio	antónio
palavra	wort
concelho	landkreis
hora	uhrzeit
henrique	heinrich
compositor	komponist
significa	bedeutet
plano	plan
interesse	interesse
cabo	kabel
economia	wirtschaft
programas	programme
ferro	eisen
masculino	männlich
armas	waffen
deixar	lassen
álbuns	alben
comando	befehl
produtos	erzeugnisse
coisas	dinge
dado	gegeben
sistemas	systeme
perto	vorbei
marca	markiert
nacionalidade	staatsangehörigkeit
volume	lautstärke
italiano	italienisch
médio	nahen
estudo	studie
fronteira	grenze
vem	kommt
prova	beweis
super	super
ali	ali
relatório	bericht
predefinição	voreinstellung
caminho	pfad
caminho	weg
serra	sierra
rainha	königin
faculdade	college
características	merkmale
casamento	hochzeit
formato	format
relevância	relevanz
lima	akte
ocorreu	aufgetreten
polícia	polizei
unidade	einheit
nascimento	geburt
estreia	premiere
romano	romano
mês	monat
charles	charles
opinião	meinung
van	van
crianças	kinder
claro	klar
quarto	zimmer
quarto	schlafzimmer
espírito	geist
publicado	veröffentlicht
jean	jean
sexo	geschlecht
carvalho	eiche
espanhol	spanisch
oito	acht
azul	blau
ocidental	westlichen
species	species
ficar	bleiben
palavras	worte
fundada	gegründet
conhecimento	wissen
prata	silber
academia	akademie
digital	digitalen
digital	digital
city	city
paz	frieden
animais	tiere
eduardo	eduardo
amigo	freund
relações	beziehungen
alegre	fröhlich
nascido	geboren
monte	monte
praia	strand
necessário	erforderlich
importância	bedeutung
rússia	russland
natal	weihnachten
pereira	pereira
eleições	wahlen
provavelmente	wahrscheinlich
britânico	britisch
atenção	achtung
começa	beginnt
razão	grund
disputa	streit
amigos	freunde
influência	einfluss
distribuição	verteilung
velho	alt
municípios	gemeinden
senhor	herr
crítica	kritik
crítica	kritisch
roberto	roberto
aumento	anstieg
condições	bedingungen
nice	nizza
comunicação	mitteilung
cabeça	kopf
jardim	garten
web	web
ciências	wissenschaften
entrada	eintritt
tempos	zeiten
tom	tom
independente	selbständig
independente	unabhängige
comercial	kommerzielle
#aaa	#aaa
sol	sonne
mestre	meister
las	las
online	online
tipos	typen
abertura	öffnung
critérios	kriterien
bispo	bischof
all	all
prática	praxis
ministério	ministerium
ana	ana
capitão	kapitän
ambiente	umwelt
futuro	zukunft
unidades	einheiten
física	physik
aeroporto	flughafen
peter	peter
quantidade	menge
originalmente	ursprünglich
mandato	mandat
diagrama	diagramm
tamanho	größe
link	link
encontrar	finden
praça	platz
normalmente	normalerweise
bahia	bahia
estrela	stern
finalmente	endlich
richard	richard
justiça	gerechtigkeit
mostra	zeigt
atrás	hinten
americanos	amerikaner
produzido	produziert
indústria	industrie
thomas	thomas
existência	existenz
xix	xix
mapa	karte
massa	masse
recursos	ressourcen
tecnologia	technologie
austrália	australien
som	sound
talvez	vielleicht
man	man
nota	anmerkung
comércio	handel
autoridade	behörde
natureza	natur
formas	formen
respeito	respekt
linhas	linien
califórnia	kalifornien
prazo	frist
ponte	brücke
fundo	hintergrund
roteiro	drehbuch
altitude	höhe
bureau	bureau
cujo	deren
cujo	dessen
passado	vergangenheit
pais	eltern
saint	saint
literatura	literatur
treinador	trainer
salvador	salvador
vermelho	rot
nós	wir
org	org
vol	vol
brasileiros	brasilianer
escolas	schulen
estreou	debütierte
https	https
tropas	truppen
trabalhar	arbeiten
canadá	kanada
ciência	wissenschaft
revolução	revolution
engenharia	engineering
fogo	feuer
daniel	daniel
ferreira	ferreira
funções	funktionen
live	live
catarina	katharina
comentários	kommentare
distância	entfernung
tratado	vertrag
ninguém	niemand
comissão	kommission
poucos	wenige
corte	schnitt
irmãos	brüder
preto	schwarz
contrato	vertrag
prêmios	auszeichnungen
passar	verbringen
realmente	wirklich
transporte	transport
one	one
motivo	motiv
tradução	übersetzung
federação	föderation
administrador	administrator
permite	erlaubt
banco	bank
rosa	rosa
antonio	antonio
irmã	schwester
mudança	änderung
regional	regionale
crescimento	wachstum
metade	hälfte
religião	religion
trabalhou	arbeitete
paraná	paraná
veio	kam
cristo	christus
jornalista	journalist
análise	analyse
mensagem	nachricht
festa	party
cena	szene
capela	kapelle
médico	arzt
resposta	antwort
comandante	commander
categorias	kategorien
pedra	stein
planeta	planet
comprimento	länge
índia	indien
tiveram	hatten
leão	löwe
projetos	projekte
nordeste	nordosten
versões	versionen
independência	unabhängigkeit
tenho	habe
certo	richtig
avenida	avenue
augusto	augusto
formado	gebildet
russo	russisch
veja	siehe
liberdade	freiheit
conceito	konzept
torre	turm
localização	lage
alexandre	alexander
feira	messe
times	times
marinha	marine
princesa	prinzessin
açores	azoren
ribeiro	ribeiro
hospital	krankenhaus
don	don
nações	nationen
histórias	geschichten
mão	hand
filosofia	philosophie
pertence	gehört
efeito	effekt
www	www
viagem	reise
sousa	sousa
construído	gebaut
esquerda	links
leandro	leandro
martin	martin
peças	teile
castro	castro
coração	herz
ricardo	ricardo
tradicional	traditionell
sou	bin
ffffff	ffffff
american	american
colégio	kollegium
guarda	wache
motor	motor
línguas	sprachen
efeitos	effekte
efeitos	auswirkungen
reis	könige
visão	vision
cores	farben
guilherme	wilhelm
ajudar	helfen
humano	menschlich
conflito	konflikt
dinheiro	geld
imprensa	presse
dvd	dvd
tour	tour
porta	tür
marco	marco
oficialmente	offiziell
superfície	fläche
comentário	kommentar
medida	maßnahme
jack	jack
national	national
decidiu	entschied
constituição	verfassung
memória	speicher
biblioteca	bibliothek
medicina	medizin
precisa	braucht
peça	stück
semanas	wochen
propriedade	eigentum
fundador	gründer
regra	regel
tratamento	behandlung
google	google
rodrigues	rodrigues
aberto	geöffnet
falar	sprechen
carta	charta
proteção	schutz
sonora	sonora
carro	auto
max	max
japonês	japanisch
geração	generation
necessidade	notwendigkeit
fortaleza	festung
conheço	kenne
bronze	bronze
áustria	österreich
incluem	umfassen
descoberta	entdeckung
satélite	satelliten
svg	svg
participar	teilnehmen
mata	tötet
imperial	imperial
vou	werde
trilha	schiene
luis	luis
lago	see
dupla	doppelte
arena	arena
henry	henry
comédia	komödie
relevante	relevant
sala	wohnzimmer
extensão	erweiterung
smith	smith
números	zahlen
direita	rechts
isabel	elisabeth
anteriormente	zuvor
candidato	kandidat
morto	tot
evitar	vermeiden
rocha	felsen
objeto	objekt
king	king
madrid	madrid
alberto	alberto
difícil	schwierig
césar	cäsar
gomes	gomes
mudanças	veränderungen
afonso	afonso
fórmula	formel
experiência	erfahrung
composição	zusammensetzung
método	methode
capaz	fähig
obrigado	danke
semelhante	ähnliche
expressão	ausdruck
templo	tempel
tribunal	gericht
escrever	schreiben
conhecidos	bekannte
famoso	berühmt
lee	lee
soldados	soldaten
prefeitura	präfektur
estrelas	sterne
famílias	familien
políticos	politiker
disponível	verfügbar
desenvolvido	entwickelt
programação	programmierung
bandas	bands
letra	buchstabe
software	software
white	white
tradição	tradition
pequenos	kleinen
grego	griechisch
decreto	dekret
flores	blumen
autores	autoren
rios	flüsse
taxa	gebühr
clara	clara
doença	krankheit
valores	werte
quinta	fünfte
navio	schiff
nove	neun
alex	alex
águas	gewässern
princípio	grundsatz
princípio	prinzip
suficiente	ausreichend
suficiente	genug
washington	washington
comportamento	verhalten
perfil	profil
universo	universum
juan	juan
secretário	sekretär
piloto	pilot
mãos	hände
meia	halbe
horizonte	horizont
till	till
completo	komplett
tentar	versuchen
próxima	nächste
tropical	tropischen
anunciou	angekündigt
contexto	kontext
corrida	rennen
sangue	blut
lucas	lukas
pena	todesstrafe
park	park
matemática	mathematik
universal	universal
les	les
conquista	eroberung
almeida	almeida
apareceu	erschienen
apareceu	erschien
caixa	kasten
alunos	schüler
produto	produkt
gol	tor
atlético	sportlich
marido	ehemann
operações	operationen
cópias	kopien
temperatura	temperatur
bruno	bruno
plantas	pflanzen
publicação	veröffentlichung
joseph	joseph
transmissão	übermittlung
mínimo	minimum
mínimo	minimal
suécia	schweden
prémio	prämie
máximo	maximum
night	night
ataques	angriffe
poeta	dichter
instituição	institution
objetos	objekte
participantes	teilnehmer
individual	individuell
individual	individuelle
inverno	winter
walter	walter
desenho	zeichnung
portal	portal
can	can
técnicas	techniken
exposição	ausstellung
perda	verlust
declaro	erkläre
pintura	malerei
enciclopédia	enzyklopädie
carioca	carioca
congresso	kongress
bibliografia	bibliographie
drama	drama
apresentou	präsentierte
this	this
brasília	brasília
criança	kind
recentemente	kürzlich
modelos	modelle
modelos	vorlagen
séculos	jahrhunderte
apresentação	einreichung
linear	linear
mark	mark
marcelo	marcelo
prisão	gefängnis
igual	gleich
derrota	niederlage
concurso	ausschreibung
planta	pflanze
suíça	schweiz
realidade	realität
realidade	wirklichkeit
piano	klavier
colocado	platziert
clima	klima
entrevista	interview
jones	jones
renda	einkommen
normal	normal
administradores	administratoren
gravação	aufnahme
segue	folgt
ascensão	aufstieg
martins	martins
engenheiro	ingenieur
resto	rest
vandalismo	vandalismus
israel	israel
alves	alves
big	big
exemplos	beispiele
figura	abbildung
pressão	druck
escala	skala
cursos	kurse
chris	chris
grau	grad
erro	fehler
publicou	veröffentlichte
fifa	fifa
mudar	ändern
billboard	billboard
house	house
tabela	tabelle
complexo	komplex
textos	texte
arquitetura	architektur
chave	schlüssel
vinte	zwanzig
ponta	spitze
manutenção	wartung
louis	louis
frank	frank
joaquim	joaquim
fusão	fusion
out	out
saída	ausgang
mortos	tote
duração	dauer
samba	samba
parceria	partnerschaft
mário	mário
best	best
assumiu	übernahm
navios	schiffe
ásia	asien
animal	tier
diferença	unterschied
aqueles	jene
harry	harry
deixa	lass
filipe	philipp
profissionais	profis
encontro	treffen
permaneceu	blieb
coronel	oberst
estudou	studierte
galáxia	galaxie
dança	tanz
movimentos	bewegungen
olhos	augen
reforma	reform
voltar	zurück
solução	lösung
instrumento	instrument
contato	kontakt
escolha	wahl
críticas	kritik
diocese	diözese
disney	disney
setor	sektor
gabriel	gabriel
presentes	geschenke
trono	thron
ben	ben
santiago	santiago
braga	braga
crise	krise
levar	mitnehmen
royal	royal
encontrado	gefunden
wilson	wilson
latina	latina
hall	hall
record	record
biografia	biografie
apagar	löschen
química	chemische
química	chemie
casal	paar
núcleo	kern
grécia	griechenland
neto	enkel
fazenda	bauernhof
sérvia	serbien
serviu	diente
queria	wollte
resistência	widerstand
acidente	unfall
debate	debatte
indivíduos	einzelpersonen
conclusão	abschluss
instituições	institutionen
torres	torres
menores	minderjährige
recife	riff
leis	gesetze
décadas	jahrzehnte
recebe	erhält
barcelona	barcelona
células	zellen
apresentar	vorzulegen
oscar	oscar
crime	verbrechen
atua	wirkt
hot	hot
possibilidade	möglichkeit
grand	grand
infantaria	infanterie
retorno	rückkehr
scott	scott
seriam	würden
seriam	wären
estudantes	studenten
ramos	zweige
machado	axt
brown	brown
rodrigo	rodrigo
definição	definition
xvi	xvi
rótulo	etikett
pan	pan
solar	solar
expansão	expansion
ufc	ufc
serão	werden
chegada	ankunft
segundos	sekunden
estatuto	statut
chile	chile
medalhas	medaillen
sudeste	südosten
jackson	jackson
assuntos	angelegenheiten
berlim	berlin
agricultura	landwirtschaft
utilização	verwendung
souza	souza
provas	beweise
dinastia	dynastie
gelo	eis
coimbra	coimbra
design	design
fauna	fauna
materiais	materialien
franco	franco
alcançou	erreichte
xviii	xviii
texas	texas
cenas	szenen
atuação	darbietung
west	west
instrumentos	instrumente
vendas	verkäufe
martinez	martinez
tony	tony
fãs	fans
rafael	rafael
oceano	ozean
taxonomy	taxonomy
joe	joe
posse	besitz
destino	schicksal
wrestling	wrestling
coroa	krone
daí	daraus
introdução	einleitung
aldeia	dorf
coleção	sammlung
day	day
ceará	ceará
catedral	kathedrale
exterior	außen
infantil	kindisch
mídia	medien
flor	blume
lopes	lopes
christian	christian
troca	austausch
ficção	fiktion
mike	mike
risco	risiko
juntos	zusammen
situado	gelegen
jogar	spielen
reconhecimento	anerkennung
oposição	opposition
clássico	klassisch
fácil	einfach
passo	schritt
felipe	felipe
noroeste	nordwesten
noroeste	nordwest
vontade	wille
honra	ehre
romanos	römer
vicente	vicente
aires	aires
ler	lesen
meios	mittel
diego	diego
avaliação	bewertung
barão	baron
chicago	chicago
zero	null
tentou	versuchte
conhecer	kennenlernen
conhecer	kennen
níveis	ebenen
manteve	behielt
pernambuco	pernambuco
advogado	rechtsanwalt
advogado	anwalt
orquestra	orchester
america	america
rural	ländliche
pista	spur
faleceu	verstorben
anti	anti
carnaval	karneval
estações	stationen
veículos	fahrzeuge
are	are
ganhar	gewinnen
condição	bedingung
lhes	ihnen
chama	nennt
egito	ägypten
windows	windows
continental	continental
brian	brian
executivo	exekutive
argumento	argument
enviado	gesendet
editar	bearbeiten
capa	cover
atacante	angreifer
arquipélago	archipel
peru	peru
steve	steve
competições	wettbewerbe
cavaleiro	ritter
diário	täglich
diário	tagebuch
voo	flug
plataforma	plattform
ciclo	zyklus
séries	reihen
serve	dient
ncbi	ncbi
árabe	arabisch
aplicação	anwendung
senado	senat
golpe	schlag
parlamento	parlament
povos	völker
dito	gesagt
constante	konstante
notícias	nachrichten
jogou	spielte
igrejas	kirchen
turismo	tourismus
retornou	zurückgekehrt
cobertura	deckung
vive	lebt
enorme	riesig
pierre	pierre
geografia	geographie
mtv	mtv
europaea	europaea
trabalhadores	arbeitnehmer
pintor	maler
poesia	poesie
floresta	wald
eric	eric
lua	mond
arthur	arthur
disciplina	disziplin
recorde	rekord
young	young
árvore	baum
invasão	invasion
mary	mary
fox	fox
computador	computer
casado	verheiratet
preciso	brauche
pinto	pinto
fotos	fotos
relativamente	relativ
construir	bauen
bento	benedikt
península	halbinsel
aspectos	aspekte
juventude	jugend
propriedades	eigenschaften
café	kaffee
irlanda	irland
elemento	element
pro	pro
deputados	abgeordneten
deputados	abgeordnete
imediatamente	sofort
territórios	gebiete
acredita	glaubt
venda	verkauf
juiz	richter
asteróides	asteroiden
planos	pläne
presidência	vorsitz
infância	kindheit
williams	williams
arquivo	datei
arquivo	archiv
corrente	kette
curitiba	curitiba
edward	edward
melhorar	verbessern
determinado	entschlossen
residência	wohnsitz
fabiano	fabiano
imdb	imdb
aparentemente	anscheinend
posições	positionen
direcção	richtung
verdadeiro	zutreffend
victor	victor
boca	mund
teste	test
santana	santana
not	not
bola	ball
exibido	angezeigt
bob	bob
organizações	organisationen
arco	bogen
interpretação	auslegung
blue	blue
preso	verhaftet
distritos	distrikte
matriz	matrix
empresário	unternehmer
viu	gesehen
frase	satz
anual	jährlich
carolina	carolina
detalhes	details
oxford	oxford
graduação	graduierung
produzir	produzieren
eliminado	gelöscht
girl	girl
críticos	kritiker
princípios	grundsätze
vasco	vasco
passageiros	passagiere
guitarrista	gitarrist
bélgica	belgien
agência	agentur
back	back
pico	pico
latim	latein
leite	milch
what	what
sucessor	nachfolger
senador	senator
angola	angola
alterações	änderungen
dinamarca	dänemark
will	will
bill	bill
doze	zwölf
arma	waffe
servidor	server
viveu	lebte
south	south
custo	kosten
intenção	absicht
peixe	fisch
longe	weit
coreia	korea
fins	zwecke
exceto	außer
meias	socken
execução	ausführung
execução	durchführung
fluminense	fluminense
representante	vertreter
sudoeste	südwesten
palco	bühne
estruturas	strukturen
mostrar	anzeigen
músicos	musiker
derrotou	besiegte
paraíba	paraíba
ferramentas	werkzeuge
gonçalves	gonçalves
florestas	wälder
alvo	ziel
guerras	kriege
aliança	allianz
fernandes	fernandes
céu	himmel
mendes	mendes
cenário	szenario
right	right
milhares	tausende
descrição	beschreibung
especificamente	spezifisch
especificamente	speziell
documentos	dokumente
folhas	blätter
soares	soares
embaixada	botschaft
tomou	nahm
nuclear	nukleare
frederico	friedrich
nação	nation
agente	agent
domingo	sonntag
sexual	sexuell
sexual	sexuelle
ônibus	bus
rodovia	autobahn
rápido	schnell
selo	siegel
redes	netzwerke
constelação	sternbild
trás	hinten
poderiam	könnten
nelson	nelson
criador	schöpfer
argumentos	argumente
similar	gleichartigen
high	high
promoção	förderung
alpes	alpen
identidade	identität
artístico	künstlerischen
johnson	johnson
anexo	anhang
característica	merkmal
rica	rica
representação	vertretung
insetos	insekten
judeus	juden
atlântico	atlantik
testes	tests
variedade	vielzahl
state	state
propaganda	propaganda
cruzeiro	kreuzfahrt
taylor	taylor
possivelmente	möglicherweise
anunciado	verkündet
medidas	maßnahmen
gás	gas
vieira	vieira
leitura	lesung
recebido	empfangen
possuía	besaß
galeria	galerie
nobre	edle
decide	entscheidet
decide	beschließt
long	long
expedição	versand
esperança	hoffnung
circuito	schaltung
astronomia	astronomie
missões	missionen
alma	seele
opção	option
titular	inhaber
melo	melo
revolta	aufstand
significado	bedeutung
sam	sam
leonardo	leonardo
discussões	diskussionen
flávio	flavius
arquivos	dateien
máquina	maschine
mosteiro	kloster
profissão	beruf
atletas	athleten
órbita	orbit
limites	grenzen
cara	gesicht
critério	kriterium
exploração	betrieb
jornais	zeitungen
kim	kim
perder	verlieren
potencial	potenzial
legal	cool
canto	ecke
roger	roger
diâmetro	durchmesser
andrade	andrade
econômico	ökonomisch
rui	rui
capítulo	kapitel
métodos	methoden
goiás	goiás
marcado	markiert
dicionário	wörterbuch
originais	originale
php	php
jazz	jazz
little	little
batista	batista
png	png
mario	mario
urbano	städtischen
pele	haut
podia	konnte
reunião	sitzung
colômbia	kolumbien
joga	spielt
miranda	miranda
society	society
frequência	häufigkeit
quadrinhos	comics
mail	mail
revistas	zeitschriften
tenente	lieutenant
ramo	zweig
noruega	norwegen
indicação	anwendungsgebiet
vencer	siegen
power	power
paula	paula
montanha	berg
escócia	schottland
historiador	historiker
aparição	erscheinung
montanhas	berge
chico	chico
aumentar	erhöhen
colaboração	mitarbeit
adaptação	anpassung
transformada	verarbeitete
denominação	bezeichnung
major	major
conflitos	konflikte
ácido	säure
hugo	hugo
classes	klassen
carros	autos
acacia	acacia
sebastião	sebastian
gêneros	genres
extra	extra
mistura	mischung
posterior	späteren
herói	held
províncias	provinzen
frota	flotte
possuir	besitzen
inimigos	feinde
home	haupt
xvii	xvii
continente	kontinent
punk	punk
anthony	anthony
centros	zentren
lógica	logik
dona	besitzerin
anderson	anderson
personalidade	persönlichkeit
notável	bemerkenswert
aniversário	geburtstag
hungria	ungarn
começar	beginnen
edifícios	gebäude
doutor	doktor
pedir	bitten
matar	töten
moderno	modern
liderança	führung
lança	startet
troféu	pokal
convidado	eingeladen
convidado	gast
hill	hill
