fur	모피
itv	itv
ana	ana
ana	아나
ceiling	천장
rainbow	레인보우
rainbow	무지개
demon	악마
equations	방정식
answered	답변
ist	ist
perception	지각
perception	인식
jackie	재키
dynamics	동역학
dynamics	역학
dynamics	다이내믹스
fiji	피지
insufficient	부족함
algebra	대수
algebra	대수학
homer	호머
chaos	혼란
chaos	혼돈
chaos	카오스
layers	레이어
crater	충돌구
chad	차드
webster	웹스터
excess	초과
bombardment	포격
ashley	애슐리
dot	dot
gif	gif
translator	번역기
translator	번역자
translator	번역
cowboys	카우보이
soprano	소프라노
workshops	워크샵
workshops	워크숍
terrain	지형
belarus	벨라루스
liked	좋아한
console	콘솔
nascar	nascar
teenage	십대
graduates	졸업생
jungle	정글
placement	배치
fairy	페어리
tourists	관광객
quarterly	분기
romans	로마인
rpm	rpm
diploma	디플로마
diploma	수료
environments	환경
swan	백조
swan	스완
carpenter	목수
carpenter	카펜터
berry	베리베리
berry	베리
invention	발명
southampton	사우샘프턴
prairie	프레리
app	어플리케이션
explicit	명시
explicit	명시적
drag	끌기
drag	드래그
maxwell	맥스웰
planes	비행기
everyday	매일
everyday	일상
oriental	동양
manufacture	제조
coordinator	코디네이터
bombs	폭탄
mohammad	모하마드
bassist	베이시스트
superman	슈퍼맨
colombian	콜롬비아
felix	펠릭스
bengali	벵골어
bengali	벵골
greene	그린
voluntary	자발적
montenegro	몬테네그로
sketch	스케치
mann	mann
flooding	홍수
escort	호위
astronomy	천문학
variables	변수
skiing	스키
timothy	티모시
cello	첼로
sphere	스피어
rewrite	재작성
canvas	캔버스
chest	흉부
chest	가슴이
chest	가슴
krishna	크리슈나
provider	제공자
provider	공급자
frances	프랜시스
poles	폴란드인
cabin	객실
cabin	오두막
civilization	문명
lisbon	리스본
panels	패널
darwin	다윈
cheese	치즈
easter	부활절
papua	파푸아
insert	삽입
debates	토론
debates	논쟁
informal	비공식
cry	울음
loyal	충성
loyal	충실
surfaces	표면
humor	유머
madonna	성모
madonna	마돈나
cooperative	협동조합
winston	윈스턴
introducing	소개합니다
llc	llc
drake	드레이크
lunar	음력
fountain	분수
consulting	컨설팅
patricia	패트리샤
quit	종료
quit	끝내기
maple	메이플
maple	단풍나무
maple	단풍
aberdeen	애버딘
illustrations	삽화
mechanisms	메커니즘
reds	레즈
posters	포스터
leipzig	라이프치히
santo	산토
telecommunications	통신
strait	해협
nationals	내셔널스
sherman	셔먼
stefan	스테판
stefan	슈테판
alto	알토
thomson	톰슨
directing	연출
prehistoric	선사시대
communicate	소통
alphabet	알파벳
alphabet	문자
zagreb	자그레브
chef	주방장
chef	셰프
chef	요리사
tubes	튜브
carnegie	카네기
prizes	상금
eighteen	여덟
eighteen	열여덟
shirt	셔츠
weird	이상한
namespace	네임스페이스
loading	로딩
edges	모서리
edges	가장자리
plantation	플랜테이션
acre	에이커
acre	아크레
wonderful	멋진
missiles	미사일
guides	가이드
finger	핑거
finger	손가락
garage	차고
garage	주차장
shoes	신발
climbing	등산
climbing	등반
barrel	배럴
assembled	조립
valve	밸브
commenting	댓글
osaka	오사카
beck	벡스
analog	아날로그
monkey	원숭이
monkey	몽키
listening	듣기
listening	청취
integrity	무결성
definitions	정의
baldwin	보두앵
baldwin	볼드윈
marina	마리나
detection	탐지
detection	감지
detection	검출
differential	미분
venus	금성
venus	비너스
salmon	연어
monarchy	군주제
monarchy	군주
francesco	프란체스코
abortion	낙태
monica	모니카
elephant	코끼리
polar	극성
trademark	상표권
trademark	상표
corn	옥수수
trucks	트럭
absorbed	흡수
tension	긴장감
tension	텐션
tension	긴장
cleaning	청소
cleaning	클리닝
judgement	심판
judgement	판단
physicist	물리학자
catalina	카타리나
catalina	카탈리나
disasters	재난
disasters	재해
lesbian	레즈비언
withdrawal	철수
withdrawal	금단
walks	걷기
realm	왕국
trailer	예고편
trailer	트레일러
janet	재닛
janet	자넷
tornado	토네이도
aunt	숙모
aunt	고모
aunt	이모
aunt	이모가
distribute	배포
distribute	분배
genesis	제네시스
genesis	창세기
genesis	천지창조
shallow	얕은
floors	바닥
boyfriend	보이프렌드
boyfriend	남자친구
boyfriend	남친
catholicism	가톨릭교회
catholicism	가톨릭주의
luther	루터
pleasure	즐거움
pleasure	기쁨
pleasure	쾌락
webb	웨브
alberto	알베르토
magical	마법
sacrifice	희생
olive	올리브
corridor	코리더
compatible	호환
receptor	수용체
molecules	분자
kiev	키예프
vista	비스타
castro	카스트로
wei	웨이
miscellaneous	기타
lineup	라인업
ultra	울트라
clinic	클리닉
clinic	진료소
itunes	아이튠스
itunes	아이튠즈
patriots	애국자
pollution	오염
sally	샐리
rex	렉스
mvp	mvp
afghan	아프가니스탄
vatican	바티칸
folklore	민속
affiliation	소속
cruiser	크루저
silk	명주
silk	실크
silk	비단
agreements	협약
agreements	협정
trilogy	삼부작
armour	기갑
armour	갑옷
eng	eng
stamps	우표
stamps	스탬프
consumers	소비자
consumers	이용자
cage	새장
cage	cage
cage	케이지
vicinity	부근
ferguson	퍼거슨
tehran	테헤란
amanda	아만다
pos	pos
employer	직장
browns	브라운스
static	정적
tibetan	티베트어
tibetan	티베트
tibetan	티베트족
nixon	닉슨
recreational	레크리에이션
capability	능력
systematic	체계적
chocolate	초콜릿
chocolate	초콜렛
helsinki	헬싱키
bedford	베드퍼드
bedford	베드포드
cambodia	캄보디아
grandmother	할머니
grandmother	외할머니
fitness	피트니스
libya	리비아
angela	안젤라
angela	안젤로
creature	생명체
creature	생물
android	android
android	안드로이드
deposits	예금
mentor	멘토
apartments	아파트
csd	csd
uci	uci
puppet	꼭두각시
carey	캐리
sends	보냅니다
meyer	마이어
strongest	최강
freeway	고속도로
kirk	커크
batteries	건전지
batteries	전지
batteries	배터리
chains	사슬
chains	체인
ucla	ucla
recover	복구
recover	회복
combine	결합
cubs	컵스
deputies	대의원
hawk	호크
contestant	참가자
rational	합리적
exhibits	전시회
chennai	첸나이
myanmar	미얀마어
myanmar	미얀마
proud	자랑
custody	양육
custody	구류
surveillance	감시
threatening	협박
threatening	위협
discharge	방전
discharge	퇴원
discharge	분비물
penny	페니
astronomical	천문
bug	벌레
bug	버그
proceed	진행하기
proceed	진행
chapman	채프먼
mud	mud
mud	머드
mud	진흙
decree	법령
regulatory	규제
honey	여보
honey	허니
diagram	다이어그램
diagram	도표
infringement	침해
complexity	복잡도
riley	라일리
displacement	변위
sponsor	스폰서
sponsor	후원
ira	ira
careers	커리어
haiti	아이티
wisdom	지혜
pierce	피어스
stupid	멍청이
stupid	바보
stupid	멍청한
alma	alma
alma	알마
alexandra	알렉산드라
continuously	지속적으로
shuttle	셔틀
hampton	햄프턴
eva	에바
mickey	미키
yuan	위안
lynch	린치
trunk	트렁크
trunk	trunk
genuine	정품
adolf	아돌프
acquire	습득
acquire	확보
acquire	획득
corrected	교정
theatres	영화관
theatres	극장
gardner	가드너
mandate	위임통치령
locked	잠겨
locked	locked
mohammed	모하메드
mohammed	무함마드
dish	요리
dish	접시
terrible	끔찍한
rebecca	리베카
rebecca	레베카
toledo	톨레도
divide	나누기
recommendations	추천
gymnastics	체조
ideology	이데올로기
carriers	캐리어
constantinople	콘스탄티노
fatal	치명적
modeling	모델링
monsters	괴물
monsters	몬스터
monsters	몬스터즈
harassment	괴롭힘
censorship	검열
paramount	파라마운트
luxury	명품
luxury	럭셔리
ecology	생태주의
ecology	생태학
emirates	에미리트
emirates	에미레이트
neutrality	중립성
neutrality	중립
chronicles	연대기
deployment	배포
blast	폭발
jenkins	젱킨스
omaha	오마하
detected	감지
detected	발견됨
attribution	저작자
bundesliga	분데스리가
overcome	극복
monarchs	모나크스
hermann	헤르만
roma	로마
bangkok	방콕
bergen	베르겐
hawks	호크스
availability	가용성
lung	허파
andreas	안드레아스
bankruptcy	파산
flagship	플래그십
basement	지하
basement	지하도
spirits	스피리츠
torture	고문
torture	고문의
toyota	토요타
knockout	녹아웃
homeland	조국
maiden	처녀
dhaka	다카
dental	치과
christine	크리스틴
curious	궁금해
tucker	터커
viscount	자작
communists	공산주의자
pavilion	파빌리온
fantastic	판타스틱
fantastic	환상적
loans	대출
joey	조이
tagging	태그
moss	이끼
parody	패러디
yield	수익
sizes	사이즈
sizes	크기
neighbourhood	근방
stuttgart	슈투트가르트
backup	백업
forbidden	금지
sanskrit	산스크리트어
knife	나이프
humanities	인문학
premiership	프리미어십
yesterday	어제
percy	퍼시
expressway	자동차도
transform	변환
transform	변신
transform	변형
vegetation	식물
tickets	티켓
adopt	입양
plural	복수형
plural	복수
habitats	서식지
sicily	시칠리아
justified	정당화
speeds	속도
zip	우편번호
zip	zip
updates	업데이트
replied	답글
restriction	제한
siblings	형제
siblings	형제자매
siblings	남매
measurements	측정
courthouse	법원
tide	조수
dynamo	다이너모
charitable	자선
poker	포커
trevor	트레버
sidney	시드니
factual	사실적
holidays	휴일
holidays	연휴
holidays	공휴일
holidays	명절
wondering	궁금해
initiatives	이니셔티브
fletcher	fletcher
fletcher	플레처
airways	항공
floyd	플로이드
snail	달팽이
genocide	집단살해
saga	사가
scots	스코트어
scots	스코틀랜드
scots	스코틀랜드인
violating	위반
buying	구매
smoking	흡연
smoking	금연
enormous	어마어마한
leather	가죽
patch	패치
porto	포르토
porto	포르투
valencia	발렌시아
tracy	트레이시
downloaded	다운로드
breakfast	아침밥
breakfast	아침식사
breakfast	아침
breakfast	조식
mercy	자비
peaks	봉우리
ore	광석
tunisia	튀니지
angola	앙골라
decorations	장식
slide	슬라이드
invalid	오류
trapped	갇힌
trapped	갇혀있는
trapped	갇혀
telescope	망원경
satisfied	만족
coral	산호
helena	헬레나
binary	바이너리
merchants	상인
merchants	상인인
controlling	제어
wound	상처
wound	부상
dixon	딕슨
kuwait	쿠웨이트
suffer	고통받고
nsw	nsw
caves	동굴
riverside	리버사이드
shane	셰인
balanced	균형
fitzgerald	피츠제럴드
highlight	하이라이트
highlight	강조하기
highlight	강조
payments	송금
payments	결제
tendency	경향
joyce	조이스
davidson	데이비드슨
decorative	장식
rockets	로켓
cure	치료
slope	경사
boyd	보이드
organisms	미생물
paraguay	파라과이
preview	미리보기
dodgers	다저스
qatar	카타르
import	가져오기
import	불러오기
import	수입
buddy	버디
penguin	펭귄
cologne	쾰른
providers	공급자
norwich	노리치
anthem	anthem
investigator	탐정
lease	임대
toys	장난감
conrad	콘라트
conrad	콘라드
conrad	콘래드
buck	벅스
italia	이탈리아
portable	포터블
portable	휴대
portable	휴대용
tibet	티베트
composite	합성
composite	컴포지트
salary	급여
salary	월급
enhance	보정
enhance	향상
fragments	단편
objectives	목표
caesar	카이사르
caesar	시저
tragedy	비극
macedonian	마케도니아어
macedonian	마케도니아
macedonian	마케도니아인
cameroon	카메룬
carson	카슨
slot	슬롯
rams	램스
icelandic	아이슬란드어
icelandic	아이슬란드
granite	화강암
jenny	jenny
jenny	제니
deciding	결정
venezuelan	베네수엘라
slovenian	슬로베니아
slovenian	슬로베니아어
seasonal	계절
delegation	위임
portfolio	포트폴리오
machinery	기계
miners	광부
embedded	임베디드
testimony	증언
duchess	여공작
duchess	공작부인
reflection	반영
reflection	반사
freshman	신입생
booth	부스
rudolf	루돌프
león	레온
courage	용기
riots	폭동
pier	부두
formatting	포맷
formatting	서식
auction	경매
auction	옥션
cbc	cbc
specifications	사양
secrets	비밀
crest	크레스트
decreased	감소
ups	ups
repairs	수리
bypass	바이패스
bypass	우회로
bypass	우회
phantom	팬텀
hartford	하트포드
hartford	하트퍼드
alps	알프스
liner	라이너
investments	투자
auburn	오번
flame	불꽃
exeter	엑서터
kay	케이
rent	임대료
rent	월세
rent	임대
rent	렌트
crane	두루미
crane	크레인
simulation	시뮬레이션
schemes	스킴
latitude	위도
lance	랜스
networking	네트워크
networking	네트워킹
wanderers	원더러스
asset	자산
prospect	전망
merits	장점
prejudice	편견
highlighted	하이라이트
gymnasium	김나지움
gymnasium	체육관
gloria	글로리아
trent	트렌트
horizon	지평선
horizon	호라이즌
yemen	예멘
yemen	남예멘
riot	폭동
excluded	제외됨
elena	엘레나
anger	분노
hierarchy	계층
decoration	장식
nerve	신경
disability	장애
disability	장애인
boot	부트
boot	부츠
boot	부팅
scan	스캔
rca	rca
pioneers	개척자
pioneers	선구자
canberra	캔버라
newark	뉴어크
flowing	흐르는
fungi	곰팡이
sensors	센서
battlefield	배틀필드
cottage	오두막
cottage	코티지
honduras	온두라스
shepherd	양치기
shepherd	셰퍼드
reservation	예약
elderly	노인
pbs	pbs
mapping	맵핑
mapping	매핑
mongolia	몽골
nash	내시
sharks	상어
shirley	셜리
stopping	멈추기
ribbon	리본
infant	영아
mild	가벼운
vikings	바이킹
compliance	준수
bombay	봄베이
hawaiian	하와이
poly	폴리
handbook	안내서
handbook	도움말
rené	르네
rené	레네
screenshot	스크린샷
imported	가져오기
imported	수입
imported	가져온
imported	가져옴
transactions	거래
transactions	트랜잭션
jerome	제롬
shark	상어
diagnosis	진단
stoke	스토크스
stoke	스토크
bride	신부
criminals	범죄자
automotive	자동차
worry	걱정
vacuum	진공
heating	난방
lengths	길이
radius	반지름
inactive	비활성화
advances	진전
valued	가치
meta	메타
rehabilitation	재활
ambiguous	애매하다
leone	레온
sailor	세일러
racism	인종차별
tears	눈물이
tears	눈물
inspection	점검
inspection	검사
ancestors	조상
barn	헛간
controller	컨트롤러
singular	특이
burden	부담
fruits	과일
fruits	과일과
ruby	ruby
ruby	루비
lunch	도시락
lunch	점심
nationalism	내셔널리즘
nationalism	국민주의
nationalism	민족주의
photographers	사진사
photographers	사진관
photographers	사진작가
classroom	교실
clyde	클라이드
forums	포럼
cups	cups
challenger	챌린저
instant	즉석
instant	인스턴트
instant	즉시
falcon	팰컨
falcon	팰콘
planted	심어
nordic	노르딕
nordic	스칸디나비아
hammond	하몬드
hammond	해먼드
dances	댄스
skilled	숙련
saves	저장
hardcore	하드코어
precipitation	강수
bucharest	부쿠레슈티
ranger	레인저
lily	릴리
surveys	설문조사
peterson	피터슨
destinations	목적지
calm	차분한
calm	차분
calm	잔잔한
schmidt	슈미트
contacts	연락처
asylum	망명
asylum	어사일럼
visa	비자
matching	매칭
matching	일치하는
matching	일치
pregnancy	임신
commit	커밋
expectations	기대
carmen	카르멘
harvest	수확
kashmir	카슈미르
theft	도난
theft	절도
theft	도둑
flames	불꽃
wesley	웨슬리
pga	pga
beats	비트
arlington	알링턴
sterling	스털링
chances	기회
donna	도나
petty	페티
sonic	소닉
transparent	투명
transparent	투명한
dedication	헌신
clarence	클래런스
katherine	캐서린
nervous	긴장감
nervous	긴장
excluding	제외
everywhere	어디서나
everywhere	어디든
everywhere	어디든지
sunset	선셋
sunset	석양
sunset	일몰
anthropology	인류학
minds	마인드
reward	보상
antoine	앙투안
ally	앨리
primitive	원시
gateway	게이트웨이
slavic	슬라브어
chronic	만성적인
chronic	만성
donations	기부
donations	기부금
duet	듀엣
duet	duet
intel	인텔
winchester	윈체스터
buddha	부처
buddha	부처님
pig	돼지
whale	고래
beaches	바닷가
beaches	해변
attributes	속성
minerals	미네랄
justification	정당화
frozen	냉동
frozen	프로즌
fischer	피셔
gains	이득
gains	이득이
participant	참가자
peaceful	평화로운
peaceful	평화롭고
typhoon	태풍
typhoon	타이푼
hank	행크
shortened	단축
tram	트램
aerospace	항공우주
alignment	정렬
alignment	선형
arabian	아라비아어
arabian	아라비아
hastings	헤이스팅스
holly	홀리
traces	자취
traces	흔적
constellation	별자리
healing	힐링
frames	프레임
lorenzo	로렌조
specification	규격
specification	사양
risks	위험
risks	리스크
viking	바이킹
pottery	도자기
bloody	블러디
eden	이든
eden	에덴
nielsen	닐슨
nielsen	nielsen
nielsen	닐센
peruvian	페루
relevance	관련성
interference	간섭
candy	캔디
candy	사탕
trends	경향
trends	트렌드
individually	개별
individually	개별적으로
funk	펑크
basque	바스크어
basque	바스크
bangalore	벵갈루루
latvian	라트비아
latvian	라트비아인
latvian	라트비아어
pot	냄비
pot	화분
interact	교류
paths	경로
guarantee	보증
lacrosse	라크로스
immigrant	이민
immigrant	이민자
blessed	축복
blessed	축복받은
servers	서버
ecological	생태
ecological	생태주의
ecological	생태학
rabbit	토끼
sectors	섹터
corners	모서리
powder	가루
powder	파우더
mega	메가
vfl	vfl
conservatives	보수주의
conservatives	보수당
trivia	퀴즈
clips	클립
coventry	코번트리
wives	아내
detect	탐지
detect	감지
precision	정밀도
precision	정밀
conservatory	음악원
sunshine	햇살이
sunshine	햇살
sunshine	햇빛
sunshine	선샤인
diaspora	디아스포라
linguistics	언어학
savings	저축
underwater	수중
mccarthy	매카시
toxic	독성
toxic	유독성
georgetown	조지타운
screening	상영
screening	시사회
phenomena	현상
rolls	롤스
liver	간간
liver	간디
benedict	베네딕도
benedict	베네딕토
benedict	베네딕트
dawson	도슨
emi	emi
brett	브렛
alert	경보
alert	알림
alert	경고
seventeen	열일곱
seventeen	세븐틴
loyalty	충성
loyalty	멤버십
reunion	동창회
collision	충돌
lighter	라이터
filling	채우기
matthews	매튜스
willis	윌리스
vowel	모음
encouraging	격려
drainage	배수
lambert	람베르트
lambert	램버트
seth	seth
kai	카이
bermuda	버뮤다
wow	우와
wow	와우
valentine	밸런타인
valentine	발렌타인
plasma	플라스마
plasma	플라즈마
heated	열띤
bryant	브라이언트
carnival	사육제
carnival	카니발
notices	공지사항
notices	공지
bates	베이츠
ballad	발라드
dairy	낙농
insight	통찰력
insight	인사이트
wolves	늑대
wolves	늑대들
kolkata	콜카타
ricardo	히카르도
ricardo	리카르도
ricardo	히카르두
devils	사탄
devils	데블스
blame	비난
pearson	피어슨
hal	hal
teachings	가르침
convent	수녀원
dealer	딜러
frost	프로스트
frost	서리
bugs	벅스
bugs	버그
bugs	곤충
consistency	일관성
steady	꾸준히
fuller	풀러
shannon	섀넌
specially	특별히
implied	묵시적
reverend	reverend
mistaken	착각
pupil	눈동자
pupil	동공
limitations	제한
limitations	한계
lovers	연인
lovers	연인들
comply	준수
securities	증권
prohibition	금주법
acute	급성
container	용기
container	컨테이너
emissions	배기가스
emissions	배출권
emissions	배출량
emissions	배출
upgrade	업그레이드
notation	표기법
notation	표기
omar	오마르
taipei	타이페이
taipei	타이베이
torres	토레스
dining	식당
dining	식사
survivor	survivor
survivor	생존자
shaft	샤프트
nicole	니콜
turks	터키인
marker	마커
locals	지역주민
dishes	접시
seating	좌석
pour	부어
suspicious	의심
suspicious	의심스러운
expense	비용
prosecution	기소
noah	노아
hyde	하이드
eternal	영원
eternal	영원한
terrestrial	지상
ethical	윤리
ethical	윤리적
tender	부드러운
yearly	매년
masses	덩어리
masses	질량
barrett	배럿
explosive	폭발물
juvenile	청소년
softball	소프트볼
compression	압축
micro	마이크로
micro	마이크로소프트
sovereignty	주권
reef	암초
brady	브래디
walked	걷기
eleventh	열한번째
shadows	섀도
shadows	그림자
monasteries	수도원
rope	로프
rope	밧줄
rope	줄넘기
cache	캐시
wimbledon	윔블던
duplicate	복사
duplicate	중복
duplicate	복제
parkway	파크웨이
odds	확률
andre	앙드레
andre	안드레
mos	mos
mos	모스
transmitter	송신기
steal	훔쳐
pension	연금
scenario	시나리오
scenario	시나리오는
constantine	콘스탄틴
constantine	콘스탄티노스
constantine	콘스탄티누스
specimen	견본
dolphins	돌고래
metals	금속
oceania	오세아니아
processor	프로세서
somalia	소말리아
switching	전환
phillip	필립
gloucester	글로스터
pyramid	피라미드
eps	eps
val	val
wolfgang	볼프강
gill	아가미
cooling	냉각
cooling	냉방
dash	대시
rita	리타
nam	nam
timing	타이밍
timing	타이밍이
peters	피터스
memoirs	회상록
memoirs	회고록
pitchers	투수
beaver	비버
gustav	구스타프
motorsport	모터스포츠
facade	파사드
spike	스파이크
titans	타이탄
klein	클라인
hassan	hassan
translate	번역하기
translate	번역
flesh	육체
clayton	클레이턴
pistol	권총
pistol	피스톨
valleys	골짜기
benson	벤슨
profits	이익
profits	수익
travis	트레비스
travis	트래비스
distances	거리
enclosed	동봉
asteroid	소행성
accommodation	숙박시설
accommodation	숙박
catalan	카탈루냐
catalan	카탈루냐어
warwick	워릭
textile	직물
textile	섬유
brewery	맥주
brewery	양조
sanders	샌더스
clarification	해명
deadly	치명적이다
deadly	치명적
marching	행진
marx	마르크스
chassis	섀시
usd	usd
usd	미화
phones	전화
phones	전화기
marcel	마르셀
weber	웨버
detachment	분리
specify	지정하기
specify	지정합니다
specify	지정
statues	동상
statues	조각상
nigel	나이젤
sheikh	셰이크
cafe	카페
sandbox	샌드박스
breeds	품종
orphan	고아
monaco	모나코
meaningful	의미있는
invaded	침략
norm	규범
norm	노름
sen	센다
berkshire	버크셔
illustrator	삽화가
illustrator	일러스트레이터
celebrations	축하
beverly	베벌리
beverly	비벌리
williamson	윌리엄슨
pronunciation	발음
disco	디스코
talented	재능있는
talented	재능
exam	시험
advantages	장점
mood	분위기
mood	기분
wheeler	휠러
karachi	카라치
blackburn	블랙번
educators	교육자
beth	베스
swimmer	수영
tunnels	터널
wagon	마차
gerard	제라드
consul	영사
mohamed	모하메드
salon	미용실
salon	살롱
checks	체크
checks	수표
trigger	트리거
shoots	새싹
pipes	파이프
atoms	원자
ibrahim	이브라힘
ibrahim	아브라함
memoir	회고록
intro	소개
intro	intro
tobago	토바고
werner	베르너
gifts	선물
livestock	가축
companions	동반자
confirmation	확인
volcano	화산
jupiter	목성
jupiter	목성의
prophet	예언자
taxi	택시
dresden	드레스덴
refuse	거절
scripts	스크립트
iris	아이리스
iris	이리스
dad	아빠
elvis	elvis
elvis	엘비스
laboratories	연구소
laboratories	실험실
lorraine	로렌
lorraine	로레인
clip	클립
villain	악당
chemicals	화학품
chemicals	화학물질
chemicals	화학
multiplayer	멀티플레이어
astronomer	천문학자
immune	면역
bologna	볼로냐
flexible	융통성
samoa	사모아
tai	태극권
tai	타이
gamma	감마
reformation	종교개혁
convincing	설득력
homeless	노숙자
triumph	트라이엄프
prefix	접두어
prefix	접두사
carriage	마차
communism	공산주의
stark	스타크
greeks	그리스인
effectiveness	효율성
surgical	외과
souls	영혼
retire	은퇴
dissolution	해산
unemployment	실업
racist	인종차별
torn	찢어진
torn	torn
baghdad	바그다드
malay	말레이어
malay	말레이시아어
clarinet	클라리넷
sodium	나트륨
moldova	몰도바
crow	crow
crow	까마귀
interrupted	중단됨
columnist	칼럼니스트
quantities	수량
eclipse	일식
eclipse	이클립스
organs	장기
christie	크리스티
christina	크리스티나
countryside	시골
angelo	젤로
angelo	안젤로
rectangular	사각형
rectangular	직사각형
transfers	전송
yacht	요트
secondly	두번째로
algorithms	알고리즘
nassau	나사우
sánchez	산체스
falcons	팰컨
bart	bart
bart	바트
genius	천재
punch	펀치
specialty	전문
continuation	계속
abdullah	압둘라
loosely	느슨하게
comfort	위안
comfort	위안부
helicopters	헬리콥터
lotus	로터스
dwarf	난쟁이
dwarf	왜소은하
logged	기록함
antwerp	앤트워프
fold	접어
fold	fold
terrace	테라스
flanders	플랜더스
tri	트라이
socialism	사회주의
renault	르노
fleming	플레밍
judy	주디
judy	쥬디
infected	감염된
happiness	행복
happiness	happiness
warehouse	창고
warehouse	웨어하우스
miracle	기적
leisure	레저
leopold	레오폴드
leopold	레오폴트
synthetic	합성
waterloo	워털루
adviser	충고
accepts	수락
trim	다듬기
trim	트림
sitcom	시트콤
irregular	불규칙
atom	원자
atom	아톰
normandy	노르망디
financing	금융
admits	인정
passive	수동적
shiva	시바
tudor	튜더
breakdown	분석
alfonso	알폰소
badminton	배드민턴
fiber	섬유
fiba	fiba
mice	mice
mice	생쥐
carlisle	칼라일
tired	피곤한
wage	임금
fingers	손가락
loving	loving
worried	걱정
gambling	도박
basel	바젤
randolph	랜돌프
allison	앨리슨
capitals	캐피털
auditorium	오디토리움
vault	볼트
persuaded	설득
poison	독도
damages	손해배상
eleanor	엘리너
calvin	캘빈
calvin	칼뱅
calvin	켈빈
dover	도버
mafia	마피아
deny	거부
deny	부정
shapes	모양
essence	본질
emotions	감정
myers	마이어스
saturn	토성
paperback	페이퍼백
domains	도메인
hanover	하노버
mets	메츠
sketches	스케치
cellular	셀룰러
augusta	아우구스타
sinclair	싱클레어
sponsorship	스폰서
bmw	bmw
uncommon	드문
aria	aria
aria	아리아
realistic	현실적
barton	바톤
miranda	미란다
dodge	닷지
sunderland	선덜랜드
plug	플러그
plug	플러그인
