los	die
mando	kommando
decidió	entschied
james	james
ciencia	wissenschaft
records	records
aire	luft
sector	sektor
importancia	wichtigkeit
importancia	bedeutung
ataque	angriff
ataque	angreifen
ataque	attacke
flora	flora
comunicación	kommunikation
comunicación	mitteilung
jean	jean
puente	brücke
matrimonio	heirat
matrimonio	ehe
matrimonio	eheschließung
material	material
material	werkstoff
humanos	menschlich
mitad	hälfte
mitad	halb
realidad	realität
realidad	wirklichkeit
gente	leute
cámara	kamera
escudo	wappen
escudo	schilde
escudo	schild
escudo	schutzschild
pérez	pérez
aguas	gewässer
alguna	irgendwelche
acceso	zutritt
acceso	zugang
acceso	zugriff
clasificación	einstufung
clasificación	klassifizierung
clasificación	klassifikation
mano	hand
problema	problem
elegido	gewählt
independiente	selbständig
independiente	unabhängige
independiente	unabhängigen
independiente	unabhängig
independiente	unabhängiger
ningún	kein
futbolista	fußballer
comercial	kommerziell
comercial	kommerzielle
metal	metall
diario	täglich
diario	tageszeitung
diario	tägliche
diario	tagebuch
palabra	wort
falta	fehlt
falta	fehlende
falta	fehlen
reina	königin
corte	schnitt
corte	schneiden
domingo	sonntag
domingo	sonntags
libertad	freiheit
vía	gleis
xviii	xviii
unidades	laufwerke
unidades	einheiten
capitán	kapitän
capitán	captain
capitán	hauptmann
bgcolor	bgcolor
políticas	richtlinien
sevilla	sevilla
jugó	spielte
video	video
comisión	kommission
lima	feile
lima	lima
alberto	alberto
comienza	beginnt
comienza	beginne
velocidad	geschwindigkeit
velocidad	schnelligkeit
felipe	felipe
felipe	philipp
objetos	objekte
objetos	gegenstände
escribió	schrieb
ministerio	ministerium
creado	geschaffen
creado	erschaffen
creado	erstellt
xvi	xvi
oriental	östlichen
hermanos	geschwister
hermanos	brüder
edificios	gebäuden
edificios	gebäude
cosas	sachen
cosas	dinge
michael	michael
británico	briten
británico	britisch
británico	britischen
británico	britisches
áfrica	afrika
izquierda	linke
cambios	veränderungen
cambios	änderungen
quedó	blieb
canadá	kanada
alfonso	alfonso
lanzado	ausgestoßen
lanzado	gestartet
lanzado	geworfen
bandera	banner
bandera	flagge
bandera	fahne
videojuegos	videospiel
videojuegos	videospiele
rica	reiche
rica	reich
rica	rica
verde	grün
verde	grüner
verde	grünen
verde	grüne
templo	tempel
raza	rasse
avenida	allee
avenida	avenue
regional	regionale
biblioteca	bibliothek
publicó	veröffentlichte
rojo	rote
rojo	roten
rojo	rot
rojo	rotes
rojo	roter
títulos	titel
utiliza	verwende
dijo	sagte
reporte	meldung
blancos	weiße
blancos	weißen
diez	zehn
ángel	engel
ecuador	äquator
ecuador	ecuador
señor	herr
productos	produkte
productos	produkt
portugal	portugal
salvador	erlöser
salvador	retter
salvador	heiland
salvador	salvador
manos	händen
manos	hände
carretera	strasse
carretera	straße
escrito	schriftlich
escrito	geschrieben
industria	industrie
entrenador	trainer
palabras	worte
palabras	wörter
padres	väter
padres	eltern
sánchez	sánchez
sánchez	sanchez
líder	anführer
líder	führend
fondo	fonds
pudo	konnte
productor	produzent
productor	erzeuger
productor	produzenten
gira	dreh
técnica	technische
técnica	technik
príncipe	fürst
príncipe	prinzen
príncipe	prinz
áreas	bereiche
press	press
encontrar	finden
plan	plan
artista	interpret
artista	künstler
artista	künstlerin
formas	formen
rafael	rafael
jun	jun
catedral	dom
generalmente	normalerweise
ayuntamiento	rathaus
cuarto	vierter
cuarto	vierte
cuarto	viertens
saludos	grüsse
saludos	grüße
temporadas	jahreszeiten
temporadas	saisons
ambas	beide
ambas	beides
colección	sammlung
colección	ansammlung
colección	kollektion
cadena	zeichenkette
cadena	kette
cadena	string
cadena	zeichenfolge
music	music
reyes	könige
mayores	ältere
azul	blaue
azul	blau
motivo	grund
motivo	motiv
líneas	linien
líneas	zeilen
cuanto	wieviel
pasado	vergangenheit
pasado	vergangen
pasado	vergangene
páginas	seiten
george	george
españoles	spanier
españoles	spaniern
medida	maßnahme
medida	maß
influencia	einfluß
influencia	einfluss
lago	see
conoce	kennt
condiciones	voraussetzungen
condiciones	konditionen
condiciones	bedingungen
oficiales	offizielle
oficiales	offiziere
oficiales	amtliche
left	left
hospital	krankenhaus
ocho	acht
fuego	feuer
fuego	abdrücken
piedra	stein
sub	sub
federación	föderation
black	black
constitución	verfassung
constitución	konstitution
tratado	vertrag
razón	grund
razón	vernunft
mil	eintausend
mil	tausend
comercio	handel
pop	popmusik
pop	pop
distancia	abstand
distancia	entfernung
distancia	distanz
estudiantes	schüler
estudiantes	studenten
estudiantes	kursteilnehmer
estudiantes	studierende
internet	internet
episodios	episoden
propiedad	eigenschaft
propiedad	eigentum
marca	marke
tipos	typen
baloncesto	basketball
ene	ene
contenido	inhalt
contenido	inhalte
todavía	noch
inició	leitete
anteriores	frühere
anteriores	vorherige
sala	saal
estrella	stern
viaje	reise
rosa	pink
rosa	rose
rosa	rosa
dejó	ließ
dejó	hinterließ
jóvenes	jugendliche
realizado	durchgeführt
formato	formatieren
formato	formatierung
formato	format
tour	tour
prueba	test
prueba	versuche
prueba	testen
prueba	versuch
feb	feb
peso	gewicht
cómo	wie
washington	washington
mal	böse
mal	schlecht
mal	falsch
jersey	jersey
abr	apr
locales	lokale
locales	lokalen
marco	rahmen
sep	sep
daniel	daniel
musicales	musicals
eduardo	eduardo
oct	okt
duque	herzog
amigo	freund
empezó	begann
evitar	vermeiden
evitar	verhindern
emperador	imperator
emperador	kaiser
restos	trümmer
restos	überreste
restos	reste
ingresos	einkommen
ingresos	einnahmen
santos	santos
santos	heiligen
obispo	bischoff
obispo	bischof
menudo	oft
pocos	wenige
pocos	wenigen
toma	nimmt
toma	nimm
campos	felder
nov	nov
mexicano	mexikanische
mexicano	mexikanisch
mexicano	mexikanisches
mexicano	mexikaner
formar	bilden
formar	ausbilden
kilómetros	kilometer
kilómetros	kilometern
justicia	gerechtigkeit
justicia	justiz
ago	ago
ago	aug
bastante	ziemlich
love	love
señora	herrin
realiza	führt
dic	dez
dic	dic
ana	anna
naturales	natürliche
naturales	natürlichen
alejandro	alexander
publicación	beitrag
publicación	veröffentlichung
publicación	publikation
figura	figur
figura	abbildung
soldados	soldaten
aves	vögel
peter	peter
pie	fuß
pie	fuss
hora	zeit
hora	uhrzeit
hora	stunde
amigos	freunden
amigos	freunde
particular	privatperson
numerosos	zahlreiche
crítica	kritik
crítica	kritische
crítica	kritisch
maestro	meister
cuba	kuba
asia	asien
asia	asiatisch
asia	asiatische
motor	triebwerk
motor	motor
efecto	wirkung
efecto	effekt
completo	voll
completo	vollständigen
completo	komplett
completo	vollständige
completo	vollständig
trabajó	gearbeitet
trabajó	arbeitete
trabajó	funktionierte
crecimiento	wachstum
doctor	doktor
pequeños	kleine
pequeños	kleinen
autores	urheber
autores	autoren
junta	dichtung
europeo	europäisch
grado	grad
grado	besoldungsgruppe
buen	guter
facultad	fakultät
cataluña	katalonien
extremo	extrem
tradicional	traditionelles
tradicional	traditionellen
tradicional	traditionelle
tradicional	traditionell
derecha	rechts
niño	kind
niño	junge
plantilla	personalbestand
plantilla	schablone
plantilla	vorlage
votos	gelübde
votos	stimmen
banco	bank
contrato	vertrag
pintura	gemälde
pintura	malen
pintura	malerei
ruso	russisch
ruso	russischen
ruso	russische
cuenca	becken
batería	batterie
batería	akkumulator
batería	schlagzeug
batería	akku
pasa	passiert
andrés	andreas
máximo	maximal
máximo	maximale
máximo	maximus
máximo	maximum
deportes	sport
representa	vertritt
representa	repräsentiert
recursos	betriebsmittel
recursos	ressourcen
misión	mission
misión	auftrag
compositor	komponist
futuro	zukunft
ángeles	engeln
utilizado	verwendet
vicente	vincent
vicente	verena
tecnología	technologie
tecnología	technik
tecnología	technologien
trabajar	arbeiten
tiempos	zeiten
ramón	ramon
fiesta	fest
fiesta	party
smith	smith
jardín	garten
madera	holz
madera	bauholz
inferior	unterer
clubes	clubs
clubes	vereine
clubes	klubs
mexicana	mexikanische
mexicana	mexikanisch
solid	solid
alcanzar	erreichen
frontera	grenze
atención	aufmerksamkeit
atención	achtung
digital	numerisch
digital	digitaler
digital	digitale
torres	türme
torres	türmen
torres	torres
formó	formte
formó	bildete
doble	doppelte
doble	doppel
doble	verdoppeln
comandante	befehlshaber
comandante	kommandeur
comandante	kommandant
comandante	commander
corazón	gemüt
corazón	herz
secretario	sekretär
charles	charles
letras	buchstaben
lenguas	sprachen
vivo	lebe
vivo	lebendig
vivo	lebend
xvii	xvii
encuentro	begegnung
obtener	erlangen
originalmente	ursprünglich
naturaleza	natur
claro	klar
existencia	existenz
man	man
guatemala	guatemala
bajos	bässe
aragón	aragon
