les	die
fils	sohn
roi	könig
parti	partei
jour	tag
forme	form
époque	epoche
new	new
ancien	alten
origine	herkunft
ordre	reihenfolge
château	schloss
château	burg
école	schule
carrière	karriere
part	anteil
deuxième	zweites
deuxième	zweiter
bar	bar
charles	charles
points	punkte
paul	paul
rue	straße
chef	leiter
père	vater
exemple	beispiel
durant	durant
rapport	bericht
canton	kanton
type	typ
habitants	einwohner
point	punkt
compte	konto
période	zeitraum
armée	armee
marie	marie
marie	maria
chez	bei
discuter	diskutieren
car	denn
projet	projekt
chaque	jedes
chaque	jede
anglais	englisch
province	provinz
john	john
international	international
conseil	beratung
françois	françois
maison	haus
cela	dies
fonction	funktion
toujours	immer
doit	muss
production	produktion
certains	einige
membre	mitglied
rôle	rolle
droit	recht
mois	monat
île	insel
jacques	jacques
score	score
ensuite	dann
langue	sprache
dit	sagt
gouvernement	regierung
center	center
petit	klein
argent	silber
style	stil
face	face
quand	wann
top	top
ministre	minister
ensemble	zusammen
théâtre	theater
épisode	folge
épisode	episode
scène	szene
situé	gelegen
asp	asp
musée	museum
troisième	dritter
auteur	autor
nous	wir
système	system
création	schaffung
création	kreation
stade	stadion
reste	bleibt
reste	bleib
seconde	sekunde
roman	roman
jours	tage
édition	bearbeiten
éditions	editionen
sera	wird
permet	ermöglicht
âge	alter
robert	robert
officiel	offizielle
environ	ungefähr
effet	effekt
version	version
membres	mitglieder
niveau	ebene
champion	champion
espèce	tierart
michel	michel
raison	grund
raison	vernunft
modèle	modell
travail	arbeit
femme	frau
cinq	fünf
déjà	schon
déjà	bereits
bas	niedrig
texte	text
terre	erde
allemagne	deutschland
from	from
compétition	wettkampf
wikipédia	wikipedia
allemand	deutsch
britannique	britisch
porte	tür
hommes	männer
italie	italien
bataille	schlacht
corps	körper
demi	halbe
siège	sitz
personnes	personen
nommé	benannt
route	straße
finale	finale
jeune	jung
match	match
peuvent	können
york	york
long	long
latitude	breitengrad
base	base
base	basis
études	studien
communauté	gemeinschaft
militaire	militär
section	abschnitt
bronze	bronze
livre	buch
haut	hoch
suisse	schweiz
canada	kanada
valign	valign
suivant	nächster
beaucoup	viel
dire	sagen
seul	allein
fille	mädchen
enfants	kinder
direction	richtung
position	position
ailleurs	woanders
ailleurs	anderswo
merci	danke
tête	kopf
territoire	territorium
union	union
prend	nimmt
maire	bürgermeister
présente	präsentiert
personnalité	persönlichkeit
ligue	liga
public	publikum
pages	seiten
agit	wirkt
externe	extern
externe	externe
simple	einfach
dernière	letzte
henri	henri
chanson	lied
poste	posten
culture	kultur
développement	entwicklung
sortie	ausgang
empire	empire
québec	québec
david	david
loi	gesetz
équipes	teams
mer	meer
vue	ansicht
espagne	spanien
mère	mutter
fichier	datei
acteur	schauspieler
parcours	strecke
recherche	suche
classement	einstufung
code	code
entraîneur	trainer
web	web
arrondissement	arrondissement
directeur	direktor
joseph	joseph
semble	scheint
ici	hier
réalisé	realisiert
réalisé	realisierte
existe	existiert
six	sechs
créé	erstellt
écrit	geschrieben
petite	kleine
bois	holz
retour	zurück
numéro	nummer
sainte	heiligen
comté	grafschaft
terme	begriff
connu	bekannt
formation	ausbildung
technique	technik
révolution	revolution
objet	gegenstand
mon	meine
mon	mein
philippe	philippe
question	frage
cinéma	kino
van	van
médaille	medaille
serait	wäre
œuvres	werke
écrivain	schriftsteller
italien	italienisch
championnats	meisterschaften
films	filme
parfois	manchmal
sources	quellen
parc	park
moyenne	durchschnitt
mouvement	bewegung
succès	erfolg
rivière	fluss
rivière	rivière
jamais	niemals
vidéo	video
martin	martin
député	abgeordneter
claude	claude
superficie	fläche
till	till
san	san
notre	unser
notre	unsere
bon	gut
peintre	maler
voix	stimme
rouge	rot
district	distrikt
seulement	nur
pont	brücke
libre	frei
air	air
milieu	mitte
festival	festival
belgique	belgien
georges	georges
blanc	weiß
travaux	arbeiten
donne	gibt
produit	produkt
diffusion	verbreitung
aide	hilfe
action	aktion
andré	andré
réseau	netzwerk
utilisé	verwendet
victoire	sieg
femmes	frauen
minutes	minuten
aurait	hätte
autour	herum
left	left
durée	laufzeit
durée	dauer
espèces	arten
angleterre	england
afrique	afrika
monuments	denkmäler
sens	sinn
personne	person
mis	mis
frère	bruder
rencontre	begegnung
trop	zu
japon	japan
publié	veröffentlicht
domaine	bereich
particulier	privatperson
quartier	viertel
quartier	stadtviertel
color	color
honneur	ehre
seule	allein
cause	ursache
rien	nichts
nouvelles	news
nouvelles	nachrichten
iii	iii
comte	graf
fort	fort
hockey	hockey
moi	ich
rome	rom
possible	möglich
dix	zehn
taille	größe
sport	sport
croix	kreuz
élections	wahlen
enfin	endlich
millions	millionen
noir	schwarz
joue	spielt
londres	london
agglomération	ballungsraum
chapelle	kapelle
russe	russisch
prince	prinz
malgré	trotz
activités	aktivitäten
réalisateur	regisseur
radio	radio
classe	klasse
lieux	standorte
espace	raum
villes	städte
fer	eisen
activité	aktivität
commence	beginnt
organisation	organisation
sélection	auswahl
assez	genug
participe	beteiligt
institut	institut
james	james
internationale	internationale
cadre	rahmen
sept	sieben
lac	see
télévision	fernsehen
duc	herzog
personnage	charakter
précédent	vorhergehenden
précédent	vorherige
évêque	bischof
cour	hof
richard	richard
adresse	anschrift
adresse	adresse
php	php
william	william
thomas	thomas
ball	ball
résultats	ergebnisse
problème	problem
bonne	gute
nature	natur
michael	michael
vol	flug
port	hafen
right	right
donné	gegeben
discussion	diskussion
dame	dame
épouse	ehefrau
axe	achse
mesure	messung
prendre	nehmen
important	wichtig
données	daten
george	george
pologne	polen
couleur	farbe
collection	sammlung
actrice	schauspielerin
élu	gewählt
régiment	regiment
dessus	oberseite
loire	loire
bande	band
capitale	hauptstadt
côte	küste
étape	schritt
plutôt	eher
combat	kampf
footballeur	fußballer
forces	kräfte
royal	royal
aucune	keine
russie	russland
nicolas	nicolas
possède	besitzt
presse	presse
académie	akademie
construit	erbaut
tournoi	turnier
épisodes	episoden
passage	durchgang
entrée	eingang
revue	zeitschrift
jeunes	jugendliche
ceinture	gürtel
tableau	tabelle
heures	stunden
maître	meister
services	dienstleistungen
appelé	aufgerufen
olympique	olympischen
subdivision	unterteilung
bernard	bernard
qualité	qualität
langues	sprachen
propre	sauber
chine	china
lettres	buchstaben
patrimoine	erbe
com	com
tours	tours
tours	touren
obtient	bekommt
obtient	erhält
compositeur	komponist
joueurs	spieler
lyon	lyon
mal	schlecht
rock	rock
abbaye	abtei
nuit	nacht
principalement	überwiegend
bretagne	bretagne
avaient	hatten
clubs	vereine
met	met
vitesse	geschwindigkeit
scénario	drehbuch
réalisation	realisierung
statut	status
groupes	gruppen
avis	meinungen
salle	saal
carte	landkarte
valeur	wert
utilisation	verwendung
utilisation	gebrauch
palais	palast
émission	emission
situation	lage
droits	rechte
court	kurz
vallée	tal
comité	ausschuss
anciens	ältere
anciens	alten
rugby	rugby
cité	zitiert
basse	bass
pro	pro
total	insgesamt
nationalité	nationalität
nationalité	staatsangehörigkeit
savoir	wissen
glace	eis
proche	nah
mot	wort
main	hand
huit	acht
voïvodie	woiwodschaft
assemblée	versammlung
populaire	beliebt
del	del
publication	veröffentlichung
dieu	gott
uni	uni
japonais	japanisch
australie	australien
catholique	katholisch
mission	mission
https	https
accord	vereinbarung
campagne	kampagne
traduction	übersetzung
anne	anne
départ	abreise
montréal	montreal
programme	programm
bgcolor	bgcolor
choix	wahl
enfant	kind
mieux	besser
maurice	maurice
défense	verteidigung
vice	vize
contrôle	kontrolle
noms	namen
produits	produkte
internet	internet
label	label
hiver	winter
fondation	stiftung
troupes	truppen
antoine	antoine
daniel	daniel
cœur	herz
îles	inseln
marine	marine
bâtiment	gebäude
peter	peter
juste	gerade
fondé	gegründet
amour	liebe
mont	mount
statistiques	statistiken
statistiques	statistik
science	wissenschaft
personnages	charaktere
bonjour	hallo
marc	marc
économique	wirtschaftlichen
unité	einheit
particulièrement	besonders
lignes	linien
lignes	zeilen
traité	vertrag
montre	uhr
idée	idee
éditeur	herausgeber
littérature	literatur
attaque	angriff
records	records
sol	boden
chaîne	zeichenkette
fondée	gegründet
pourrait	könnte
reçoit	empfängt
reçoit	erhält
format	format
mode	modus
original	original
espagnol	spanisch
producteur	produzent
artiste	künstler
créer	erstellen
composition	zusammensetzung
décide	entscheidet
décide	entscheide
garde	wache
votre	ihre
votre	ihr
sécurité	sicherheit
fédération	föderation
quatrième	vierter
junior	junior
police	polizei
comédie	komödie
albert	albert
bruxelles	brüssel
empereur	kaiser
xxe	xxe
infanterie	infanterie
ministère	ministerium
rejoint	beigetreten
chevalier	ritter
armes	waffen
livres	bücher
personnalités	persönlichkeiten
unique	einzigartig
capitaine	kapitän
large	breit
guillaume	guillaume
commission	kommission
demandé	fragte
divers	verschiedenes
décision	entscheidung
classique	klassisch
présent	gegenwart
fit	fit
passé	vergangenheit
mandat	mandat
berlin	berlin
isbn	isbn
taux	steuersätze
surface	oberfläche
architecture	architektur
transport	transport
rené	rené
oui	ja
pièce	stück
pièce	münze
pratique	praxis
conseiller	berater
portail	portal
terrain	grundstück
comprend	umfasst
comprend	beinhaltet
secrétaire	sekretärin
secrétaire	sekretär
world	world
donner	geben
chose	sache
fonctions	funktionen
accès	zugang
marché	markt
charge	last
alpes	alpen
sites	standorte
utiliser	verwenden
économie	wirtschaft
longueur	länge
légende	legende
pense	denke
vingt	zwanzig
arrivée	ankunft
protection	schutz
scénariste	drehbuchautor
bibliothèque	bibliothek
commerce	handel
influence	einfluss
énergie	energie
devenu	geworden
fiction	fiktion
intérêt	interesse
structure	struktur
laurent	laurent
kilomètres	kilometer
jeunesse	jugend
régions	regionen
majorité	mehrheit
passer	verbringen
exposition	ausstellung
poids	gewicht
santé	gesundheit
feu	feuer
atteint	erreicht
profession	beruf
trouver	finden
voyage	reisen
logo	logo
gestion	verwaltung
localité	ortschaft
arrière	hinten
régime	diät
black	black
henry	henry
autriche	österreich
résultat	ergebnis
couleurs	farben
comment	wie
nations	nationen
central	zentrale
apparaît	erscheint
orchestre	orchester
concours	wettbewerbe
concours	wettbewerb
moderne	modern
phase	phase
problèmes	probleme
journaliste	journalist
record	rekord
célèbre	berühmt
doivent	müssen
mariage	hochzeit
devenir	werden
svg	svg
powiat	powiat
architecte	architekt
message	nachricht
nos	unsere
roger	roger
presque	fast
esprit	geist
moteur	motor
ouverture	eröffnung
alain	alain
séries	reihen
vienne	wien
galerie	galerie
découvert	entdeckt
parlement	parlament
zip	zip
étudiant	kursteilnehmer
techniques	techniken
théorie	theorie
mémoire	speicher
ami	freund
super	super
images	bilder
éducation	bildung
magazine	magazin
don	don
pourquoi	warum
aller	gehen
officier	offizier
hauteur	höhe
camp	camp
secteur	sektor
secteur	bereich
probablement	vermutlich
probablement	wahrscheinlich
saisons	jahreszeiten
temple	tempel
temple	temple
forêt	wald
maintenant	jetzt
forte	forte
conflit	konflikt
commandant	kommandant
meurt	stirbt
ben	ben
docteur	doktor
christian	christian
gouverneur	gouverneur
collège	kollegium
bassin	becken
bureau	schreibtisch
contrat	vertrag
romain	römischen
professionnel	professionelle
marseille	marseille
arbitre	schiedsrichter
justice	gerechtigkeit
justice	justiz
directement	direkt
appel	anruf
semaine	woche
pied	fuß
you	you
chanteur	sänger
neuf	neun
photographie	fotografie
principe	grundsatz
principe	prinzip
latin	latein
victor	victor
connue	bekannt
bord	bord
distribution	vertrieb
environnement	umwelt
canadien	kanadier
entreprises	unternehmen
lumière	licht
frères	brüder
train	zug
lieutenant	leutnant
textes	texte
royale	königliche
moitié	hälfte
josé	josé
studio	studio
réponse	antwort
reine	königin
patrick	patrick
physique	physik
auteurs	autoren
chansons	lieder
compris	verstanden
compris	inklusive
étienne	étienne
représente	repräsentiert
via	via
californie	kalifornien
militaires	militär
pape	papst
quoi	was
questions	fragen
parle	spricht
lire	lesen
industrie	industrie
lettre	brief
denis	denis
brésil	brasilien
man	man
opération	operation
piste	spur
paix	frieden
vieux	alt
propriétaire	eigentümer
faible	schwach
pyrénées	pyrenäen
algérie	algerien
chargé	geladen
cathédrale	kathedrale
participation	teilnahme
participation	beteiligung
puissance	macht
puissance	leistung
zones	zonen
simon	simon
endémique	endemisch
formule	formel
néanmoins	dennoch
néanmoins	nichtsdestoweniger
quitte	verlässt
opéra	oper
joué	gespielt
piano	klavier
montagne	berg
découverte	entdeckung
red	red
front	front
front	stirn
poète	dichter
marcel	marcel
champ	feld
val	val
religieux	religiös
archives	archiv
vote	abstimmung
projets	projekte
formes	formen
proximité	nähe
seront	werden
obtenir	erhalten
angeles	angeles
belle	schöne
motif	motiv
chant	gesang
colonel	oberst
congrès	kongress
chinois	chinesisch
frédéric	frédéric
soleil	sonne
allemands	deutsche
moscou	moskau
sportif	sportlich
amis	freunde
toulouse	toulouse
peinture	malerei
légion	legion
inclinaison	neigung
mexique	mexiko
cinquième	fünfter
guitare	gitarre
liberté	freiheit
html	html
contenu	inhalt
star	star
fête	fest
rhône	rhône
photo	foto
canal	kanal
vincent	vincent
jouer	spielen
jules	jules
précédente	vorherige
polonais	polnisch
analyse	analyse
offre	angebot
travaille	arbeitet
travaille	arbeite
frontière	grenze
max	max
américains	amerikaner
existence	existenz
indépendance	unabhängigkeit
love	love
uniquement	nur
résistance	widerstand
smith	smith
caractère	charakter
contient	enthält
bleu	blau
asie	asien
jack	jack
excentricité	exzentrizität
www	www
guy	guy
signifie	bedeutet
objets	objekte
border	border
faits	fakten
licence	lizenz
juifs	juden
médecin	arzt
écrire	schreiben
lance	lance
fonds	fonds
ehess	ehess
besoin	brauchen
fondateur	gründer
grec	griechisch
bordeaux	bordeaux
règles	regeln
soldats	soldaten
mark	mark
chicago	chicago
provence	provence
religion	religion
successeur	nachfolger
cimetière	friedhof
somme	summe
formé	ausgebildet
éviter	vermeiden
réserve	reserve
défaite	niederlage
ceci	dies
maritime	maritime
cardinal	kardinal
sert	dient
encyclopédie	enzyklopädie
résumé	zusammenfassung
lorraine	lothringen
parents	eltern
tournée	tournee
rose	rose
recensement	volkszählung
philosophie	philosophie
open	open
hôpital	krankenhaus
propriété	eigentum
cycliste	radfahrer
ouvert	geöffnet
parler	sprechen
expression	ausdruck
astéroïdes	asteroiden
nécessaire	notwendig
règne	regiert
suède	schweden
difficile	schwierig
inconnu	unbekannt
tom	tom
champions	champions
modèles	vorlagen
vit	lebt
meilleurs	besten
animaux	tiere
cheval	pferd
débuts	anfänge
débuts	debüt
milan	mailand
rive	ufer
animation	animation
raymond	raymond
méthode	methode
communication	kommunikation
jardin	garten
min	min
avion	flugzeug
internes	internen
internes	interne
mots	wörter
portugal	portugal
vert	grün
strasbourg	straßburg
personnel	personal
local	lokale
local	lokal
frank	frank
olivier	olivier
catherine	katharina
historien	historiker
inde	indien
relation	beziehung
baptiste	baptiste
étudiants	studenten
maisons	häuser
manque	fehlt
comptait	zählte
plein	voll
naturel	natürlichen
naturel	natürliche
opposition	opposition
franco	franco
adaptation	anpassung
music	music
abbé	abt
gérard	gérard
argument	argument
semaines	wochen
familles	familien
expérience	erfahrung
gardien	hüter
gardien	wächter
appelle	ruft
dramatique	dramatisch
extérieur	außen
restauration	wiederherstellung
draft	draft
médecine	medizin
municipal	municipal
marne	marne
régional	regionaler
thème	thema
prison	gefängnis
distance	entfernung
capacité	kapazität
littéraire	literarische
écoles	schulen
arrêté	verhaftet
arrêté	gestoppt
tradition	tradition
réalité	realität
savoie	savoie
étoile	stern
jaune	gelb
serbie	serbien
office	office
traitement	behandlung
masse	masse
arc	bogen
arc	arc
tombe	fällt
risque	risiko
vrai	wahr
armées	armeen
arabe	arabisch
acte	urkunde
arthur	arthur
live	live
grèce	griechenland
major	major
santa	santa
essai	prüfung
décrit	beschreibt
décrit	beschrieben
écosse	schottland
albums	alben
héros	helden
termes	begriffe
permis	führerschein
nantes	nantes
midi	mittag
midi	midi
aura	aura
pdf	pdf
géographique	geografischen
ciel	himmel
anti	anti
rang	rang
washington	washington
rurale	ländlich
maladie	krankheit
aéroport	flughafen
king	king
dictionnaire	wörterbuch
autorité	autorität
with	with
préfecture	präfektur
officielle	offizielle
futur	zukunft
objectif	ziel
ingénieur	ingenieur
irlande	irland
hongrie	ungarn
absence	abwesenheit
guerres	kriege
yves	yves
chanteuse	sängerin
crise	krise
brigade	brigade
chapitre	kapitel
laisse	lass
madrid	madrid
drapeau	flagge
application	anwendung
responsable	verantwortlich
circuit	schaltung
banque	bank
décédé	verstorben
danse	tanzen
genève	genf
développé	entwickelt
systèmes	systeme
élèves	schüler
officiellement	offiziell
remplacé	ersetzt
univers	universum
villages	dörfer
vraiment	wirklich
american	american
argentine	argentinien
salon	wohnzimmer
libération	befreiung
libération	freilassung
entièrement	vollständig
places	plätze
jazz	jazz
caractéristiques	merkmale
réunion	sitzung
trente	dreißig
julien	julien
chasse	jagd
paru	erschienen
processus	prozesse
comporte	kennzeichnet
gaz	gas
orléans	orléans
catégories	kategorien
press	press
united	united
mixte	gemischt
régulièrement	regelmäßig
gmina	landgemeinde
juan	juan
lee	lee
rapide	schnell
agriculture	landwirtschaft
traduit	übersetzt
chœur	chor
décret	dekret
léon	léon
naturelle	natürliche
plantes	pflanzen
permettre	ermöglichen
nommée	benannt
résidence	residenz
fusion	fusion
critères	kriterien
commandement	kommando
portrait	porträt
mairie	rathaus
jan	jan
sang	blut
jeanne	jeanne
yeux	augen
désigne	benennt
désigne	bezeichnet
types	typen
prédécesseur	vorgänger
retraite	ruhestand
description	beschreibung
table	tisch
antonio	antonio
blue	blue
emploi	beschäftigung
alliance	allianz
unités	einheiten
quel	welches
quel	welche
brun	braun
participé	teilgenommen
actions	aktionen
actions	aktien
baron	baron
contributeurs	mitwirkende
biographie	biografie
effets	effekte
bosnie	bosnien
explique	erkläre
explique	erklärt
égypte	ägypten
avenue	avenue
blocage	blockierung
dominique	dominique
nœud	knoten
serbe	serbisch
événements	veranstaltungen
christophe	christophe
atelier	werkstatt
auguste	auguste
raisons	gründe
devrait	sollte
francis	francis
atlantique	atlantik
cent	hundert
voiture	auto
agent	agent
disney	disney
chute	sturz
connaît	kennt
présentation	präsentation
documentaire	dokumentarfilm
cartes	karten
sièges	sitze
secret	geheimnis
couple	paar
col	kragen
col	col
mary	mary
conférence	konferenz
alsace	elsass
mains	hände
alfred	alfred
locaux	lokalen
locaux	räumlichkeiten
coureur	läufer
basé	gegründet
différence	unterschied
xls	xls
changement	änderung
députés	abgeordnete
commencé	begonnen
électrique	elektrisch
opérations	operationen
diocèse	bistum
rhin	rhein
identité	identität
normandie	normandie
variation	veränderung
romans	romane
sportive	sportliche
bourg	bourg
hommage	tribut
transports	verkehr
rio	rio
juge	richter
francisco	francisco
néerlandais	niederländisch
lille	lille
complexe	komplex
concept	konzept
universitaire	akademischen
titulaire	inhaber
contexte	kontext
vis	schrauben
concert	konzert
lois	gesetze
douze	zwölf
ferme	bauernhof
one	one
édouard	édouard
massif	massiv
vente	verkauf
athlétisme	leichtathletik
culte	kult
répartition	umlageverfahren
matériel	material
avocat	rechtsanwalt
bras	arm
calais	calais
proposition	vorschlag
conduit	führt
perdu	verloren
nice	nizza
visite	besuch
solution	lösung
volley	volley
promu	gefördert
promu	befördert
portes	türen
informatique	informatik
conception	konzeption
mur	mauer
scientifiques	wissenschaftler
tourisme	tourismus
green	green
luc	luc
façade	fassade
statue	statue
photos	fotos
construire	bauen
tente	zelt
scott	scott
liège	lüttich
huile	öl
convention	übereinkommen
convention	konvention
orient	orient
tourné	gedreht
dessin	zeichnung
manuel	handbuch
joe	joe
pression	druck
maroc	marokko
faux	falsch
christ	christus
colombie	kolumbien
documents	dokumente
bourgogne	burgund
destination	zielort
champs	felder
vierge	jungfrau
température	temperatur
enfance	kindheit
acteurs	akteure
candidat	kandidaten
candidat	kandidat
cercle	kreis
essais	prüfungen
mention	erwähnung
agence	agentur
perd	verliert
mari	ehemann
élément	element
pouvait	konnte
représentation	vertretung
cycle	zyklus
chemins	pfade
renaissance	renaissance
renaissance	wiedergeburt
attention	achtung
jones	jones
marin	marin
domaines	domains
usine	fabrik
fontaine	fontaine
parlementaire	parlamentarische
parlementaire	parlamentarischen
roland	roland
printemps	frühling
prêtre	priester
étoiles	sterne
réforme	reform
chris	chris
gabriel	gabriel
xixe	xixe
organisé	organisiert
organisé	organisierte
dos	rückseite
noël	weihnachten
enquête	erhebung
trouvé	gefunden
anomalie	anomalie
ign	ign
beau	schön
villa	villa
lecture	lesung
lecture	wiedergabe
montage	montage
professionnelle	berufliche
cantons	kantone
branche	zweig
batterie	akku
pointe	spitze
thèse	these
rgb	rgb
démocratique	demokratische
géographie	geographie
nancy	nancy
caroline	caroline
participer	teilnehmen
clair	klar
test	test
west	west
relativement	relativ
versions	versionen
venir	kommen
laisser	lassen
gilles	gilles
bataillon	bataillon
vin	wein
spécialiste	spezialist
vivant	lebend
ressources	ressourcen
ajouter	hinzufügen
rencontres	begegnungen
israël	israel
tué	getötet
siècles	jahrhunderte
présenté	präsentiert
territoires	territorien
png	png
mike	mike
napoléon	napoleon
net	net
planète	planet
bilan	bilanz
intervention	intervention
auparavant	zuvor
législature	wahlperiode
bob	bob
white	white
océan	ozean
idées	ideen
combats	kämpfe
tokyo	tokio
bus	bus
comprendre	verstehen
edward	edward
arme	waffe
dynastie	dynastie
erreur	fehler
publications	publikationen
coll	coll
organisme	organismus
williams	williams
faculté	fakultät
génération	generation
expédition	versand
tchèque	tschechisch
google	google
européens	europäer
arbre	baum
tribunal	gericht
règle	regel
walter	walter
possibilité	möglichkeit
eugène	eugène
avions	flugzeuge
archevêque	erzbischof
participants	teilnehmer
dvd	dvd
artillerie	artillerie
mesures	maßnahmen
occupation	belegung
occupation	besetzung
vent	wind
définition	definition
danemark	dänemark
administrateur	administrator
administrateur	verwalter
vos	ihre
bruno	bruno
travailler	arbeiten
églises	kirchen
mouvements	bewegungen
former	ausbilden
princesse	prinzessin
volonté	wille
volonté	willenskraft
germain	germain
oiseaux	vögel
homonymie	begriffsklärung
race	rasse
sûr	sicher
disponible	verfügbar
ski	skifahren
ouvre	öffnet
échelle	maßstab
machine	maschine
change	ändert
luxembourg	luxemburg
monte	monte
dimanche	sonntag
électronique	elektronischen
fil	draht
suivre	folgen
sixième	sechste
sixième	sechster
accident	unfall
cérémonie	zeremonie
discours	rede
bill	bill
finaliste	finalist
échange	austausch
riche	reich
complète	vollständige
néo	neo
effectif	tatsächlichen
feuilles	blätter
maréchal	marschall
herzégovine	herzegowina
spectacle	show
plans	pläne
moulin	mühle
déclare	deklariert
débat	debatte
numérique	digitalen
mayotte	mayotte
rendu	rendering
musicien	musiker
champagne	champagner
disparu	verschwunden
poésie	poesie
choisi	auserwählt
valeurs	werte
accueil	startseite
tar	tar
productions	produktionen
fédéral	bundes
big	big
montagnes	berge
louise	louise
supprimer	löschen
aventure	abenteuer
harry	harry
claire	claire
dirigé	geleitet
carlos	carlos
guide	führer
solid	solid
anna	anna
jésus	jesus
adjoint	stellvertretender
steve	steve
actif	aktiv
événement	veranstaltung
fonctionnement	funktionsweise
rennes	rennes
extrême	extrem
populations	populationen
venise	venedig
civil	zivilen
tunisie	tunesien
group	group
élus	gewählte
élus	gewählt
tiers	dritter
commande	bestellung
porté	getragen
quelle	welche
tony	tony
standard	standard
médias	medien
introduction	einleitung
porter	porter
approche	ansatz
reconnaissance	anerkennung
metal	metal
boston	boston
eric	eric
provinces	provinzen
pose	pose
orange	orange
adam	adam
fleurs	blumen
missions	dienstreisen
flotte	flotte
dessins	zeichnungen
monsieur	herr
côtes	küsten
amateurs	amateure
turquie	türkei
localisation	lokalisierung
gagne	gewinnt
officiers	offiziere
origines	herkunft
indépendant	unabhängige
nef	nef
émile	émile
house	house
marquis	marquis
pouvoirs	befugnisse
commercial	kommerziellen
bat	bat
césar	caesar
suédois	schwedisch
young	young
mille	tausend
direct	direkt
dames	damen
siren	siren
couronne	krone
attaquant	angreifer
attaquant	stürmer
mini	mini
privé	privat
appareil	gerät
commons	commons
diffusé	ausgestrahlt
outils	werkzeuge
complet	komplett
florence	florenz
trophée	trophäe
finlande	finnland
sinon	sonst
envoyé	gesendet
tôt	früh
comportement	verhalten
humain	menschlich
info	info
signé	unterzeichnet
texas	texas
russes	russen
septième	siebter
septième	siebte
septième	siebten
pascal	pascal
maillot	trikot
dispute	streit
lune	mond
orbite	umlaufbahn
championne	meisterin
scènes	szenen
society	society
amiral	admiral
murs	mauern
modifications	änderungen
norvège	norwegen
life	life
corse	korsika
mario	mario
initiative	initiative
marguerite	marguerite
mathématiques	mathematik
brown	brown
améliorer	verbessern
sénateur	senator
solo	solo
montpellier	montpellier
serge	serge
rouen	rouen
profondeur	tiefe
changer	ändern
croissance	wachstum
interne	internen
interne	interne
portugais	portugiesisch
stations	stationen
profil	profil
hans	hans
maximum	maximum
cabinet	kabinett
toi	dich
toi	dir
thierry	thierry
saône	saône
présidence	vorsitz
voyageurs	reisende
sculpteur	bildhauer
alexander	alexander
vision	vision
miss	miss
metz	metz
forêts	wälder
étapes	schritte
céleste	himmlischen
grade	besoldungsgruppe
impériale	kaiserlichen
sam	sam
dehors	draussen
servir	servieren
protéger	schützen
pacifique	pazifik
sébastien	sebastian
défenseur	verteidiger
diplôme	diplom
récit	erzählung
réaction	reaktion
cyclisme	radfahren
fabrication	herstellung
nucléaire	nukleare
karl	karl
chevaux	pferde
partis	parteien
représentants	vertreter
automne	herbst
caractères	zeichen
secondaire	sekundären
trains	züge
puisse	möge
grenoble	grenoble
roumanie	rumänien
prénom	vorname
victime	opfer
semi	semi
reconnu	erkannt
