que	that
ell	he
llista	list
cet	cet
important	important
segon	second
europa	europe
cal	cal
servei	service
gridcolor	gridcolor
serveis	services
morir	die
alemanya	germany
piràmide	pyramid
lightgrey	lightgrey
darkgrey	darkgrey
sfondo	sfondo
antic	old
antic	antic
plaça	square
plaça	plaza
comtat	county
pare	father
pare	parent
informació	information
mar	sea
actual	current
serie	serie
castell	castle
castell	castell
york	york
països	countries
moment	moment
anglès	english
tal	tal
illa	island
període	period
territori	territory
londres	london
internacional	international
premis	awards
premis	prizes
josep	josep
josep	joseph
center	center
museu	museum
establiments	establishments
edats	ages
districte	district
pàgina	page
dies	days
havien	had
camp	field
camp	camp
llengua	tongue
llengua	language
base	base
base	basis
llarg	long
capital	capital
alt	high
alt	alt
diagrama	diagram
diagrama	chart
edifici	building
línia	line
política	policy
política	politics
metres	meters
metres	metres
finalment	finally
francisco	francisco
costat	side
planta	plant
gènere	genre
gènere	gender
mateixa	same
vegades	times
majoria	majority
natural	natural
unió	union
tard	late
aconseguir	get
veure	see
director	director
director	headmaster
força	strength
força	force
codi	code
distribució	distribution
origen	origin
catalana	catalana
persona	person
cos	body
primers	first
espècies	species
william	william
cases	houses
batalla	battle
sol	sun
suport	support
classificació	classification
itàlia	italy
fiscals	prosecutors
comarca	shire
pere	peter
top	top
califòrnia	california
cop	cop
fitxer	file
peix	fish
militar	military
costa	costa
popular	popular
anomenat	named
temporada	season
treball	job
treball	work
vila	vila
mare	mother
estudis	studies
eleccions	elections
articles	articles
discussió	discussion
polític	politician
conjunt	set
posteriorment	subsequently
llibre	book
roma	rome
estil	style
moviment	movement
imperi	empire
anar	go
divisió	division
membre	member
sempre	always
porta	door
porta	porta
teatre	theater
teatre	theatre
membres	members
ells	them
resta	subtraction
moltes	many
acord	agreement
jocs	games
rebre	receive
rebre	receiving
illes	islands
illes	isles
avui	today
http	http
alta	high
alta	alta
posició	position
format	format
espanyol	spanish
sovint	often
comte	count
jersey	jersey
canvi	change
opció	option
germà	sibling
germà	brother
comunes	common
material	material
superior	superior
pas	step
nivell	level
valència	valencia
crear	create
consell	council
consell	hint
creu	cross
ben	ben
futbol	football
antiga	former
volta	volta
interior	interior
josé	josé
finals	finals
finals	endings
paper	paper
entorn	environment
únic	unique
institut	institute
àfrica	africa
cultura	culture
baix	low
mitjançant	through
espai	space
equips	teams
pau	peace
pau	pau
qualsevol	any
civil	civil
civil	civilian
torre	tower
comerç	trade
carrer	street
etc	etc
direcció	direction
nens	kids
nens	children
elements	items
elements	elements
mapa	map
especialment	especially
procés	process
versió	version
dret	right
occidental	occidental
municipal	municipal
vall	valley
local	local
guanyar	win
ibn	ibn
desenvolupament	development
vertical	vertical
set	seven
set	thirsty
grups	groups
campionat	championship
diu	diu
pla	plan
vencedor	victors
classificades	classified
original	original
déu	god
projecte	project
vers	verse
situació	situation
carrera	career
carrera	carrera
alemany	german
oriental	oriental
filla	daughter
societat	society
sis	six
forces	forces
bisbe	bishop
real	real
èxit	success
social	social
relació	relationship
carles	charles
dona	woman
punts	dots
punts	points
mitjana	mean
densitat	density
clubs	clubs
imatge	image
producció	production
pedra	stone
tracta	treat
cultural	cultural
home	man
administració	administration
resultats	results
malgrat	despite
resum	overview
resum	summary
california	california
gràcies	thanks
econòmiques	economic
automòbils	cars
escut	shield
autor	author
cantó	canton
productes	products
estructura	structure
lliga	league
ciutats	cities
gairebé	almost
categoria	category
partits	matches
estudi	study
estudi	studio
muntanya	mountain
apareix	appears
estudiant	studying
estudiant	student
sobretot	especially
longitud	length
longitud	longitude
academy	academy
reparació	repair
serra	serra
propietaris	owners
comunitat	community
lluís	lluís
lluís	louis
posar	ridden
fons	fons
fons	background
fons	bottom
milions	million
milions	millions
revista	magazine
familiars	relatives
jove	young
bottom	bottom
palau	palau
detall	detail
elaboració	preparation
sur	sur
sexe	sex
camí	path
emperador	emperor
estadístiques	statistics
campió	champion
control	control
copa	copa
principalment	mainly
llei	law
interès	interest
participar	participate
gràfic	chart
anual	annual
fan	fan
defensa	defense
defensa	defence
llocs	places
mai	mai
mai	never
ministre	minister
alçada	height
gràfica	graph
funció	function
dècada	decade
activitat	activity
presenta	presents
anterior	prev
anterior	previous
tour	tour
ella	she
ella	her
mèxic	mexico
públic	audience
públic	public
programa	program
programa	programme
façana	facade
can	can
jaume	james
jaume	jaume
dóna	da
següents	following
francesc	francesc
cinema	cinema
juan	juan
petita	small
tropes	troops
construir	build
eschmeyer	eschmeyer
fundació	foundation
podria	could
podria	might
esquerra	left
patrimoni	heritage
referència	reference
inici	start
zones	areas
realitzar	perform
assolir	attain
hall	hall
àrea	area
imagesize	imagesize
medalla	medal
timeaxis	timeaxis
aproximadament	roughly
aproximadament	approximately
plotarea	plotarea
scalemajor	scalemajor
dateformat	dateformat
massa	mass
alignbars	alignbars
pos	pos
veu	voice
pobresa	poverty
brasil	brazil
scaleminor	scaleminor
formació	training
backgroundcolors	backgroundcolors
organització	organization
resultat	result
anglaterra	england
possible	possible
duc	duke
mesos	months
terres	lands
terres	terres
evolucionat	evolved
professor	professor
valencià	valencian
musical	musical
ingressos	income
joc	game
mas	mas
robert	robert
llengües	languages
comune	comune
transport	transportation
transport	transport
jean	jean
creació	creation
grec	greek
caps	heads
príncep	prince
particulars	individuals
model	model
tercer	third
jugador	player
municipis	municipalities
llindar	threshold
sons	sounds
pàrquing	parking
évolution	évolution
victòria	victory
victòria	victoria
statistique	statistique
restauració	restoration
antoni	antoni
principis	principles
fent	doing
fent	making
rússia	russia
llogaters	tenants
tractat	treaty
david	david
escriptor	writer
jordi	jordi
naixement	birth
viquipèdia	wikipedia
estiu	summer
nelson	nelson
press	press
índia	india
orde	order
parts	parts
parts	parties
manuel	manuel
residències	residences
probablement	probably
italià	italian
antonio	antonio
capita	capita
catalans	catalans
mestre	master
xina	china
tanmateix	however
plantes	plants
fabricació	manufacture
fabricació	manufacturing
fabricació	fabrication
las	las
permet	allow
explotacions	farms
romà	roman
número	number
ruta	route
ruta	ruta
entrada	entry
caràcter	character
aturades	paros
companyia	company
binomial	binomial
eds	eds
deu	ten
reis	kings
port	port
restes	remains
portar	carry
conca	conca
conca	basin
conca	cuenca
parc	park
festival	festival
arts	arts
ramon	ramon
gratuït	free
mitjans	media
mitjans	means
drets	rights
llibres	books
inclou	includes
governador	governor
compositor	composer
tercera	third
capella	capella
capella	chapel
bona	good
personatges	characters
teoria	theory
comunicació	communication
llum	light
blanc	white
aragó	aragon
massachusetts	massachusetts
meitat	half
kitt	kitt
lliure	free
mans	mans
aleshores	then
pobles	peoples
presència	presence
televisió	television
últim	last
tema	topic
tema	theme
spacewatch	spacewatch
humans	humans
humans	human
estació	station
associació	association
pintor	painter
menor	minor
japó	japan
problemes	problems
objectiu	goal
marc	marc
marc	frame
xviii	xviii
xviii	eighteenth
national	national
acció	action
ocupació	occupation
mascles	males
casos	cases
fonts	sources
noves	new
pont	bridge
imatges	images
principi	principle
dreta	right
velocitat	velocity
velocitat	speed
valor	value
qualitat	quality
generalitat	generalitat
generalitat	generality
professional	professional
referències	references
temple	temple
miquel	miquel
vista	view
museum	museum
aquí	here
energia	energy
arc	arc
classe	class
dinastia	dynasty
wheeler	wheeler
front	front
macdonald	macdonald
prova	test
prova	try
barri	neighborhood
segles	centuries
recent	recent
monestir	monastery
animals	animals
via	via
wiley	wiley
parlament	parliament
educació	education
característiques	features
actor	actor
influència	influence
castella	castile
viure	live
accés	access
conté	contains
gent	people
especial	special
xarxa	network
prentice	prentice
nucli	core
nucli	nucleus
nucli	kernel
decidir	decide
mesura	measurement
mesura	measure
sala	room
literatura	literature
moyle	moyle
cech	cech
clima	climate
comença	start
selecció	selection
congrés	congress
papa	pope
sentit	sense
von	von
personal	staff
fotografia	photograph
fotografia	photography
castellà	spanish
dirigida	directed
khan	khan
domini	domain
domini	dominion
corona	corona
aviat	soon
fort	strong
canal	canal
canal	channel
honor	honor
quantitat	amount
quantitat	quantity
nascut	born
girona	girona
secció	section
enric	enric
enric	henry
life	life
acadèmia	academy
cançó	song
capacitat	capacity
mallorca	majorca
mallorca	mallorca
normalment	usually
normalment	normally
generalment	generally
catedral	cathedral
der	der
cor	heart
ocupar	occupy
noms	names
sistemes	systems
disseny	design
pintura	painting
svg	svg
coll	neck
senyor	sir
senyor	lord
hectàrees	hectares
biblioteca	library
territoris	territories
esdevenir	becoming
rus	russian
genera	generate
genera	generates
formes	forms
formes	shapes
campanya	campaign
alcalde	mayor
mes	month
recerca	research
successor	successor
carretera	road
pallars	pallars
blackwell	blackwell
relacions	relationships
relacions	relations
fusta	wood
llatí	latin
malden	malden
potser	maybe
britànic	british
negre	black
publicat	published
publicat	posted
xvi	xvi
collette	collette
importància	importance
paul	paul
aigües	waters
independència	independence
facey	facey
lleó	lion
respecte	respect
palomar	palomar
propi	own
industrials	industrial
industrials	industrialists
etapes	stages
personatge	character
aire	air
considerat	considered
editorial	publisher
editorial	editorial
petites	small
fos	melted
unitat	unit
american	american
atac	attack
extrem	extreme
plana	flat
diari	newspaper
diari	journal
diari	diary
figura	figure
peces	tracks
peces	pieces
tècnica	technique
diferència	difference
lluita	wrestling
lluita	fight
orquestra	orchestra
òpera	opera
àrab	arabic
volum	volume
reina	queen
argentina	argentina
argentina	argentine
peixos	fish
àlbum	album
comercial	commercial
exposició	exhibition
exposició	exposure
arriba	arrives
bandera	flag
proves	tests
proves	testing
equipaments	equipment
equipaments	equipments
apartaments	apartments
berlín	berlin
nau	ship
austràlia	australia
última	last
james	james
cançons	songs
piano	piano
maría	maría
maría	mary
posterior	rear
temes	themes
temes	topics
fets	facts
funcions	functions
economia	economy
matrimoni	marriage
independent	independent
treballs	jobs
idea	idea
tradició	tradition
federació	federation
charles	charles
escolars	schoolchildren
actriu	actress
formant	forming
inc	inc
mercat	marketplace
mercat	market
evitar	avoid
grau	grade
grau	grau
grau	degree
compte	account
sector	sector
creat	created
nit	night
llac	lake
favor	favour
motiu	reason
ajuda	help
condicions	terms
masia	masia
generals	generals
dur	hard
comú	common
efecte	effect
americà	american
paraula	word
donat	donat
entitat	entity
muntanyes	mountains
tradicional	traditional
sanitaris	toilets
poeta	poet
net	net
guillem	william
problema	problem
propietat	property
canvis	changes
composició	composition
freshwater	freshwater
frontera	border
històric	historical
egipte	egypt
pocs	few
conèixer	meet
escrit	written
edicions	edits
parla	speaks
xvii	xvii
diferent	different
trobat	found
escala	scale
george	george
permetre	allow
bretanya	brittany
vuit	eight
passat	past
nombrosos	numerous
revolució	revolution
coberta	deck
competició	competition
indústria	industry
arquitectura	architecture
luis	luis
peu	foot
agrícola	agricultural
locals	local
gen	gene
utilitzat	used
realitat	reality
aquells	those
armes	weapons
armes	guns
quarta	fourth
martí	marti
martí	martí
martí	martin
mica	mica
similar	similar
seguretat	security
seguretat	safety
www	www
militars	military
pertany	belongs
present	present
pes	weight
edificis	buildings
camps	fields
autors	authors
festa	party
soldats	soldiers
comissió	commission
soviètica	soviet
portugal	portugal
xiii	xiii
exterior	outward
dirigir	directing
canadà	canada
arxiu	archive
arxiu	file
millors	finest
arribada	arrival
màxim	maximum
línies	lines
àustria	austria
germans	brothers
objectes	objects
marca	mark
moderna	moderna
moderna	modern
artistes	artists
entitats	entities
fase	phase
amor	love
altitud	altitude
ciències	science
pis	floor
darrer	last
defunció	death
hores	hours
cursa	race
doble	double
àsia	asia
anderson	anderson
península	peninsula
distància	distance
econòmica	economic
tarragona	tarragona
oscar	oscar
traducció	translation
termes	termes
termes	terms
consta	consists
joves	young
normal	normal
felip	philip
hostatgeria	hospice
botiga	shop
botiga	store
richard	richard
tropical	tropical
puig	puig
vots	votes
llarga	long
destaca	highlights
nombroses	numerous
regions	regions
taula	table
jesús	jesus
industrial	industrial
física	physics
element	element
pàgines	pages
ferro	iron
artista	artist
mida	size
enciclopèdia	encyclopedia
secretari	secretary
socials	social
objecte	object
directament	directly
esposa	wife
rep	receives
albert	albert
materials	materials
retirar	withdraw
roca	rock
notes	notes
comercials	commercial
marina	marina
salvador	salvador
usuari	user
cort	cort
cort	court
plata	silver
comandant	commander
hivern	winter
paraules	words
temperatura	temperature
romans	romans
contingut	content
lleida	lleida
suïssa	switzerland
evolució	evolution
representació	rendering
representació	render
representació	representation
comandament	command
vora	edge
vora	border
xii	xii
vallès	vallès
cantant	singer
cantant	singing
existència	existence
llibertat	freedom
llibertat	liberty
plantilla	template
malaltia	disease
elemental	elementary
rius	rivers
produeix	produces
michael	michael
particular	particular
tron	throne
existeix	exists
torneig	tournament
ambdós	both
salut	health
prou	enough
crítica	criticism
crítica	critique
oficina	office
assassinat	murder
oficials	officers
marine	marine
xiv	xiv
efectes	effects
hora	hour
química	chemistry
estadi	stadium
estadi	estadio
barranc	ravine
barranc	gully
hospital	hospital
investigació	research
escacs	chess
protecció	protection
publicació	publication
publicació	post
construït	built
carta	carta
carta	letter
foc	fire
socialista	socialist
grècia	greece
viatge	trip
carlos	carlos
resistència	resistance
garcía	garcia
garcía	garcía
considerar	consider
motor	engine
expedició	expedition
àmbit	field
àmbit	area
àmbit	scope
colors	colours
colors	colors
sap	sap
constitució	constitution
recuperar	retrieve
allà	there
federal	federal
torres	torres
mur	wall
mur	mur
escoles	schools
animal	animal
ràdio	radio
pierre	pierre
mètode	method
memòria	memory
cara	face
lletres	lyrics
quart	quart
quart	fourth
actes	acts
jugadors	players
cambres	chambers
quilòmetres	kilometres
quilòmetres	miles
inventari	inventory
martin	martin
blanca	blanca
missió	mission
concepte	concept
polítiques	policies
rock	rock
pràctica	practice
anna	anna
setmana	week
smith	smith
participació	participation
segueix	follow
vii	vii
mena	mena
futur	future
siluriformes	siluriformes
individual	individual
britànica	british
ciència	science
filosofia	philosophy
capità	captain
bosc	woods
bosc	forest
fórmula	formula
fundada	founded
verd	green
escena	scene
pressió	pressure
urgell	urgell
inicialment	initially
viena	vienna
joseph	joseph
bgcolor	bgcolor
concentració	concentration
classes	classes
sortida	output
sortida	exit
thomas	thomas
colònia	cologne
colònia	colony
por	fear
ciclista	cyclist
fulles	leaves
arquitecte	architect
règim	regime
medieval	medieval
portal	portal
recursos	resources
creixement	growth
establiment	establishment
conflicte	conflict
pedro	pedro
assemblea	assembly
tribus	tribes
polítics	politicians
poesia	poetry
ferran	ferdinand
peter	peter
alfons	alfonso
vint	twenty
ràpidament	quickly
mil	thousand
mil	mil
conseqüència	consequence
regnat	reign
catòlica	catholic
àrees	areas
pares	parents
pares	dads
naturals	natural
amic	friend
mont	mount
mont	mont
irlanda	ireland
contacte	contact
louis	louis
seguit	followed
minuts	minutes
cert	true
bronze	bronze
actiu	active
dalt	upstairs
revolta	riot
medicina	medicine
abu	abu
taller	workshop
valenciana	valenciana
curs	course
apareixen	appear
modern	modern
polònia	poland
combat	combat
líder	leader
fundador	founder
afegir	add
bèlgica	belgium
corrent	current
sola	alone
princesa	princess
títols	titles
vermell	red
film	film
existeixen	exist
humà	human
vaixells	boats
vaixells	ships
coneguts	acquaintances
límit	limit
galeria	gallery
flors	flowers
https	https
acte	act
mal	mal
producte	product
coses	things
coses	stuff
coneixement	knowledge
totalment	fully
totalment	totally
seguint	following
tribu	tribe
raó	reason
estrella	star
germana	sister
comuna	commune
llevant	levante
moviments	moves
moviments	movements
nov	nov
boscos	forests
alemanys	germans
comitè	committee
províncies	provinces
finestres	windows
ronda	ronda
ronda	round
morts	dead
pista	track
usuaris	users
don	don
monument	monument
futbolista	footballer
reconeixement	appreciation
reconeixement	recognition
tractament	treatment
palma	palma
estrenada	premiered
figures	figures
miguel	miguel
santiago	santiago
smithsonian	smithsonian
feina	job
suècia	sweden
washington	washington
rosa	pink
rosa	rose
rosa	rosa
monuments	monuments
valors	values
park	park
religió	religion
continuació	continuation
enllaç	link
tasca	task
nacions	nations
fundat	founded
obert	open
documents	documents
policia	police
oposició	opposition
tècniques	techniques
digital	digital
anònim	anonymous
predecessor	predecessor
org	org
milà	milan
residència	residence
arquebisbe	archbishop
setge	siege
quadre	table
conquesta	conquest
loneos	loneos
torrent	torrent
completament	completely
autònoma	autonomous
stadium	stadium
checklist	checklist
peça	track
llenguatge	language
tecnologia	technology
lópez	lopez
porto	porto
propietats	properties
entrenador	coach
projectes	projects
lliures	free
lliures	pounds
dit	finger
proposta	proposal
clau	key
agricultura	farming
agricultura	agriculture
relacionats	related
espasa	sword
pèrdua	loss
colspan	colspan
extensió	extension
varietat	variety
alexandre	alexandre
alexandre	alexander
sang	blood
guinea	guinea
ponent	westeros
venècia	venice
internet	internet
nacionals	nationals
sevilla	sevilla
sevilla	seville
oct	oct
basc	basque
circuit	circuit
valls	valls
simon	simon
anàlisi	analysis
abr	apr
aspecte	aspect
resposta	answer
feta	made
feta	feta
hàbitat	habitat
oficialment	officially
moscou	moscow
periodista	journalist
festes	holidays
terreny	terrain
terreny	ground
operació	operation
fortalesa	fortress
pirineus	pyrenees
catfishes	catfishes
internacionals	international
blau	blue
roig	red
millorar	improve
senyal	signal
difícil	difficult
diputats	deputies
versions	versions
històrica	historical
dirigit	directed
metge	physician
metge	doctor
cadena	string
cadena	chain
aliança	alliance
models	models
vaixell	boat
historiador	historian
lletra	lyrics
junta	board
junta	junta
rafael	raphael
presó	prison
operacions	operations
royal	royal
vist	seen
localitat	locality
celebrar	celebrate
aplicació	application
obertura	aperture
obertura	opening
esdeveniments	events
cedit	loaned
categories	categories
amics	friends
premsa	press
turó	hill
parella	couple
israel	israel
ocasions	occasions
black	black
concert	concert
reforma	reform
prové	tryed
simple	simple
portes	doors
idees	ideas
und	und
dimensions	dimensions
anteriorment	previously
ferraris	ferraris
parròquia	parish
excepte	except
comunista	communist
exemples	examples
reserva	reservation
reserva	reserve
explica	explains
oli	oil
vídeo	video
provocar	provoke
dedicada	dedicated
autoritat	authority
compost	compound
inicial	initial
forta	strong
econòmic	economic
destacats	highlights
darrera	last
ocupa	occupies
expressió	expression
accions	actions
imperial	imperial
càrrega	load
càrrega	loading
descripció	description
henry	henry
para	para
muhammad	muhammad
feb	feb
abd	abd
dedicat	dedicated
lleis	laws
atenció	attention
cavall	horse
rectangular	rectangular
justícia	justice
volia	wanted
luxemburg	luxembourg
fàbrica	factory
fernando	fernando
diners	money
béns	goods
gas	gas
presa	dam
presa	prey
populars	popular
nivells	levels
completa	complete
flota	fleet
branca	branch
red	red
paris	paris
culturals	cultural
daniel	daniel
simplement	simply
indica	indicates
programes	programmes
programes	programs
centres	centers
centres	centres
espanyols	spaniards
planeta	planet
atacs	attacks
principat	principality
llobregat	llobregat
habitual	usual
municipals	municipal
migdia	noon
fernández	fernandez
fernández	fernández
essent	being
treballadors	workers
solar	solar
carrers	streets
instruments	instruments
nombres	numbers
sabadell	sabadell
complex	complex
símbol	symbol
pintures	paints
pintures	paintings
constant	constant
matar	killing
viii	viii
#aaa	#aaa
gestió	management
àcid	acid
cossos	bodies
temporades	seasons
crisi	crisis
riba	riba
jul	jul
manca	lack
sants	saints
sants	sants
ali	ali
ensenyament	teaching
historia	historia
montserrat	montserrat
ministeri	ministry
giro	giro
participants	participants
baixes	low
motius	reasons
motius	motives
regional	regional
ascensió	ascension
necessitat	need
possibilitat	possibility
complet	complete
cardenal	cardinal
martínez	martinez
martínez	martínez
pérez	pérez
universal	universal
context	context
isabel	isabel
arcs	bows
die	die
convent	convent
jueus	jews
bernat	bernard
bernat	bernat
con	cone
cristians	christians
derrota	defeat
giovanni	giovanni
noruega	norway
famós	famous
cambridge	cambridge
estudiants	students
donant	giving
donant	donor
doctor	doctor
espais	spaces
riera	stream
interpretació	interpretation
caiguda	fall
continua	continues
aspectes	aspects
empordà	empordà
basat	based
incloure	include
intent	attempt
din	din
document	document
clara	clara
utc	utc
clàssica	classical
mínim	minimum
estàndard	standard
obertures	openings
hom	hom
institucions	institutions
representant	representative
altura	height
organitzar	organize
escultura	sculpture
marquès	marquess
urbà	urbano
roger	roger
editor	editor
agència	agency
visió	vision
laterals	lateral
cim	cim
international	international
passant	happening
americans	americans
elegit	chosen
esteve	stephen
diòcesi	diocese
musulmans	muslims
gira	rotate
retorn	return
nostra	nostra
concurs	contest
acceptar	accepting
acceptar	accept
possiblement	possibly
reacció	reaction
golf	golf
global	global
directe	direct
textos	texts
marit	husband
terrestre	terrestrial
navarra	navarre
rang	rank
tractar	treat
reus	reus
actuals	current
responsable	responsible
gonzález	gonzález
partida	game
ribera	ribera
capaç	capable
pacífic	pacific
matèria	matter
arbre	tree
florida	florida
propis	own
declarar	declare
cicle	cycle
llegenda	legend
llançament	launch
processos	processes
orient	orient
patir	suffer
donen	dan
similars	similar
estrelles	stars
notable	remarkable
enviat	sent
arran	arran
caixa	box
utilitzant	using
estructures	structures
ciutadans	citizens
inicis	beginnings
signar	sign
guerres	wars
femení	female
generació	generation
survey	survey
platja	beach
publicacions	posts
pell	skin
invasió	invasion
all	garlic
eix	axis
papers	papers
fao	fao
casat	married
àrabs	arabs
alegre	cheerful
ago	aug
valign	valign
successió	succession
deixant	leaving
palmarès	palmarès
andorra	andorra
serrat	serrat
aliats	allies
comptes	accounts
pràcticament	practically
atenes	athens
nobel	nobel
terrassa	terrace
terrassa	terrassa
ermita	hermitage
crist	christ
gèneres	genres
biografia	biography
pilot	pilot
coalició	coalition
ambdues	both
igualment	equally
igualment	similarly
arbres	trees
liberal	liberal
ulls	eyes
conservació	conservation
presidència	presidency
actuació	performance
usa	use
usa	usa
documentació	documentation
concerts	concerts
hongria	hungary
comunitats	communities
plans	plans
artístic	artistic
ducat	duchy
freqüència	frequency
aconsegueix	get
mètodes	methods
poques	few
trajectòria	trajectory
sub	sub
algú	someone
experiència	experience
xile	chile
zelanda	zealand
esmenta	mentions
expansió	expansion
aeroport	airport
curt	curt
curt	short
alumnes	students
veïns	neighbors
veïns	neighbours
restaurant	restaurant
retornar	return
representar	represent
respectivament	respectively
bellesa	beauty
punta	tip
man	man
guitarra	guitar
tradicionals	traditional
democràtica	democratic
turquia	turkey
decisió	decision
mesures	measures
atlàntic	atlantic
selva	jungle
selva	selva
instrument	instrument
guàrdia	guard
esmentat	mentioned
titular	headline
titular	holder
escrits	writings
elèctric	electric
advocat	lawyer
menors	minors
fruit	fruit
ucraïna	ukraine
solució	solution
conserven	retain
eslovàquia	slovakia
solen	solen
vent	wind
primavera	spring
tinent	lieutenant
grand	grand
correu	mail
dinamarca	denmark
desenvolupat	developed
vella	vella
aplicacions	applications
aplicacions	apps
texas	texas
relativament	relatively
badia	bay
sicília	sicily
breu	brief
mario	mario
ordres	commands
ordres	orders
coordenades	coordinates
banc	bank
aires	aires
religiós	religious
vehicles	vehicles
pintors	painters
districtes	districts
augment	increase
ocell	bird
possessió	possession
conseller	counsellor
persecució	persecution
càrrecs	charges
científic	scientist
carl	carl
belles	belles
oceà	ocean
joaquim	joaquim
cònsol	consul
manté	maintains
rebut	received
august	augustus
jardí	garden
nàpols	naples
perú	peru
medalles	medals
autoritats	authorities
registre	register
tribunal	court
mestres	teachers
recorregut	tour
error	mistake
error	error
denominació	name
denominació	denomination
capítol	chapter
realitza	performs
malalties	diseases
reunir	gather
dolça	sweet
rosselló	roussillon
rosselló	rosselló
castells	castles
castells	castells
morí	died
absis	apse
joventut	youth
molí	mill
artística	artistic
matemàtiques	mathematics
peus	feet
decoració	decoration
decret	decree
recentment	recently
tornà	turned
culte	cult
culte	worship
grecs	greeks
columna	column
ebre	ebro
ebre	ebre
menjar	food
inclòs	included
inclòs	including
japonès	japanese
noble	noble
murs	walls
dotze	twelve
london	london
immediatament	immediately
conferència	conference
reconèixer	recognize
reconèixer	acknowledge
xinès	chinese
columnes	columns
lluna	moon
institució	institution
tallers	workshops
ple	full
cua	queue
cua	tail
finestra	window
altes	ups
sèries	series
singh	singh
rodríguez	rodriguez
franco	franco
moments	moments
corea	korea
png	png
ferrocarril	railroad
ferrocarril	railway
bloc	blog
bloc	bloc
bloc	block
turisme	tourism
psoe	psoe
estany	pond
definició	definition
òrbita	orbit
condició	condition
intenció	intention
músic	musician
nació	nation
groc	yellow
cercle	circle
victòries	wins
victòries	victories
aèria	aerial
records	regards
defensar	defend
falta	lack
falta	missing
notables	notable
objectius	goals
torn	shift
torn	lathe
torn	turn
contrari	contrary
contrari	opposite
parets	walls
originalment	originally
ferrer	blacksmith
abadia	abbey
notícies	news
determinar	determine
mark	mark
poemes	poems
funcionament	operation
familia	family
nen	child
cat	cat
diàmetre	diameter
escòcia	scotland
mandat	mandate
elecció	choice
introducció	introduction
introducció	intro
infanteria	infantry
característica	feature
setmanes	weeks
martín	martín
martín	martin
anunciar	announce
ofereix	offers
trenta	thirty
descriu	describes
descriu	describe
posicions	positions
pdf	pdf
esport	sport
bases	bases
esclaus	slaves
familiar	familiar
escriptura	writing
reconegut	recognized
vendre	sell
veus	voices
cementiri	cemetery
oxford	oxford
castelló	castellón
castelló	castelló
ajut	help
components	components
