prisoner	väzeň
warrior	bojovníčka
warrior	bojovníka
warrior	bojovník
mammals	cicavce
mammals	cicavcov
dimensions	dimenzie
dimensions	rozmery
surrey	surrey
gaming	gaming
gaming	hranie
lutheran	evanjelický
ports	prístavy
ports	prístavov
amy	amy
survival	prežívanie
survival	prežitie
responses	odpovede
responses	odpovedí
responses	odozvy
responses	reakcie
scandal	škandálu
scandal	škandál
widow	vdovy
widow	vdova
swing	prúde
nights	noci
nights	nocí
polo	polo
linda	linda
adr	adr
consist	pozostávajú
consist	pozostávať
probability	pravdepodobnosti
probability	pravdepodobnosť
farms	farmy
farms	fariem
conferences	konferencií
conferences	konferencie
zhang	zhang
crazy	crazy
crazy	šialené
crazy	blázon
crazy	šialenstvo
witness	svedka
witness	svedok
nephew	synovca
nephew	synovec
sensitive	citlivé
sensitive	citlivo
sensitive	citlivosť
sensitive	citlivá
sensitive	citlivý
mutual	vzájomný
mutual	vzájomná
mutual	vzájomné
diet	strava
diet	diéty
diet	diéta
clients	klienti
clients	klientov
clients	klientmi
fringe	fringe
passion	vášeň
passion	vášne
rings	kruhy
rings	prstene
rings	krúžky
stronger	silnejšia
stronger	silnejší
stronger	silnejšie
millions	miliónov
millions	milióny
dialect	dialekt
orlando	orlanda
relay	relé
wet	mokrý
wet	mokré
wet	mokrá
cruise	plavby
cruise	plavba
cruise	cruise
henri	henri
publish	publikovať
publish	zverejniť
publish	uverejniť
publish	zverejňovať
joy	radosti
joy	radosť
joy	radost
julia	julia
julia	júlia
kitchen	kuchyňa
kitchen	kuchyni
kitchen	kuchynský
kitchen	kuchynské
kitchen	kuchyne
abstract	abstraktné
snake	hada
snake	had
comedian	komik
motorcycle	motocykel
motorcycle	motocykle
arsenal	arsenal
millennium	tisícročia
assists	pomáha
bow	luk
andré	andré
serie	serie
travelled	cestoval
travelled	cestovali
travelled	cestovala
eurovision	eurovision
suite	apartmán
doug	doug
gravity	gravitácia
stored	uskladnené
stored	uložené
stored	skladované
optical	optické
optical	optická
optical	optický
frontier	hranica
evaluation	vyhodnotenie
evaluation	hodnotenie
evaluation	vyhodnocovanie
graph	graf
hybrid	hybridné
hybrid	kríženec
hybrid	hybrid
oslo	oslo
earn	zarábať
earn	zaslúžiť
earn	zarobiť
metre	meter
keyboard	klávesnice
nearest	najbližšieho
nearest	najbližšia
nearest	najbližší
nearest	najbližšie
jamie	jamie
decorated	zdobené
complicated	zložitá
complicated	komplikovaný
complicated	zložité
complicated	komplikovaná
complicated	komplikované
nathan	nathan
slavery	otroctvo
slavery	otroctva
circular	kruhové
operators	operátori
operators	prevádzkovateľov
operators	prevádzkovatelia
armor	pancier
armor	výzbroj
armor	brnenie
mechanics	mechanika
bradford	bradford
leon	leon
rachel	rachel
footage	zábery
strings	reťazce
header	hlavičku
header	hlavičky
header	hlavička
hood	hood
inspector	inšpektor
inspector	inšpektora
warnings	varovania
relatives	príbuzní
relatives	príbuzných
relatives	príbuzné
plains	pláňach
plains	roviny
defended	bránil
defended	bránili
wheels	kolieska
wheels	kolesá
criterion	kritérium
criterion	kritéria
ace	eso
ace	ace
penn	penn
approached	oslovil
approached	oslovili
joke	vtip
religions	náboženstvá
religions	náboženstiev
grants	granty
grants	grantov
grants	subvencie
grants	dotácie
andrews	andrews
moderate	mierna
moderate	stredne
moderate	stredný
moderate	stredná
moderate	stredné
stolen	ukradnuté
stolen	ukradol
stolen	ukradnutá
stolen	ukradli
commanding	veliaci
pin	pin
carol	carol
owns	vlastní
owns	nevlastní
prototype	prototyp
copied	skopíroval
canterbury	canterbury
midnight	polnoc
midnight	polnoci
quarterback	quarterback
bailey	bailey
arbitrators	rozhodcov
performers	účinkujúcich
handled	zvládol
handled	zvládli
exploration	prieskum
diversity	rôznorodosť
diversity	rozmanitosť
diversity	rozmanitosti
sixteen	sixteen
sixteen	šestnásť
findings	zistenia
findings	nálezy
repeat	opakovať
repeat	opakujem
repeat	zopakovať
repeat	opakovanie
brussels	bruselu
brussels	brusel
brussels	bruseli
planets	planéty
planets	planét
theatrical	divadelné
reconnaissance	prieskum
reconnaissance	prieskumné
shots	výstrely
shots	strely
shots	zábery
complaint	podnet
complaint	sťažnosť
complaint	sťažnosti
batman	batman
exhibited	prejavila
espn	espn
investigate	vyšetrovať
investigate	prešetriť
investigate	vyšetriť
verify	overte
verify	overiť
verify	overenie
verify	overuje
discontinued	prerušené
discontinued	prerušilo
discontinued	zastavené
discontinued	ukončené
girlfriend	priateľka
resignation	odstúpenie
resignation	výpoveď
resignation	rezignáciu
fossil	fosílnych
fossil	fosílne
explaining	vysvetľovať
tang	tang
inches	palcov
proven	dokázaná
proven	preukázané
proven	preukázaná
proven	dokázané
franco	franco
dying	umiera
tribal	kmeňových
tribal	kmeňové
tyler	tyler
tyler	tylera
surrender	odovzdanie
surrender	vzdať
glenn	glenn
substance	látka
substance	látky
focusing	zameranie
luxembourg	luxembursko
colored	farebné
colored	farebný
administered	podávaná
administered	podaných
administered	podaná
explosion	výbuchu
explosion	explózie
explosion	explóziu
explosion	explózia
explosion	výbuch
pushed	tlačil
generations	generácie
generations	generáciami
generations	generácií
duck	kačice
duck	kačka
duck	kačica
duck	duck
porter	porter
permanently	trvalo
permanently	natrvalo
permanently	trvale
permanently	permanentne
memphis	memphise
salvador	salvador
emma	emmu
emma	emma
mit	mit
zoo	zoo
gibson	gibson
wording	formulácie
wording	znenia
wording	znenie
wording	formulácia
emerging	vznikajúce
notre	notre
portions	porcie
macedonia	macedónsko
ethics	etické
ethics	etiky
ethics	etiku
depot	depot
curtis	curtis
rescued	zachránili
rescued	zachránený
gaelic	gaelčina
slovakia	slovensko
slovakia	slovakia
elevated	zvýšená
elevated	zvýšený
elevated	zvýšené
jeremy	jeremy
jeremy	jeremyho
listen	počúvať
listen	počúvaj
impressive	pôsobivé
impressive	pôsobivý
bradley	bradley
surely	určite
surely	isto
egg	vajíčko
egg	vajca
egg	vajce
conquest	dobývanie
rod	rod
cdp	cdp
algorithm	algoritmus
algorithm	algoritmu
burn	horieť
burn	spáliť
lover	milenka
lover	milenec
capitol	capitol
remembered	pamätať
remembered	spomenul
ferdinand	ferdinand
marshal	šerif
marshal	maršal
judaism	judaizmus
balls	lopty
balls	guľôčky
balls	gule
balls	loptičky
nacional	nacional
wrestlers	zápasníci
ahmed	ahmed
sin	hriechu
sin	sin
sin	hriech
holocaust	holokaust
edgar	edgar
saxophone	saxofón
retain	zachovať
retain	ponechať
curriculum	kurikula
wishes	priania
wishes	praje
wishes	želá
wishes	želania
prepare	pripraviť
ruins	ruiny
ibm	ibm
rochester	rochester
nigerian	nigérijský
jesse	jesse
atlas	atlas
telegraph	telegraph
cannon	dela
cannon	delá
cannon	delo
emily	emily
dissolved	rozpustený
dissolved	rozpustené
catalogue	katalóg
discrimination	diskriminácia
myspace	myspace
reveal	prezradiť
reveal	odhaliť
wizard	čarodejníka
wizard	sprievodca
wizard	čarodejník
teen	teen
teen	dospievajúci
spots	škvrny
bomber	bombardér
foods	potravín
foods	jedlá
foods	potraviny
quest	výprava
quest	quest
connor	connor
screenplay	scenár
motors	motors
motors	motory
minimal	minimálny
minimal	minimálne
minimal	minimálna
muscle	svaly
muscle	sval
muscle	svalov
muscle	svalstvo
prestigious	prestížnej
sustainable	udržateľný
sustainable	udržateľné
chelsea	chelsea
strict	prísna
strict	prísne
strict	striktne
strict	prísny
kingston	kingston
sheep	ovčie
sheep	oviec
sheep	ovca
sheep	ovce
andrea	andrea
complaints	sťažností
complaints	sťažnosti
connects	spája
connects	pripája
defenders	obhajcov
richardson	richardson
triangle	trojuholník
nato	nato
teeth	zubami
teeth	zubov
teeth	zuby
occasional	príležitostné
occasional	občasné
occasional	príležitostne
strictly	prísne
strictly	striktne
harper	harper
fluid	tekutina
fluid	tekutín
fluid	kvapalina
bigger	väčšia
bigger	väčší
bigger	väčšie
fed	kŕmené
fed	kŕmil
newfoundland	newfoundland
disbanded	rozpustená
comparable	porovnateľných
comparable	porovnateľnú
comparable	porovnateľná
comparable	porovnateľný
comparable	porovnateľné
documentation	dokumentáciu
documentation	dokumentácia
documentation	dokumentácie
brien	brien
compounds	zlúčeniny
compounds	zlúčenín
edmund	edmund
naturally	prirodzene
forcing	núti
forcing	nútiť
ussr	zssr
laser	laser
laser	laserom
laser	laserové
lat	lat
sculptor	sochár
guild	spolok
guild	cech
observer	pozorovateľ
observer	pozorovateľa
worlds	svety
worlds	svetov
imprisoned	uväzniť
imprisoned	uväznený
imprisoned	uväznených
imprisoned	uväznená
wrestler	zápasník
praise	pochváliť
praise	pochvalu
praise	chváliť
praise	chvála
parishes	farností
bones	kosti
bones	kosť
bones	kostí
css	css
cox	cox
contracts	zákazky
contracts	kontrakty
contracts	zákaziek
contracts	zmluvy
consequences	následky
consequences	dôsledky
provisions	ustanovenia
provisions	rezervy
circulation	obehu
circulation	obeh
butterfly	motýľ
butterfly	motýľa
hugo	hugo
algeria	alžírska
algeria	alžírsku
algeria	alžírsko
edu	edu
sufficiently	dostatočne
armies	armády
separation	oddeľovanie
separation	oddelenie
spy	špión
spy	špióna
cliff	útes
cliff	cliff
technically	technicky
reactions	reakcie
lithuanian	litovské
lithuanian	litovský
trick	trik
curve	krivku
curve	krivky
curve	krivka
accidents	havárie
accidents	úrazy
accidents	nehody
horizontal	horizontálny
horizontal	horizontálne
horizontal	horizontálna
legends	legiend
legends	legendy
enzyme	enzým
freight	nákladné
freight	nákladná
freight	náklad
hydrogen	vodík
hydrogen	vodíka
hydrogen	vodíkový
broadcasts	vysiela
broadcasts	vysielania
viii	viii
caroline	caroline
caroline	karolína
pull	vytiahnuť
pull	potiahnuť
plymouth	plymouthu
twentieth	twentieth
cuts	kusy
cuts	diely
cuts	rezy
mediation	mediácie
mediation	sprostredkovanie
catalog	katalóg
dale	dale
synthesis	syntézu
synthesis	syntézy
rape	znásilnenie
rape	znásilniť
rape	znásilnenia
seoul	soule
seoul	soul
engagement	zapojenie
engagement	interakcia
engagement	angažovanosť
coin	minca
coin	mince
coin	mincu
lucy	lucy
platinum	platiny
twins	dvojčatá
twins	dvojičky
memories	pamäte
memories	spomienky
robertson	robertson
verified	overená
verified	overený
verified	overené
anthology	antológia
milton	milton
geological	geologické
defining	definovanie
dinner	večera
dinner	večere
hosting	hosting
thriller	thriller
retreat	ústup
retreat	ustúpiť
albany	albany
abdul	abdul
ignore	ignorovať
migration	migráciu
migration	migrácie
migration	prechod
migration	migrácia
carefully	opatrne
carefully	starostlivo
carefully	pozorne
carefully	dôkladne
sudan	sudán
sudan	sudánu
closest	najbližšia
closest	najbližší
closest	najbližšie
manages	riadi
manages	spravuje
duration	trvanie
henderson	henderson
explorer	explorer
marco	marco
fusion	fúzia
aids	aids
aids	pomôcky
gathered	zhromaždené
gathered	zhromaždili
privately	súkromne
reflected	odráža
automobile	automobil
automobile	automobile
estates	majetky
fault	vina
pound	libry
pound	libra
allegedly	údajne
delay	meškanie
delay	oddialiť
delay	oneskorenie
delay	zdržanie
delay	odložiť
developers	vývojárov
semifinals	semifinále
belfast	belfast
arctic	arktídy
arctic	arktíde
kurt	kurt
mayors	starostov
windsor	windsor
assumption	predpoklad
assumption	domnienka
assumption	predpokladu
assumption	prevzatie
plates	dosky
plates	taniere
plates	platne
fourteen	fourteen
fourteen	štrnásť
disruption	prerušenie
disruption	narušenie
monroe	monroe
hearts	srdcia
belgrade	belehrade
victories	víťazstvá
pale	bledá
pale	pale
pursuit	prenasledovanie
pursuit	prenasledovania
glory	sláva
glory	slávu
destroyer	ničiteľ
deeply	hlboko
lectures	prednášky
affiliate	affiliate
preston	preston
deceased	zosnulý
deceased	zos
deceased	zosnulého
speaks	rozpráva
speaks	hovorí
gathering	zhromažďovanie
gathering	zhromaždenie
angry	nahnevaní
angry	nahnevaný
angry	hnevať
angry	nahnevaná
incomplete	neúplná
incomplete	nedokončené
incomplete	neúplné
incomplete	neúplný
enrolled	zapísaný
enrolled	zapísaných
configuration	konfigurácia
brad	brad
skill	zručnosť
skill	zručnosti
intense	intenzívny
intense	intenzívna
intense	intenzívne
tasmania	tasmánia
commitment	odhodlanie
commitment	záväzok
commitment	angažovanosť
loved	milovaná
loved	miloval
loved	milovaný
reforms	reforiem
reforms	reformy
rulers	vládcovia
uruguay	uruguaj
sustained	trvalá
napoleon	napoleon
confirm	potvrdenie
confirm	potvrdiť
breed	plemeno
breed	plemena
auxiliary	pomocné
auxiliary	pomocný
enabled	povolené
enabled	umožnilo
enabled	zapnuté
enabled	povolená
discography	diskografia
licence	preukaz
licence	licencie
licence	licencia
refugees	utečencov
refugees	utečencom
refugees	utečenci
adrian	adrian
pipe	fajka
pipe	potrubie
pipe	rúra
karen	karen
karen	keren
altered	zmenený
altered	zmenená
budapest	budapest
budapest	budapešti
budapest	budapešť
designers	dizajnéri
heir	dediča
heir	dedič
advisor	poradca
illustrate	ilustráciu
authorized	povolené
authorized	povolená
hide	schovať
hide	skryť
announcement	oznam
announcement	oznámenie
compact	kompaktné
tissue	tkanivo
tissue	tkaniva
particles	čiastočky
particles	častíc
particles	častice
refuses	odmieta
refuses	odmietne
receiver	prijímač
civilians	civilistov
civilians	civilisti
marsh	marsh
vinyl	vinyl
delayed	meškanie
delayed	oneskorené
delayed	oneskorenie
unrelated	nesúvisí
unrelated	nesúvisia
encountered	narazili
encountered	narazil
wednesday	streda
wednesday	stredu
wednesday	stredy
checking	kontrolu
checking	preskúšanie
checking	kontrola
checking	kontrolujem
chilean	čilské
hey	hej
chambers	komnaty
chambers	komory
demo	demo
nationwide	celoštátne
agrees	súhlasí
ahmad	ahmad
santos	santos
paying	platenie
interpreted	vykladať
submit	predložiť
submit	odoslať
desired	žiadaný
desired	žiadané
desired	požadované
observatory	observatórium
problematic	problematické
springfield	springfield
kit	súpravu
kit	súprava
kit	kit
remarks	poznámky
burton	burton
monarch	monarcha
observations	postrehy
observations	pozorovanie
observations	pripomienky
observations	pozorovania
beetle	chrobáka
beetle	chrobák
promised	sľúbila
promised	sľúbili
promised	sľúbil
palomar	palomar
cream	krém
cream	smotana
cream	smotany
potter	pottera
potter	potter
copyvio	copyvio
favourite	obľúbený
favourite	obľúbená
favourite	obľúbené
transformation	premena
transformation	transformácia
transformation	premeny
transformation	transformácie
mcdonald	mcdonald
bavaria	bavorsko
kumar	kumar
nineteenth	nineteenth
gaining	získanie
gaining	naberá
gaining	získavajú
mixture	zmesi
mixture	zmes
browser	prehliadač
endangered	ohrozený
endangered	ohrozená
endangered	ohrozených
endangered	ohrozené
mate	mate
everybody	každý
everybody	vsetci
everybody	kazdy
everybody	všetci
lyon	lyon
illustration	ilustráciu
kyle	kyle
brook	brook
geometry	geometria
geometry	geometrie
ping	ping
extends	rozširuje
aggregate	súhrnnej
aggregate	súhrnný
variants	varianty
baroque	baroko
iso	iso
collapsed	skolaboval
collapsed	zrútil
neighboring	susedných
neighboring	susediace
integral	neoddeliteľnou
jake	jake
hopes	nádeje
hopes	dúfa
cornell	cornell
modes	režimy
modes	módy
servant	služobník
servant	sluha
kenny	kenny
hurt	zranená
hurt	zranený
hurt	ublížiť
maker	maker
maker	tvorca
inline	inline
inline	vložené
carlo	carlo
lynn	lynn
stability	stabilita
stability	stabilitu
stability	stálosť
hoping	dúfajúc
hoping	dúfajú
confusing	mätúce
summaries	zhrnutia
joel	joel
jets	trysky
jets	prúdové
logos	logá
logos	loga
vital	nevyhnutné
malcolm	malcolm
winnipeg	winnipegu
kilometers	kilometre
kilometers	kilometrov
buddhism	budhizmus
nose	nosa
nose	nose
nose	nos
respected	rešpektovali
respected	rešpektovať
pace	tempo
thunder	hrom
centered	sústredené
centered	sústredená
physicians	lekári
physicians	lekárov
bolivia	bolívia
forget	zabudni
forget	zabudnúť
forget	zabudnite
crops	plodiny
crops	plodín
halifax	halifax
toll	mýta
toll	mýto
monk	monk
monk	mních
extraordinary	výnimočná
extraordinary	výnimočné
extraordinary	mimoriadne
extraordinary	mimoriadna
extraordinary	mimoriadny
lessons	lekcie
lessons	ponaučenia
pub	krčme
pub	krčmy
monte	monte
maría	maría
segments	segmenty
segments	segmentov
deer	jeleň
deer	jeleňa
wireless	bezdrôtové
whenever	kedykoľvek
mysterious	tajomný
mysterious	záhadné
mysterious	tajomná
mysterious	záhadná
mysterious	tajomné
consultant	konzultant
consultant	poradcu
consultant	poradca
fraser	fraser
formats	formátov
formats	formáty
jam	jam
chicken	kurča
chicken	sliepka
chicken	kura
chicken	kuracie
enable	zapnúť
enable	povoliť
enable	umožniť
idol	idol
reid	reid
births	pôrodov
births	narodenie
amazing	úžasne
amazing	úžasné
amazing	úžasný
pet	pet
pet	zvieratko
upset	nahnevaný
upset	rozrušená
upset	nahnevaná
loves	ľúbi
loves	miluje
stretch	úsek
stretch	natiahnuť
nominate	nominovať
striking	zarážajúce
striker	útočník
accidentally	náhodne
accidentally	náhodou
accidentally	omylom
accidentally	nechtiac
louisville	louisville
hopkins	hopkins
eds	eds
goddess	bohyne
goddess	bohyňa
resumed	pokračovalo
resumed	obnovený
resumed	obnovená
resumed	obnovené
satisfy	uspokojiť
notion	pojem
voltage	napätia
voltage	napätie
betty	betty
marion	marion
geology	geológia
consistently	trvale
consistently	dôsledne
consistently	konzistentne
cyclone	cyklón
export	export
export	exportovať
export	vývoz
lightning	blesky
lightning	blesk
impressed	ohromený
maintains	udržiava
maintains	zachováva
maintains	udržuje
logical	logické
logical	logický
logical	logická
aggressive	agresívne
aggressive	agresívny
aggressive	agresívna
jin	jin
julie	julie
julie	júlia
fbi	fbi
yankees	yankees
ludwig	ludwig
pond	pond
suburban	prímestskej
enlisted	narukoval
moments	moments
moments	momenty
moments	okamihy
moments	chvíle
interim	priebežné
interim	priebežná
argues	tvrdí
argues	argumentuje
lucky	štastie
lucky	lucky
lucky	šťastie
targeted	cielené
targeted	cieľové
targeted	cielený
targeted	cielene
lon	lon
speedway	speedway
regiments	plukov
picks	vyberie
prevented	zabránila
prevented	zabránili
prevented	zabránilo
prevented	zabránil
toy	hračku
toy	hračka
bicycle	bicykel
bicycle	bicyklov
purely	čisto
interactions	interakcie
fraud	podvod
fraud	podvodom
fraud	podvody
lang	lang
arcade	herne
lecture	prednáška
lecture	prednášky
lecture	prednášku
lecture	lekcia
sanctuary	útočisko
dragons	drakov
copa	copa
careful	opatrne
careful	pozor
careful	opatrný
nurse	sestra
nurse	sestrička
rivals	súperi
module	modul
module	modulu
supplement	doplniť
supplement	príplatok
supplement	doplnok
supplement	doplnku
lens	šošovky
patron	patrón
commands	príkazov
commands	príkazy
trend	trend
trend	tendencia
superintendent	superintendant
superintendent	dozorca
gerald	gerald
rap	rap
geneva	ženeve
ash	popol
ash	ash
blade	blade
blade	čepeľ
disappeared	zmizla
disappeared	zmizli
disappeared	zmizol
predominantly	prevažne
committees	výborov
committees	výbory
loose	voľné
boom	boom
boom	bum
sailors	námorníci
beaten	zbitý
beaten	porazený
smoke	dym
smoke	dymu
smoke	fajčiť
assassination	atentát
assassination	vražda
lancaster	lancaster
reynolds	reynolds
divorce	rozvod
divorce	rozviesť
dust	prachu
dust	prach
saxon	saxon
separately	oddelene
separately	samostatne
sockpuppet	sockpuppet
grain	obilie
grain	zrná
grain	zrno
grain	zrna
executives	riaditelia
translations	preklady
translations	prekladov
zimbabwe	zimbabwe
cohen	cohen
puts	kladie
diving	potápanie
neighbouring	susedné
neighbouring	susedných
neighbouring	susediace
carroll	carrolla
carroll	carroll
accounting	účtovanie
accounting	účtovných
accounting	účtovníctvo
mesa	mesa
prussia	prusko
