και	and
πρωτεύουσα	capital
παράλληλα	parallel
σύνολο	total
οπότε	so
γνωστή	known
κατάσταση	status
κατάσταση	situation
κατάσταση	condition
νησί	island
επίπεδο	level
επιτυχία	success
γερμανία	germany
άλλους	others
πίσω	back
δημιουργία	create
δημιουργία	creation
αρχή	start
αρχή	beginning
αρχή	principle
αρχή	authority
άδεια	license
άδεια	permission
άδεια	licence
άδεια	permit
άδεια	empty
σου	sue
επιπλέον	additional
περισσότερα	more
ανάπτυξη	development
ανάπτυξη	growth
φάση	phase
φκ	fc
φκ	fk
αυτόν	him
συγγραφέας	writer
συγγραφέας	author
άγιος	agios
άγιος	saint
θάνατοι	deaths
γ΄	iii
τραγούδι	singing
τραγούδι	song
κόρη	daughter
πάλι	again
επαρχία	province
ιωάννης	john
ιωάννης	ioannis
θεσσαλονίκη	thessaloniki
αγγλικά	english
άλλοι	others
κέρδισε	win
κέρδισε	won
βασίλειο	kingdom
σκοπό	purpose
συνολικά	total
συνολικά	overall
γνωστός	known
γνωστός	acquaintance
πληροφορίες	info
πληροφορίες	information
εθνικό	national
καριέρα	career
ποτέ	never
ποτέ	ever
τέλη	fee
τέλη	fees
πλευρά	side
διάφορες	various
ανήκει	belongs
πρόγραμμα	program
πρόγραμμα	schedule
πρόγραμμα	programme
χιλιόμετρα	miles
χιλιόμετρα	kilometres
χιλιόμετρα	mileage
χιλιόμετρα	km
χιλιόμετρα	kilometers
κάτοικοι	inhabitants
κάτοικοι	residents
άρθρα	articles
γεώργιος	georgios
γεώργιος	george
τύπου	press
τύπου	type
δημοκρατία	republic
δημοκρατία	democracy
πόλεμος	war
εφημερίδα	newspaper
μικρό	small
μικρό	little
τόπος	place
τόπος	location
ονομάζεται	called
συγκεκριμένα	specific
συγκεκριμένα	specifically
είδη	species
πηγή	source
κάποιος	someone
κάποιος	somebody
πρωταθλήματα	championships
ιταλία	italy
πατέρας	father
κατηγορίες	charges
κατηγορίες	categories
αναφέρει	mentions
ποδόσφαιρο	soccer
ποδόσφαιρο	football
θέσεις	positions
θέσεις	posts
θέσεις	seats
χλμ	km
περισσότερες	more
έκταση	scope
έκταση	extent
έκταση	area
γενικά	overall
γενικά	generally
γενικά	general
σημαντικό	important
νίκη	win
νίκη	victory
νίκη	winning
μικρή	small
μικρή	little
έτη	years
πατέρα	father
αμερικανός	american
τελικό	final
πάντα	always
συγκρότημα	band
συγκρότημα	complex
παραγωγής	production
ίσως	perhaps
ίσως	maybe
επόμενη	next
στιγμή	moment
μήνες	months
αποτελείται	composed
αποτελείται	consists
θεωρία	theory
ύψος	altitude
ύψος	height
πολλοί	many
όλοι	everybody
όλοι	all
όλοι	everyone
τώρα	now
προπονητής	coach
θέατρο	theater
θέατρο	theatre
σημαντική	important
σημαντική	significant
ημέρα	day
διάφορα	miscellaneous
επέστρεψε	returned
παρέμεινε	remained
κατέκτησε	conquered
θέματα	topics
θέματα	themes
θέματα	issues
στάδιο	stadium
στάδιο	stage
χωριά	villages
επίθεση	attack
επίθεση	assault
τραγούδια	songs
έδωσε	gave
πληθυσμός	population
λέξη	word
κατάφερε	managed
προβλήματα	problems
έχοντας	having
δύναμη	strength
δύναμη	force
δύναμη	power
επανάσταση	revolution
τύπος	press
τύπος	formula
τύπος	type
εκατομμύρια	million
εκατομμύρια	millions
τέσσερις	four
πορεία	course
μέση	middle
μέση	average
μέση	waist
πρόβλημα	problem
πρόβλημα	trouble
άνω	upper
νερό	water
αγωνίστηκε	fought
τοπική	local
εντός	within
περιφέρεια	region
περιφέρεια	district
παρουσία	presence
μητέρα	mother
έξι	six
δομή	structure
παρίσι	paris
έγραψε	wrote
κατασκευή	manufacture
κατασκευή	construction
κατασκευή	construct
περιέχει	contains
περιπτώσεις	cases
ημέρες	days
μαρία	maria
μερικές	some
τιμή	price
τιμή	value
διαδικασία	process
διαδικασία	proceedings
διαδικασία	procedure
κοινό	audience
διαγραφή	erase
διαγραφή	deletion
διαγραφή	delete
απογραφή	census
απογραφή	inventory
συλλογή	collection
τρίτη	tuesday
τρίτη	third
παρακάτω	below
ναός	temple
βοήθεια	assistance
βοήθεια	help
απόσταση	distance
απόσταση	range
νέων	youth
αμέσως	immediately
αναφορά	report
αναφορά	reference
ποδοσφαιριστής	footballer
δράση	action
λιγκ	league
απλά	just
γιώργος	giorgos
γιώργος	george
γιώργος	georgios
κανείς	nobody
γεγονότα	facts
γεγονότα	events
σύντομο	short
σύντομο	brief
κράτος	state
κωνσταντίνος	konstantinos
κωνσταντίνος	constantine
στρατό	army
αγία	saint
αποτελέσματα	results
ιστορικό	background
ιστορικό	history
σπίτι	home
σπίτι	house
τζον	john
τζον	jon
αρκετές	several
τμήματα	divisions
τμήματα	segments
τμήματα	departments
τμήματα	sections
λειτουργία	function
λειτουργία	mode
λειτουργία	operation
βιβλία	books
πρωθυπουργός	premier
κείμενο	text
γραμμή	line
σχέδιο	project
σχέδιο	draft
σχέδιο	design
σχέδιο	plan
βουλευτής	member
γη	earth
γη	land
χρήστες	users
εμφανίζεται	displayed
ξανά	again
αυτοί	they
χρήστης	user
θάλασσα	sea
χρησιμοποιούνται	used
καλύτερη	better
πολιτείες	states
χρήστη	user
πληθυσμού	population
εξουσία	authority
εξουσία	power
εγώ	me
καλοκαίρι	summer
παράδοση	delivery
παράδοση	surrender
παράδοση	tradition
άνδρες	men
δίνει	gives
όσκαρ	oscars
όσκαρ	oscar
όσκαρ	oskar
ακριβώς	precisely
ακριβώς	exactly
γυναίκα	woman
γυναίκα	female
γυναίκα	wife
κλπ	etc
περιοδικό	magazine
κατάλογος	directory
κατάλογος	list
κεντρική	central
ακολούθησε	follow
ακολούθησε	followed
γλώσσες	languages
νησιά	islands
χρώμα	color
χρώμα	colour
διεθνής	international
αμερική	america
γυναίκες	women
μονή	monastery
μονή	priory
μονή	convent
σπούδασε	studied
κύρια	main
πρότυπα	templates
πρότυπα	standards
δημιουργήθηκε	created
μικρά	small
σχέσεις	relationships
σχέσεις	relations
εμφάνιση	show
εμφάνιση	display
τέσσερα	four
εγκυκλοπαίδεια	encyclopedia
αυτοκρατορία	empire
ώρες	hours
τίτλος	title
συνθήκες	treaties
συνθήκες	conditions
συνθήκες	circumstances
μελέτη	study
σχολείο	school
ειδικά	especially
υλικό	material
εάν	if
κάστρο	castle
κάστρο	castro
βουλευτές	mps
βουλευτές	meps
δυτικά	west
δυτικά	western
καλά	good
ανατολικά	east
ανατολικά	eastern
απέναντι	opposite
συνεργασία	cooperation
επιτροπή	commission
επιτροπή	committee
νίκος	nikos
άνθρωποι	humans
άνθρωποι	people
έφτασε	arrived
αρχηγός	chief
αρχηγός	leader
σύνθεση	composition
σύνθεση	synthesis
προσπάθεια	attempt
προσπάθεια	effort
τελευταίο	last
εξελέγη	elected
απόφαση	decision
αυτοκράτορα	emperor
αγορά	purchase
αγορά	marketplace
αγορά	market
πρόταση	proposal
ταυτόχρονα	simultaneously
μέρες	days
ανακαλύφθηκε	discovered
ποσοστό	percentage
ποσοστό	rate
τελική	final
καθηγητής	lecturer
καθηγητής	professor
καθηγητής	teacher
συμβούλιο	council
μέσο	instrument
μέσο	medium
γιάννης	yannis
γιάννης	giannis
συνέχισε	continue
σταθμός	station
παράγεται	produced
παράγεται	generated
έρευνα	investigation
έρευνα	survey
έρευνα	research
γέννησης	birth
δυτική	west
δυτική	western
κωνσταντινούπολη	constantinople
κωνσταντινούπολη	istanbul
έννοια	meaning
έννοια	concept
απο	from
χαρακτήρα	character
αλέξανδρος	alexandros
αλέξανδρος	alexander
δυνατότητα	possibility
θερμοκρασία	temperature
σπουδές	studied
σπουδές	studies
γενική	general
οργάνωση	organization
οργάνωση	organisation
μερικά	some
χρειάζεται	needs
όμιλος	group
επιφάνεια	surface
αγγλία	england
μετάφραση	translation
ρωσία	russia
ρώμη	rome
κορυφή	top
κορυφή	peak
βιβλιοθήκη	library
λόγους	reasons
σημαία	flag
δεδομένων	data
βρέθηκε	found
ορίζεται	defined
ενδιαφέρον	interesting
έξω	outside
έξω	out
ισπανία	spain
ρωσίας	russia
μιχαήλ	mikhail
μιχαήλ	michael
πέρασε	passed
διοίκηση	command
διοίκηση	management
διοίκηση	administration
δεξιά	right
καμία	none
εφαρμογή	implementation
εφαρμογή	app
εφαρμογή	application
σύζυγος	spouse
σύζυγος	husband
σύζυγος	wife
βραβεία	awards
βραβεία	prizes
ημερομηνία	date
συμμετείχαν	participated
ανατολική	east
ανατολική	eastern
υπουργείο	ministry
μέρη	parts
μέρη	places
μέρη	parties
αγγλική	english
λόγος	reason
λόγος	speech
παιχνίδι	game
παιχνίδι	toy
παιχνίδι	play
διοργάνωση	organisation
γαλλική	french
σχήμα	shape
σχήμα	figure
δημοτικό	elementary
φεστιβάλ	festival
φεστιβάλ	festivals
ονόματα	names
επίσημα	formally
επίσημα	officially
επιχείρηση	operation
επιχείρηση	enterprise
αποφάσισε	decided
αποφάσισε	decide
λονδίνο	london
συνθήκη	treaty
μακεδονίας	macedonia
πρόσωπο	person
πρόσωπο	face
εξέλιξη	development
εξέλιξη	evolution
κοινότητας	community
κίνηση	motion
κίνηση	move
κίνηση	traffic
κίνηση	movement
μέρα	day
κομμάτι	piece
ώρα	time
συμφωνία	agreement
λοιπόν	well
μεγάλα	large
μεγάλα	big
ιστορικά	historically
ιστορικά	historical
σκηνοθεσία	directed
σκηνοθεσία	directing
αλ	al
συγγραφείς	writers
συγγραφείς	authors
τέτοια	such
πλοία	boats
πλοία	ships
πλοία	vessels
συστήματα	systems
σημεία	points
αλλαγή	change
σημασία	importance
σημασία	significance
λέει	says
χαρακτηριστικό	characteristic
χαρακτηριστικό	feature
χαρακτηριστικό	attribute
διαίρεση	division
διαίρεση	split
διαίρεση	divide
διευθυντής	director
διευθυντής	manager
τέχνη	art
επτά	seven
διεθνές	international
δικαιώματα	rights
διαφορά	difference
κώστας	kostas
κώστας	costas
χρησιμοποιεί	uses
κατ	cat
επίδραση	influence
επίδραση	effect
βάρος	burden
βάρος	weight
ναό	temple
τροχιά	track
τροχιά	trajectory
τροχιά	orbit
τομ	tom
πρόσωπα	persons
πρόσωπα	faces
ιδέα	idea
ιστορική	historic
ιστορική	historical
αντίθεση	opposition
αντίθεση	contrast
νικόλαος	nikolaos
πίνακα	painting
υπηρεσία	agency
υπηρεσία	service
σύντομα	soon
διεθνή	international
στοιχείο	item
στοιχείο	element
ταχύτητα	velocity
ταχύτητα	speed
όρους	terms
αττικής	attica
κρήτης	crete
αεκ	aek
αεκ	img
ολυμπιακός	olympic
ολυμπιακός	olympiakos
λιγότερο	less
κυκλοφορία	traffic
κυκλοφορία	circulation
αλλαγές	changes
πειραιά	piraeus
μυθολογία	mythology
παντρεύτηκε	married
αντικείμενο	item
αντικείμενο	object
τρίτο	third
λειτουργεί	operates
πραγματικότητα	reality
στρατιωτική	military
μετάλλιο	medal
χρονικό	chronicle
ίδρυση	establishment
ίδρυση	founding
καλή	good
πλαίσιο	framework
πλαίσιο	context
έδαφος	soil
έδαφος	territory
έδαφος	terrain
έδαφος	ground
αυτοκράτορας	emperor
έδρες	seats
αναφορές	petitions
αναφορές	references
αναφορές	reports
αγωνίζεται	struggling
αγωνίζεται	struggles
πέρα	beyond
εκπαίδευση	training
εκπαίδευση	education
γάλλος	french
δημήτριος	dimitrios
δημήτριος	demetrius
δέκα	ten
δεύτερος	second
επόμενο	next
ανθρώπους	humans
ανθρώπους	people
φυσική	natural
φυσική	physics
φυσική	physical
τομέα	sector
πρωταθλητής	champ
πρωταθλητής	champion
χρυσό	golden
χρυσό	gold
πεδίο	scope
πεδίο	field
ενότητα	unity
ενότητα	section
ενότητα	module
χρησιμοποιήθηκε	used
ερμηνεία	interpretation
παγκόσμια	worldwide
παγκόσμια	global
κίνημα	movement
λεπτά	mins
λεπτά	minutes
φέρει	bring
ρεκόρ	record
κιθάρα	guitar
δεδομένα	data
έναρξη	start
έναρξη	initiation
οκτώβριο	october
ιανουάριο	january
αποστολή	sending
αποστολή	send
αποστολή	mission
χρώματα	colours
χρώματα	colors
μορφές	forms
πειραιώς	piraeus
αρχική	initial
αρχική	original
έμεινε	stayed
ύπαρξη	existence
ακολουθεί	following
ακολουθεί	follows
ήττα	defeat
διεθνείς	international
τόμος	volume
νέος	new
νέος	young
θρόνο	throne
γερμανική	german
δημήτρης	demetris
δημήτρης	dimitrios
δημήτρης	dimitris
δημήτρης	dimitri
σκορ	score
σκορ	scores
φωνητικά	vocals
φωνητικά	vocal
εσωτερικό	interior
εσωτερικό	internal
εσωτερικό	inner
ενέργεια	energy
μοντέλο	model
στρατιώτες	soldiers
στρατιώτες	troops
πώς	how
γερμανός	german
αφρική	africa
επιλογή	selection
επιλογή	option
επιλογή	choice
επιλογή	choose
επιλογή	select
σεπτέμβριο	september
στρατός	military
στρατός	army
περισσότεροι	more
παραμένει	remains
επιθέσεις	attacks
επιθέσεις	assaults
ιούνιο	june
σελίδες	pages
περιβάλλον	environment
χώρος	space
σύνταγμα	regiment
σύνταγμα	constitution
σύγχρονη	modern
σύγχρονη	contemporary
αθλητές	athletes
υψόμετρο	altitude
υψόμετρο	elevation
μπροστά	forward
μπροστά	front
περιεχόμενο	content
περιεχόμενο	contents
ιδιότητες	attributes
ιδιότητες	properties
ευρωπαϊκή	european
ορισμένες	certain
αντίδραση	reaction
αντίδραση	response
ασία	asia
επιχειρήσεις	businesses
επιχειρήσεις	enterprises
αιώνας	century
υπόθεση	case
αριστερά	left
ήρθε	came
αγωνιστική	racing
εκδοχή	version
καλύτερα	better
καλύτερα	best
μεγάλος	big
λίστα	list
έκθεση	report
έκθεση	exhibition
έκθεση	exposure
οικονομικών	finance
καλό	good
οξύ	acid
πλατεία	square
μάρτιο	march
προστασία	protection
απεβίωσε	deceased
επέκταση	extension
επέκταση	expansion
προσωπική	personal
πράξη	act
αχαΐας	achaea
καταγωγή	origin
καταγωγή	origins
μικρογραφία	thumbnail
πήγε	went
αγώνας	race
αγώνας	struggle
αγώνας	match
αγώνας	fight
υπηρεσίες	services
στόχο	objective
στόχο	target
στόχο	goal
πλαίσια	frames
πλαίσια	frameworks
εκστρατεία	campaign
κύπρο	cyprus
επιστροφή	refund
επιστροφή	return
αύγουστο	august
ουσιαστικά	essentially
λίμνη	pond
λίμνη	lake
περιλαμβάνουν	include
ιούλιο	july
ηθοποιοί	actresses
ηθοποιοί	actors
εργάστηκε	worked
κριτική	criticism
κριτική	criticisms
κείμενα	texts
λάθος	incorrect
λάθος	wrong
λάθος	error
λάθος	mistake
γραμμές	rows
γραμμές	lines
επεξεργασία	edit
επεξεργασία	processing
νίκες	wins
νίκες	victories
βιογραφικά	résumés
βιογραφικά	cvs
βιογραφικά	resumes
διαφορετικά	different
διαφορετικά	otherwise
γρήγορα	quick
γρήγορα	fast
γρήγορα	quickly
άρη	ares
άρη	mars
άνθρωπος	human
άνθρωπος	man
έφερε	brought
έπαιξε	played
εδάφη	territories
εδάφη	soils
σύνορα	borders
σύνορα	frontiers
σύνορα	border
σύνορα	frontier
αεροσκάφη	aircraft
πλοίο	vessel
πλοίο	ship
πλοίο	boat
ομοσπονδία	federation
αρχίζει	begins
αρχίζει	starts
διοικητική	administrative
λα	la
γήπεδο	stadium
κανένα	none
δεκέμβριο	december
αμερικανοί	american
αμερικανοί	americans
απρίλιο	april
καλύτερο	better
καλύτερο	best
υποστήριξη	supporting
υποστήριξη	support
δημιούργησε	created
κοινοβούλιο	parliament
γερμανικά	german
ζωγράφος	painter
διοικητής	commandant
διοικητής	commander
δημόσια	public
αύξηση	increase
αύξηση	raise
εμφανίσεις	impressions
εμφανίσεις	sightings
γύρο	round
δίσκο	disc
δίσκο	disk
δίσκο	tray
χρησιμοποιώντας	using
υπηρέτησε	served
κοινή	common
αξίωμα	axiom
αστεροειδής	asteroids
αστεροειδής	asteroid
νοέμβριο	november
μήνα	month
πάτρα	patras
πάτρα	patra
πολιτισμού	culture
γράφει	writes
φαινόμενο	phenomenon
κράτη	states
άγιο	holy
γαλλικά	french
τουρκία	turkey
δρόμο	road
λιμάνι	port
λιμάνι	harbour
ηνωμένο	united
ποιητής	poet
συνέπεια	consistency
συνέπεια	consequence
δείχνει	shows
πρόεδρο	president
μνήμη	memory
χέρια	arms
χέρια	hands
κανόνες	rules
αρχαίοι	ancients
διατήρηση	preservation
διατήρηση	maintenance
διατήρηση	conservation
διατήρηση	retention
βουλή	parliament
παιδί	kid
παιδί	child
δίπλα	adjacent
εικόνες	pictures
εικόνες	images
εθνικότητα	nationality
τελευταίος	last
ενώσεις	associations
ενώσεις	compounds
θέλει	wants
σκηνή	scene
σκηνή	tent
εισαγωγή	introduction
εισαγωγή	import
εισαγωγή	insert
μεταφορά	transportation
μεταφορά	transfer
μεταφορά	transport
εξωτερικό	external
εξωτερικό	abroad
άτομο	person
άτομο	atom
εργασία	work
εργασία	labour
καταγωγής	originating
γερμανοί	german
γερμανοί	germans
τάξη	classroom
τάξη	class
τάξη	order
διορίστηκε	appointed
παρελθόν	past
παλαιότερα	formerly
δουλειά	job
δουλειά	work
συμπεριφορά	behaviour
συμπεριφορά	attitude
συμπεριφορά	behavior
βόρειο	northern
απόψεις	opinions
απόψεις	views
άνθρακα	coal
άνθρακα	carbon
κοινωνία	society
οκτώ	eight
σύμβολο	symbol
προσθήκη	addition
προσθήκη	add
ισραήλ	israel
άρης	aris
άρης	ares
άρης	mars
καναδά	canada
παιχνίδια	games
παιχνίδια	toys
κομμάτια	pieces
ανάλυση	breakdown
ανάλυση	analysis
κόκκινο	red
ηλιακό	solar
δίσκος	album
δίσκος	disc
δίσκος	disk
δίσκος	tray
πρωταθλήτρια	champion
ροκ	rock
αντικείμενα	items
αντικείμενα	objects
ενέργειας	energy
ζώνη	zone
ζώνη	belt
σύλλογοι	associations
σύλλογοι	clubs
σχέδια	designs
σχέδια	plans
σχέδια	projects
σχέδια	drawings
χιλιάδες	thousands
δίκτυο	network
φως	light
πραγματικό	real
παραπομπές	references
μικρές	small
πίνακας	table
πίνακας	painting
απάντηση	answer
απάντηση	reply
παρόμοια	similar
απόλυτο	absolute
περιλαμβάνονται	included
περιλαμβάνονται	includes
αποκλειστικά	exclusive
αποκλειστικά	exclusively
νότιο	southern
νότιο	south
πολιτικές	policies
ανήκε	belonged
ανήκουν	belong
νόμος	law
πράγματα	things
πράγματα	stuff
οποιαδήποτε	any
άννα	anna
απλώς	just
έζησε	lived
σκηνοθέτης	director
ιαπωνία	japan
σειρές	series
σειρές	rows
φον	fawn
φον	von
ολυμπιακό	olympic
εμφανίστηκε	appeared
χαρακτηρίζεται	characterized
δολάρια	dollars
λίγες	few
τρόπος	way
κεντρικό	central
ακαδημίας	academy
πέτυχε	succeeded
βαθμούς	grades
καταστροφή	disaster
καταστροφή	catastrophe
καταστροφή	destruction
φύση	nature
ναι	yes
ναι	yeah
όργανα	instruments
όργανα	institutions
τιμές	prices
τιμές	values
πίεση	pressure
βασίλισσα	queen
κόμματα	commas
κόμματα	parties
χαρακτήρες	characters
πολιτικό	politician
πολιτικό	political
φιλοσοφία	philosophy
συμμετέχει	participates
χημική	chemical
βίντεο	video
βίντεο	videos
ασίας	asia
ίδρυσε	founded
παλιά	old
μονάδα	unit
βρετανία	britain
στρατηγός	general
εξαιρετικά	extremely
εξαιρετικά	excellent
οικονομικά	economics
ίδρυμα	foundation
ίδρυμα	institution
κάποιον	someone
διεύθυνση	directorate
διεύθυνση	address
υπόλοιπα	rest
υπόλοιπα	balances
πάπας	pope
σταθμό	station
σχετική	relative
σχετική	relevant
σχετική	related
αρχιτεκτονική	architecture
προπονητές	coaches
δραστηριότητα	activity
τεχνική	technical
τεχνική	technique
διαμέρισμα	flat
διαμέρισμα	apartment
γράμματα	tails
γράμματα	letters
μακεδονία	macedonia
πιθανώς	probably
πιθανώς	possibly
ανδρέας	andreas
κάποιοι	some
εθνικός	national
υόρκη	york
βασιλική	basilica
βασιλική	royal
μνημείο	landmark
μνημείο	memorial
μνημείο	monument
τζέιμς	james
μονάδες	units
είπε	said
γονείς	parents
δημοτική	municipal
πανελλήνιο	panhellenic
μάχες	fights
μάχες	fighting
μάχες	battles
πολιτικά	politics
πολιτικά	politically
καθεστώς	status
καθεστώς	scheme
καθεστώς	regime
ρωμαϊκή	roman
λογική	rationale
λογική	logical
λογική	logic
βυζαντινή	byzantine
ερτ	ert
αφρικής	african
κριτήρια	criteria
άμεσα	directly
ολυμπιακούς	olympics
μοναδικό	unique
δικαιωμάτων	rights
ακολούθησαν	followed
εσωτερικών	interior
κατακτήσει	conquer
όρια	boundaries
όρια	limit
όρια	limits
λύση	solution
φυσικό	natural
συνθέτης	songwriter
συνθέτης	composer
αίγυπτο	egypt
τρέχουσα	current
κώδικα	code
αέρα	air
εύκολα	easily
δήλωσε	declared
ακαδημία	academy
πτώση	decline
πτώση	falling
πτώση	drop
πτώση	fall
ζαν	jean
ζαν	jeanne
κτίριο	building
προσωπικό	personal
προσωπικό	personnel
προσωπικό	staff
αυστραλία	australia
κίνα	china
επαρχίες	provinces
παίκτης	player
κοινωνική	social
θητεία	tenure
φεβρουάριο	february
