bordure	borda
arrestation	detenção
daté	datado
cristal	cristal
combinaison	combinação
favoriser	favorecer
taxe	imposto
radar	radar
malaisie	malásia
nominations	nomeações
terminée	concluída
terminée	concluído
nés	nascidos
insurrection	revolta
repas	refeições
éthique	ética
hesse	hesse
arms	arms
bâti	montagem
halle	halle
luxe	luxo
estimée	estimada
maîtresse	amante
lorenzo	lorenzo
grenade	granada
rob	rob
casablanca	casablanca
dennis	dennis
traitant	tratando
mail	mail
qualifier	qualificar
mobilier	mobiliário
compositeurs	compositores
artisans	artesãos
cat	cat
wood	wood
bourges	bourges
strictement	estritamente
tâches	tarefas
trouvant	encontrando
impératrice	imperatriz
ressort	mola
gère	gerencia
marquer	marcar
chartres	chartres
décoré	decorado
humides	molhado
léo	léo
léo	leo
hof	hof
condé	condé
contraintes	restrições
détective	detetive
cohen	cohen
conçue	projetado
sarkozy	sarkozy
pole	pole
wagner	wagner
mondes	mundos
wurtemberg	württemberg
salomon	salomão
barbe	barba
allié	aliado
prouver	provar
proposant	proponente
proposant	propondo
dette	dívida
auront	terão
dream	dream
moyennes	médias
meurthe	meurthe
bibliothèques	bibliotecas
cru	cru
dessert	sobremesa
blake	blake
nationaliste	nacionalista
peuplée	povoada
expert	perito
expert	especialista
normand	normando
attache	amarra
déroulent	desenrolam
lourde	pesada
holmes	holmes
faisaient	faziam
renard	raposa
esclavage	escravidão
video	video
magnétique	magnético
mississippi	mississippi
collègues	colegas
ille	ille
attire	atrai
graines	sementes
rébellion	rebelião
républicaine	republicana
rtl	rtl
nova	nova
isolées	isolados
isolées	isoladas
percussions	percussão
fixé	fixado
tueur	assassino
envoyés	enviados
galeries	galerias
apparente	aparente
parlent	falam
provincial	provincial
évident	óbvio
coûts	custos
auxerre	auxerre
libérer	libertar
munitions	munições
divine	divina
warren	warren
observe	observa
bouddhisme	budismo
fraction	fração
présentés	apresentados
aidé	ajudado
opera	opera
opera	ópera
concepts	conceitos
harmonie	harmonia
magnus	magnus
révélé	revelado
parlementaires	parlamentares
renseignements	informações
collins	collins
blocs	blocos
voulant	querendo
acheté	comprei
acheté	comprou
acheté	comprado
ouvertes	abertas
bolivie	bolívia
coupé	cortado
#aaa	#aaa
législation	legislação
immeubles	imóveis
localement	localmente
cerf	veado
courtes	curtas
oblige	obriga
proportion	proporção
palatinat	palatinado
noces	bodas
poméranie	pomerânia
link	link
sylvie	sylvie
posthume	póstumo
wolfgang	wolfgang
reçoivent	recebem
bal	baile
câble	cabo
mers	mares
amoureuse	apaixonada
lost	lost
johan	johan
cbs	cbs
reconstruit	reconstruído
canaux	canais
figaro	figaro
exercer	exercitar
brièvement	brevemente
envergure	envergadura
implantation	implantação
irlandaise	irlandês
boucle	laço
boucle	loop
produisent	produzem
maçonnerie	alvenaria
chevet	cabeceira
slovénie	eslovénia
correctement	corretamente
piliers	pilares
disposent	disponham
coordination	coordenação
talents	talentos
doux	doce
pères	pais
capables	capazes
partagé	partilhado
partagé	compartilhado
achevé	concluído
joint	junção
joint	junta
syndicats	sindicatos
immédiate	imediata
immédiate	imediato
nigeria	nigéria
lou	lou
gaulois	gauleses
émilie	emília
convaincu	convencido
malades	doentes
leonard	leonard
concession	concessão
concession	concessões
hainaut	hainaut
inspirée	inspirada
inspirée	inspirado
dérive	deriva
eurovision	eurovisão
égyptien	egípcio
évêché	bispado
naturaliste	naturalista
tort	errado
juges	juízes
hms	hms
avantages	benefícios
avantages	vantagens
prévention	prevenção
keith	keith
dommages	dano
dommages	danos
prononce	pronuncia
eglise	igreja
organique	orgânica
organique	orgânico
impôt	imposto
vengeance	vingança
bombardement	bombardeio
bombardement	bombardeamento
guadeloupe	guadalupe
violoncelle	violoncelo
impliqué	implicado
impliqué	envolvido
ancêtre	ancestral
datent	datam
memorial	memorial
sfondo	sfondo
stage	estágio
chantiers	estaleiros
bros	bros
demain	amanhã
nasa	nasa
mensuel	mensal
équipée	equipada
équipée	equipado
dakar	dakar
souveraineté	soberania
profond	profundo
occitan	occitano
spécialisés	especializados
continuité	continuidade
attend	espera
intensité	intensidade
protéines	proteína
protéines	proteínas
récent	recente
accompagnée	acompanhada
accompagnée	acompanhado
hollandais	holandês
intéressé	interessado
map	map
décrire	descrever
sauveur	salvador
éclairage	iluminação
betty	betty
haye	haia
rochefort	rochefort
assurée	assegurada
vernaculaire	vernáculo
martinique	martinica
esp	esp
mathématique	matemática
ita	ita
baccalauréat	bacharel
gonzález	gonzález
wikidata	wikidata
dialogues	diálogos
appliquée	aplicado
appliquée	aplicada
touchées	afetadas
passes	passes
mesurer	medir
mesurer	medição
joachim	joaquim
joachim	joachim
sèvres	sèvres
gallois	galês
jupiter	júpiter
protestante	protestante
wwe	wwe
marquant	marcando
grace	grace
précipitations	precipitação
marianne	marianne
bohême	boémia
sidi	sidi
paire	par
console	consola
console	console
tombes	túmulos
adolf	adolf
récents	recentes
réservoir	reservatório
approfondir	aprofundar
transformée	transformada
more	more
linda	linda
élevés	elevados
connaissent	conhecem
vocabulaire	vocabulário
missile	míssil
appelait	chamava
utiles	úteis
glasgow	glasgow
écoute	escuta
écoute	ouve
harrison	harrison
wallonie	valónia
représentés	representados
anneaux	anéis
cyr	cyr
fuir	fugir
sentier	trilha
richelieu	richelieu
get	get
croisade	cruzada
boxeur	pugilista
parisiens	parisienses
qualifiée	qualificada
fifa	fifa
was	was
finance	finanças
vedette	destaque
critère	critério
communément	comumente
stanislas	stanislas
tensions	tensão
lucie	lúcia
rica	rica
casse	capitalização
casse	quebra
bête	besta
immobilier	imóveis
immobilier	imobiliário
impôts	impostos
brigitte	brigitte
fresques	frescos
pattes	patas
économiste	economista
adapter	adaptar
disparaître	desaparecer
verbe	verbo
bull	boi
bull	bull
reconstruite	reconstruído
reconstruite	reconstruída
adopter	adotar
craig	craig
évalué	avaliado
saintes	santas
rond	redondo
bnf	bnf
érigé	erguido
rudolf	rudolf
pokémon	pokémon
linux	linux
commandée	encomendado
retable	retábulo
fabricant	fabricante
syntaxe	sintaxe
celtique	celta
singapour	cingapura
michelle	michelle
joie	alegria
costume	traje
puissants	poderosos
hymne	hino
douleur	dor
restauré	restaurado
gay	gay
vitraux	vitrais
intense	intensa
intense	intenso
rendus	prestados
appartiennent	pertencem
vegas	vegas
chimiste	químico
flash	flash
pacte	pacto
analyses	análises
foire	feira
renvoie	devolve
renvoie	retorna
excellence	excelência
plateforme	plataforma
reprenant	retomando
stock	estoque
stock	stock
traversé	atravessado
fritz	fritz
corruption	corrupção
dépenses	despesas
vampire	vampiro
consultation	consulta
comtés	condados
platine	platina
perrin	perrin
pin	pin
angelo	angelo
moreau	moreau
augmenté	aumentado
haïti	haiti
pédagogique	pedagógico
nécessairement	necessariamente
cécile	cecília
cécile	cecile
return	return
loge	camarote
tissu	tecido
abside	abside
continu	contínuo
mets	mets
rire	riso
rire	rir
créations	criações
coupable	culpado
report	report
report	adiamento
cylindres	cilindros
quais	cais
monténégro	montenegro
terreur	terror
temporaire	temporário
temporaire	temporária
verlag	verlag
wang	wang
brooklyn	brooklyn
ultra	ultra
fourni	fornecido
fourni	fornecida
sonde	sonda
tante	tia
baltimore	baltimore
télécommunications	telecomunicações
assurances	seguradora
vélo	bicicleta
cloche	campainha
stabilité	estabilidade
rabbin	rabino
marketing	marketing
dotée	dotada
simultanément	simultaneamente
essonne	essonne
touché	tocado
touché	tocou
nicholas	nicholas
globalement	globalmente
attirer	atrair
exploitant	operador
végétation	vegetação
souffle	sopro
souffle	respiração
pol	pol
diagnostic	diagnóstico
caraïbes	caraíbas
sacrée	sagrado
sacrée	sagrada
casino	casino
musulman	muçulmano
amené	trazido
observé	observado
serre	estufa
complot	conspiração
voyant	vendo
appris	aprendi
appris	aprendeu
mountain	mountain
fan	fã
fan	fan
sara	sara
remarqué	notado
taïwan	taiwan
faces	faces
müller	müller
mammifères	mamíferos
potter	potter
doré	dourado
toscane	toscana
bain	banho
rêves	sonhos
chômage	desemprego
signaler	denunciar
marina	marina
temples	templos
antilles	antilhas
survivants	sobreviventes
étroite	estreito
métallique	metálico
xbox	xbox
occidentaux	ocidentais
entourée	cercado
contacts	contatos
poudre	pó
avertissement	aviso
continental	continental
occupant	ocupante
travaillent	trabalham
prolongement	prolongamento
abandonnée	abandonada
frederick	frederick
géré	gerido
ring	ring
théologien	teólogo
lever	levantar
lever	nascer
algorithme	algoritmo
buste	busto
humide	molhado
catalan	catalão
modern	modern
contrats	contratos
censure	censura
chapelles	capelas
parade	parada
indicatif	indicativo
bush	bush
marathon	maratona
solitaire	solitário
lombardie	lombardia
algérienne	argelina
lazare	lázaro
aveyron	aveyron
justifier	justificar
baies	bagas
beauvais	beauvais
avr	avr
perpignan	perpignan
peste	peste
wallace	wallace
instructions	instruções
controverse	controvérsia
musulmane	muçulmana
fonder	fundar
angles	ângulos
autorise	autoriza
aaron	aaron
soudan	sudão
regarder	assistir
regarder	olhar
lama	lama
détenu	detido
murphy	murphy
purement	puramente
divorce	divórcio
cook	cook
manhattan	manhattan
hardy	hardy
parme	parma
paiement	pagamento
imposant	impondo
fair	fair
systématique	sistemático
systématique	sistemática
rémy	rémy
prochain	próxima
morris	morris
survie	sobrevivência
collégiale	colegial
hydrogène	hidrogénio
hydrogène	hidrogênio
provoquer	provocar
igor	igor
métaux	metais
parrain	padrinho
km²	km²
révélation	revelação
hudson	hudson
avoue	confessa
fabrice	fabrice
gravité	gravidade
valérie	valerie
groupement	agrupamento
belfort	belfort
pente	inclinação
multi	multi
adhésion	adesão
remparts	muralhas
kid	kid
apple	apple
karen	karen
drôme	drôme
nazi	nazista
nazi	nazi
consacrés	consagrados
moral	moral
chanoine	cónego
period	period
narrateur	narrador
inscrire	inscrever
complément	complemento
futurs	futuros
traverser	atravessar
pacific	pacific
dons	doações
ignore	ignora
patrie	pátria
malo	malo
sèche	seca
oxygène	oxigénio
oxygène	oxigênio
ampleur	amplitude
molécules	moléculas
signée	assinada
céramique	cerâmica
uss	uss
judaïsme	judaísmo
pauvreté	pobreza
sévère	severo
sévère	severa
souligne	destaca
exemplaire	exemplar
exemplaire	cópia
wings	wings
enregistrer	gravar
monstre	monstro
acides	ácidos
séparés	separados
morales	morais
perry	perry
roubaix	roubaix
commerces	comércio
brève	breve
anthologie	antologia
positive	positivo
positive	positiva
substance	substância
geste	gesto
numériques	digitais
matrice	matriz
nfl	nfl
sardaigne	sardenha
escrime	esgrima
perception	percepção
charleroi	charleroi
axes	eixos
significations	significados
descendance	descendência
mayer	mayer
appartenance	pertença
commonwealth	commonwealth
retenue	retenção
gregory	gregory
arménien	arménio
domestique	doméstico
plongée	mergulho
étymologie	etimologia
composants	componentes
rival	rival
patriarche	patriarca
constituant	constituinte
dominant	dominante
dominant	dominando
julian	julian
carburant	combustível
téléchargement	download
voler	voar
sigle	sigla
dubois	dubois
identifié	identificado
successives	sucessivas
vaucluse	vaucluse
honneurs	honras
capturé	capturado
capturé	capturados
jet	jet
enterrée	enterrada
riz	arroz
constance	constança
affichage	exibir
affichage	visualização
guatemala	guatemala
extraordinaire	extraordinário
chan	chan
postérité	posteridade
médicis	médici
doyen	reitor
extérieurs	exteriores
bridge	bridge
décédée	falecida
créatures	criaturas
otan	otan
otan	nato
patinage	patinagem
perdent	perdem
indispensable	indispensável
révision	revisão
const	const
préliminaire	preliminar
name	name
bulle	bolha
alessandro	alessandro
modifiée	alterada
pensent	pensam
pete	pete
médicaments	medicamentos
cricket	críquete
ancêtres	antepassados
olga	olga
développés	desenvolvido
développés	desenvolvidos
touristes	turistas
terrible	terrível
indépendantes	independentes
demandant	perguntando
demandant	pedindo
battle	battle
hilaire	hilaire
confondre	confundir
mobiles	móveis
barrière	barreira
soie	seda
essayé	tentou
essayé	tentei
acoustique	áudio
colonial	colonial
marches	degraus
amicalement	amigavelmente
intellectuelle	intelectual
aluminium	alumínio
composées	compostas
piège	armadilha
biélorussie	bielorrússia
doc	doc
citations	citações
tubes	tubos
écho	eco
thématique	temática
industrielles	industriais
tragédie	tragédia
mozart	mozart
organiste	organista
excellent	excelente
hart	hart
entraîner	treinar
hôtels	hotéis
arras	arras
diminution	diminuição
horizon	horizonte
gorge	garganta
silver	silver
pauline	pauline
offrant	oferecendo
indiquent	indicam
hugh	hugh
amphibiens	anfíbios
durand	durand
océanie	oceania
kenya	quénia
pilier	pilar
diamant	diamante
quinzaine	quinzena
drogue	droga
drogue	drogas
soutenue	apoiada
derby	derby
libertés	liberdades
magazines	revistas
tennessee	tennessee
chaos	caos
chanter	cantar
abrégé	abreviado
historiquement	historicamente
fusil	espingarda
fusil	fuzil
maintient	mantém
maintient	mantem
marx	marx
couverte	coberta
reliques	relíquias
roberts	roberts
broadway	broadway
législatif	legislativo
rotterdam	roterdão
salaire	salário
rappeur	rapper
plaines	planície
watson	watson
permettra	permitirá
prêté	emprestado
prêté	emprestou
achevée	concluída
réels	reais
préféré	preferido
préféré	favorito
ingénierie	engenharia
bayonne	bayonne
cède	cede
clara	clara
bataillons	batalhões
pérez	pérez
ouverts	abertas
ouverts	abertos
magistrat	magistrado
chanteurs	cantores
automobiles	automóveis
admissible	elegível
ethnique	étnico
ethnique	étnica
haies	sebes
haies	barreiras
flanc	flanco
randonnée	caminhadas
chambéry	chambéry
vignes	vinhas
juridiques	jurídicas
folk	folk
portails	portais
billets	bilhetes
apogée	apogeu
obtenue	obtida
proposent	propõem
antarctique	antártida
contenir	conter
conducteur	condutor
étendu	expandido
étendu	estendido
interdite	proibido
how	how
proviennent	provêm
sphère	esfera
lévy	lévy
libye	líbia
sortis	saídos
choisie	escolhida
chirurgie	cirurgia
sent	sente
oublié	esquecido
résidences	residências
grammaire	gramática
critics	critics
yann	yann
mineure	menor
mineure	minor
balles	balas
légendaire	lendário
tigre	tigre
compromis	compromisso
horloge	relógio
middle	middle
séoul	seul
partager	compartilhar
partager	partilhar
pluriel	plural
omar	omar
monica	monica
rey	rey
dépôts	depósitos
josef	josef
michèle	michèle
pommes	maçãs
vannes	válvulas
haine	ódio
motte	motte
poussée	impulso
poussée	empurrão
giorgio	giorgio
picard	picard
nommer	nomear
set	set
lettonie	letónia
alerte	alerta
fermes	fazendas
échappe	escapa
copies	cópias
restaurer	restaurar
annecy	annecy
edwards	edwards
raid	raid
english	english
distances	distâncias
gardiens	guardiões
plafond	teto
piscine	piscina
minorité	minoria
california	california
ronald	ronald
charité	caridade
exceptionnelle	excepcional
allée	beco
sienne	siena
emily	emily
explications	explicações
abel	abel
cave	cave
dessiné	desenhado
about	about
acquérir	adquirir
séparé	separado
graphe	grafo
enregistrée	registada
archéologue	arqueólogo
passés	passado
recommandations	recomendações
plainte	denúncia
hippolyte	hippolyte
activement	ativamente
doubles	duplos
idéologie	ideologia
summer	summer
cage	jaula
cage	gaiola
préserver	preservar
tronçon	segmento
tronçon	trecho
banc	bancada
souverains	soberanos
copyright	copyright
gaule	gália
martine	martine
indochine	indochina
garden	garden
ménages	famílias
buffalo	buffalo
juriste	jurista
enlever	remover
démographie	demografia
sonate	sonata
asiatique	asiática
asiatique	asiático
regarde	olha
joueuses	jogadoras
occidentales	ocidentais
suffixe	sufixo
corde	corda
geoffroy	geoffroy
oklahoma	oklahoma
documentaires	documentários
sep	sep
pâte	massa
xviii	xviii
organisateur	organizador
papa	pai
rames	remo
rames	remos
florent	florent
archidiocèse	arquidiocese
imagine	imagina
ordinateurs	computadores
tables	mesas
bassiste	baixista
jessica	jessica
gang	gangue
gang	gang
préalable	prévio
martial	marcial
bouton	botão
toucher	tocar
toucher	toque
now	now
aoste	aosta
combattant	lutador
combattant	combatente
combattant	lutando
tropicale	tropical
fossiles	fóssil
fossiles	fósseis
citadelle	cidadela
plastique	plástico
exister	existir
décider	decidir
menaces	ameaças
ventre	barriga
carrières	carreiras
identiques	idênticas
identiques	idênticos
quelles	quais
mécaniques	mecânicos
vicaire	vigário
plages	praias
barrages	barragens
mayence	mainz
réguliers	regulares
réguliers	regular
entraîné	treinado
brasserie	cervejaria
prestige	prestígio
empare	apodera
châtillon	châtillon
missionnaire	missionário
rico	rico
vendue	vendida
favorables	favoráveis
protestant	protestante
spirituel	espiritual
priorité	prioridade
constitutionnelle	constitucional
rivalité	rivalidade
valentin	valentin
valentin	valentim
plaisance	recreio
problématique	problemática
problématique	problemático
church	church
précédé	precedido
sex	sex
danseuse	bailarina
danseuse	dançarina
conforme	conforme
earth	earth
violent	violento
démon	demônio
constructeurs	construtores
arcades	arcadas
madonna	madonna
sourire	sorriso
régler	ajustar
carrés	quadrado
carrés	quadrados
sommeil	sono
digne	digno
digne	digna
saoudite	saudita
perdus	perdidos
chirurgien	cirurgião
défi	desafio
rite	rito
consulat	consulado
schmidt	schmidt
descend	desce
indigènes	nativos
obtention	obtenção
cinéaste	cineasta
magnifique	linda
magnifique	maravilhosa
magnifique	lindo
classic	classic
hôpitaux	hospitais
divinité	divindade
ukrainien	ucraniano
confiée	confiada
amanda	amanda
afro	afro
tigers	tigers
démontrer	demonstrar
intellectuels	intelectuais
périodique	periódico
périodique	periódica
stevens	stevens
trilogie	trilogia
précieux	precioso
indication	indicação
installent	instalam
danube	danúbio
traversant	atravessando
centenaire	centenário
donjon	masmorra
croissant	crescente
jul	jul
animée	animada
affluence	afluência
amant	amante
caps	caps
légal	legal
incapable	incapaz
prévenir	prevenir
batman	batman
tibétain	tibetano
carmen	carmen
jungle	selva
assomption	assunção
condamnation	condenação
légitime	legítima
légitime	legítimo
rentrée	reentrada
let	let
biodiversité	biodiversidade
lys	lírio
rail	carril
disparus	desaparecidos
cou	pescoço
billboard	billboard
accidents	acidentes
blois	blois
kazakhstan	cazaquistão
spectre	espectro
ajoutant	adicionando
ajoutant	acrescentando
transcription	transcrição
violoniste	violinista
achille	aquiles
édit	édito
tag	tag
profiter	aproveitar
sandra	sandra
intégralité	integralidade
laissent	deixam
una	una
hésite	hesita
datée	datado
élémentaire	elementar
disposant	dispondo
recrutement	recrutamento
rohan	rohan
procédures	procedimentos
présidé	presidido
terminal	terminal
explorer	explorar
explorer	explorer
partition	partição
couples	casais
considérant	considerando
ana	ana
reconnus	reconhecidos
plastiques	plásticos
violation	violação
conservateurs	conservadores
entrent	entram
rappel	lembrete
incarne	encarna
plats	pratos
neuchâtel	neuchâtel
orchestra	orchestra
cameron	cameron
miracle	milagre
amédée	amadeu
gène	gene
formés	formados
cfa	cfa
deutsche	deutsche
anarchiste	anarquista
disputée	disputada
graphiques	gráficos
monétaire	monetária
monique	monique
parallèles	paralelas
parallèles	paralelo
créature	criatura
accusations	acusações
apporté	trazido
négatif	negativo
juger	julgar
résidents	residentes
résidents	moradores
provoqué	provocado
opérateurs	operadores
toiles	telas
martínez	martínez
albanie	albânia
thé	chá
assister	assistir
armor	armor
enregistrés	registrados
enregistrés	registados
connexion	login
connexion	ligação
connexion	conexão
briques	tijolos
opinions	opiniões
distribué	distribuída
distribué	distribuído
tranche	fatia
bonnet	bonnet
partisan	partidário
dumas	dumas
revoir	rever
coque	casco
cloud	nuvem
cloud	cloud
confié	confiado
boutique	loja
knight	knight
accuse	acusa
colloque	colóquio
suspendu	suspenso
felix	felix
under	under
diffuse	divulga
mare	mare
exigences	exigências
exigences	requisitos
homonyme	xará
castro	castro
inventé	inventou
inventé	inventado
sidney	sidney
ténor	tenor
aveugle	cego
aveugle	cega
ferry	ferry
espionnage	espionagem
vies	vidas
segment	segmento
tabac	tabaco
scalemajor	scalemajor
libérale	liberal
timeaxis	timeaxis
étendre	expandir
étendre	estender
tutelle	tutela
side	side
monarque	monarca
réunions	reuniões
nbc	nbc
butler	butler
tissus	tecidos
suffisante	suficiente
review	review
spencer	spencer
dépasser	ultrapassar
connecticut	connecticut
afficher	mostrar
affronte	enfrente
affronte	enfrenta
dominante	dominante
entités	entidades
sélectionnés	selecionados
pensez	pense
quels	quais
hercule	hércules
forcé	forçado
zur	zur
solde	saldo
récolte	colheita
gustav	gustav
attaqué	atacado
oregon	oregon
apprécié	apreciada
apprécié	apreciado
cape	capa
diff	diff
procéder	proceder
fonctionner	funcionar
monté	montado
artificielle	artificial
jésuite	jesuíta
then	then
voyageur	viajante
traitements	tratamentos
leslie	leslie
serpents	cobras
serpents	serpentes
entourage	comitiva
cuir	couro
reporter	repórter
imagesize	imagesize
utah	utah
carnaval	carnaval
library	library
condamnés	condenados
essayiste	ensaísta
cacher	esconder
neuilly	neuilly
intrigue	enredo
plotarea	plotarea
kentucky	kentucky
disent	dizem
schneider	schneider
ned	ned
probabilité	probabilidade
académique	acadêmico
académique	académica
roll	roll
accusation	acusação
châssis	chassis
responsabilités	responsabilidades
lyrique	lyrics
gain	ganho
laser	laser
composant	componente
sérieusement	sério
noté	anotado
noté	observado
sauvetage	salvamento
sauvetage	resgate
existé	existiu
nina	nina
doigts	dedos
détruits	destruídos
atterrissage	aterragem
blaise	blaise
