категория category
сам myself
сын son
пока bye
общины communities
общины communes
общины community
сельсовет selsoviet
число number
эта this
нужно need
большой large
большой big
большой bolshoy
количество number
количество quantity
являются are
институт institute
институт institut
институт institution
компании company
компании companies
церковь church
меня me
советского soviet
проект project
проект draft
много lots
много many
много much
сельский rural
сельский rustic
вопрос issue
вопрос question
новый new
образование education
тоже too
момент moment
момент torque
фильмы films
фильмы movies
часто frequently
часто often
часто frequent
почти almost
почти nearly
сокорро socorro
партии parties
глава chapter
настоящее present
стали steel
европы europe
организации organization
организации organizations
сейчас now
империи empires
империи empire
река river
участников exhibitors
участников participants
альбом album
одна alone
одна one
станции station
станции stations
людей people
возможно perhaps
возможно maybe
возможно possible
возможно possibly
возможно probably
сергей sergey
сергей sergei
окончил graduated
иван ivan
иван iván
пояс belt
команды commands
команды teams
такие such
шаблон pattern
шаблон template
ссылки references
ссылки links
многие many
жизнь life
серии series
участники participants
участники attendance
участники members
начал started
культуры cultures
часовой sentry
часовой sentinel
проекта project
команда crew
команда squad
команда command
команда team
достаточно enough
краткое brief
краткое concise
позже later
другой other
другой another
источники sources
данные data
война war
школы schools
школы school
герой hero
иванович ivanovich
михаил mikhail
михаил michael
михаил mihail
текст text
первая first
песни songs
которое which
женщин women
участником participant
книги books
полностью fully
полностью completely
полностью totally
жителей residents
честь honour
честь honoured
честь honored
честь honor
звание rank
решение decision
решение solution
чемпионат championships
чемпионат championship
деятельность activities
деятельность activity
еще more
данных data
назначен assigned
назначен appointed
плотность density
берегу shore
итог outcome
россия russia
ничего nothing
села sela
села sat
названия titles
названия names
занимает occupies
сан san
должен should
должен must
ним nim
права rights
король king
края krai
края edges
края edge
обычно usually
обычно typically
обычно normally
умер died
умер dead
власти authorities
службы services
службы service
система system
университет university
должны should
должны must
слова words
флаг flag
версии version
версии versions
различных different
различных diverse
различных various
вновь again
отец dad
отец father
общества society
общества societies
обсуждение discussion
рода rhoda
многих many
войска troops
войска troop
детей children
источник source
вскоре soon
члены members
должность position
обсуждения discussions
обсуждения discussion
действия action
действия actions
действия activity
дивизии divisions
участника participant
участвовал participated
музей museum
ряд row
душу soul
дома home
дома homes
дома houses
некоторых some
почему why
школа school
выше taller
выше above
выше higher
чел cel
чел man
рсфср rsfsr
медаль medal
земли lands
земли land
режиссёр director
режиссёр filmmaker
правила rules
правила regulations
полка shelf
полка regiment
линии line
линии lines
места locations
места places
места seats
существует exists
категории category
категории categories
ссылка link
ссылка reference
компания company
используется used
тысяч thousand
начало start
начало beginning
начало starting
начало beginnings
италии italy
италии italian
положение situation
положение position
мужчин males
мужчин men
северной north
северной northern
острова islands
острова island
дело case
полк regiment
полк polk
теперь now
станция station
профессор professor
особенно particularly
особенно especially
американский american
право law
впоследствии subsequently
великобритании british
великобритании uk
чемпион champ
чемпион champion
лучше better
шаблоны templates
шаблоны patterns
оно ono
правило rule
андрей andrej
андрей andrey
андрей andrei
андрей andrew
роли role
роли raleigh
роли roles
сезон season
люди humans
люди people
управление control
управление managing
управление management
управление governance
сделать make
длина length
хорошо good
хорошо okay
иногда sometimes
вместо instead
тип type
кладбище cemetery
кладбище graveyard
средняя middle
средняя average
средняя medium
театр theater
театр theatre
художник painter
художник artist
российская russian
одно one
алексей alexey
алексей alexei
алексей aleksei
алексей alexis
алексей aleksey
коммуны communes
возможность opportunity
возможность possibility
какой what
создания creation
премия premium
премия prize
премия award
выпускники seniors
выпускники alumni
выпускники graduates
нас us
сср ssr
новые new
основные main
основные basic
всегда always
известные known
южной southern
южной south
метров meters
метров metres
практически almost
практически virtually
практически practically
корпуса corps
президент president
четыре four
стоит worth
информация info
информация information
большая large
большая big
большая bolshaya
большинство most
большинство majority
кино kino
кино movie
кино movies
кино film
кино cinema
номер number
деревни villages
силы force
силы forces
внимание attention
внимание focus
государства states
примерно roughly
примерно approximately
александра alexandra
писатель novelist
писатель writer
движения movements
движения traffic
роман roman
роман novel
дней days
новых new
клубы clubs
джон john
джон jon
граф count
граф graph
процент percentage
провинции provinces
новая new
известен known
мини mini
памятник monument
сил forces
каждый everyone
каждый every
каждый each
потом then
герб herb
герб emblem
счёт account
счёт score
книга book
отношения relationships
отношения relations
отношения relationship
доктор doctor
использовать use
стран countries
происходит happening
заголовок headline
заголовок caption
заголовок header
заголовок heading
заголовок title
лучший best
восточной oriental
восточной eastern
видов species
удалось managed
удалось succeeded
западной western
всем everybody
всем all
всем everyone
здание building
слово word
дочь daughter
фон backgrounds
фон background
последний last
представляет represents
правил rules
точки dots
точки points
мария mary
мария maria
коммуна commune
партия party
партия batch
страницы pages
страницы page
спасибо thanks
позднее later
включает includes
актёр actor
включая including
дмитрий dmitriy
дмитрий dmitri
дмитрий dmitry
дмитрий dimitri
дмитрий dmytro
правительства governments
получила got
председатель president
председатель chair
председатель chairperson
председатель chairman
моря seas
моря sea
страна country
николаевич nikolayevich
вариант variant
вариант option
одновременно simultaneous
одновременно simultaneously
дороги roads
имел had
русские russian
русские russians
александрович alexandrovich
виктор viktor
виктор víctor
виктор victor
мир world
мир peace
мир mir
работа job
работа work
работа working
японии japan
японии japanese
серия series
серия episode
песня song
становится becomes
василий basil
василий vasili
василий vasyl
василий vasily
вопросы issues
вопросы questions
испании spain
завод plant
завод factory
штат state
проблемы challenges
проблемы problem
проблемы problems
проблемы issues
юрий yuriy
юрий yuri
юрий yury
аль al
ниже below
ниже lower
улицы streets
рядом near
рядом nearby
найти find
вклад input
вклад contribution
вклад contributions
развитие development
лиги league
научно scientifically
директор director
директор principal
командир commander
друг friend
вернулся returned
заслуженный honoured
заслуженный honored
считается counts
рок rock
пор erp
футболист footballer
мой my
мой mine
отличие difference
журнал magazine
журнал journal
журнал log
министр minister
значение meaning
значение value
комитета committee
производства production
премьер prime
премьер premier
сначала first
действительно indeed
действительно truly
действительно really
игра game
решения decisions
решения solutions
строительство building
строительство construction
пункт item
пункт paragraph
мать mother
старший elder
старший senior
снова again
конечно sure
здания buildings
тренер trainer
тренер coach
поле field
написал wrote
значения disambiguation
значения values
пути ways
пути paths
пути pathways
женщины females
женщины female
женщины women
труда labor
майор major
провинция province
программы programmes
программы programs
храм temple
исследования studies
исследования research
какие what
обороны defence
обороны defense
мнение opinion
мнение opinions
сообщения communications
сообщения messages
раздел section
раздел partition
матч match
востоке east
быстро quick
быстро fast
быстро quickly
удаление removing
удаление removal
удаление deleting
удаление delete
проходит passes
влияние impact
влияние influence
влияние influencer
епископ bishop
следующий next
максимальная maximum
англии england
капитан captain
никто nobody
работает works
довольно pretty
ленина lenin
должно must
интернет internet
руководитель supervisor
руководитель convenor
руководитель leader
армия army
степень degree
лейтенант lieutenant
науки science
науки sciences
версия version
школе school
думаю thinking
думаю guess
полковник colonel
воды water
совместно jointly
титул title
васильевич vasilyevich
сражения battles
князь prince
стадион stadium
деревне countryside
деревне village
кубок copa
кубок cup
помимо beyond
пять five
движение motion
движение traffic
движение movement
выпуск output
выпуск issue
теории theories
святой saint
святой holy
союз union
союз soyuz
удалено deleted
удалено removed
ван van
ван wang
удалить remove
удалить delete
остров island
прав rights
операции operations
операции transactions
кажется seems
французский french
издание edition
издание publication
необходимо necessary
результаты results
говорит speaks
говорит says
павел paul
павел pavlo
павел paweł
павел pavel
пётр peter
пётр piotr
золотой golden
золотой gold
последние last
последние recent
известный known
известный famous
известный renowned
михайлович mikhailovich
флота fleet
использование usage
использование using
использование use
далее further
далее next
немецкий german
империя empire
совершенно completely
совершенно totally
очередь queue
очередь turn
записи records
записи entries
мог could
термин term
вокруг around
вторая second
использования usage
дети kids
дети children
дети babies
издательство publisher
издательство publishing
действий action
карьера career
карьера careers
франция france
композитор composer
должности positions
должности posts
семьи families
семьи family
военный military
английский english
числа numbers
создание create
создание creation
создание creating
азии asian
азии asia
петербург petersburg
актриса actress
писать writing
корпус hull
корпус corpus
корпус corps
относительно relatively
членов members
позиции positions
речь speech
евгений yevgeny
евгений evgeny
евгений yevgeni
евгений evgeni
евгений eugene
жена wife
борис boris
альбомы albums
вики wiki
вики vickie
вики vicky
вики vicki
центральной central
правительство government
знак sign
слишком too
энциклопедия encyclopedia
энциклопедия encyclopaedia
поэт poet
революции revolution
революции revolutions
спб spb
заместитель deputy
соответствует corresponds
парк park
уровня level
мало malo
мало little
возможности possibilities
возможности opportunity
возможности opportunities
позволяет lets
позволяет enables
позволяет allows
ран wounds
фамилия surname
третий third
формы forms
формы shapes
избран elected
оставить leave
начальник chief
начальник supervisor
начальник warden
соответственно accordingly
соответственно correspondingly
министерства ministries
брат bro
брат bhai
брат brother
писал wrote
могу can
цвета colours
цвета color
цвета colors
цвета colour
победы victories
победы victory
победы winning
середине mid
единицы units
единицы unit
интервью interview
интервью interviews
путь path
путь way
новое new
бывший ex
бывший former
книг books
шоу shaw
шоу show
республика republic
участок plot
участок precinct
темп pace
темп tempo
медали medals
фильмов films
служил served
организация organization
организация organisation
красного red
события events
события developments
никогда never
изменения modifications
изменения changes
изменения change
перевод translation
производство manufacture
производство production
производство manufacturing
прежде before
играл played
различные various
море seaside
море sea
расстояние distance
век eyelids
век century
сети nets
сети networks
сети network
епархии diocese
гитара guitar
гражданство nationality
гражданство citizenship
считаю counting
вице vp
вице veep
вице vice
научный scientific
показана shown
стиль style
административно administratively
назад backward
назад back
военных military
америки americas
границы boundaries
границы borders
границы border
границы boundary
учился studied
городов cities
процесс process
удалена deleted
удалена removed
скорость velocity
скорость speed
звания ranks
суда ships
суда vessels
похоронен buried
музыка music
вышла exited
православной orthodox
текста text
факультет faculty
основан founded
политики politics
политики politicians
пик peek
пик pic
пик peak
создан created
любой anyone
любой any
память memory
национальная national
пост post
карл karl
карл carl
край edge
тела body
тела bodies
общество society
явно clearly
активно actively
лично personally
вида vida
польши polish
польши poland
вероятно probably
вероятно likely
часов hours
виды species
виды types
первоначально initially
первоначально originally
исследований studies
исследований research
жил lived
начиная starting
номинации nomination
пожалуйста please
петрович petrovich
международный international
называется called
происхождения origin
происхождения origins
сами sami
министра minister
минимальная minimum
минимальная minimal
взгляд stare
взгляд gaze
памяти memory
нарушение violation
нарушение breach
нарушение violating
нарушение infringement
куда where
сделал did
сделал made
анатолий anatoliy
анатолий anatoli
анатолий anatoly
профиль profile
пример example
администрации administrations
средний middle
средний average
средний medium
президиума presidium
мастер wizard
мастер master
факты facts
промышленности industry
уровень levels
уровень level
русская russian
бассейн basin
бассейн pool
игрок player
писатели writers
лауреат laureate
игорь igor
оба both
значительно considerably
значительно significantly
средства funds
украина ukraine
материалы content
материалы material
материалы materials
контракт contract
приток inflow
приток tributary
приток influx
объектов objects
сегодня tonight
сегодня today
солдат soldier
солдат soldiers
линия line
официально formally
официально officially
программа program
программа programme
научная scientific
советская soviet
территория territory
власть power
славы fame
анна anne
анна anna
команд commands
разные different
умершие deceased
умершие deaths
сборник compendium
месяцев months
растений plant
слева left
языки languages
раза raza
вокал vocals
вокал vocal
содержит contains
стать become
озеро lake
комиссии commissions
комиссии commission
дорога road
монастырь monastery
монастырь convent
принято taken
принято accepted
принято adopted
газеты newspaper
газеты newspapers
переулок alleyway
переулок lane
переулок alley
написано written
немного slightly
начали started
форме shape
форме form
точно exactly
скончался deceased
широко widely
чемпионы champions
чемпионы champs
упоминается mentions
собор cathedral
итоги outcome
итоги outcomes
факт fact
карьеры career
карьеры careers
константин constantin
константин constantine
константин konstantin
суд court
основных major
основных main
морской marine
морской maritime
германия germany
восток vostok
восток east
срок deadline
помощь assistance
помощь help
дважды twice
постоянно continuously
постоянно constantly
постоянно constant
постоянно permanently
издания editions
позиция position
позиция attitude
стороне side
передачи transmission
передачи transfers
зависимости dependency
зависимости dependencies
дебютировал debuted
закон law
сми media
радио radio
кантон canton
иностранных foreign
ответ answer
ответ reply
ответ response
ответ ans
цвет color
цвет colour
списки lists
систем systems
комитет committee
комплекс complex
наличие availability
футболисты footballers
функции function
функции functions
функции features
состояние status
состояние state
состояние condition
означает means
общая common
муниципалитет municipality
представителей representatives
модели models
модели model
меньше smaller
меньше fewer
меньше less
климат climate
минут minutes
животных animals
сен sen
сен seine
сен saint
создать create
красный red
конец end
конец ending
действие action
правки edits
турнир tournament
проблема problem
проблема issue
мужчины males
мужчины men
матери mothers
слов words
бой battle
бой combat
бой fight
написать write
внутри inside
победу victory
инкубатор incubator
роберт robert
департамент department
отсутствие absence
отсутствие lack
австралии australian
австралии australia
император emperor
статистика statistics
статистика stats
статистика insights
киев kyiv
киев kiev
предложение proposal
предложение sentence
предложение suggestion
предложение offer
представители representatives
дела cases
равно equals
модель model
мэр mayor
получить get
второе second
смог smog
преимущественно predominately
преимущественно mostly
преимущественно predominantly
предлагаю offering
книгу book
культура culture
забил scored
фото photo
фото photos
округе county
индии indian
индии india
золотая golden
золотая gold
точка dot
точка point
районы districts
районы areas
йорк york
иметь have
газета newspaper
силу force
артист entertainer
артист artist
семья family
озера lakes
северная north
северная northern
крупных large
народов peoples
сообщение message
связь communication
связь communications
связь connection
связь telecommunications
владимирович vladimirovich
изначально initially
изначально originally
родилась born
хутор khutor
принять take
принять accept
лица faces
словарь vocabulary
словарь dictionary
председателя chairman
крупные large
художники painters
художники artists
дочери daughters
мост bridge
большие large
большие big
страниц pages
оао ojsc
оао jsc
историк historian
проблем problems
сообщества communities
сообщества community
бригады brigades
бригады brigade
бразилии brazil
бразилии brazilian
групп groups
отдельных discrete
отдельных individual
частей parts
жители inhabitants
жители residents
тема topic
тема theme
тема subject
жан jean
петра petra
замок lock
замок castle
замок château
пусть let
китт kitt
мин ming
мин mines
мин min
италия italy
согласен agreed
согласен agree
корабль ship
военные military
понимаю understand
начинается begins
начинается starts
видео video
видео videos
ссылку link
предприятия businesses
предприятия enterprises
теория theory
георгий georgi
георгий giorgi
георгий george
сказать say
волость parish
теме topic
сказал said
секретарь registrar
секретарь receptionist
секретарь secretary
операция operation
операция surgery
художников artists
ситуация situation
создана created
горы mountains
горы mount
горы mountain
выиграл won
считать count
считать counting
государство state
ситуации situations
отставке retired
вес weight
олег oleg
олег oleh
другое other
пишет writes
форма shape
форма form
форма uniform
метро underground
метро subway
метро metro
произошло happened
масса massa
масса mass
биография biographies
биография bio
биография biography
объекта object
марк marc
марк mark
наука science
музыкальные musical
темы themes
темы topics
звезды stars
неоднократно repeatedly
заявил stated
построен built
построен constructed
друга friend
страницу page
герои heroes
герцог duke
герцог herzog
смысл meaning
сент sainte
сент saint
крайне extremely
иначе otherwise
ассоциации associations
ассоциации association
доктора doctors
внутренних interior
конференции conference
конференции conferences
елена helena
елена elena
елена yelena
елена jelena
открыт opened
украинский ukrainian
особенности characteristics
особенности peculiarities
особенности features
рост growth
рост height
непосредственно directly
аэропорт airport
публикации posts
публикации publications
отношение attitude
отношение attitudes
начинает starts
австрии austrian
австрии austria
греции greece
соревнования competitions
соревнования competition
руководство management
руководство guidance
руководство manual
руководство leadership
руководство handbook
руководство guide
бассейна basin
характер character
характер nature
исключительно exceptionally
исключительно exclusively
официальная official
островов islands
лиц persons
лиц individuals
полное full
музыканты musicians
библиотека library
вступил entered
литература literature
победитель winner
отряд squad
правда true
правда truth
месяца months
месяца month
погиб died
армении armenian
армении armenia
шесть six
командовал commanded
адрес address
результат result
результат results
зачем why
поверхности surfaces
поверхности surface
оружие weapon
оружие arms
оружие gun
оружие weapons
оружие guns
столица capital
любовь love
содержание contents
младший youngest
младший junior
студии studios
студии studio
продюсер producer
авторов authors
поля fields
поля field
фотографии photographs
фотографии photography
фотографии photos
фотографии pictures
рублей rur
рублей rubles
рублей roubles
опять again
дал dal
дал dahl
дал gave
запад west
швеции swedish
швеции sweden
появляется appearing
появляется appears
случай case
штаб hq
штаб headquarters
постепенно gradually
наконец finally
джеймс james
появилась appeared
очевидно obvious
очевидно apparently
очевидно obviously
философии philosophy
достижения achievements
достижения accomplishments
достижения achievement
эпизод episode
образ image
стихи verses
стихи poems
стихи poetry
фронт front
прямо straight
лос los
лос vocs
лос voc
американская american
млн million
депутатов deputies
депутатов mps
китай china
отчёт report
оон un
учёный scientist
учёный scholar
появился appeared
григорий gregory
григорий grigori
григорий grigory
пол gender
пол paul
пол floor
париже paris
центральный central
дворец palace
частично partial
частично part
частично partly
частично partially
считает finds
считает considers
судья judge
судья referee
судья ref
романа romana
созыва convocation
обновление update
обновление updating
бас als
бас bass
бас bas
местности terrain
последнее last
организаций organizations
китая chinese
поддержку support
искусство arts
искусство art
современных modern
современных contemporary
венгрии hungary
венгрии hungarian
инженер engineer
очков points
верхняя upper
верхняя haute
картины paintings
авторы authors
тома toma
тома thomas
тома volumes
царь king
царь tsar
деньги money
фёдорович fyodorovich
южная southern
южная south
канады canadian
тверской tverskaya
делает does
делает makes
ночь night
пер per
устройство device
началось started
началось began
асср usda
городское urban
ролях roles
финляндии finland
финляндии finnish
башкортостан bashkortostan
доказательств evidence
голосов votes
кораблей ships
успешно successful
успешно successfully
алексеевич alexeyevich
технологии technologies
технологии technology
сфера sphere
сфера orb
ибн ibn
план plan
исторический historic
исторический historical
органов organs
выборы election
выборы elections
батальон battalion
мгу msu
директора directors
лев lion
лев lev
лев leo
думы duma
шоссе highways
шоссе freeway
шоссе highway
политический political
болгарии bulgarian
болгарии bulgaria
вне outside
объекты facilities
объекты objects
форму form
форму uniform
метод method
сеть network
легко easily
легко easy
реж dir
основная main
минимум minimum
минимум minimal
миллионов million
миллионов millions
смерть death
сельские rural
правильно right
правильно correct
крупный large
платформы platforms
платформы platform
исторических historical
руки arms
руки hands
предложил suggested
предложил offered
собрания meetings
собрания assemblies
редактор editor
париж paris
канал canal
канал channel
традиции tradition
традиции traditions
языках languages
потери loss
потери losses
потери casualties
происхождение origin
происхождение provenance
происхождение origins
принадлежит belongs
беларусь belarus
существование existence
основана founded
исключением exception
дать give
времена times
идеи ideas
бригада brigade
валерий valeriy
валерий valeri
валерий valery
валерий valerius
объект object
объект subject
вынужден compelled
порядок order
машины cars
машины machines
уильям william
профессора professors
азербайджана azerbaijani
великобритания uk
лига league
династии dynasty
порт port
гран gran
гран grand
структура structure
получения receipt
получения receiving
полный full
полный complete
хотел wanted
бюро bureau
местных local
заслуги merit
месяц month
животные animals
тело body
направления directions
направления destinations
температура temperature
температура temperatures
запись recording
запись record
ирландии irish
ирландии ireland
кому coma
выпущен released
земля earth
земля land
недели week
недели weeks
отсутствует absent
отсутствует missing
приз prize
видимо apparently
класс class
сингл single
фёдор fedor
фёдор fyodor
архитектуры architecture
работали worked
местах locations
политика policy
политика politics
политика policies
речи speeches
речи speech
старше older
понятие concept
понятие notion
выход exiting
выход exit
материал material
игроков players
добавить add
архитектор architect
автоматически automatic
автоматически automatically
лучшая best
белый white
кандидат candidate
персонажей characters
фразы phrases
носители carriers
авиации aviation
северный north
северный northern
идея idea
сергеевич sergeyevich
сооружения installations
играет plays
играет playing
ивана ivana
писателей writers
женщина woman
женщина female
голос voice
преподаватели professors
преподаватели teachers
преподаватели faculty
серебряный silver
леонид leonidas
леонид leonid
обучения learning
опыт experiences
опыт experience
свет light
свет lights
неделю week
нарушения violations
нарушения irregularities
получает receives
получает gets
городах towns
играть play
интерес interest
применение application
применение applying
установлен installed
элементы elements
интересные interesting
политических political
исторические historic
исторические historical
красная red
раунд round
транспорт transportation
транспорт transport
специально specially
премьера premiere
премьера premier
выставка exhibit
выставка exhibition
дни days
контроль control
контроль monitoring
контроль controls
мнения opinions
мнения views
требования requirements
требования demands
попытки attempts
семей families
портрет portrait
министров ministers
приняли embraced
карла carla
карла karla
цели objectives
цели aims
цели goals
цели targets
письмо letter
анализ analysis
семь seven
зал gym
зал hall
женат married
художественный artistic
академик academician
тур tour
состоял consisted
распространение dissemination
распространение distribution
