the	die
know	weet
water	water
political	politieke
species	spesie
species	spesies
field	terrein
field	veld
near	naby
australia	australië
video	video
need	nood
need	benodig
island	island
island	eiland
form	vorms
find	vind
play	toneelstuk
play	speel
project	projek
radio	radio
every	elke
development	ontwikkeling
example	voorbeelde
example	voorbeeld
live	regstreekse
live	lewendige
live	gepubliseer
live	regstreeks
union	union
union	unie
india	india
india	indië
next	volgende
special	spesiaal
court	hof
region	streek
little	bietjie
short	kort
short	kortliks
short	sorteer
william	willem
william	william
province	provinsie
western	westerse
western	western
western	westelike
son	seun
france	frankryk
council	raad
royal	koninklike
royal	royal
street	straat
full	vol
full	volle
red	rooi
too	te
department	departement
san	san
help	help
help	hulp
james	jakobus
james	james
open	ope
open	oopmaak
open	oop
force	force
force	forseer
force	krag
force	dwing
director	direkteur
father	vader
track	volg
track	snit
track	baan
track	spoor
http	http
canada	kanada
canada	canada
never	nooit
never	never
never	omkeer
australian	australiese
george	george
jpg	jpg
late	laat
summer	somer
society	samelewing
society	gemeenskap
society	geselskap
moved	gekuif
moved	geskuif
moved	verhuis
office	kantoor
period	periode
championship	championship
round	rondte
story	berig
songs	liedere
songs	liedjies
various	verskeie
days	dae
land	grond
business	besigheid
reason	rede
america	amerika
million	miljoen
european	europees
european	europese
term	termyn
six	sesde
six	ses
post	plasing
post	plaas
why	hoekom
why	waarom
produced	vervaardig
produced	geproduseer
making	toelae
subject	onderwerp
young	jonk
young	jong
total	totale
david	dawid
david	david
science	wetenskap
related	verwante
related	verwant
rock	rock
archived	geargiveerde
archived	geargiveer
railway	spoorweg
railway	spoorlyn
become	word
become	geword
led	gelei
students	studente
started	aanvang
news	nuus
role	rol
election	verkiesing
albums	albums
present	hede
present	tans
present	voordra
present	teenwoordig
indian	indiër
indian	indiese
kingdom	koninkryk
books	boeke
important	belangrik
important	belangrike
northern	noordelike
northern	northern
love	liefde
run	hardloop
canadian	kanadese
canadian	kanadees
press	pers
press	druk
rather	nogal
rather	liewer
type	tipe
type	tik
act	wet
editor	redakteur
schools	skole
once	eenmaal
once	sodra
once	eens
issue	kwessie
social	maatskaplike
social	sosiale
social	sosiaal
germany	duitsland
production	produksie
male	manlike
male	mannetjie
awards	toekennings
awards	toekenings
points	uraan
points	punte
similar	soortgelyke
professional	professioneel
professional	professionele
say	sê
background	agtergrond
enough	genoeg
lead	lei
lead	lood
lead	aanvoer
common	gemeen
common	common
common	gemeenskaplike
overlap	oorvleuel
data	data
color	deursigtigheid
better	beter
services	dienste
bgcolor	bgcolor
museum	museum
battle	slag
battle	veldslag
sports	sportsoorte
sports	sport
already	alreeds
already	reeds
currently	tans
hall	saal
buildings	geboue
historic	historiese
date	datum
deleted	geskrap
deleted	uitgevee
considered	geag
considered	oorweeg
change	veranderings
change	verander
change	wysig
location	location
location	ligging
seems	blyk
must	moet
yes	ja
our	ons
southern	suidelike
least	minste
lost	verlore
lost	verloor
something	iets
review	resensie
review	hersiening
review	oorsig
review	hersien
together	gekuier
together	saam
robert	robert
fact	feit
less	minder
japanese	japannese
japanese	japannees
content	tevrede
isbn	isbn
board	bord
japan	japan
japan	japannees
control	kontrole
control	beheer
policy	beleid
modern	modern
modern	moderne
human	menslik
human	mens
half	half
design	ontwerp
event	aktiwiteite
event	geleentheid
events	gebeure
events	aktiwiteite
events	geleenthede
available	beskikbaar
done	voltooi
done	gedoen
done	klaar
washington	washington
real	regte
real	egte
start	start
start	begin
personal	persoonlik
personal	persoonlike
space	spasie
areas	gebiede
doesn	doesn
notability	notability
star	ster
star	star
china	china
china	sjina
possible	moontlik
paul	paulus
paul	paul
working	werksaam
taken	geneem
far	ver
going	going
going	gaan
minister	minister
lake	meer
reported	gerapporteer
popular	gewild
popular	gewilde
married	getroude
married	getrou
married	getroud
founded	gestig
europe	europa
author	skrywer
author	outeur
away	weg
independent	independent
independent	onafhanklike
independent	onafhanklik
independent	selfstandige
process	proses
teams	spanne
low	lae
michael	michael
pages	bladsye
pages	blaaie
pages	bladsy
light	lig
light	ligte
seen	gesien
release	vrylaat
release	vrystelling
want	wil
episode	episode
republic	republiek
thomas	thomas
companies	maatskappye
companies	companies
via	via
russian	russies
russian	russiese
thanks	dankie
race	ras
race	resies
worked	gewerk
route	roete
recorded	opgeneem
someone	iemand
civil	siviele
police	polisie
charles	karel
charles	charles
listed	gelys
users	gebruikernaam
users	gebruikers
instead	eerder
instead	pleks
body	lyf
body	liggaam
question	vraag
italian	italiaanse
italian	italiaans
featured	uitgelig
featured	inloer
featured	gewild
featured	uitgestal
featured	uitstal
week	week
week	vakansie
editors	redigeerders
texas	texas
chief	chief
close	toemaak
close	sluit
upon	upon
match	pas
match	passing
match	ooreenstem
match	ooreenstemming
roman	romeinse
come	kom
opened	oopgemaak
tour	toer
tour	tour
sea	see
actually	eintlik
cross	kruis
playing	speel
health	gesondheid
institute	instituut
caps	caps
forces	magte
green	groen
rights	regte
evidence	bewyse
evidence	getuienis
originally	oorspronklik
aircraft	vliegtuie
aircraft	vliegtuig
arts	kunste
range	gewysig
range	omvang
consensus	consensus
bar	balk
bar	bar
bar	kroeg
problem	probleem
problem	problem
look	kyk
issues	kwessies
alumni	alumni
average	gemiddelde
average	gemiddeld
win	wen
shows	vertonings
shows	programme
wife	vrou
returned	teruggestuur
night	aand
night	aande
night	nag
magazine	tydskrif
centre	sentreer
joined	aangesluit
usually	gewoonlik
middle	middelste
middle	midde
completed	voltooi
completed	afgehandel
elected	elected
elected	verkose
african	afrikaanse
african	afrikaan
african	afrika
african	african
able	able
google	google
stage	verhoog
stage	stadium
stage	etage
addition	optel
addition	byvoeging
ireland	ierland
today	vandag
academy	akademie
saint	heilige
saint	saint
self	self
itself	homself
continued	volgehoue
continued	deurlopende
continued	voortdurende
stations	stasies
mother	moeder
mother	ma
africa	africa
africa	afrika
culture	kultuur
spanish	spaanse
spanish	spaans
grand	vleuel
grand	grand
committee	komitee
things	dinge
fire	brand
fire	vuur
changed	gewysig
gold	goud
female	vroulik
female	wyfie
course	natuurlik
directed	regie
directed	gerig
months	maande
whether	hetsy
chinese	sjinese
chinese	chinees
chinese	sjinees
chinese	chinese
developed	ontwikkel
size	groote
mentioned	genoem
festival	fees
peter	petrus
peter	peter
basketball	basketball
basketball	basketbal
across	regoor
across	oorkant
move	beweeg
performance	werkverrigting
performance	prestasie
performance	opvoering
standard	standaard
means	beteken
give	gee
training	oefening
artist	kunstenaar
word	woord
blue	blou
primary	primêr
primary	primary
primary	primêre
primary	belangrikste
announced	aangekondig
value	waarde
christian	christian
christian	christene
christian	christen
christian	christiaan
private	privaat
catholic	katolieke
catholic	katoliek
artists	kunstenaars
view	aansig
view	besigtig
view	bekyk
almost	amper
baseball	bofbal
seven	sewe
seven	sewende
ever	ooit
provide	voorsien
provide	verskaf
technology	tegnologie
future	toekomstige
future	toekoms
census	sensus
images	prente
images	beelde
results	resultate
results	uitslae
return	terugkeer
return	opgelewer
quality	kwaliteit
quality	gehalte
construction	oprigting
construction	konstruksie
zealand	zealand
zealand	seelandse
zealand	seeland
front	voorkant
front	voor
front	front
cover	toemaak
cover	omslag
cover	omhulsel
despite	ondanks
read	lees
read	gelees
material	gegewens
material	rots
material	materiaal
strong	sterk
coach	afrigter
henry	henry
mark	markus
mark	merk
mark	mark
rev	rev
studies	studeer
studies	studies
federal	federale
federal	federal
richard	richard
html	html
virginia	virginia
virginia	virginië
car	kar
car	motor
car	motorvoertuig
attack	aanval
conference	aanbreek
outside	buite
study	studeer
study	bestudeer
study	studie
brother	broer
throughout	regdeur
writer	skrywer
writer	outeur
characters	karakters
musical	musical
nothing	niks
border	grens
medical	mediese
medical	medies
countries	lande
past	verlede
past	vorige
past	afgelope
interest	belangstelling
interest	rente
provided	verskaf
killed	gedood
killed	doodgemaak
killed	vermoor
medal	medalje
label	etiketteer
label	etiket
fair	redelik
search	soek
search	search
search	deursoek
bay	baai
bay	bay
especially	veral
refer	verwys
library	biblioteek
eventually	eventually
management	bestuur
references	verwysings
features	kenmerke
features	eienskappe
navy	navy
navy	vloot
guitar	kitaar
hill	heuwel
hill	hill
sure	seker
historical	geskiedkundige
historical	historiese
lower	laer
lower	kleinletters
lower	verlaag
lower	sagter
lower	elektrisiteit
daughter	dogter
appointed	aangestelde
reading	lees
systems	sisteme
systems	stelsels
systems	systems
debut	debut
movement	movement
movement	beweging
specific	spesifiek
specific	spesifieke
always	skuilname
always	altyd
actor	akteur
natural	natuurlike
clear	skoonmaak
clear	skoon
coast	kus
coast	kuslyn
got	het
got	got
chicago	chicago
championships	championships
pennsylvania	pennsilvanië
ten	tien
performed	uitgevoer
individual	individuele
individual	individu
rule	heers
rule	reël
etc	ens
lists	lyste
paris	parys
thought	dog
thought	gedink
brown	bruin
hand	hand
needs	verlang
smith	smith
base	base
base	onderliggende
base	basis
sometimes	soms
florida	florida
capital	hoofstad
valley	valley
valley	vallei
bank	bank
ground	grond
ground	ground
reached	bereik
italy	italië
energy	energie
believe	glo
leader	leier
active	onaktiewe
active	aktief
online	aanlyn
block	blokkeer
block	blok
bridge	brug
families	families
families	gesinne
changes	verander
followed	gevolg
industry	bedryf
collection	versameling
request	versoek
soon	gou
soon	binnekort
soon	soon
leading	voorste
leading	leidende
olympic	olimpiese
sold	sold
sold	verkoop
writers	skrywers
professor	professor
studio	studio
studio	ateljee
mexico	meksiko
mexico	mexico
competition	kompetisie
campaign	veldtog
org	org
theatre	teater
anything	enigiets
particular	spesifiek
particular	besonder
empire	ryk
length	tydsduur
length	lengte
islands	eilande
singer	sangeres
singer	sanger
singer	singer
create	skep
redirect	herlei
redirect	omleiding
additional	addisionele
additional	bykomende
market	markplein
market	mark
words	woorde
producer	vervaardiger
producer	producer
notes	notas
hockey	hokkie
novel	roman
code	kode
referee	skeidsregter
fourth	vierde
sport	verslae
sport	sport
sport	sportsoort
mary	mary
mary	maria
airport	lughawe
sound	klank
irish	ierse
irish	irish
irish	iers
child	kind
idea	idee
foreign	buitelandse
foreign	foreign
municipality	munisipaliteit
isn	isn
register	registreer
eight	agt
eight	agtste
eight	reguit
problems	probleme
problems	problems
native	inheemse
native	plaaslik
coverage	dekking
channel	kanaal
parliament	parlement
username	gebruikernaam
edition	uitgawe
minor	klein
foundation	fondament
units	eenhede
movie	fliek
movie	rolprent
runs	runs
ice	ys
simply	eenvoudig
limited	beperkte
limited	beperk
unit	eenheid
student	student
previously	voorheen
governor	goewerneur
complete	voltooi
complete	afgehandel
test	toets
nominated	nominated
bill	noot
parts	dele
parts	parte
theory	teorie
regional	streek
account	rekening
vote	stem
computer	rekenaar
none	beweeg
none	reflekteer
carolina	carolina
tournament	toernooi
poland	pole
behind	agter
wales	wallis
winning	winning
hospital	hospitaal
mid	midde
mid	mid
taking	vat
mountain	berg
higher	hoër
cases	gevalle
angeles	angeles
editing	redigeer
editing	verstrek
editing	redigering
editing	wysiging
food	kos
food	voedsel
multiple	veelvuldige
multiple	veelvoud
likely	geneë
terms	bepalings
terms	voorwaardes
sir	sir
sir	meneer
thing	ding
square	vierkantig
square	vierkant
square	vierkantige
try	probeer
topic	onderwerp
woman	vrou
officer	beampte
categories	kategorië
categories	kategorieë
greek	griekse
recent	onlangse
sent	gestuur
copyright	kopiereg
speed	spoed
templates	voorbeelde
money	geld
saw	saag
senior	senior
selected	gekose
selected	gekies
selected	gemerk
introduced	ingestel
politician	politikus
true	waar
true	true
required	vereiste
required	benodigde
required	benodig
required	vereis
regular	gereelde
commercial	kommersiële
commercial	kommersieel
cities	stede
contains	bevat
trade	verruil
trade	handel
degree	graad
birth	geboorte
sun	son
finished	klaar
finished	afgehandel
longer	langer
earth	aarde
access	toegang
prior	prior
seasons	seisoene
software	sagteware
famous	bekende
famous	beroemd
famous	famous
religious	godsdienstige
religious	religieuse
religious	gelowige
appear	verskyn
martin	martinus
martin	martin
god	god
hours	ure
running	hardloop
brought	gebring
missing	ontbreek
missing	vermis
missing	afwesig
economic	ekonomiese
structure	struktuur
rural	landelike
rural	rural
decision	besluit
certain	sekere
quite	heel
hit	getref
hit	tref
minutes	minute
spain	spanje
whole	hele
whole	geheel
joseph	joseph
lord	here
web	web
decided	besluit
operations	bewerkings
function	kommentaar
louis	louis
louis	lodewyk
assembly	saamstel
assembly	gemeente
queen	queen
queen	dame
security	sekuriteit
uses	gebruike
ohio	ohio
jan	jan
operation	operasie
operation	bewerking
call	oproep
call	bel
call	roep
call	skakel
successful	suksesvol
successful	suksesvolle
legal	wettig
legal	legal
russia	rusland
prince	vors
prince	prinse
prince	prince
prince	prins
mean	gemeen
mean	bedoel
mean	beteken
jewish	joodse
jewish	joods
staff	personeel
staff	staff
goal	doelwit
towards	teenoor
bad	sleg
attendance	bywoning
populated	bevolkte
populated	bewoonde
nature	aard
nature	prent
nature	natuur
nature	nature
allowed	toegelaat
captain	kaptein
mount	mount
mount	monteer
hard	hard
hard	harde
hard	moeilik
saying	sê
saying	gesegde
saying	saying
manager	bestuurder
earlier	earlier
earlier	vroeër
elections	verkiesings
meet	ontmoet
box	boks
lines	reëls
democratic	demokratiese
success	sukses
success	suksesvol
associated	geassosieerde
associated	geassosieer
singles	singles
traditional	tradisioneel
traditional	tradisionele
rest	rus
rest	res
highway	hoofweg
highway	grootpad
highway	highway
matter	materie
particularly	besonder
wide	wyd
month	maand
care	omgee
admin	admin
cultural	kulturele
commission	kommissie
plan	plan
therefore	daarom
practice	practice
practice	praktyk
practice	oefen
command	kommentaar
nomination	nomination
jersey	jersey
parties	partytjies
parties	partye
michigan	michigan
entire	hele
anyone	enigiemand
seem	blyk
approximately	ongeveer
master	meester
noted	genoteer
noted	gelet
usa	vsa
stop	ophou
feature	eienskap
feature	kenmerk
engine	masjien
engine	engine
engine	enjin
engine	motor
response	antwoord
illinois	illinois
afd	afd
experience	ervaar
experience	ervaring
experience	ondervinding
highest	hoogste
engineering	ingenieurswese
silver	silwer
separate	afsonderlike
separate	aparte
secretary	sekretaris
secretary	sekretaresse
dutch	hollandse
dutch	nederlands
lee	lee
prime	prime
themselves	genesing
themselves	hulself
rules	reëls
uploaded	opgelaaide
uploaded	opgelaai
trying	gepoog
youth	jeug
scotland	skotland
iii	iii
houses	huise
heart	hart
heart	hartjie
room	kamer
stone	klip
drama	drama
scores	tellings
dead	dooie
dead	dood
key	sleutel
key	key
shot	skoot
occupation	besetting
executive	uitvoerende
plant	plant
promoted	bevorder
villages	villages
languages	tale
internet	internet
leave	los
leave	verlof
leave	verlaat
feel	voel
covered	gedek
merge	versmelt
merge	samevoeging
merge	saamsmelt
mostly	meestal
numerous	numerous
ancient	antieke
attempt	poog
property	eiendom
programs	programme
picture	prent
finally	uiteindelik
ships	skepe
fiction	fiksie
secondary	sekondêr
secondary	sekondêre
nations	nasies
majority	meerderheid
edward	edward
edward	eduard
annual	jaarlikse
digital	digitale
digital	digital
mission	missie
mission	sending
lived	geleef
lived	gebly
claim	eis
seat	sitplekke
seat	sitplek
bbc	bbc
profile	profiel
dance	dance
dance	dans
prize	prys
georgia	georgië
georgia	georgia
port	hawe
port	port
port	poort
castle	kasteel
pass	verbygaan
transport	vervoer
transport	transport
organizations	organisasies
ratio	ratio
ratio	verhouding
recently	onlangs
fall	herfs
fall	val
global	wêreldwyd
global	global
global	globale
global	globaal
era	era
wing	wing
opinion	opinie
opinion	mening
commander	commander
fort	fort
effect	effek
fine	fyn
purpose	aspris
winter	winter
genus	genus
congress	congress
overall	overall
activities	aktiwiteite
activities	aktief
income	inkomste
massachusetts	massachusetts
older	ouer
peak	toppunt
peak	rylaan
peak	peak
bass	bas
super	super
super	heerlike
complex	komplekse
complex	kompleks
academic	akademiese
academic	akademies
stars	sterre
accounts	rekeninge
appearance	voorkoms
asian	asiese
asian	asiatiese
asked	gevra
friends	vriende
till	tot
financial	finansiële
financial	finansieel
entry	inskrywing
asia	asië
sense	sin
meaning	betekenis
actress	aktrise
actress	actress
map	kaart
intended	bedoel
bishop	biskop
bishop	loper
boston	boston
rate	gradeer
rate	tarief
rate	beoordeel
literature	letterkunde
literature	literatuur
forest	woud
forest	bos
voice	stem
jack	boer
jack	jack
pre	pre
pre	vooraf
justice	geregtigheid
justice	justice
justice	justisie
britain	brittanje
champion	kampioen
double	dubbel
double	dubbele
polish	pools
polish	polish
polish	poolse
numbers	getalle
numbers	nommers
columbia	columbia
columbia	columbië
temple	tempel
temple	temple
defeated	verslaan
administration	administrasie
ended	geëindig
claims	eise
jones	jones
parish	parish
israel	israel
actors	akteurs
sister	suster
nine	nege
table	veranderlike
table	tafel
table	tabel
attended	bygewoon
pop	pop
else	else
newspaper	koerant
friend	vriend
unknown	onbekend
winner	winner
winner	wenner
initially	aanvanklik
loss	verlies
sites	webwerwe
sites	tuistes
sites	werwe
sites	sites
sites	terreine
architecture	argitektuur
relations	verhoudinge
relations	betrekkinge
relations	relations
upper	boonste
supported	gesteun
supported	ondersteunde
tracks	snitte
contract	kontrak
face	gesiggie
face	gesig
spent	bestee
girl	meisie
girl	girl
clearly	duidelik
junior	junior
francisco	francisco
politics	politiek
greater	groter
mar	mer
cause	oorsaak
cause	saak
cause	veroorsaak
volume	volume
caused	veroorsaak
tom	tom
flight	vlug
candidate	kandidaat
passed	verby
passed	geslaag
claimed	opgeëis
claimed	geëis
except	behalwe
except	except
except	uitgesonderd
oil	olie
assistant	assistent
surface	oppervlak
victory	oorwinning
regiment	regiment
stories	berigte
stories	stories
represented	verteenwoordig
speedy	speedy
weeks	weke
allow	toelaat
branch	tak
retired	afgetree
communities	gemeenskappe
train	trein
paper	papier
adding	bygesit
victoria	victoria
metal	metaal
wrong	verkeerd
wrong	verkeerde
larger	groter
direct	direk
direct	rig
direct	direkte
frank	frank
miles	myle
miles	myl
blocked	geblokkeerde
blocked	geblokkeer
blocked	verhoed
blocked	geblok
launched	geloop
launched	sedert
launched	geloods
mass	massa
chairman	chairman
comedy	komedie
relationship	verhouding
knowledge	kennis
format	formateer
creek	mus
meeting	ontmoeting
meeting	besigheid
meeting	vergadering
failed	misluk
officers	beamptes
draft	konsep
goes	goes
fight	veg
figure	figuur
faculty	fakulteit
camp	kamp
ran	gehardloop
variety	verskeidenheid
owner	eienaar
statistics	statistiek
statistics	statistieke
raised	ingesamel
heavy	swaar
alexander	alexander
alone	alleen
understand	verstaan
episodes	episodes
educational	opvoedkundige
daily	daaglikse
williams	williams
latin	latyns
completely	heeltemal
products	produkte
dark	donker
attention	aandag
religion	religie
religion	godsdiens
von	von
mind	gedagte
oppose	bestry
corps	korps
administrative	administratiewe
administrative	verrig
cut	cut
scott	scott
becoming	becoming
footballer	sokkerspeler
jean	jean
mayor	burgemeester
beach	strand
descent	descent
nearly	nearly
latter	laasgenoemde
territory	gebied
write	skryf
towns	dorpe
forms	vorms
joe	joe
inside	binne
wanted	gesoek
wanted	wou
solid	soliede
solid	solied
individuals	individue
authority	gesag
authority	owerheid
mention	melding
mention	noem
projects	projekte
cost	koste
vice	vice
drive	aandrywer
notice	kennisgewing
johnson	johnson
forced	geforseer
forced	gedwing
basis	grondslag
looks	lyk
reasons	redes
job	werk
job	job
job	werkie
photo	foto
hope	hoop
parents	ouers
entered	ingevoer
entered	ingevoerde
mike	mike
basic	basies
basic	basic
basic	basiese
scientific	wetenskaplike
scientific	wetenskaplik
amount	bedrag
spring	lente
oxford	oxford
kong	kong
opera	opera
opera	sepie
critical	kritieke
critical	krities
critical	kritiese
critical	kritiek
simple	eenvoudige
simple	eenvoudig
hong	hong
husband	man
useful	bruikbare
useful	nuttig
technical	tegniese
necessary	nodige
believed	believed
operated	operated
mountains	mountains
mountains	berge
musicians	musikante
hotel	hotel
girls	meisies
girls	mishandel
crew	crew
boy	seun
boy	seuntjie
ontario	ontario
nation	nasie
defense	verdediging
wiki	wiki
champions	champions
golden	goue
golden	golden
districts	distrikte
faith	geloof
racing	racing
racing	resies
auto	auto
auto	outomaties
auto	outo
unless	tensy
unless	unless
lives	lewens
swedish	sweedse
hot	hot
hot	warm
entertainment	vermaak
turned	geskakel
net	netto
soccer	sokker
creation	skepping
product	produk
tower	tower
tower	toring
increased	toegeneem
increased	verhoogde
votes	stemme
squadron	eskader
contemporary	kontemporêre
focus	fokus
marriage	huwelik
questions	vrae
naval	naval
details	besonderhede
forward	vorentoe
peace	vrede
iran	iran
korea	korea
analysis	analise
winners	wenners
poor	poor
poor	arme
poor	swak
poor	armes
grade	graad
cricket	krieket
judge	judge
judge	regter
electric	elektriese
exist	bestaan
corporation	corporation
corporation	korporasie
corporation	onderneming
hold	hou
featuring	featuring
campus	kampus
campus	campus
brazil	brasilië
chris	chris
beyond	verby
increase	verhoog
increase	vermeerder
summary	opsomming
remaining	oorblywende
remaining	oor
statement	stelling
broadcast	uitgesaai
broadcast	uitsending
broadcast	uitsaai
piano	klavier
novels	romans
hour	vakansie
hour	uur
moving	beweeg
resolution	resolusie
alternative	alternatief
alternative	alternatiewe
brothers	broers
attacks	aanvalle
encyclopedia	ensiklopedie
encyclopedia	encyclopedia
republican	republican
representatives	verteenwoordigers
politicians	politici
difficult	moeilik
ability	vermoë
ability	vermoeë
host	gasheer
host	bediener
wall	muur
immediately	onmiddelik
immediately	onmiddellik
immediately	dadelik
urban	urban
urban	stedelike
pakistan	pakistan
marine	marine
physical	fisiese
physical	fisieke
dec	dec
dec	des
interview	interview
coming	oppad
semi	semi
emperor	keiser
letter	brief
letter	letter
couple	paartjie
fellow	fellow
fellow	mede
duke	duke
