зникли	gone
розчину	solute
франків	francs
авторитет	prestige
авторитет	authority
пересування	move
пересування	moving
носив	wore
носив	worn
курган	kurgan
кітт	kitt
відбувався	cieszyn
ландшафтний	landscape
сходи	stairs
сходи	staircase
ціле	integer
помилково	mistakenly
пошани	honour
можливий	likely
успіння	assumption
розділення	fork
розділення	splitting
розділення	split
розділення	separation
даніель	daniel
даніель	danielle
смуг	lanes
ями	hole
подає	delivers
секунди	seconds
ваша	your
юридична	legal
терористів	terrorists
ентоні	anthony
ентоні	antony
білл	bill
руда	redhead
руда	ruda
руда	ore
орел	eagle
введена	entered
пюї	puits
пюї	puy
швидкий	quick
швидкий	fast
миколаєва	mykolaiv
ефіопії	ethiopia
муз	muz
грибів	fungi
цифри	digits
цифри	numbers
активістів	activists
запропоновано	offered
потужний	powerful
письмо	alphabet
письмо	syllabary
герцеговини	herzegovina
сьогодення	present
однозначно	uniquely
танці	dance
танці	dances
танці	dancing
азербайджан	azerbaijan
власники	owners
власники	ownership
вимогу	requirement
четверта	fourth
справжні	real
справжні	legit
монако	monaco
цінні	valuable
статуї	statues
сформована	formed
анджелесі	angeles
обмежень	restrictions
коні	horses
коні	kony
ритм	rhythm
зубів	implant
служать	worship
ставиться	treats
суші	sushi
спроб	trials
спроб	attempts
спроб	tries
келлі	kelly
келлі	kelley
лівії	libya
атака	attack
повторно	reuse
алла	alla
болота	marshes
філармонії	philharmonie
таємниці	secrets
вечір	evening
енн	ann
обкладинки	cover
обкладинки	covers
валь	vals
валь	val
приватна	private
черепахи	turtle
черепахи	turtles
юхим	yefim
кит	whale
плід	fruit
споживачів	consumer
споживачів	consumers
другом	friend
дівчину	girl
фільмографія	filmography
пакет	packet
реформа	reform
потоків	streams
директорів	directors
граючи	playtime
григорівна	gutman
спадщину	succession
молдові	moldova
підписано	signed
екологічна	environmental
екологічна	ecological
лисенко	lysenko
ростов	rostov
нквд	nkvd
микита	nicky
микита	nikita
стіна	wall
чан	chang
чан	chan
чан	jang
сомалі	somalia
сомалі	somali
лангедок	languedoc
квебек	quebec
вдало	successful
вдало	cleaned
польське	polish
леонардо	leonardo
фінансово	financially
френсіс	francis
френсіс	frances
розпорядженні	disposal
профілю	profile
зруйнований	demolished
фонтан	fontana
фонтан	fountain
ставок	pond
турнірів	tournaments
знайшла	found
джим	jim
структурні	structural
брюс	bruce
соціалістична	socialist
вирок	sentencing
вирок	sentence
гітлер	hitler
інспектор	inspector
інспектор	supervisor
кіровоград	kirovohrad
друзями	friends
друзями	homies
підтримали	supported
довкола	around
унікальний	unique
всесвіт	universe
довга	long
алжир	algiers
алжир	algeria
маріо	mario
експеримент	experiment
реакцій	reactions
їде	rides
водій	driver
пров	prov
націонал	national
обрав	chose
обрав	picked
олекса	aleksa
малайзії	malaysia
запрошений	originator
рядків	rows
рядків	lines
рядків	strings
певна	certain
тарн	tarn
чисто	clear
запровадження	renovated
користується	uses
податки	tax
податки	taxes
театрів	theatres
театрів	theaters
експлуатація	exploitation
турніри	tournaments
традиційний	traditional
людвіг	ludvig
людвіг	ludwig
нападів	offense
перетинає	intersects
спостерігати	observe
спостерігати	watch
спостерігати	monitor
принципово	essentially
принципово	fundamentally
відмову	refusal
пенсію	retire
біо	biot
тримає	holds
тримає	keeps
заперечення	denial
заперечення	denying
розвивати	develop
експертів	experts
блоки	bricks
блоки	frames
блоки	boxes
блоки	blocks
майстерність	skill
майстерність	excellence
кеннеді	kennedy
мед	honey
мед	med
переконання	belief
переконання	beliefs
рига	riga
статтями	articles
хворобу	illness
середнє	average
середнє	mean
синагога	synagogue
співпрацює	cooperates
співпрацює	collaborating
містити	contain
біт	beat
біт	bit
біт	bits
годинник	clock
процесор	processor
процесор	cpu
люк	luke
люк	luc
шарант	charente
прогрес	progress
складно	complicated
складно	difficult
цивілізація	civilization
цивілізація	civilisation
буковина	bukovina
монпельє	montpellier
табори	camps
дордонь	dordogne
казахстані	kazakhstan
рядки	rows
рядки	lines
рядки	strings
інвестицій	investments
взято	taken
екранізації	adaptations
бузеу	buzău
сутність	essence
сутність	entity
личинки	larvae
документа	document
професії	professions
морів	seas
чернігова	chernihiv
довкілля	environmental
компонент	component
єврейський	jewish
інформатики	informatics
печінки	liver
напади	attacks
напади	seizures
напади	assaults
кларк	clarke
кларк	clark
квартал	quarter
математичний	maths
математичний	mathematical
математичний	math
маленька	little
ювілейна	jubilee
контакт	contact
лад	mode
лад	manner
хмари	clouds
популярна	popular
півкулі	hemispheres
півкулі	hemisphere
запобігти	prevent
глядачі	audiences
глядачі	audience
глядачі	spectators
глядачі	viewers
перемогли	defeated
провідний	leading
хліба	bread
продано	sold
описано	describes
описано	described
створенню	participatory
акція	share
акція	stock
зведена	reduced
ізер	isère
єжи	jerzy
істоти	creatures
домі	domi
угорська	hungarian
оздоблення	decoration
виверження	eruption
болівії	bolivia
ризику	risking
відвідування	visit
відвідування	visits
дванадцять	twelve
окупація	occupation
патрулювання	patrol
патрулювання	patrolling
друк	print
друк	printing
нуля	scratch
особистість	identity
особистість	personality
лоренцо	lorenzo
люксембургу	luxembourg
дністер	dniester
помітив	noticed
націоналістів	nationalists
бретань	bretagne
закінчили	done
мажор	major
аналог	analogous
старим	old
пуерто	puerto
використана	used
звичаї	customs
травми	disturbance
травми	injury
травми	trauma
адмін	admin
типові	default
типові	defaults
типові	typical
співака	singer
стрілець	sagittarius
золоте	golden
латвія	latvia
вождь	chieftain
вождь	chief
серйозні	serious
спрямування	delegation
начебто	bumped
начебто	apparently
присутня	present
померлих	deceased
старт	start
згадував	mentioned
тіні	shadows
тіні	shading
тіні	tini
тан	tang
тан	tan
шекспіра	sonnets
іде	helo
змінено	changed
змінено	modified
рейх	reich
есе	essay
есе	ese
італійською	italian
стрий	stryi
казка	tale
казка	fairytale
подати	submit
зруйновано	destroyed
вказати	specify
вказати	define
папір	paper
знаменитий	famous
залізо	iron
відходів	wastes
трофей	trophy
денні	danny
денні	denny
тунісу	tunisia
знищили	destroyed
родичі	siblings
родичі	relatives
рідний	native
бачення	vision
олеся	olesya
іллінойс	illinois
раси	races
казимир	kazimierz
казимир	casimir
георгійович	lazo
білка	squirrel
чоловіча	male
аудіо	audio
розділена	divided
розділена	split
дорослі	adults
дорослі	adult
перевага	favor
перевага	advantage
ширину	width
ширину	breadth
отримано	received
отримано	fetched
отримано	retrieved
лівій	livius
експонатів	exhibits
джонні	johnny
джонні	jonny
сосна	pinus
сосна	pine
танець	dance
орн	orne
барабани	drums
наведення	hover
палата	chamber
знищені	destroyed
знищені	annihilated
симфонія	symphony
цікавий	interesting
трагедія	tragic
трагедія	tragedy
бачили	seen
пацієнтів	patients
маргарита	margaret
маргарита	margarita
творець	creator
вигнання	exile
докази	proofs
докази	evidence
балки	timbers
побачили	saw
ендр	indre
священики	priests
священики	clergy
закрита	closed
кейт	kate
максимович	maksimović
складність	difficulty
складність	complexity
марс	mars
бтр	btr
зеландія	zealand
промінь	beam
зима	winter
вирішувати	decide
гельсінкі	helsinki
біографічний	biographical
душ	shower
душ	souls
литві	lithuania
гост	gost
вагітності	pregnant
професійні	professional
спільне	joint
спільне	common
можлива	possible
йосиф	iosif
ярмарки	fairs
меншин	minorities
бондаренко	bondarenko
міцність	strength
товщина	width
товщина	thickness
атак	attackers
атак	hacking
піч	stove
піч	furnace
піч	oven
пряма	line
пряма	direct
боки	sides
вказана	pointed
вказана	specified
валюти	currency
валюти	currencies
вагу	weights
вагу	weighing
вагу	weight
випустили	released
відмовилися	abandoned
відмовилися	sisterhood
відмовилися	declined
відмовилися	refused
мостів	bridges
зелене	green
гнізда	slots
гнізда	nests
гнізда	sockets
гнізда	socket
дистриб	distributors
експозиція	exposure
американців	americans
повстанці	rebels
седан	sedan
низька	low
марш	marche
марш	marsh
розробники	developers
лицар	knight
розвиватися	evolve
порода	breed
порода	cattle
порти	ports
додає	adds
вілсон	wilson
нав	obsession
зафіксовано	locked
наповнення	augment
екземплярів	instances
недавно	recently
раптом	suddenly
кравченко	kravchenko
ефективно	effectively
ефективно	effective
потоки	streams
сбу	ssu
сбу	sbu
учасника	member
учасника	attendee
міри	extent
більшовики	bolsheviks
вокаліст	vocalist
скам	it
найближчі	closest
дозволено	permitted
дозволено	allowed
виділено	highlighted
виділено	allocated
додано	added
походів	hikes
датою	date
рабів	slaves
постійної	repetitive
злочин	crime
більшого	bigger
полотно	canvas
пуатьє	poitier
скорочено	short
переворот	coup
допомагають	helping
стокгольм	stockholm
рукопис	manuscript
комерційний	commercial
хроніки	chronicles
автобусів	striking
гарнізон	garrison
матеріально	financially
сьєрра	sierra
апостолів	apostles
оператори	operators
прикраси	jewellery
прикраси	bling
прикраси	ornament
прикраси	jewelry
прикраси	candy
конференцій	conferences
витоків	leak
починаються	starting
екран	screen
стратегія	strategy
економічне	economic
економічне	economical
арабських	arab
альманах	almanac
подолання	curbing
франк	frank
франк	franc
франк	franck
мама	mum
мама	mom
мама	mama
богиня	goddess
публічно	publicly
валовий	gross
псевдо	pseudo
арешт	arrest
підйом	climb
одесса	odessa
кримський	crimea
кримський	crimean
сел	sal
льюїс	lewis
овернь	auvergne
заявки	bids
носити	wear
розширити	widen
розширити	expand
підземні	underground
індустрії	industries
змінили	shifters
змінили	altered
поїздки	trips
передні	front
маяк	lighthouse
магістр	magister
магістр	master
донбас	donbass
донбас	donbas
вбив	killed
кампанію	campaigning
демонстрації	demos
демонстрації	demonstrations
демонстрації	showcase
прикладу	example
приватний	private
заборони	forbids
заборони	prohibition
бактерії	bacteria
шаром	layer
хроніка	chronicle
яно	jana
кевін	kevin
віллі	willy
віллі	willie
віллі	villy
угод	agreements
високе	high
наполеон	napoleon
космічні	cosmic
торф	peat
марта	marta
марта	martha
розвідка	intelligence
розвідка	reconnaissance
показу	renderer
волокна	fiber
волокна	fibers
обрана	destined
обрана	divergent
мез	meuse
мез	mez
перегляд	browse
перегляд	preview
перегляд	view
ведучий	presenter
ведучий	lead
прип	pripyat
приєдналися	joined
процедура	procedure
гамма	gamma
воїни	warriors
небагато	few
важка	hard
щиро	sincerely
щиро	sincere
щиро	affectionately
дипломатичних	diplomatic
композицію	track
сонячного	sunlit
норма	norma
норма	norm
продажі	sales
ввести	enter
бур	bourg
бур	boer
бур	drill
визначив	recognized
листування	mailing
складові	ingredients
салон	salon
дівчинка	girl
написали	drafted
поступився	lending
спадок	legacy
голландії	holland
піски	sands
виготовлено	manufactured
виготовлено	producer
боєприпасів	ammunition
ферма	farm
ферма	fermat
оперативного	operational
віддати	relinquish
посиланням	link
таємно	secretly
таємно	secret
незалежна	independent
впав	fell
господнього	sepulchre
садів	gardens
гектарів	hectares
пауль	paul
шведська	swedish
онук	grandson
кроком	step
імператорів	emperors
точність	precision
точність	fraction
точність	accuracy
прихильником	supporter
зникає	disappears
втт	vtt
гірничо	agh
вірмени	armenians
іще	else
бангладеш	bangladesh
ворожих	hostile
сприяти	facilitate
експерименти	experiments
мікеланджело	michelangelo
поглинання	acquisitions
поглинання	takeover
покажчик	index
давній	ancient
спробувати	try
міграції	migration
продажів	sales
індійський	indian
еміль	emile
еміль	emil
еміль	émile
каменів	stones
вузли	peers
вузли	hosts
вузли	nodes
вогези	vosges
літер	letters
організована	organized
обкладинка	cover
збирати	gather
збирати	collect
бурі	storms
трасі	tracy
сірі	gray
сірі	siri
різниці	difference
розпочати	start
розпочати	initiate
газетах	newspapers
випадає	fertilize
страх	fear
детектив	detective
географічний	geographical
звільнити	wipe
анатоліївна	sobchak
словники	vocabularies
словники	dictionaries
гине	dies
володарі	claim
вбили	killed
такао	takao
службовців	employees
перерви	break
орла	eagle
класична	classical
класична	classic
помирає	dies
гордон	gordon
кроки	steps
поради	advice
поради	tips
арджеш	argeș
авторського	auteur
віддає	taker
живі	living
послання	epistle
лиман	liman
лиман	estuary
винищувач	blaster
винищувач	fighter
косово	kosovo
землеробства	farming
дуглас	douglass
дуглас	douglas
девіс	davis
девіс	davies
першість	dwarfed
тертя	friction
посуд	dishes
накопичення	hoarding
накопичення	accumulation
папуа	papua
сірки	brimstone
осінь	autumn
осінь	fall
юзеф	józef
рекомендується	recommended
пфальц	palatinate
стандартний	standard
душа	soul
гризунів	rodent
прим	prim
паоло	paolo
ефір	broadcaster
савченко	savchenko
гвинтівки	rifles
гвинтівки	rifle
закрито	closed
алгоритми	algorithms
кіпр	cyprus
виклик	challenge
виклик	call
виклик	defiance
пакистану	pakistan
австралійський	australian
реформування	reforming
вклад	contribution
покриттям	potholes
мозок	brain
гніздо	slot
гніздо	nest
безкоштовно	free
тепло	warm
тепло	warmth
прояви	racist
осло	oslo
принесли	brought
спини	sandy
ботанік	botanist
висотах	altitudes
ріст	growth
дізнатися	inquire
дізнатися	learn
передмісті	suburbs
відійшли	broke
кристали	crystals
мартіна	martina
інтерпретації	interpretations
ковальчук	kovalchuk
комунікацій	communications
мадонна	madonna
спільну	shared
небезпеку	dangers
саксонія	saxony
пожежа	fire
підвіска	suspension
дехто	some
сумніви	doubting
сумніви	doubts
змушена	compelled
всеволод	vsevolod
гребля	dam
оснащений	dual
чоловічі	male
купив	bought
політикою	policy
бухарест	bucharest
вибрати	choose
вибрати	select
унікальні	unique
чиновників	officials
оцінити	assess
оцінити	evaluate
оцінити	rate
небезпеки	danger
архіви	archives
статевий	genital
статевий	sexual
передня	anterior
відійшов	away
відійшов	stepped
відійшов	recovered
кулемети	mgs
ісус	jesus
теоретично	theoretically
хмельницькому	underway
вчителі	teachers
заявила	declared
однакові	identical
однакові	same
секс	sex
чутки	rumors
чутки	rumours
чутки	rumor
визнала	acknowledged
несуть	carrying
несуть	carried
крістофер	christopher
методика	technique
пейзаж	landscape
джаз	jazz
уельсу	wales
сантиметрів	centimeters
сантиметрів	centimetres
едді	eddie
едді	eddy
бомби	bombs
закладено	provides
віки	ages
способами	caresses
багата	uptown
німеччину	germany
фасаді	controversial
менеджмент	management
говард	howard
течія	current
течія	flux
робітники	workers
розмови	conversations
розмови	conversation
відмовляється	refuses
відмовляється	declines
бойовиків	militants
біженців	refugee
біженців	refugees
корона	crown
фотографій	photographs
сантьяго	santiago
однаково	equally
пори	pore
змій	snakes
комуністична	communist
тропічні	tropical
етимологія	etymology
преса	press
ціль	objective
ціль	target
добровільно	willingly
добровільно	voluntarily
добровільно	deliberately
добровільно	voluntary
підтримується	supported
пізно	late
вдвічі	twice
вдвічі	doubled
переселенців	movers
переселенців	idps
переселенців	displaced
блакитний	blue
блакитний	cyan
тель	tel
коди	codes
пенсії	retirement
пенсії	pensions
бойове	combat
гурток	circle
моменти	moments
вилча	vâlcea
затемнення	darken
затемнення	eclipse
лавки	benches
наближення	approximation
наближення	impending
трудова	labour
тріо	trio
гагаріна	gagarin
сорока	pica
читача	follower
трави	grass
діагностики	diagnostics
еволюція	evolution
інтелектуальної	intellectual
груповий	group
церковної	ecclesiastical
викладає	teaches
амстердам	amsterdam
порушує	violates
перебіг	influence
вимагав	demanded
жуків	bugs
рів	reeve
клієнт	customer
клієнт	client
сервіс	service
придбати	purchase
придбати	buy
гвардійська	guards
мінську	minsk
тварина	animal
різдво	nativity
різдво	christmas
декоративні	ornamental
молитви	prayers
проста	simple
собаки	dogs
фантастичний	fantastic
виробника	vendor
студію	studio
царі	magi
реставрація	restoration
проникнення	penetration
проникнення	infiltration
презентація	presentation
французів	cajun
диких	wild
маркса	marx
отриманий	received
отриманий	resulting
ново	novo
бад	bud
обстрілу	shelling
чоловічого	masculine
феодосія	feodosia
перевірка	checking
перевірка	verifying
перевірка	validating
перевірка	verification
перевірка	test
перевірка	validation
заяви	statements
схем	schemes
приватної	willful
сидіння	seats
гості	guests
представив	introduced
розбіжності	diff
розбіжності	disagreements
турецька	turkish
міфів	myths
барон	baron
операціях	maneuvers
відправляється	departs
відправляється	leaving
бруно	bruno
визнає	admits
визнає	recognise
північне	northern
напруга	tension
залишитися	stay
міссурі	missouri
піраміди	pyramids
додавати	add
вектор	vector
попереду	ahead
братство	fraternity
братство	brotherhood
ланцюг	chain
довів	proved
паспорт	passport
позитивно	positive
позитивно	positively
підродина	subfamily
внутрішнє	internal
внутрішнє	inner
кафедральний	skara
практична	practical
кетрін	kathryn
кетрін	katharine
кетрін	katherine
сау	sau
панель	panel
вихідні	weekends
вихідні	weekend
вихідні	outgoing
массачусетс	massachusetts
зсу	zsu
лавка	bench
стрічці	feed
настає	breaks
покинули	snatched
оцінкою	rating
зазначає	listed
венесуели	venezuela
шанс	chance
арнольд	arnold
підпілля	underground
навчальному	easiest
евакуації	evacuate
виправлення	corrections
виправлення	correcting
виправлення	fixes
гар	gard
порожнини	maxillofacial
збільшує	increases
збільшує	enlarges
збільшує	magnify
гаїті	haiti
заборона	forbidden
заборона	prohibition
пакистан	pakistan
легіон	legion
полотна	canvas
позначають	indicate
позначають	signifying
механік	mechanic
хронологія	chronology
хронологія	timeline
вступили	fishy
галицька	galician
вебер	weber
ніде	nowhere
стилів	styles
консультант	consultant
консультант	consulting
жер	gers
багатих	mansions
багатих	wealthy
здатністю	brittle
фінанси	financial
фінанси	finance
фінанси	finances
сталь	steel
шахи	chess
темні	dark
темні	darker
інженери	technicians
інженери	engineers
вюртемберг	württemberg
вивести	output
стандартна	standard
ізраїлі	israel
куба	cuba
соціологія	sociology
ткаченко	tkachenko
ясси	iași
читає	reads
флоренція	florence
шкіра	leather
шкіра	skin
життєпис	timeline
записано	written
записано	recorded
визначений	defined
визначений	definite
поклоніння	worship
комети	comets
щоденник	journal
щоденник	diary
документальні	documentaries
делі	delhi
договорів	deals
сочі	sochi
джорджія	giorgia
римляни	romans
промислова	industrial
вимогою	requirement
схожість	likeness
сейм	sejm
міллер	miller
спільна	joint
бідності	poverty
центрами	centers
правова	legal
феномен	phenomenon
турецький	ottoman
турецький	turkish
союзники	allies
обробці	parsed
довше	longer
моріс	maurice
сіра	spinner
сіра	grey
симптоми	symptoms
індіанці	indians
присвоєння	assignment
необхідне	required
галактик	galaxies
власна	proper
власна	self
любителів	appreciation
вінніпег	winnipeg
попов	popov
вікон	windows
хребетних	zoology
рівно	steady
старша	elder
старша	older
стани	states
розряд	singles
розряд	discharge
казав	said
казав	told
штурм	sturm
штурм	storming
фестивалів	festivals
замінили	replaced
роберто	roberto
шари	layers
кадри	frames
покровський	pokrovsky
цех	guild
максимальний	maximum
нижніх	underlying
площ	retail
нахил	tilt
трупи	corpses
легкі	easy
діалект	dialect
афганістан	afghanistan
хіп	hip
блог	blog
термінології	terminology
проголосували	voted
роджер	roger
інструкції	tutorials
інструкції	instructions
атлетика	athletics
фантастика	fantastic
фантастика	fictional
фантастика	fiction
сорти	variety
процесорів	cpus
зникла	gone
виконавці	resources
виконавці	artists
бульвар	rosewood
бульвар	boulevard
євангеліє	gospel
борець	wrestler
самиць	females
величин	quantities
профспілок	unions
польську	polish
канд	kand
спадкоємець	heir
негативні	negative
сіро	ciro
луцій	lucius
заряд	charge
загроза	menace
загроза	threat
духовна	liturgical
духовна	theological
перегони	race
перегони	racing
глосарій	glossary
молодим	young
регулярні	periodical
демонструє	demonstrates
ходи	moves
монету	coin
кімната	room
альянс	alliance
корпорація	corporation
штук	stuck
мок	mok
кінь	horse
сенат	senate
батьківщина	homeland
батьківщина	fatherland
коробка	box
коробка	gearbox
твердість	hardness
ланка	lanka
запалення	inflammation
поразку	failing
гази	gases
гази	gaza
оцінювання	scoring
оцінювання	evaluation
важливість	importance
важливість	severity
важливість	urgency
виживання	survival
дизель	diesel
недоліків	faults
написала	wrote
багатство	riches
багатство	wealth
винограду	grape
винограду	grapes
судану	sudan
загреб	zagreb
остап	ostap
сидить	sits
сидить	sitting
персонал	staff
обмежені	limited
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	muhammed
вищому	premier
обрані	featured
обрані	selected
нафта	oil
нафта	petroleum
відправили	haul
сигнали	signals
розділити	fork
розділити	split
сибір	siberia
міркувань	reasoning
міссісіпі	mississippi
конрад	konrad
конрад	conrad
яте	yate
безумовно	definitely
род	rod
арсенал	arsenal
абсолютна	absolute
маргарет	margaret
михайлівка	mikhaylovka
сицилії	sicily
технічно	technically
попередня	prev
попередня	previous
адм	adm
мазепа	mazeppa
мазепа	mazepa
спереду	front
провулки	alleys
створюючи	ensuring
розбив	wrecked
кандидатуру	candidacy
інженерних	engineering
крус	cruz
крус	kroes
знаючи	knowing
поховали	bury
суцвіття	inflorescence
подолати	outrun
подолати	overcome
проведених	helm
підряд	consecutive
рівноваги	equilibrium
пілотів	pilots
ратуша	hall
міра	myra
міра	mira
міра	measure
військах	forces
спокою	serenity
виробляють	produce
мережах	networks
впевнений	sure
математичні	maths
математичні	mathematical
математичні	math
числення	calculus
луїза	luiza
луїза	louisa
луїза	luisa
луїза	louise
залишатися	stay
броні	armor
найвищих	tallest
запитів	requests
зник	gone
зник	vanished
зник	disappeared
відповідними	respective
механічний	mechanical
кераміка	pottery
кераміка	ware
кераміка	ceramic
кераміка	ceramics
астрономи	astronomers
дербі	darby
дербі	derby
прапором	flag
зерно	grain
студій	studies
ставка	rate
всюди	globally
всюди	anywhere
всюди	everywhere
виконали	freezes
найвище	tallest
підтримання	maintain
гідності	dignity
відповідну	appropriate
приносить	gloat
реалізацію	implementation
проза	prose
вираження	expressing
виграли	won
путівник	guide
путівник	guidebook
матриця	matrix
філолог	linguist
формує	shaped
розчин	mortar
розчин	solution
баланс	balance
тунель	tunnel
верес	veres
визначена	defined
визначена	identified
розгортання	retract
розгортання	expansion
випускник	graduate
доходи	commodities
мат	mate
мат	checkmate
потоцький	potocki
ветеран	veteran
вірогідно	supposedly
герберт	herbert
похідні	derivatives
змусили	forced
вирощують	grow
художниця	artist
корінь	root
алкоголю	liquor
алкоголю	beverages
алкоголю	alcohol
медічі	medici
відзначення	kos
звільнили	fired
звільнили	discharged
побудова	constructing
договори	treaties
договори	ansei
бурятія	buryatia
занепад	ruin
занепад	doom
арабська	arabic
процесора	gpu
процесора	cpu
симона	simone
мартин	marcin
мартин	gull
метали	metal
метали	metals
дені	dani
модулі	modules
дозволити	enable
дозволити	allow
їхньому	their
пшениці	wheat
фірм	firms
співдружності	commonwealth
незалежний	independent
величезна	huge
штучний	artificial
двадцяти	twenty
чернівців	chernivtsi
підтверджує	confirms
підтверджує	asserts
подією	event
вершину	vertex
рука	arm
рука	hand
стиснення	compression
реальність	reality
школярів	schoolchildren
тридцять	thirty
подію	event
покриті	depleted
неправильно	wrong
аналогічний	analogous
диски	discs
диски	disks
диски	cds
улюблений	favourite
улюблений	favorite
іспанською	spanish
доведено	proved
доведено	proven
ззаду	back
жанрів	genres
суперників	rivals
суперників	opponents
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yanks
янки	yankee
статистичні	statistical
цвітіння	blossom
фан	fan
фан	fang
трикутник	triangle
муреш	mureș
клермон	clermont
крива	curve
дорошенко	doroshenko
радника	advisor
кіпру	cyprus
самець	male
заново	rebuild
кримська	crimean
емілія	emilia
емілія	aemilia
емілія	amelia
голокосту	holocaust
земельні	zealand
різновидів	flavors
гессен	hesse
дядька	gaffer
віл	wil
віл	hiv
віл	ox
леопольд	leopold
актуальні	trending
тяжіння	gravitation
тяжіння	gravity
індонезія	indonesia
прованс	provence
вимова	pronunciation
наступником	successor
серійний	serial
францію	france
аверс	obverse
автономний	autonomous
автономний	offline
алтай	altai
включати	include
арагон	aragón
арагон	aragon
тонкі	thin
митці	artists
сант	sant
підлітків	teen
підлітків	adolescents
закриті	closed
мідь	copper
ростислав	rostislav
воїн	warrior
уельс	wales
хата	treehouse
духовні	spiritual
розробник	developer
янг	young
шостий	sixth
вісь	axis
єврейська	jewish
єврейська	hebrew
колон	colón
колон	colon
податок	tax
прокурора	attorney
прокурора	prosecutor
рядка	line
гранд	grandes
гранд	grande
гранд	grand
сталін	stalin
дует	duet
секція	section
латинська	latin
шахтар	shakhtar
шахтар	miner
адаптації	adaptation
позначені	tagged
колеги	colleagues
колеги	coworker
підтримати	support
дослівно	verbatim
дзеркала	mirrors
штучні	artificial
публікація	story
публікація	publication
публікація	posting
публікація	publishing
едмонтон	edmonton
здійснюються	operated
башкири	bashkirs
адріан	adriaen
адріан	adrián
адріан	hadrian
адріан	adrian
якесь	some
італію	italy
кора	crust
кора	kora
кора	cora
спалили	burned
ядер	kernels
звіти	reports
спеціалізовані	specialized
надгробок	headstone
правосуддя	justice
сміття	garbage
сміття	rubbish
пор	port
природним	naturally
літом	summertime
колесо	wheel
колесо	tire
юлій	julius
враховувати	consideration
бразильський	amazonian
приток	tributaries
череп	skull
захоплені	captured
вгорі	upper
вгорі	top
коричневі	brown
колона	column
колона	colonna
рідкісний	rare
піднімається	climbs
піднімається	rises
піднімається	rising
андріївна	dmitrieva
купол	dome
передбачав	predicted
почути	hear
миколаївка	nikolayevka
лео	leo
жорстоко	cruel
жорстоко	brutally
валя	valea
мандрівник	traveler
мандрівник	traveller
мандрівник	wanderer
барі	bari
грані	facets
багатства	wealth
худ	hood
тренування	training
тренування	practicing
мільйон	million
малювання	painting
малювання	drawing
сімейство	family
прийоми	tricks
аполлон	apollo
рафаель	raphael
рафаель	rafael
рафаель	raphaël
