категорија	category
секој	every
цел	goal
поделби	divisions
оние	those
јули	july
америка	america
америка	americas
цар	tsar
цар	emperor
цар	czar
често	frequently
често	often
поправени	fixed
поправени	repaired
припаѓа	belongs
истражување	survey
истражување	research
работи	things
работи	works
работи	working
работи	stuff
градови	towns
градови	cities
места	places
места	spots
места	seats
места	slots
нема	no
април	april
роден	born
октомври	october
земја	country
земја	earth
повторно	again
око	eye
франција	france
димензии	dimensions
округот	county
округот	shire
позната	known
позната	famous
позната	familiar
нивните	their
галаксија	galaxy
игри	games
деклинација	declination
историја	history
откако	after
ноември	november
јуни	june
лакот	bow
теме	vertex
станува	becomes
живот	life
северна	northern
настани	events
ширина	width
култура	culture
пласман	standings
центар	center
центар	centre
втората	second
население	population
декември	december
мери	meri
мери	mary
трае	lasts
дела	works
дела	deeds
дела	della
ден	day
состојба	state
состојба	condition
дијаметар	diameter
рим	rome
особено	particularly
особено	especially
означена	tagged
означена	flagged
италија	italia
италија	italy
тогаш	then
реката	river
леќа	lens
леќа	lentil
земји	countries
шаблон	pattern
шаблон	template
вид	kind
член	member
член	article
беа	were
познат	known
познат	famous
округ	county
округ	district
затоа	therefore
американски	american
област	oblast
област	area
јужна	southern
јужна	south
едно	one
етапа	stage
забележан	sighted
износ	amount
филмови	films
филмови	movies
англиски	english
бугарија	bulgaria
првенство	championship
опсерваторија	observatory
дури	even
грција	greece
однос	intercourse
однос	relationship
содржи	contains
спроведено	conducted
милиони	million
милиони	millions
збор	word
нивната	their
февруари	february
работа	job
работа	work
функција	function
држава	country
држава	state
календари	calendars
секоја	every
секоја	each
русија	russia
постои	exists
метри	meters
метри	metres
нејзината	her
големи	large
големи	big
четири	four
џон	john
џон	jon
олимписки	olympic
делови	parts
политика	policy
политика	politics
видови	kinds
видови	varieties
видови	species
империја	empire
главен	chief
главен	main
врска	link
врска	relationship
врска	bond
свети	shine
свети	sacred
свети	saint
свети	glow
вклучувајќи	including
телескоп	telescope
групи	groups
најчесто	mostly
награда	reward
награда	prize
награда	award
значи	mean
значи	so
значи	means
разговор	conversation
разговор	chat
филм	movie
филм	film
википедија	wikipedia
крај	end
вода	water
резултат	score
резултат	result
улога	role
претседател	president
училиште	school
страница	page
западна	western
километри	km
нови	new
песни	tunes
песни	songs
организација	organization
организација	organisation
лидери	leaders
познато	familiar
случај	case
редослед	order
сезона	season
игра	game
веќе	already
основа	grounds
основа	basis
населба	settlement
населба	neighbourhood
сили	forces
обично	usually
обично	normally
обично	ordinarily
обично	usual
подредени	subordinates
бројни	numerous
промени	changes
промени	change
разлика	distinction
разлика	diff
разлика	difference
употреба	usage
употреба	use
форма	shape
форма	form
договор	deal
договор	agreement
договор	contract
договор	treaty
изграден	built
изграден	constructed
некој	anyone
некој	someone
некој	somebody
лига	league
лига	liga
влијание	impact
влијание	influence
друга	another
членови	members
починал	died
површина	surface
површина	desktop
неа	her
неа	nea
после	after
фудбалери	footballers
острови	islands
острови	isles
вештачки	artificially
вештачки	artificial
самиот	myself
самиот	yourself
ред	order
ред	row
лица	persons
лица	faces
друг	another
почеток	start
почеток	beginning
народи	peoples
син	son
албум	album
никола	nikola
никола	nicola
македонска	macedonian
македонска	macedon
нова	new
австралија	australia
тур	tour
повеќето	most
александар	aleksandar
александар	alexander
вилијам	william
татко	dad
татко	father
движење	motion
движење	moving
движење	movement
дело	deed
дело	work
дело	delo
власт	authority
власт	power
прва	first
мора	must
англија	england
развој	development
развој	developing
деца	kids
деца	children
лево	left
главно	mainly
главно	mostly
србија	serbia
сега	now
кариера	career
кариера	careers
општини	municipalities
храм	temple
ниво	level
облик	shape
тим	tim
тим	team
доколку	if
сателити	satellites
ера	era
музика	music
германски	german
видете	see
археолошки	archeological
археолошки	archaeological
близина	nearby
дали	do
дали	did
дали	does
универзитет	university
море	sea
пати	times
пет	five
париз	paris
целосно	fully
целосно	completely
целосно	totally
поле	field
минути	minutes
листа	list
мала	small
мала	little
вредност	value
поделени	divided
британија	britain
британија	uk
поврзани	connected
поврзани	linked
поврзани	related
саксонија	saxony
свет	world
потекло	origin
потекло	genisys
потекло	descent
потекло	origins
владетел	ruler
шпанија	spain
спорт	sport
спорт	sports
програма	program
програма	programme
мали	small
мали	little
мали	mali
куќа	house
институции	institutions
буда	buddha
трка	race
крал	king
таму	there
веднаш	immediately
слика	picture
слика	image
слика	painting
статија	article
ссср	ussr
статии	articles
евреите	jews
евреите	hebrews
француски	french
партија	party
природни	natural
кралство	kingdom
државите	states
река	river
политички	politically
политички	political
области	districts
области	governorates
области	areas
право	straight
право	right
серија	series
серија	serie
енергија	energy
значајни	significant
значајни	meaningful
островот	island
образование	education
хершел	hershel
дена	days
добро	good
извршување	executing
извршување	execute
извршување	execution
негово	his
нејзините	its
наведени	listed
тука	here
смртта	death
римјаните	romans
родени	born
натпревари	matches
натпревари	competitions
натпревари	contests
егејска	aegean
албанија	albania
книга	book
речиси	almost
азија	asia
песна	track
песна	song
всушност	actually
боја	color
боја	paint
боја	colour
прави	doing
прави	makes
понекогаш	sometimes
води	leads
води	waters
води	lead
поглед	view
заедница	community
стил	style
рок	rock
мухамед	muhamed
мухамед	muhammad
мухамед	muhammed
комитет	committee
африка	africa
населени	populated
континент	continent
животот	life
регион	region
моќ	power
сила	strength
сила	force
исток	east
извештај	report
лондон	london
македонци	macedonians
кина	china
права	rights
елементи	elements
елементи	entries
теорија	theory
најголем	biggest
значење	meaning
значење	significance
орбита	orbital
орбита	orbit
езеро	lake
руски	russian
битола	bitola
соодветната	corresponding
нешто	something
црна	black
натпревар	competition
натпревар	match
натпревар	contest
смрт	death
мислења	opinions
културни	cultural
милениум	millennium
пари	money
средината	midfield
средината	mid
најголема	biggest
најголема	greatest
најголема	largest
наместо	instead
веб	web
петар	peter
петар	petar
царство	kingdom
царство	empire
царство	realm
влада	government
јазикот	tongue
човек	human
човек	man
направи	do
направи	make
направи	made
мека	mecca
мека	soft
мал	small
мал	little
мал	mal
изградена	built
системи	systems
семејство	family
услови	requirements
услови	conditions
услови	terms
пол	gender
пол	paul
кралот	king
поголем	larger
поголем	greater
поголем	bigger
заштита	protection
сан	san
лав	lion
лав	leo
општествени	societal
општествени	social
турција	turkey
најмногу	most
најмногу	tops
најмногу	mostly
победа	win
победа	victory
мајка	mom
мајка	mother
малку	little
разни	various
дава	gives
надвор	outside
надвор	out
клуб	club
слики	images
слики	pictures
слики	photos
војска	military
војска	army
одредени	certain
уметност	arts
уметност	art
помалку	less
географија	geography
ниту	neither
ниту	nor
растојание	distance
растојание	spacing
растојание	offset
втор	second
покраина	province
медина	medina
височина	altitude
рем	remus
рем	rem
себе	myself
себе	yourself
јован	jovan
јован	john
извори	sources
жени	women
должина	length
големо	big
знаме	flag
живи	alive
избран	chosen
избран	selected
функции	functions
нирвана	nirvana
вели	says
вели	veli
секогаш	always
она	nla
она	she
вкупно	total
прво	first
вклучува	includes
итн	etc
наречен	dubbed
асур	assur
факултет	college
факултет	faculty
тип	guy
тип	type
половина	half
софија	sofia
софија	sophia
месеци	months
знаменитости	landmarks
знаменитости	sights
жена	woman
жена	wife
проблеми	trouble
проблеми	problems
претходно	previously
претходно	earlier
претходно	previous
контрола	control
училишта	schools
север	north
север	sever
простор	spacing
простор	space
стана	became
отколку	than
војни	wars
доаѓа	incoming
доаѓа	comes
доаѓа	coming
добива	gets
поголема	greater
поголема	bigger
велика	velika
нивното	their
толку	so
сојуз	soyuz
сојуз	alliance
ниска	low
источна	eastern
шест	six
никогаш	never
линија	line
види	see
види	look
орбитата	orbit
верзија	version
тело	body
историски	historic
историски	historically
историски	historical
книги	books
процес	process
центарот	downtown
дом	home
дом	dom
индија	india
исламска	islamic
успеал	succeeded
главна	main
јапонија	japan
советски	soviet
грчки	greek
возраст	age
југ	south
музеј	museum
запад	west
писател	writer
поп	pop
награди	rewards
награди	awards
награди	prizes
зборови	words
официјално	official
официјално	officially
музички	musical
единици	units
состав	essay
состав	composition
полска	polish
полска	poland
издание	edition
економија	economics
економија	economy
фаза	phase
фаза	stage
средства	funds
втора	second
најдобар	best
парк	park
физика	physics
стадион	stadium
марија	marija
марија	maria
куп	coop
куп	bunch
куп	pile
куп	cup
народ	people
седиште	seat
цели	goals
успех	success
официјална	official
долари	usd
долари	dollars
долари	dollar
долари	bucks
ракета	rocket
ракета	missile
интернет	internet
општи	general
доста	enough
белград	belgrade
храна	food
банка	bank
југославија	yugoslavia
архитектура	architecture
централна	central
манастир	monastery
манастир	convent
односи	relationships
односи	relations
врвот	top
потекнува	originated
италијански	italian
можност	opportunity
премиер	premier
дополнителни	additional
големина	size
уредување	edit
уредување	editing
борба	battle
борба	struggle
борба	fighting
борба	fight
цркви	churches
редовни	regular
планината	mt
планината	mount
производство	manufacture
производство	production
производство	manufacturing
извор	source
маса	table
маса	mass
планетата	planet
гора	gora
иван	ivan
карта	map
карта	ticket
карта	card
брег	shore
брег	bragg
брег	coast
посебно	especially
посебно	special
главни	main
средина	environment
средина	middle
средина	center
средина	centre
територија	territory
создавање	creation
создавање	creating
имаше	had
единица	unit
брат	bro
брат	brother
хрватска	croatia
поделен	divided
поделен	split
армија	army
рамнина	plains
уметноста	art
случаи	instances
случаи	cases
роман	roman
роман	novel
востание	uprising
европски	european
медал	medal
постојано	continuously
постојано	constantly
постојано	constant
постоеле	existed
џамија	mosque
животни	animals
портал	portal
шлезвиг	schleswig
закон	law
мрежа	grid
мрежа	network
наречена	dubbed
пристап	access
оддалеченост	distance
користење	usage
користење	using
канада	canada
среден	middle
среден	medium
окрузи	districts
окрузи	counties
војници	soldiers
војници	troops
активности	activities
активности	actions
активности	activity
финалето	finals
материјал	material
жените	women
победи	win
победи	won
победи	wins
последниот	last
зад	behind
птици	birds
организации	organizations
организации	organisations
писмо	letter
гол	naked
гол	goal
совет	advice
совет	tip
совет	council
човекот	man
национален	national
поголеми	larger
поголеми	bigger
носи	wearing
носи	wears
носи	brings
носи	wear
носи	carry
михаил	mikhail
михаил	michael
михаил	mihail
џејмс	james
холштајн	holstein
брзо	quick
брзо	fast
брзо	quickly
солун	thessaloniki
форми	forms
форми	shapes
страни	sides
архитектурата	architecture
куќи	houses
прилеп	prilep
австрија	austria
победата	winning
некропола	necropolis
роберт	robert
шведска	swedish
шведска	sweden
унгарија	hungary
играч	player
националност	nationality
модел	model
скоро	almost
учество	participation
наса	nasa
поезија	poetry
позиција	position
аеродром	airport
личности	persons
личности	figures
личности	personalities
екваторот	equator
студии	studies
региони	regions
холандија	netherlands
холандија	holland
професор	professor
професор	teacher
планина	mountain
римско	roman
бара	requires
бара	seeks
карактеристики	characteristics
карактеристики	features
овозможува	enables
овозможува	allows
доволно	enough
локалитети	sites
врати	restore
врати	revert
врати	undo
врати	doors
померанија	pomerania
чело	forehead
чело	cello
девица	virgo
девица	virgin
самата	herself
константин	konstantin
константин	constantine
ѕвезда	star
паша	pasha
економски	economic
економски	economically
можеби	maybe
можеби	perhaps
зборува	talking
зборува	speaks
москва	moscow
фудбалер	footballer
коло	colo
коло	circuit
коло	kolo
производи	products
причина	reason
унија	union
наука	science
работел	worked
пишува	writes
живееле	lived
освои	won
ново	novo
ново	new
науки	science
науки	sciences
исфрлен	expelled
исфрлен	ejected
автор	author
охрид	ohrid
лансиран	launched
украина	ukraine
тема	topic
тема	theme
тема	subject
турски	turkish
династија	dynasty
територии	territories
стефан	stefan
стефан	stephan
промена	change
лице	face
океанија	oceania
седум	seven
напад	attack
напад	assault
наклонетост	affection
наклонетост	inclination
близу	near
носач	carrier
станала	became
станица	station
структура	structure
процесот	process
планини	mountains
мажи	men
статус	status
градби	buildings
градби	structures
науката	science
килограми	kg
филип	phillip
филип	philip
филип	philippe
филип	filip
романија	romania
оди	go
орбитални	orbital
џорџ	george
сателитите	satellites
претставуваат	represent
претставуваат	pose
претставуваат	posing
света	sveta
света	saint
света	sacred
света	holy
света	hagia
анхалт	anhalt
слични	similar
слични	lookalike
соработка	collaboration
соработка	cooperation
камен	stone
камен	rock
заврши	finish
заврши	completed
заврши	finished
заврши	done
грб	crest
грб	emblem
грб	back
египет	egypt
радио	radio
негова	his
поддршка	support
вмро	vmro
управување	manage
управување	management
управување	steering
управување	governance
друго	else
купот	stacks
покраината	province
истовремено	simultaneously
религија	religion
индекс	index
остров	island
граница	boundary
граница	border
езерото	lake
видео	video
поет	poet
ќерка	daughter
албуми	albums
делчев	delchev
слично	similar
слично	similarly
текст	text
берлин	berlin
димитар	dimitar
коса	hair
сонцето	sun
сака	wants
сака	loves
директно	directly
истите	same
зеланд	zealand
ирска	ireland
семејства	families
писатели	writers
одбрана	defense
одбрана	defence
римски	roman
национално	national
национално	nationally
независност	independence
броеви	numbers
стане	become
администрација	administration
помали	smaller
помали	minor
македонско	macedonian
српски	serb
српски	serbian
имиња	names
површината	surface
услуги	services
услуги	favors
услуги	service
означува	signifies
сателит	satellite
општество	society
хенри	henry
притисок	pressure
веројатно	probably
луис	lewis
луис	luis
луис	louis
основан	founded
третиот	third
медали	medals
гледа	sees
гледа	watching
христијански	christian
глава	head
политичка	political
избори	elections
избори	election
недела	week
недела	sunday
национални	national
растенија	plants
бугарски	bulgarian
членовите	members
напишал	wrote
академија	academy
екипа	crew
екипа	team
чест	honour
чест	honor
северно	north
кирил	cyril
кирил	kiril
кирил	kirill
опфаќа	encompasses
бог	god
денови	days
порано	earlier
институт	institute
институт	instituto
резултати	results
чија	whose
високо	high
мексико	mexico
директор	director
директор	principal
проект	project
план	plan
театар	theater
театар	theatre
природата	nature
босна	bosna
босна	bosnia
починати	deceased
мечка	bear
друштво	companionship
мекленбург	mecklenburg
истото	same
корисници	users
делото	deed
негов	his
зависност	dependency
зависност	addiction
покажува	shows
избор	selection
избор	choice
добра	good
византија	byzantium
зголемување	increase
гоце	goce
ван	wan
ван	van
хамбург	hamburg
најверојатно	probably
лесно	easily
лесно	easy
наведуваат	cite
косово	kosovo
претежно	mostly
брзина	velocity
брзина	speed
настапи	perform
настапи	performances
настапи	performed
долго	long
добие	gain
дојде	came
јунајтед	united
класа	class
пазар	marketplace
пазар	market
играчи	players
играчи	gamers
можно	possible
британски	british
прашања	issues
прашања	questions
температура	temperature
папа	pope
месец	month
започна	started
наречени	dubbed
згради	buildings
битка	battle
следи	follow
бела	bela
бела	white
бела	bella
голови	goals
швајцарија	switzerland
проблем	problem
проблем	trouble
лидерите	leaders
национална	national
тешко	hard
тешко	difficult
бразил	brazil
општински	municipal
степен	degree
анализа	analysis
реки	rivers
материјали	materials
покраини	provinces
шпански	spanish
данска	denmark
основана	founded
револуционерна	revolutionary
финансиски	financially
финансиски	financial
филмски	film
министер	minister
ист	same
род	rod
род	kin
причини	reasons
предмети	items
предмети	objects
знае	knows
поранешен	former
сум	am
револуција	revolution
хронолошки	chronological
хронолошки	chronicles
даде	gave
франс	frans
франс	france
служба	service
вардар	vardar
прашање	issue
прашање	question
ознака	tag
дете	kid
дете	child
завршува	ends
мартин	martin
висок	high
висок	tall
значително	considerably
значително	significantly
значително	substantially
потребно	necessary
потребно	required
потребно	needed
физички	physically
физички	physical
џиро	giro
изградба	construction
изградба	build
еднаш	once
суд	court
суд	courthouse
собрание	assembly
макс	max
меѓународни	international
калифорнија	california
вредности	values
интерес	interest
создава	creates
двајца	two
турнеја	tour
јужно	south
исус	jesus
воена	military
велес	veles
дејност	activity
риби	pisces
риби	fish
активност	activity
напади	attacks
напади	assaults
однесување	behaviour
однесување	behavior
индустрија	industries
индустрија	industry
истанбул	istanbul
тирингија	thuringia
слобода	freedom
слобода	liberty
останал	stayed
десет	ten
ана	ana
ана	anna
поранешни	former
том	tom
јужен	southern
карл	karl
карл	carl
титула	title
отворено	openly
отворено	open
низа	string
низа	sequence
долна	lower
следниот	next
планински	mountain
одржува	maintains
појава	emergence
појава	occurrence
појава	phenomenon
кратко	short
марко	marco
марко	marko
доби	received
доби	dobby
оддел	department
оддел	section
оддел	compartment
конечно	finally
врв	pinnacle
врв	peak
цариград	constantinople
наследство	legacy
наследство	inheritance
наследство	heritage
категории	categories
сингл	single
жан	jean
жан	jeanne
конгрес	congress
осум	eight
бел	belle
бел	white
бел	bell
делумно	partial
делумно	partly
делумно	partially
издаден	issued
народна	folk
технологија	technology
составен	composed
струмица	strumica
фудбал	soccer
фудбал	football
етнички	ethnically
етнички	ethnic
личност	person
личност	personality
изградбата	construction
фестивал	festival
знак	character
знак	sign
стар	old
висока	high
висока	tall
дрво	wood
дрво	tree
релативно	relative
релативно	relatively
примена	received
примена	admitted
примена	application
отоманската	ottoman
оружје	weapons
оружје	weapon
оружје	arms
остатоци	remains
остатоци	scraps
остатоци	debris
остатоци	remnants
остатоци	leftovers
момент	moment
фон	fon
фон	von
гитара	guitar
методи	methods
светлина	light
владеење	governance
владеење	rule
владеење	reign
христијани	christian
христијани	christians
канал	canal
канал	channel
жителите	residents
школа	school
манчестер	manchester
белгија	belgium
најдобра	best
болест	illness
болест	disease
болест	sickness
војвода	duke
превод	translation
томас	tomas
томас	thomas
партии	partie
партии	parties
поранешна	former
поранешна	ex
гола	naked
гола	nude
заедници	communities
заедници	communes
христо	christo
христо	hristo
продолжи	keep
продолжи	continue
продолжи	resume
спортови	sports
учествувал	participated
златна	golden
актер	actor
меѓународна	international
православна	orthodox
тетово	tetovo
мало	small
мало	malo
мало	little
такви	such
линии	lines
линии	streaks
точно	exactly
возач	driver
обид	attempt
обид	attempted
метал	metal
вуелта	vuelta
содржат	contain
двајцата	both
програми	programmes
програми	programs
долг	debt
мајкл	michael
вклучени	included
висина	altitude
висина	height
васил	vasil
глас	voice
страници	pages
смисла	sense
останува	remains
останува	stays
најмалку	least
чии	whose
херцеговина	herzegovina
монголија	mongolia
иста	same
секое	every
стапка	rate
азбука	alphabet
светлината	light
океан	ocean
композитор	composer
брод	ship
брод	boat
тек	tek
тек	flow
тек	stream
власти	authorities
согласност	consent
согласност	compliance
согласност	accordance
фактори	factors
теми	topics
теми	themes
примери	examples
почнува	begins
почнува	starts
првично	initially
првично	originally
источно	eastbound
источно	eastern
борис	boris
зголемува	increases
споредба	comparison
штип	štip
штип	stip
подрачје	area
улоги	starring
улоги	roles
почнал	started
денеска	today
направени	made
ефект	effect
ризик	risk
главата	head
цела	whole
верува	trusts
верува	trusted
верува	believes
настан	event
трета	third
сопственост	property
сопственост	owned
сопственост	ownership
спортски	sporting
спортски	sporty
спортски	sports
тврди	argued
тврди	claims
тврди	argues
зависи	depends
страницата	page
виена	vienna
ништо	nothing
клетки	cells
правила	rules
продолжува	continues
продолжува	continuing
продолжува	resumes
симбол	symbol
удар	blow
удар	coup
удар	stroke
удар	punch
удар	strike
годишна	annual
поврзува	connects
некогаш	sometime
некогаш	ever
некогаш	sometimes
стара	stara
стара	old
карактер	character
карактер	personality
јувентус	juventus
константинопол	constantinople
првак	champion
документи	documents
документи	papers
дејвид	david
анг	aang
црвена	red
рак	cancer
фридрих	friedrich
телевизија	tv
телевизија	television
традиција	tradition
годишно	yearly
годишно	annually
крст	cross
кит	whale
кит	keith
кит	kit
инструменти	instruments
брак	marriage
бизнис	business
отворен	open
долга	long
круг	circle
круг	round
кула	tower
кула	kula
служи	serve
служи	serves
точки	dots
точки	points
точки	spots
култури	cultures
високи	senior
проекти	projects
дал	dal
дал	dahl
дал	gave
поени	points
ерусалим	jerusalem
трет	third
чиј	whose
потреба	need
потреба	necessity
езера	lakes
намалување	reduce
намалување	reduction
намалување	decrease
мрежи	nets
мрежи	networks
мрежи	network
латински	latin
внимание	attention
моментално	momentarily
моментално	currently
словенија	slovenia
база	base
избрана	selected
западно	west
западно	westbound
љубов	love
јасно	clear
јасно	clearly
ѓорѓи	georgi
ѓорѓи	georgie
мера	extent
мера	measure
карло	carlo
содржина	content
содржина	contents
мир	peace
продолжил	proceeded
најдобро	best
екипи	crews
екипи	teams
израел	israel
создадена	created
вообичаено	common
вообичаено	usual
султанот	sultan
убиен	murdered
убиен	killed
ние	we
топ	cannon
топ	top
шкотска	scotland
просторот	space
приказна	tale
приказна	story
нато	nato
одлука	decision
назначен	assigned
назначен	appointed
замена	exchange
замена	replacement
странски	foreign
закони	laws
заеднички	joint
заеднички	mutual
заеднички	common
заеднички	jointly
долги	long
метод	method
мадрид	madrid
мост	bridge
недели	weeks
сцена	scene
сцена	landscape
турнир	tournament
едвард	edvard
едвард	edward
сопруга	wife
брегот	shore
брегот	shoreline
кучиња	hounds
кучиња	dogs
кучиња	mongrels
клубови	clubs
знаци	characters
знаци	signs
император	emperor
средно	medium
средно	secondary
залив	gulf
залив	bay
опрема	equipment
опрема	gear
петров	petrov
важни	important
опишува	describes
златен	golden
златен	gold
компанија	company
секретар	secretary
начини	ways
чарлс	charles
норвешка	norwegian
норвешка	norway
барање	query
барање	request
барање	searching
барање	demand
идеи	ideas
географски	geographically
географски	geographical
болести	diseases
болести	disease
арапски	arab
арапски	arabic
разликуваат	distinguish
разликуваат	differ
лик	character
владимир	vladimir
секунди	seconds
трговија	trade
клима	climate
членки	entrants
членки	members
враќа	returns
тони	tony
тони	toni
статистика	statistics
статистика	statistic
статистика	insights
тренер	trainer
тренер	coach
користејќи	using
учествува	participates
учествува	participate
елемент	item
елемент	element
градски	gradski
градски	city
тврдина	castle
тврдина	tivoli
тврдина	fortress
тврдина	citadel
луј	louis
револуционер	revolutionary
револуционер	revolutionist
хари	harry
весник	newspaper
поврзан	connected
поврзан	linked
стари	old
светци	saints
минхен	munich
природа	nature
опис	description
изградени	built
изградени	constructed
наслов	headline
наслов	title
змија	snake
змија	serpent
змија	viper
симболи	symbols
докази	proofs
докази	evidence
ричард	richard
фамилија	family
код	code
облека	outfit
облека	clothing
облека	clothes
библиотека	library
постепено	gradual
постепено	gradually
режија	directed
режија	directing
бои	colours
бои	colors
митологија	mythology
самите	themselves
самите	ourselves
важна	important
безбедност	security
безбедност	safety
сличен	similar
полуостров	peninsula
млади	youth
млади	young
горна	upper
горна	gorna
горна	zemo
федерација	federation
дели	deli
дели	divides
изглед	appearance
изглед	styling
страната	side
градба	building
градба	construction
реакција	reaction
изјавил	declares
навистина	indeed
навистина	really
пријател	friend
велосипедисти	cyclists
лос	los
лос	moose
одржување	maintenance
атина	athens
атина	athena
северен	northern
културно	cultural
културно	culturally
културно	polite
менува	changing
дома	home
предизвикува	triggers
предизвикува	causes
основно	elementary
основно	essential
основно	basic
успешно	successful
успешно	successfully
чешка	czech
основањето	founding
прогласен	declared
сестра	sister
приказни	tales
приказни	stories
силно	strongly
силно	hard
вистински	real
христијанството	christianity
деби	debut
деби	debbie
зошто	why
посебна	special
полиња	fields
милан	milan
трки	races
трки	racing
книжевност	literature
алберт	albert
балканот	balkans
едноставно	simple
едноставно	simply
наследник	heir
наследник	successor
таков	such
конкуренција	competition
политичар	politician
зафаќа	occupies
сеуште	still
објавена	published
јапонски	japanese
бели	white
бели	beli
нашата	our
положба	position
садови	dishes
честички	particles
честички	particle
второ	second
букви	letters
помала	smaller
уефа	uefa
предизвика	provoked
предизвика	caused
предизвика	cause
предизвика	triggered
носат	wear
правец	direction
откриени	uncovered
откриени	discovered
откриени	revealed
откриени	recovered
назад	back
сосема	completely
сосема	totally
кого	whom
тела	bodies
живо	live
научни	scientific
уреди	edit
источен	eastern
зона	zone
дијалект	dialect
банки	banks
драма	drama
аргентина	argentina
технички	technical
технички	technically
горно	gorno
потребни	needed
потребни	required
сандански	sandanski
стапки	footprints
стапки	rates
затвор	jail
затвор	prison
куманово	kumanovo
одговор	answer
одговор	reply
одговор	rsvp
објавен	published
младите	young
издадена	issued
охридски	ohridski
охридски	ohrid
раскази	stories
производ	product
последица	consequence
претставници	internationals
претставници	representatives
претставници	envoys
хемиски	chemical
хемиски	chemically
илија	ilya
илија	ilija
мерки	measures
обезбеди	provide
премногу	too
поделена	divided
професионален	professional
филозофија	philosophy
основните	fundamental
основните	basic
киев	kiev
уметнички	artistic
султан	sultan
достигне	reach
достигне	reaches
нобеловата	nobel
составена	composed
научници	scientists
меѓународен	international
родители	parents
рекорд	record
павле	pavle
павле	paul
американска	american
дизајн	design
добар	good
барселона	barcelona
домаќин	host
комисија	commission
комисија	committee
комисија	panel
процеси	processes
лекови	remedies
лекови	medication
лекови	medicines
лекови	meds
лекови	medications
граници	limits
граници	borders
изгледа	seems
изгледа	looks
кореја	korea
последен	last
знаење	knowledge
ефекти	effects
објави	post
објави	posts
објави	publish
цена	price
ретко	seldom
ретко	rarely
ретко	rare
женски	chicks
женски	women
женски	female
женски	feminine
записи	records
записи	writings
подобро	better
нас	us
текстови	texts
намалува	reduces
намалува	decreases
намалува	decreasing
споменик	monument
туристички	tourist
птица	bird
исклучок	exception
продажба	sell
продажба	selling
продажба	sale
продажба	sales
слободно	freely
слободно	free
ресурси	resource
ресурси	resources
движења	movements
христос	christ
појас	belt
средновековна	medieval
бродови	boats
бродови	ships
бродови	vessels
компании	companies
први	first
центри	hubs
центри	centers
центри	centres
струја	electricity
економска	economic
модели	models
елиптична	elliptical
