stadiger	slower
lane	lane
beserings	injuries
lambie	lambie
carnarvon	carnarvon
gesink	scuttled
gesink	sank
emily	emily
magtig	authorize
hougaard	hougaard
grasveld	grassland
bure	neighbors
bure	neighbours
kuikens	chicks
ptolemeus	ptolemy
kodes	codes
arizona	arizona
skok	shock
pion	pawn
nouveau	nouveau
lugdiens	airline
oorwin	defeat
groepering	grouping
populasie	population
gedek	covered
citroën	citroën
geldig	valid
prosedure	procedure
aanpassing	adaptation
luislang	python
vorder	advance
pyp	pipe
gerapporteer	reported
opneem	record
gewag	waiting
wildernis	wild
burton	burton
minh	minh
mol	mole
mol	mol
versigtig	careful
versigtig	conservative
sukkel	trouble
sukkel	stranded
sukkel	struggle
wonings	lodges
claudius	claudius
theodor	theodor
wedloop	scramble
koppie	cup
gary	gary
efese	ephesus
conrad	conrad
kaplan	kaplan
bull	bull
vlam	flame
swahili	swahili
judaïsme	judaism
gewaarsku	warned
wisconsin	wisconsin
maputo	maputo
fjodor	theodore
fjodor	fedor
fjodor	feodor
katoen	cotton
psalm	psalm
ministerie	ministry
ondersteuner	supporter
byl	byl
byl	axe
voed	feed
ontwikkelings	developments
webwerwe	sites
webwerwe	websites
bedoeling	intention
leonore	leonore
hoedanigheid	indirectly
transformasie	transformation
assosiasie	association
armstrong	armstrong
verf	paint
ist	ist
assertequals	assertequals
infanterie	infantry
achilles	achilles
gymnothorax	gymnothorax
robot	bot
opgeknap	refurbished
grafiek	graph
shaka	shaka
sondae	sundays
lyke	repression
basies	basic
loots	loots
sergius	sergius
restourasie	restoration
oekraïners	ukrainians
reghoekige	chevron
ruiter	knight
bulgaars	bulgarian
ein	ein
uitgestel	postponed
infeksie	infection
meng	mix
emma	emma
kruie	herb
voorreg	privilege
bewussyn	conscience
bewussyn	consciousness
beligting	lighting
werkwoorde	verbs
israeliese	israeli
nic	nic
joernaliste	journalists
roy	roy
duiwel	devil
oplos	dissolve
sen	sen
voorgrond	foreground
hantering	handling
harare	harare
rabie	rabie
tudor	tudor
grammatikale	grammatical
bmw	bmw
vloed	flood
weimar	weimar
constantia	constantia
regverdig	justify
vrouens	women
marcel	marcel
metaan	methane
ramses	ramesses
alreeds	already
openbaring	consumer
maandelikse	yearly
maandelikse	monthly
maclear	maclear
emi	emi
aragon	aragon
charl	charl
connor	connor
palestynse	palestinian
ndebele	ndebele
reisigers	travellers
zich	zich
entrepreneur	entrepreneur
vloeiende	flowing
brixton	brixton
vers	vers
bis	bis
regulasies	regulations
digital	digital
harte	hearts
webb	webb
onverwags	unexpectedly
onverwags	unexpected
handelaar	merchant
handelaar	dealership
safari	safari
waarsku	warn
deskundiges	experts
alpes	alpes
pattinson	pattinson
npc	npc
virgo	virgo
rotte	rats
ceylon	ceylon
kook	cooking
statiese	italic
soogdier	mammal
randfontein	randfontein
agtereenvolgende	consecutive
kreatiwiteit	creativity
youthclubs	youthclubs
moontlikhede	possibilities
wrywing	friction
vrywillige	voluntary
ravenna	ravenna
kensington	kensington
mazda	mazda
pauw	pauw
celestinus	celestine
niemeyer	niemeyer
nicaragua	nicaragua
volhoubare	sustainable
vors	prince
avonture	adventures
nikkel	nickel
betaling	payment
polokwane	polokwane
metropole	metropole
uitdrukkings	expressions
hoofgebou	ministry
sjokolade	chocolate
boks	box
boks	boxing
bind	bind
bind	bond
sofia	sofia
duikboot	submarine
voortrekker	voortrekker
palts	palatinate
skuiling	shelter
aangespreek	addressed
lux	lux
stalingrad	stalingrad
pablo	pablo
serwies	serbia
serwies	serbian
dokters	doctors
svalbard	svalbard
klik	click
turbo	turbo
anastasius	anastasius
koepel	crater
billy	billy
margaretha	margaretha
helde	heroes
gemonteer	mounted
hadsund	hadsund
vloer	floor
volumes	volumes
bergman	bergman
dresden	dresden
drakensberg	drakensberg
nantes	nantes
geïsoleerde	isolated
milwaukee	milwaukee
garnisoen	garrison
fossiel	fossil
stelselmatig	systematic
ibm	ibm
houer	container
vinci	vinci
kontemporêre	contemporary
muntstukke	coins
weber	weber
intense	intense
fotosintese	photosynthesis
okahandja	okahandja
mantel	mantel
misdade	crimes
satan	satan
delhi	delhi
munt	tossing
staking	strike
ideologie	ideology
emigrasie	emigration
basisse	bases
crowell	crowell
skema	schema
uitnodiging	invitation
algebra	algebra
kwaai	angry
mylpaal	milestone
bepalings	terms
kpa	kpa
paartjie	couple
lukas	luke
opgeleide	trained
oplewer	yield
titan	titan
mercurius	mercurius
cap	cap
philipstown	philipstown
oefening	training
vlek	spot
benin	benin
iubn	iucn
spasie	state
spasie	replace
spasie	whitespace
spasie	space
gepas	appropriate
gepas	relevant
gepas	matched
eweredig	evenly
poseidon	poseidon
skywe	disks
skywe	drives
girl	girl
vereenvoudigde	simplified
regsgeleerde	jurist
gliese	gliese
kliënt	client
korps	corps
phillip	phillip
woodstock	woodstock
radiale	radians
kwark	quark
notasie	notation
luik	liège
lewendig	alive
wettig	legal
werkplek	workplace
irannese	irani
irannese	iranian
edwin	edwin
opgedateer	updated
opgedateer	update
tin	tin
pennsilvanië	pennsylvania
verskoning	apologies
jade	jade
onttrekking	retrieval
porto	porto
vreemd	weird
vreemd	strange
blanche	blanche
seds	seds
goethe	goethe
ammunisie	ammunition
mauritanië	mauritania
longe	lungs
longe	longe
côte	côte
pour	pour
opdragte	commands
everest	everest
uitnemendheid	excellence
landman	landman
prototipe	prototype
keetmanshoop	keetmanshoop
liebenberg	liebenberg
sonde	sin
cornwall	cornwall
emilia	emilia
slowenië	slovenia
nathan	nathan
administrateurs	admins
andrei	andrei
andrei	andrey
jantjies	jantjies
mer	mar
mer	mer
uitgenooi	invited
interaktiewe	interactive
kunswerk	artwork
barok	baroque
geskrap	deleted
verskriklike	terrible
poorte	ports
dissipline	discipline
koran	quran
gunstig	favorable
bosnië	bosnia
sweet	sweat
ustring	ustring
beskikking	disposal
bonn	bonn
entiteit	entity
izak	izak
sedan	sedan
lag	laughing
lag	laugh
terre	terre
clark	clark
beskikbaarheid	availability
pascal	pascal
saamsmelt	merge
gewoonte	habit
amptenaar	official
obama	obama
wayne	wayne
oder	oder
infrarooi	infrared
kommersieel	commercial
pinelands	pinelands
mostert	mostert
geeste	spirits
rapa	rapa
waldemar	valdemar
sekerlik	surely
pontificalis	pontificalis
beperking	restriction
beperking	limitation
gryp	grab
verjaarsdag	birthday
karen	karen
justin	justin
tik	type
tik	typing
marc	marc
laurens	laurens
omgang	intercourse
drome	dreams
vertrou	trust
vertrou	trusted
dominikaanse	dominican
mededingers	competitors
sapiens	sapiens
zulu	zulu
castro	castro
gepaste	proper
perm	perm
steppe	steppe
tibettaanse	tibetan
meting	measurement
derick	derick
systems	systems
vesel	fiber
kevin	kevin
herhaalde	repeated
herhaalde	recurring
tragedie	tragedy
voortduur	persists
polo	polo
hiërogliewe	hieroglyphs
ethekwini	ethekwini
vertikaal	vertical
relevant	relevant
unicode	unicode
musée	musée
raam	frame
draad	wired
draad	thread
netwerke	networks
venster	window
flank	flank
interstellêre	interstellar
kiel	keel
fouché	fouché
golwende	wavy
fleur	fleur
newfoundland	newfoundland
gesteel	stolen
que	embers
daargestel	established
versierings	minimizing
versierings	decorations
ketting	chain
tacitus	tacitus
passiewe	passive
geleen	geleen
gaius	gaius
versailles	versailles
wingerde	vineyards
cum	cum
besoeker	visitor
mons	mons
huishouding	household
komposisie	composition
noot	bill
maori	maori
leefstyl	lifestyle
skoot	shot
katoliek	catholic
nero	nero
morris	morris
massas	masses
kriminele	criminal
gavin	gavin
adjunk	deputy
proklamasie	proclamation
wasili	vasily
akwitanië	aquitaine
volgehoue	continued
frankfort	frankfort
gevrees	feared
kolonisasie	plantation
inskrywings	entries
languedoc	languedoc
geldige	valid
hot	hot
missouri	missouri
myburgh	myburgh
organe	organs
commander	commander
sekuriteit	security
sekuriteit	secret
reykjavik	reykjavik
fynbos	fynbos
swanepoel	swanepoel
virgin	virgin
heilbron	heilbron
maritieme	maritime
dene	dene
harald	harald
klinker	vowel
tier	tiger
evangeliese	evangelical
onvoldoende	insufficient
skat	estimating
skat	estimate
skat	skat
aanpas	adapt
much	much
gesukkel	hassle
napier	napier
mes	knife
koeie	cows
isolasie	isolation
lloyd	lloyd
altaar	ara
grace	grace
ballet	ballet
sebastian	sebastian
honda	honda
khmer	khmer
romantiek	romanticism
basketbal	basketball
nood	need
kuiper	kuiper
uitdagings	challenges
slim	smart
insert	interrupt
plastiek	plastics
plastiek	plastic
ergste	worst
registreer	subscribe
registreer	register
kognitiewe	cognitive
isabel	isabel
kassel	kassel
halley	halley
yorkshire	yorkshire
departemente	departments
malcolm	malcolm
bees	cattle
linde	linde
maui	maui
zealand	zealand
essex	essex
blaar	leaf
herinneringe	memories
martha	martha
onsuksesvol	unsuccessful
vak	tray
gareth	gareth
hartland	hartland
kaliningrad	kaliningrad
diana	diana
eben	eben
fame	fame
cole	cole
fernando	fernando
oost	oost
sosialisme	socialism
pool	pole
bsg	bsg
liberalisme	liberalism
rosa	rosa
lone	wage
mann	mann
huxley	huxley
frances	frances
innerlike	inner
mondelinge	oral
afgekeur	deprecated
afgekeur	disapproved
afgekeur	rejected
reservoir	barrage
reservoir	reservoir
vierkantige	square
binnekort	soon
were	were
gehore	audiences
koch	koch
pisa	pisa
hoofweg	highway
grootfontein	grootfontein
oorlewendes	survivors
prediker	ecclesiastes
gade	spouse
sluipmoord	assassination
mandaat	mandate
alexandra	alexandra
coller	coller
bestuurders	drivers
bestuurders	managers
plasing	post
plasing	placement
vissery	fishery
realiteit	reality
wense	wishes
vervanging	substitution
thaba	thaba
sigma	sigma
doeltreffendheid	efficiency
doeltreffendheid	effectiveness
monarge	monarchs
vasco	vasco
alliance	alliance
napoleontiese	napoleonic
kronieke	chronicle
gereageer	acted
gereageer	reacted
gereageer	responded
geraamde	estimated
honger	hungry
ape	monkeys
jemen	yemen
laos	laos
niggie	cousin
niggie	niece
kronberg	kronberg
omskakeling	conversion
tennessee	tennessee
dokumentêr	documentary
telefoon	telephone
orlando	orlando
skakering	tone
holden	holden
kors	kors
superordo	superordo
wessel	wessel
linda	linda
uitsprake	pronunciations
reims	reims
hertogin	duchess
toevallig	chanced
gespesifiseer	specified
kroeë	pubs
kroeë	bars
seekoei	hippopotamus
funksionele	functional
kelly	kelly
harder	louder
harder	harder
habana	habana
sous	sauce
weeklikse	weekly
robbie	robbie
estniese	estonian
nevada	nevada
aantreklike	attractive
wright	wright
krities	critical
cho	choctaw
prefek	prefect
nigel	nigel
nacional	nacional
magiese	magical
magiese	mythical
frase	phrase
horus	horus
stempel	stamp
christ	christ
leningrad	leningrad
sias	sias
staaf	rod
earl	earl
search	search
morfologie	morphology
seleksie	selection
stelle	sets
else	else
jordan	jordan
afgelaai	downloaded
afgelaai	downloads
vrylik	freely
picasso	picasso
opinie	opinion
rjoerik	rurik
operasionele	operational
waarborg	warranty
waarborg	guarantee
hellings	slopes
skoene	shoes
skoene	footwear
brandewyn	brandy
vaardigheid	skill
bemarking	marketing
natuurlewe	wildlife
oortreding	foul
ambassade	embassy
myspace	myspace
skuins	slant
skuins	italic
château	château
herzegowina	herzegovina
braam	braam
base	base
bryan	bryan
hek	gate
geïnterpreteer	interpreted
zambezi	zambezi
nommers	numbers
omsluit	enclosed
omsluit	braces
umeå	umeå
novelle	novella
geestelik	spiritual
gauliga	gauliga
onse	ounces
wenke	tips
wenke	hints
gutenberg	gutenberg
okt	oct
baanbreker	breakthrough
beukes	beukes
louvre	louvre
plata	plata
els	els
africanus	africanus
afwesig	missing
nuwer	newer
icd	icd
alfonso	alfonso
milner	milner
orion	orion
superswerm	supercluster
venda	venda
dialoog	dialog
bst	bst
schalkwyk	schalkwyk
ogg	ogg
movement	movement
scotia	scotia
molekule	molecule
garde	garde
alba	alba
mini	mini
johns	johns
kabel	cable
igor	igor
voorvaders	ancestors
knope	knots
eksklusiewe	exclusive
wallace	wallace
vergrote	maximized
ontvoer	abducted
beampte	officer
sparta	sparta
konsentrasies	concentrations
schmidt	schmidt
erectus	erectus
kapitalisme	capitalism
slawiërs	slavs
speaker	speaker
kubrick	kubrick
yslands	icelandic
jeff	jeff
voorvoegsel	prefix
osiris	osiris
onvoltooide	unfinished
pot	pot
brasília	brasília
luigi	luigi
muir	muir
philips	philips
argaïese	archaic
walvis	whale
namibia	namibia
behulpsaam	helpful
sleutels	keys
rebels	rebels
holwell	holwell
zanzibar	zanzibar
kirchner	kirchner
julia	julia
hardeware	hardware
anas	anas
imperial	imperial
voorgeskryf	prescribed
uitdaging	challenge
emmanuel	emmanuel
gelykheid	equality
dale	dale
koen	koen
lint	lint
balkan	balkan
jeffrey	jeffrey
modernisme	modernism
parade	parade
bain	bain
detroit	detroit
hun	hun
algoritme	algorithm
palm	palm
bosbou	forestry
uitgeput	exhausted
uitgeput	drained
realistiese	realistic
ajax	ajax
foster	foster
pype	pipes
pype	fireworks
linden	linden
alemanniese	alemannic
attie	attie
oksitaans	occitan
battista	battista
urban	urban
opgelaai	uploaded
zur	zur
ontspanning	recreation
ontspanning	leisure
promosie	promo
promosie	promotion
acrocephalus	acrocephalus
robin	robin
simba	simba
fortuin	fortunes
fortuin	fortune
monopolie	monopoly
diamond	diamond
etiese	ethical
brandwag	sentinel
oudio	audio
lama	lama
mig	mib
vergroting	growing
geraas	noise
romp	torso
neurenberg	nuremberg
tekening	drawing
lawa	lava
swembad	pool
ritme	beat
kas	case
kas	cache
uss	uss
gewas	cyst
streef	pursue
wyte	wyte
aria	aria
orléans	orléans
deelnemer	participant
bernau	bernau
paneel	panel
formate	formats
griep	influenza
marmer	marble
alkoholiese	alcoholic
andrews	andrews
bejaardes	elderly
viëtnamese	vietnamese
beethoven	beethoven
komende	upcoming
subordo	subordo
sterna	sterna
dapperheid	bravery
bord	board
lombard	lombard
hol	hollow
haute	haute
bai	bai
versterkte	strengthened
aurora	aurora
michelangelo	michelangelo
titus	titus
plig	duty
filippynse	philippine
filippynse	filipino
lettergreep	syllable
ngr	ngr
iberiese	iberian
hiërargie	hierarchy
unix	unix
ruan	ruan
lowry	lowry
burg	burg
patriot	patriot
dyk	dyk
eksentrisiteit	eccentricity
haïti	haiti
wedersydse	mutual
calais	calais
mehmet	mehmed
sol	sol
jamestown	jamestown
connecticut	connecticut
dick	dick
batavia	batavia
shepherd	shepherd
afrodite	aphrodite
aap	monkey
beswyk	collapsing
pleistoseen	pleistocene
motivering	motivation
guillaume	guillaume
aftree	retire
simfonie	symphony
djengis	genghis
sinagoge	synagogue
blanc	blanc
proteïen	protein
tenk	tank
stoel	chair
klade	clade
herdruk	reprint
digbundel	anthology
bagheera	bagheera
reguleer	practices
sophie	sophie
miguel	miguel
oorweging	consideration
edik	edict
galaktiese	galactic
centauri	centauri
jefferson	jefferson
vertonings	displays
vertonings	shows
teweeg	backlogs
dickinson	dickinson
sopoaga	sopoaga
verde	verde
lening	loan
spesifikasies	specifications
blik	bin
opgehou	stopped
tegnies	technically
gaia	gaia
ebersohn	ebersohn
diaspora	diaspora
pont	pont
desimale	decimal
konferensies	conferences
sony	sony
sony	playstation
rogers	rogers
geweer	rifle
verdrae	treaties
gottfried	gottfried
turyn	turin
eskom	eskom
inkwisisie	inquisition
diktator	dictator
ussr	ussr
arriveer	arrives
kritieke	critical
jeremy	jeremy
kleindogter	granddaughter
herald	herald
oorblyfsel	remnant
bobby	bobby
rade	rade
naturelle	naturelle
gamma	gamma
verhuur	facilities
verhuur	lease
aankondiging	announcement
beoordeel	rate
bruno	bruno
blair	blair
hef	charge
regters	judges
diskriminasie	discrimination
verpligtinge	obligations
plymouth	plymouth
kia	kia
theunis	theunis
padda	frog
genereer	generate
reagan	reagan
volwassene	adult
kleredrag	clothing
austin	austin
asem	breath
eskader	squadron
thom	thom
sven	sweyn
namib	namib
allah	allah
sánchez	sánchez
heritage	heritage
rustige	peaceful
flieks	movies
maraton	marathon
verfyn	refine
impliseer	implies
dance	dance
sterte	tilt
sterte	tails
riefenstahl	riefenstahl
never	never
hoed	hat
onderhandelings	negotiations
implementering	implementation
hamer	hammer
versoening	reconciliation
spook	ghost
mabel	mabel
oklahoma	oklahoma
wilhelmina	wilhelmina
yellow	yellow
charadrius	charadrius
inter	inter
amazon	amazon
ren	ren
intelligente	intelligent
clarke	clarke
hel	hel
loire	loire
woordelys	glossary
njassaland	nyasaland
honduras	honduras
beale	beale
drake	drake
lus	mizo
lus	loop
gedrink	drinking
hera	hera
tweedens	secondly
vervat	contained
kobus	kobus
verkieslik	preferably
verkieslik	ideally
guardian	guardian
lessing	lessing
deurlopende	continued
pollock	pollock
albrecht	albrecht
antiogië	antioch
aanhouding	retention
elbe	elbe
bomme	bombs
ambisieuse	ambitious
aantreklik	engaging
hillary	hillary
kolomme	columns
erich	erich
maine	maine
joernalistiek	journalism
argiewe	archives
gebind	bound
artillerie	artillerie
stadions	stadiums
innsbruck	innsbruck
maagdenburg	magdeburg
indirek	indirectly
beslissing	ruling
beck	beck
miranda	miranda
koors	fever
agtien	eighteen
illustreer	illustrates
atlanta	atlanta
indeling	arrangement
genees	cure
mod	mod
smithfield	smithfield
uitbreidings	extensions
uitbreidings	description
lille	lille
rudi	rudi
sean	sean
afhanklikheid	dependency
potter	potter
bantoe	bantu
carisbrook	carisbrook
modernisering	modernising
botter	butter
car	carib
kosbare	valuable
theodorus	theodore
balk	bar
peyper	peyper
krimp	shrink
bespeur	detected
mgt	mgt
kilometers	kilometers
michiel	michiel
paschalis	paschal
arles	arles
muise	mice
bauhaus	bauhaus
temple	temple
duik	diving
duik	dive
auguste	auguste
tamil	tamil
roussillon	roussillon
verpligtend	mandatory
sacs	sacs
hester	hester
korporatiewe	corporate
ffff	ffff
bin	bini
aboe	abu
eurasië	eurasia
stilte	silence
netto	net
burundi	burundi
grobbelaar	grobbelaar
antille	antilles
gotha	gotha
toere	tours
noukeurig	accurately
hop	hop
hop	bounce
sisulu	sisulu
brunswyk	braunschweig
bars	burst
yuan	yuan
kabeljou	cod
dietrich	dietrich
falkland	falkland
veelsydige	versatile
beers	beers
bruyn	bruyn
spieël	mirror
cézanne	cézanne
karnaval	carnival
voyageur	voyageur
eagle	eagle
tegnologieë	technologies
rue	rusyn
perseus	perseus
charon	charon
paal	paal
verbeterings	improvements
vandalisme	vandalism
freud	freud
youthyears	youthyears
nineve	nineveh
fontsize	fontsize
abell	abell
besmet	infected
zeeland	zeeland
bevoegdhede	powers
claremont	claremont
binêre	binary
advertensie	ad
advertensie	advertisement
hitchcock	hitchcock
vandale	vandals
diagnose	diagnosis
omsingel	surround
vennote	partners
ervare	expert
australis	australis
bewustheid	awareness
simpatie	condolences
katalaanse	catalan
verdrink	drown
doodmaak	kill
valse	fake
anthus	anthus
drakensberge	drakensberg
debatte	debates
chemikalieë	chemicals
uitreiking	issuing
dahmer	dahmer
puin	debris
bulgare	bulgarians
antwoorde	responses
antwoorde	answers
antwoorde	replies
hoëveld	highveld
ontslag	discharge
lewensduur	lifetime
flatley	flatley
vierkant	square
dundee	dundee
adresse	addresses
jamaika	jamaica
indiana	indiana
redding	rescue
skaap	sheep
sewentien	seventeen
landwyd	countrywide
beraamde	estimated
tent	tent
panthera	panthera
verstaanbaar	understandable
omar	umar
promoveer	promote
haat	hate
korporasie	corporation
korporasie	plc
tiberius	tiberius
hannes	hannes
beheerde	managed
wikitext	wikitext
caroline	caroline
mal	crazy
demokrate	democrats
pale	pale
ongepubliseerde	unpublished
mededingende	competitive
irving	irving
afleiding	decoy
leone	leone
aflaai	download
aflaai	reload
ingevoerde	entered
ingevoerde	imported
mij	mij
slade	slade
dakota	dakota
bestry	oppose
animasie	animate
animasie	animation
animasie	definition
pionier	pioneer
sve	cpu
vuuren	vuuren
boulevard	boulevard
bach	bach
supernovas	supernovas
lisa	lisa
marine	marine
norfolk	norfolk
santo	santo
cardiff	cardiff
omgekeer	reversed
omgekeer	reverse
onwaarskynlik	unlikely
denver	denver
philipp	philipp
webjoernaal	blog
nasaret	nazareth
stralsund	stralsund
bel	call
bel	dial
resepte	recipes
loubser	credits
klaas	klaas
bristol	bristol
greenwich	greenwich
altvar	altvar
abc	abc
ondermyn	pushing
voortgesette	ongoing
baha	bahá
baha	baha
skenking	donation
transliterasie	transliteration
birmaanse	burmese
arnoldus	arnoldus
boheme	bohemia
verklein	shrink
verklein	minimise
presbiteriaanse	presbyterian
christina	christina
holy	holy
internationale	internationale
kitchener	kitchener
janse	janse
bester	bester
romagna	romagna
tobie	tobie
helikopter	helicopter
swapo	swapo
geprys	praising
tesis	tesis
doek	canvas
resep	recipe
teikens	targets
bekommerd	worried
bankrot	bankrupt
bankrot	broke
joel	joel
kentucky	kentucky
musical	musical
pittsburgh	pittsburgh
mowbray	mowbray
harrison	harrison
pakket	package
pakket	pack
voetbal	football
versteur	disturbed
kemp	kemp
pinyin	pinyin
gekruis	crossed
kalifaat	caliphate
plaza	plaza
gregory	gregory
panorama	panorama
vita	vita
jerewan	yerevan
kollega	coworker
clarens	clarens
berry	berry
palermo	palermo
ammoniak	ammonia
levant	levant
werker	worker
aangedrewe	savvy
gespikkelde	coral
nagorno	nagorno
guevara	guevara
identiese	identical
carol	carol
speletjies	gaming
speletjies	games
eksperiment	experiment
medikasie	medication
geïgnoreer	ignored
geesteswetenskappe	humanities
gister	yesterday
shaun	shaun
linie	linie
frits	frits
liechtenstein	liechtenstein
tristan	tristan
telekommunikasie	telecommunication
telekommunikasie	telecommunications
nagte	nights
nêrens	nowhere
genesis	genesis
theodore	theodore
versterking	gain
numeriese	numerical
numeriese	numeric
bahrein	bahrain
wonde	wound
brett	brett
nikolai	niko
laval	laval
aantekeninge	note
eddie	eddie
hunne	huns
serie	serie
serie	serial
nsu	nsu
bom	bomb
krappe	crabs
stoot	push
uitstekend	excellent
estádio	estádio
bundy	bundy
dortmund	dortmund
ptah	ptah
silvester	sylvester
skrap	expunging
neutrino	neutrino
habsburg	habsburg
otjiwarongo	otjiwarongo
balle	balls
jon	jon
ioniese	ionian
bestek	scopes
geteister	harassed
vleuels	wings
etanol	ethanol
swakopmund	swakopmund
rostof	rostov
noemenswaardig	noteworthy
che	che
kansas	kansas
herhaling	recurrence
#efefef	#efefef
simbolies	symbolic
kanariese	canary
norme	norms
pearl	pearl
vuurpyl	rocket
upon	upon
montevideo	montevideo
loof	praise
bydraer	contributor
mobileme	mobileme
malaria	malaria
reisiger	traveller
afmetings	geometry
ikone	icons
zosterops	zosterops
macmillan	macmillan
bakoe	baku
olimpiade	olympiad
justice	justice
mexico	mexico
vashou	restrict
kwartaal	quarter
hervorm	reform
seymour	seymour
geschichte	geschichte
samestellings	compositions
samestellings	compounds
aanhalings	quotes
aanhalings	quotations
duet	duet
duet	duo
ipairs	ipairs
skakelaar	switch
speletjie	game
speletjie	gamer
branders	surge
blind	blind
koppelvlak	interface
koppelvlak	intercept
artistieke	artistic
multinasionale	multinational
ham	ham
benadeel	disadvantaged
benadeel	compromise
ossetië	ossetia
henk	henk
minnesota	minnesota
clovis	clovis
watervalle	waterfalls
kla	complain
mausoleum	mausoleum
swaarste	heaviest
sprekende	speaking
lotus	lotus
village	village
gardner	gardner
pat	stalemate
bissau	bissau
kweek	awesomeness
kerkhof	churchyard
mainz	mainz
honolulu	honolulu
botes	botes
elektronika	electronics
elsie	elsie
moeders	mothers
merke	marks
ingewikkeld	complicated
terugvoer	feedback
versmelt	merge
hoofde	heads
stres	stress
meshid	meshid
bermuda	bermuda
inmenging	interference
inmenging	meddling
orkaan	hurricane
qing	qing
woede	anger
woede	rage
utah	utah
ledemate	limbs
registrasie	registration
skop	kicking
skop	kick
hello	hello
