criaturas	creature
subdivisões	suddivisioni
claudio	claudio
patrocínio	sponsorizzazione
macho	maschio
saxônia	sassonia
setúbal	setúbal
detroit	detroit
querendo	volendo
hardware	hardware
tivessem	avessero
perdas	perdite
alencar	alencar
visitas	visite
nervoso	nervoso
han	han
soviéticos	sovietici
febre	febbre
transformando	trasformando
adoção	adozione
ltd	ltd
tanta	tanta
separadas	separate
hudson	hudson
maratona	maratona
elvis	elvis
cobra	serpente
monges	monaci
escolhidos	scelti
socialismo	socialismo
june	june
ice	ice
cine	cine
ruth	ruth
jesse	jesse
romântico	romantico
gramática	grammatica
tendem	tendono
acer	acer
yes	yes
riscos	rischi
trocar	scambiare
nilo	nilo
vital	vitale
atribuição	assegnazione
atribuição	attribuzione
patrono	patrono
ted	ted
regência	reggenza
consistia	consisteva
hart	hart
mensal	mensile
conservador	conservatore
veloso	veloso
martín	martín
circo	circo
selecionado	selezionato
wall	wall
irene	irene
bebidas	bevande
caçador	cacciatore
naruto	naruto
atacado	attaccato
double	double
trigo	frumento
trigo	grano
quentes	caldi
vocals	vocals
murphy	murphy
ante	ante
separada	separata
cenários	scenari
pacote	pacchetto
silêncio	silenzio
nicholas	nicholas
kenneth	kenneth
buraco	buca
buraco	buco
nono	nono
pernambucano	pernambucano
principado	principato
helen	helen
sentiu	sentì
children	children
esperando	aspettando
madame	madame
ernest	ernest
cap	cap
delegado	delegato
funcional	funzionale
amadores	dilettanti
londrina	londrina
protecção	protezione
pérez	pérez
next	next
conferir	conferire
leves	leggeri
montevidéu	montevideo
bico	becco
agências	agenzie
margaret	margaret
adolf	adolf
jam	jam
seattle	seattle
aaron	aaron
cruzada	crociata
chamando	chiamando
servido	servito
bass	bass
receitas	ricette
devil	devil
pioneiros	pionieri
produzem	producono
complexa	complessa
moisés	mosè
formações	formazioni
atlantic	atlantic
exportação	esportazione
incluídos	inclusi
simpson	simpson
constituinte	costituente
forever	forever
cratera	cratere
hábito	abitudine
duff	duff
detetive	detective
lagoas	stagni
entram	entrano
publicamente	pubblicamente
frederick	frederick
gentílico	gentilizio
milan	milan
defendendo	difendendo
ocupando	occupando
cumprimento	adempimento
sacramento	sacramento
linhagem	stirpe
temporariamente	temporaneamente
backing	backing
avançado	avanzato
avançado	avanzate
póvoa	póvoa
incluídas	incluse
interpretações	interpretazioni
alerta	allerta
inéditas	inedite
joinville	joinville
resende	resende
islândia	islanda
perna	gamba
saindo	uscendo
haiti	haiti
mágica	magica
macmillan	macmillan
queriam	volevano
obs	obs
seul	seoul
dever	dovere
repressão	repressione
trek	trek
folk	folk
einstein	einstein
stade	stade
pimenta	pepe
quarteto	quartetto
adicionado	aggiunto
discovery	discovery
model	model
alpha	alpha
alpha	alfa
chelsea	chelsea
hero	hero
irregular	irregolare
uniformes	uniformi
junção	giunzione
fábricas	fabbriche
norueguês	norvegese
teen	teen
compacto	compatto
hermann	hermann
sérvio	serbo
reich	reich
dilma	dilma
lacerda	lacerda
possuíam	possedevano
vendida	venduta
aquitânia	aquitania
porquê	perché
claudia	claudia
espírita	spiritica
tendências	tendenze
bang	bang
tomadas	prese
relativo	relativo
julie	julie
planície	pianura
pilares	pilastri
atravessa	attraversa
office	office
designer	designer
chuck	chuck
devidamente	debitamente
investigar	investigare
investigar	indagare
senadores	senatori
canhões	cannoni
praças	piazze
barreiras	barriere
voar	volare
empire	empire
doação	donazione
dieta	dieta
mercury	mercury
european	european
ninja	ninja
gabriela	gabriela
match	match
plantbase	plantbase
logística	logistica
bósnia	bosnia
encarregado	incaricato
atrair	attrarre
diplomata	diplomatico
depósitos	depositi
ataca	attacca
coleta	raccoglie
subir	salire
operacionais	operativi
juventus	juventus
liceu	liceo
salomão	salomone
mármore	marmo
mortais	mortali
lituânia	lituania
apaixonado	innamorato
romântica	romantica
dezoito	diciotto
fazendas	fattorie
child	child
substituto	sostituto
advogados	avvocati
palatinado	palatinato
holland	holland
escura	scura
simone	simone
competência	competenza
talentos	talenti
júlia	giulia
traduzir	traduci
traduzir	tradurre
grey	grey
igor	igor
agrostis	agrostis
noel	noel
boêmia	boemia
bizantina	bizantina
cúpula	cupola
parceiros	partner
acordos	accordi
cruzamento	incrocio
camilo	camilo
sorocaba	sorocaba
sono	sonno
spears	spears
revelar	rivelare
hughes	hughes
sts	sts
algodão	cotone
obtida	ottenuta
narrador	narratore
duro	duro
subtropical	subtropicale
alabama	alabama
parlamentares	parlamentari
lucro	profitto
cama	letto
nona	nona
beat	beat
criatura	creatura
terapia	terapia
betty	betty
desafios	sfide
estrangeira	straniera
sri	sri
abel	abel
provisório	provvisorio
benefício	beneficio
diesel	diesel
derrotados	sconfitti
cameron	cameron
treinar	addestrare
determina	determina
cartoon	cartoon
aurélio	aurelio
inscrições	iscrizioni
most	most
filmografia	filmografia
alejandro	alejandro
cerveja	birra
bravo	bravo
orchid	orchid
pes	pes
wisconsin	wisconsin
guadalajara	guadalajara
ref	rif
campina	campina
cleveland	cleveland
inventor	inventore
manifesto	manifesto
observa	osserva
lapa	lapa
adotada	adottata
manuscritos	manoscritti
republic	republic
aquecimento	riscaldamento
operário	operaio
derrotando	sconfiggendo
friends	friends
demônio	demone
traição	tradimento
vigário	vicario
treino	allenamento
considerava	riteneva
adquirida	acquisita
encontravam	trovavano
contêm	contengono
exposto	esposto
combinado	combinato
holstein	holstein
nomeados	nominati
diploma	diploma
livraria	libreria
meridiano	meridiano
excelência	eccellenza
imperadores	imperatori
derivada	derivata
foguetes	razzi
paramount	paramount
ensinamentos	insegnamenti
deslocamento	spostamento
imóvel	immobile
léo	léo
turim	torino
nancy	nancy
incrível	incredibile
aquático	acquatico
chocolate	cioccolato
edson	edson
ródano	rodano
balada	ballata
too	too
medir	misurare
falada	parlata
terminais	terminali
schmidt	schmidt
libras	sterline
libras	libbre
minho	minho
fechar	chiudi
comerciantes	commercianti
body	body
arqueológico	archeologico
tropicos	tropicos
etnia	etnia
sobreviver	sopravvivere
sindicato	sindacato
jurista	giurista
apollo	apollo
listados	elencati
fev	feb
morris	morris
genes	geni
beautiful	beautiful
lunar	lunare
rito	rito
allmusic	allmusic
oferecido	offerto
another	another
urso	orso
chá	tè
reynolds	reynolds
consecutivas	consecutive
piscina	piscina
andreas	andreas
chapéu	cappello
discutido	discusso
singular	singolare
desculpas	scuse
rara	rara
moto	moto
doctor	doctor
procurador	procuratore
pega	prendi
definidas	definite
flauta	flauto
circuitos	circuiti
disposto	disposto
aeronáutica	aeronautica
consecutivos	consecutivi
criadores	creatori
ocorrendo	avvenendo
punição	punizione
divulgado	divulgato
nomenclatura	nomenclatura
concorda	concorda
trilogia	trilogia
jenkins	jenkins
acompanhada	accompagnata
hrsg	hrsg
confirmada	confermata
gibson	gibson
enrique	enrique
parciais	parziali
bater	battere
caos	caos
lins	lins
influente	influente
partindo	partendo
extração	estrazione
varsóvia	varsavia
through	through
galvão	galvão
lance	lance
script	script
cairo	cairo
aproveitando	approfittando
antoine	antoine
estágios	tirocini
luftwaffe	luftwaffe
various	various
proteína	proteine
proteína	proteina
dominicana	dominicana
bin	bin
swift	swift
extremidade	estremità
leslie	leslie
parente	parente
nuvens	nuvole
fêmea	femmina
distâncias	distanze
correção	correzione
processador	processore
semanal	settimanale
ávila	ávila
essenciais	essenziali
petrópolis	petrópolis
ensinar	insegnare
bach	bach
economista	economista
cola	colla
cola	cola
proibição	divieto
sobreviveu	sopravvissuto
key	key
residente	residente
emily	emily
carla	carla
coordenador	coordinatore
timber	timber
periódico	periodico
without	without
obrigatório	obbligatorio
preservar	preservare
cook	cook
henriques	henriques
entregar	consegnare
equipado	attrezzato
sódio	sodio
caixas	scatole
contínuo	continuo
tribunais	tribunali
early	early
formicidae	formicidae
explicou	spiegato
impulso	impulso
winter	winter
randy	randy
bebida	bevanda
máscara	maschera
dublin	dublino
unir	unire
protagonistas	protagonisti
daria	darei
daria	daria
random	random
ten	ten
shadow	shadow
reflexão	riflessione
fatal	fatale
marcel	marcel
phylogenetics	phylogenetics
abandonada	abbandonata
dividir	dividere
agr	agr
castle	castle
obrigada	grazie
essência	essenza
tropa	truppa
indicados	indicati
limita	limita
german	german
revolution	revolution
maryland	maryland
lealdade	lealtà
exemplar	esemplare
deixe	lasci
deixe	lasciate
maciço	massiccio
concorrência	concorrenza
disputados	disputate
ilustrado	illustrato
lava	lava
exclusão	esclusione
observou	osservato
leiria	leiria
hardcore	hardcore
five	five
armado	armato
feijão	fagioli
systems	systems
val	val
mason	mason
tratava	trattava
alonso	alonso
ira	ira
obrigação	obbligo
contratos	contratti
future	future
vira	gira
kane	kane
dedos	dita
resources	resources
provocar	provocare
destaques	highlights
abandono	abbandono
express	express
rosas	rose
polar	polare
desempenhou	svolto
fenton	fenton
bateu	colpito
mista	mista
convencer	convincere
budismo	buddismo
antropologia	antropologia
nicole	nicole
rodoviário	stradale
arnaldo	arnaldo
executada	eseguita
kiev	kiev
vancouver	vancouver
médios	medi
meneses	meneses
plural	plurale
planet	planet
powell	powell
teólogo	teologo
painéis	pannelli
apropriado	appropriato
israelense	israeliano
bueno	bueno
miles	miles
lst	lst
más	cattive
cresce	cresce
cláudia	claudia
correspondência	corrispondenza
exames	esami
istambul	istanbul
orientado	orientato
need	need
filadélfia	philadelphia
sessenta	sessanta
folclore	folklore
antunes	antunes
negrito	grassetto
colombo	colombo
tracy	tracy
rituais	rituali
manhattan	manhattan
chan	chan
louise	louise
datada	datata
estátuas	statue
amanda	amanda
digo	dico
guardas	guardie
diferentemente	diversamente
significativas	significative
beijo	bacio
tubo	tubo
finlandês	finlandese
vulcão	vulcano
aparecimento	comparsa
abrindo	aprendo
álvares	álvares
hemisfério	emisfero
dramaturgo	drammaturgo
consideravelmente	considerevolmente
gravidez	gravidanza
bayer	bayer
paroquial	parrocchiale
philippe	philippe
beisebol	baseball
eclesiástica	ecclesiastica
pastoral	pastorale
neutro	neutrale
neutro	neutro
estabelecidos	stabiliti
maceió	maceió
acústica	acustica
nathan	nathan
paiva	paiva
stand	stand
sinfonia	sinfonia
desportos	sport
sentidos	sensi
uberlândia	uberlândia
christina	christina
barroso	barroso
radicais	radicali
estimativa	stima
avaliações	valutazioni
liberação	rilascio
intenções	intenzioni
faces	facce
speed	speed
atentado	attentato
bowl	bowl
generais	generali
dog	dog
influentes	influenti
declara	dichiara
restaurar	ripristinare
marfim	avorio
palmas	palmas
estratégica	strategica
protótipo	prototipo
label	label
singapura	singapore
reconhecidos	riconosciuti
continentes	continenti
carregar	carica
estabelecendo	stabilendo
anton	anton
rain	rain
acompanha	accompagna
ultra	ultra
ghost	ghost
organizados	organizzati
ocorridos	verificatisi
visitante	visitatore
superar	superare
jin	jin
severo	severo
rondônia	rondônia
lento	lento
dirige	dirige
missionários	missionari
salvação	salvezza
adriana	adriana
alumínio	alluminio
quebrar	rompere
ligas	leghe
primitiva	primitiva
karen	karen
rex	rex
proposição	proposizione
pontas	punte
preliminar	preliminare
governantes	governanti
soyuz	sojuz
mundos	mondi
havaí	hawaii
been	been
hope	hope
gota	goccia
ilustrações	illustrazioni
consumidor	consumatore
fibras	fibre
retiro	ritiro
transmissões	trasmissioni
dissolução	dissoluzione
dissolução	scioglimento
duelo	duello
informa	informa
demissão	dimissioni
nativo	nativo
sintra	sintra
coleções	collezioni
pontifícia	pontificia
goa	goa
renomear	rinomina
nina	nina
lang	lang
blanco	blanco
descritas	descritte
daily	daily
escravidão	schiavitù
movimentação	azionamento
madison	madison
mutantes	mutanti
permitia	consentiva
azerbaijão	azerbaigian
clero	clero
felix	felix
orgulho	orgoglio
houten	houten
fantástico	fantastico
operado	operato
chagas	chagas
membrana	membrana
provoca	provoca
jato	getto
zeus	zeus
dominar	dominare
todd	todd
poluição	inquinamento
nazaré	nazareth
citações	citazioni
nassau	nassau
ditador	dittatore
romero	romero
estranha	strana
nacionalista	nazionalista
camp	camp
cadeiras	sedie
juliana	giuliana
permanecem	restano
permanecem	rimangono
rogers	rogers
desenvolvendo	sviluppando
cuiabá	cuiabá
olga	olga
marrom	marrone
isolamento	isolamento
amostras	campioni
african	african
harvey	harvey
passeio	passeggiata
deixam	lasciano
tools	tools
adventures	adventures
búlgaro	bulgaro
emerson	emerson
desastre	disastro
pintores	pittori
panorama	panorama
omar	omar
cry	cry
deutsche	deutsche
deportivo	deportivo
olha	guarda
pago	pagato
vasto	vasto
queijo	formaggio
rpg	rpg
colin	colin
gaga	gaga
chanceler	cancelliere
fará	farà
lucy	lucy
ain	ain
middle	middle
ídolo	idolo
colaborar	collaborare
migração	migrazione
servia	serviva
bate	batte
levantar	sollevare
grade	griglia
validade	validità
retratos	ritratti
pat	pat
sacerdotes	sacerdoti
desempate	spareggio
glenn	glenn
proeminente	prominente
organizadas	organizzate
envolver	coinvolgere
simões	simões
destinos	destinazioni
pânico	panico
paciência	pazienza
mogi	mogi
brad	brad
intercontinental	intercontinental
consumidores	consumatori
depósito	deposito
electric	electric
claire	claire
supervisão	vigilanza
supervisão	supervisione
enfrenta	affronta
prisioneiro	detenuto
prisioneiro	prigioniero
juliano	giuliano
copacabana	copacabana
oregon	oregon
certificação	certificazione
tubarão	squalo
macaco	scimmia
escritórios	uffici
sabedoria	saggezza
adotar	adottare
cribb	cribb
paulinho	paulinho
mando	mando
used	used
conhecem	conoscete
conhecem	conoscono
expulso	espulso
heroes	heroes
lançando	lanciando
funeral	funerale
diferencial	differenziale
medina	medina
race	race
desapareceu	scomparso
obama	obama
dem	dem
midi	midi
weekly	weekly
honda	honda
generation	generation
drake	drake
bartolomeu	bartolomeo
renault	renault
coord	coord
canhão	cannone
acontecendo	succedendo
acontecendo	accadendo
utah	utah
rca	rca
ptb	ptb
mayer	mayer
hábitos	abitudini
proponho	propongo
brilho	luminosità
crazy	crazy
living	living
guedes	guedes
heavyweight	heavyweight
temporal	temporale
auxiliares	ausiliari
sidney	sidney
beto	beto
elaborado	elaborato
arqueologia	archeologia
martínez	martínez
jeremy	jeremy
botanic	botanic
joey	joey
repetir	ripeti
pratos	piatti
mississippi	mississippi
iam	andavano
ginasta	ginnasta
oferecendo	offrendo
erik	erik
roubar	rubare
cícero	cicerone
blake	blake
sullivan	sullivan
citadas	citate
avançar	avanti
daniela	daniela
estratégias	strategie
chamam	chiamano
fundar	fondare
terrível	terribile
dueto	duetto
ellen	ellen
estádios	stadi
convencional	convenzionale
convencional	convenzionali
conferências	conferenze
yang	yang
tanzânia	tanzania
before	before
mozart	mozart
islâmico	islamico
suave	morbido
sequências	sequenze
dantas	dantas
soube	saputo
ferdinand	ferdinand
espectral	spettrale
brooklyn	brooklyn
apelo	appello
brinquedos	giocattoli
detém	detiene
tocada	toccata
tocada	suonata
flandres	fiandre
comerciante	commerciante
southern	southern
alcântara	alcántara
concordar	concordare
sugerem	suggeriscono
planejado	pianificato
kyle	kyle
brincadeira	scherzo
latin	latin
recebidos	ricevuti
disciplinas	discipline
brother	brother
bonaparte	bonaparte
embarcação	natante
especialização	specializzazione
bates	bates
nascer	nascere
aeroportos	aeroporti
kings	kings
lopez	lopez
portão	cancello
tna	tna
short	short
dante	dante
porco	maiale
reorganização	riorganizzazione
mecânico	meccanico
elétricos	elettrici
gregory	gregory
laser	laser
declarações	dichiarazioni
ativamente	attivamente
desistiu	rinunciato
imediata	immediata
properties	properties
regulamento	regolamento
senna	senna
jamie	jamie
still	still
mortalidade	mortalità
none	none
tejo	tago
mpb	mpb
med	med
owen	owen
fausto	fausto
dunning	dunning
inserido	inserito
salgado	salato
privados	privati
cannes	cannes
sánchez	sánchez
layout	layout
berkeley	berkeley
julgar	giudicare
trabalhista	laburista
liechtenstein	liechtenstein
poaceae	poaceae
misterioso	misterioso
technology	technology
despesas	spese
variar	variare
gaia	gaia
comandada	comandata
pseudo	pseudo
hugh	hugh
liberado	liberato
aglomerado	agglomerato
sustentável	sostenibile
presbiteriana	presbiteriana
bridge	bridge
cbf	cbf
luanda	luanda
break	break
choice	choice
numeração	numerazione
fao	fao
agregado	cluster
agregado	aggregato
criminosos	criminali
croata	croato
storm	storm
jose	jose
retrata	raffigura
cardeais	cardinali
fortificação	fortificazione
ward	ward
photo	photo
sócios	soci
demitido	licenziato
expressar	esprimere
vinil	vinile
greve	sciopero
profeta	profeta
monumental	monumentale
geographic	geographic
beyoncé	beyoncé
adventure	adventure
cunhado	cognato
oswaldo	oswaldo
reflete	riflette
nfl	nfl
emoções	emozioni
camarões	camerun
vales	valli
confirmar	confermare
velas	candele
suprema	suprema
evangélica	evangelica
mama	mama
act	act
reforço	rinforzo
teresina	teresina
inédito	inedito
dylan	dylan
ibm	ibm
nazistas	nazisti
pirata	pirata
pássaro	uccello
rato	topo
luzes	luci
raiva	rabbia
nomeações	nomine
mediawiki	mediawiki
arms	arms
gran	gran
corporação	corporazione
antena	antenna
refugiados	profughi
cancelado	annullato
cordeiro	agnello
desaparecimento	scomparsa
selva	giungla
invasões	invasioni
quartos	camere
osso	osso
voice	voice
nickelodeon	nickelodeon
poética	poetica
unificação	unificazione
adesão	adesione
osaka	osaka
avisar	avvisa
avisar	avvisare
roraima	roraima
seven	seven
renúncia	rinuncia
parma	parma
acessível	accessibile
turbo	turbo
saltos	tacchi
descobrem	scoprono
parto	parto
amorim	amorim
vasos	vasi
birdlife	birdlife
diários	diari
citando	citando
algas	alghe
envolvem	coinvolgono
dakota	dakota
patos	anatre
empregada	cameriera
claras	chiare
receptor	ricevente
receptor	ricevitore
páscoa	pasqua
fado	fado
wolfgang	wolfgang
nariz	naso
restrito	ristretto
razoável	ragionevole
castelhano	castigliano
abundância	abbondanza
panzer	panzer
dir	dir
transtorno	disturbo
salários	salari
denominações	denominazioni
autobiografia	autobiografia
dell	dell
fico	rimango
capitalismo	capitalismo
northern	northern
jamaica	giamaica
devoção	devozione
perdidos	persi
perdidos	perduti
martha	martha
ashley	ashley
honduras	honduras
had	had
visões	visioni
catorze	quattordici
ram	ram
oficinas	meccanici
praticar	praticare
salazar	salazar
freqüentemente	frequentemente
cantos	angoli
funchal	funchal
bonifácio	bonifacio
control	control
morning	morning
terceiros	terzi
advento	avvento
expulsão	espulsione
march	march
mad	mad
povoamento	popolamento
oswald	oswald
jantar	cena
evitando	evitando
convenções	convenzioni
decidem	decidono
trabalhador	lavoratore
brevemente	prossimamente
dawn	dawn
dinossauros	dinosauri
candidata	candidata
valente	valente
sacrifício	sacrificio
creta	creta
village	village
gear	gear
prosa	prosa
abade	abate
pour	pour
today	today
luiza	luiza
pos	pos
