tarjeta	cartão
separa	separa
turner	turner
vidal	vidal
polvo	poeira
componen	compõem
tomada	tomada
balón	bola
fija	fixa
declara	declara
alegría	alegria
luxemburgo	luxemburgo
prusia	prússia
declaraciones	declarações
declaraciones	depoimentos
reconoció	reconheceu
estén	estejam
cronología	cronologia
cría	filhote
ilustraciones	ilustrações
cross	cross
ron	rum
singular	singular
tratan	tratam
vital	vital
comenzado	começado
phoenix	phoenix
semi	semi
maine	maine
varsovia	varsóvia
masacre	massacre
dirigidos	direcionados
vinos	vinhos
nominada	nomeada
denuncia	denúncia
decidir	decidir
frutas	fruta
periodos	períodos
obtenidos	obtidos
señalar	apontar
desempeña	desempenha
graham	graham
duquesa	duquesa
delito	crime
preocupación	preocupação
metales	metais
sufrir	sofrer
renfe	comboios
golf	golfe
asistencias	assistências
creencias	crenças
sucre	sucre
baltimore	baltimore
stars	stars
reputación	reputação
toman	tomam
party	party
norman	norman
humberto	humberto
participante	participante
conexiones	conexões
conexiones	ligações
cumplimiento	cumprimento
jugados	jogados
aurora	aurora
quedarse	ficar
condujo	conduziu
htm	htm
ámsterdam	amesterdão
ilustración	ilustração
potosí	potosí
efectiva	efetiva
constituyente	constituinte
convertir	converter
emite	emite
llanura	planície
levantamiento	levantamento
hebreo	hebraico
hebreo	hebreu
propaganda	propaganda
desea	deseja
thompson	thompson
jay	jay
secuela	sequela
dirigidas	dirigidas
tributo	tributo
placas	placas
estructural	estrutural
culpa	culpa
causar	causar
concejales	vereadores
singapur	cingapura
desarrollan	desenvolvem
comerciantes	mercadores
bank	bank
meseta	planalto
hamburgo	hamburgo
ordenado	ordenado
pereira	pereira
proporción	proporção
asociada	associada
fiat	fiat
estimada	estimada
interfaz	interface
poniendo	colocando
vuelven	voltam
correa	correia
colaborar	colaborar
arquidiócesis	arquidiocese
episcopal	episcopal
secretaria	secretária
circuitos	circuitos
previas	prévias
magallanes	magalhães
distribuye	distribui
concacaf	concacaf
auxiliar	auxiliar
minería	mineração
corteza	casca
verso	verso
sensación	sensação
afluentes	afluentes
suave	suave
have	have
constantes	constantes
viaja	viaja
cbs	cbs
suizo	suíço
jamaica	jamaica
sencilla	simples
censura	censura
rebelde	rebelde
roll	roll
paco	paco
matías	matias
nancy	nancy
marítima	marítima
canada	canada
crimea	crimeia
liberado	libertado
narrativa	narrativa
gerente	gerente
encuesta	enquete
afecta	afeta
enciclopédico	enciclopédico
pokémon	pokémon
libertador	libertador
generalidad	generalidade
efectivamente	efetivamente
seca	seca
medir	medir
asume	assume
dieta	dieta
aparente	aparente
lanzaron	lançaram
discusiones	discussões
stanley	stanley
panorama	panorama
realistas	realista
rin	reno
animada	animada
nativa	nativa
intensa	intensa
duelo	duelo
legend	legend
seattle	seattle
rectangular	retangular
english	english
acústica	acústica
innovación	inovação
hueso	osso
administrativas	administrativas
donald	donald
rincón	canto
jacob	jacó
ordenador	computador
baño	banho
baño	banheiro
establecidas	estabelecidas
seguros	seguros
correr	correr
hms	hms
telecomunicaciones	telecomunicações
arequipa	arequipa
iris	íris
eventualmente	eventualmente
maldonado	maldonado
ocupando	ocupando
cantando	cantando
examen	exame
depósitos	reservatórios
depósitos	depósitos
ocasionalmente	ocasionalmente
invitada	convidada
gov	gov
homer	homer
liverpool	liverpool
rap	rap
respondió	respondeu
asistir	assistir
turistas	turistas
darío	dário
imdb	imdb
autobús	autocarro
actuando	atuando
anuncia	anuncia
confusión	confusão
lituania	lituânia
unieron	uniram
tendencias	tendências
secretos	segredos
tommy	tommy
probabilidad	probabilidade
disc	disc
exhibición	exibição
exhibición	exposição
amistoso	amigável
amistoso	amistoso
convenio	convênio
elaborado	elaborado
entretenimiento	entretenimento
usadas	usadas
temprano	cedo
norteamericano	americano
aumentó	aumentou
euphorbia	euphorbia
direcciones	endereços
soprano	soprano
now	now
delitos	crimes
atletas	atletas
informa	informa
sonic	sonic
semifinal	semifinal
asumir	assumir
espectro	espectro
serio	sério
conducción	condução
gobernantes	governantes
colocó	colocou
capacidades	capacidades
inteligente	inteligente
introducido	introduzido
ficticio	fictício
manhattan	manhattan
concursos	concursos
partió	partiu
cia	cia
europe	europe
abundantes	abundantes
dosis	dosagem
conocía	conhecia
cubrir	cobrir
antártida	antártida
unen	unem
citas	namoro
aprobada	aprovada
filadelfia	filadélfia
decidido	decidido
baden	baden
vincent	vincent
falso	falso
jesuitas	jesuítas
enfrenta	enfrenta
humedad	humidade
atracción	atração
jurídico	jurídica
tabasco	tabasco
formaciones	formações
testigo	testemunha
afluente	afluente
seguida	seguida
bros	bros
kilómetro	quilômetro
bobby	bobby
lugo	lugo
reptiles	répteis
logo	logo
sustancia	substância
holandés	holandês
plus	plus
estocolmo	estocolmo
nasa	nasa
masiva	maciço
viendo	vendo
viendo	assistindo
mercurio	mercúrio
gilbert	gilbert
escobar	escobar
moléculas	moléculas
regulación	regulamentação
regulación	regulação
sargento	sargento
alturas	alturas
creencia	crença
aterrizaje	aterragem
campbell	campbell
danny	danny
ventajas	vantagens
abandona	abandona
martes	terça
requieren	exigem
pretendía	pretendia
arsenal	arsenal
sociología	sociologia
nigeria	nigéria
constantinopla	constantinopla
extrema	extrema
gibraltar	gibraltar
consola	console
sentimiento	sentimento
complutense	complutense
trato	trato
suficientes	suficientes
when	when
márquez	márquez
flash	flash
place	place
proclamó	proclamou
non	non
reality	reality
castillos	castelos
constituyó	constituiu
fuga	fuga
cleveland	cleveland
dorada	dourada
abuela	vovó
experto	especialista
frontal	frontal
aprovechando	aproveitando
considerablemente	consideravelmente
borgoña	borgonha
huevo	ovo
tragedia	tragédia
dejan	deixam
ubicados	localizados
lagunas	lagoas
beta	beta
contaminación	poluição
contaminación	contaminação
charlotte	charlotte
azteca	asteca
patrones	padrões
how	how
boeing	boeing
transmisiones	transmissões
aliado	aliado
enfrentar	enfrentar
ama	ama
literarios	literários
luchó	lutou
viejos	velhos
traducciones	traduções
pulgadas	polegadas
arnold	arnold
ladrillo	tijolo
calvo	careca
barbara	barbara
creer	crer
creer	acreditar
compartir	compartilhar
niñas	meninas
dependencia	dependência
detective	detetive
probar	experimentar
probar	testar
mónica	mônica
arroyos	córregos
arroyos	riachos
volante	volante
sabio	sábio
budapest	budapeste
beca	bolsa
cráneo	crânio
provocando	provocando
velocidades	velocidades
gobernante	governante
madison	madison
caridad	caridade
leftarm	leftarm
llave	chave
situadas	situadas
exclusiva	exclusividade
estero	estero
reference	reference
philip	philip
merced	mercê
armados	armados
three	three
manuscritos	manuscritos
rivas	rivas
major	major
necesariamente	necessariamente
tve	tve
demonio	demônio
note	note
emitida	emitida
carrillo	carrillo
reside	reside
nazis	nazistas
nazis	nazis
completó	completou
lérida	lérida
internas	internas
valdivia	valdivia
luisiana	luisiana
televisa	televisa
malo	ruim
materias	matérias
urbanas	urbanas
estándares	padrões
gases	gases
festividad	feriado
ferroviario	ferroviário
boletín	boletim
potencias	potências
ejemplar	exemplar
histoire	histoire
separadas	separadas
express	express
portugueses	portugueses
normales	normais
basket	basket
estelar	estelar
montaje	montagem
digo	digo
demo	demo
considerando	considerando
enviados	enviados
fotógrafo	fotografo
fotógrafo	fotógrafo
desconoce	desconhece
kent	kent
larry	larry
porción	porção
asesinados	assassinados
combatientes	combatentes
combatientes	lutadores
oponente	adversário
prince	prince
activamente	ativamente
giuseppe	giuseppe
pura	pura
forestal	florestal
viola	viola
track	track
parodia	paródia
evangelio	evangelho
honda	honda
eléctricos	elétricos
loira	loire
esfera	esfera
muertes	mortes
román	román
intenso	intenso
vaya	eita
alvarado	alvarado
ibáñez	ibáñez
impuso	impôs
litros	litros
penales	penais
shows	shows
constituido	constituído
name	name
consulado	consulado
autorización	autorização
autorización	autorizações
belén	belém
próximos	próximos
discografía	discografia
ponen	põem
rangers	rangers
esquí	esqui
envía	envia
prisionero	prisioneiro
causando	causando
disparo	tiro
teorema	teorema
golpes	golpes
golpes	batidas
mega	mega
atacó	atacou
herbert	herbert
recorre	percorre
dinosaurios	dinossauros
brevemente	brevemente
extranjera	estrangeira
caña	cana
ética	ética
arquitectónico	arquitectónico
other	other
encontrados	encontrados
correspondencia	correspondência
monjes	monges
formatos	formatos
vaticano	vaticano
bombardeo	bombardeamento
respuestas	respostas
cooper	cooper
duero	douro
august	august
cambiando	mudando
típicos	típicos
lento	lento
lento	devagar
summer	summer
dramaturgo	dramaturgo
seudónimo	pseudónimo
sacro	sacro
apoyado	apoiado
astronómico	astronômico
col	repolho
col	couve
col	col
ludwig	ludwig
velázquez	velázquez
líbano	líbano
túnez	tunísia
cena	jantar
four	four
pescado	peixe
republicanos	republicanos
magic	magic
artísticas	artísticas
lujo	luxo
electrones	elétrons
wood	wood
avances	avanços
european	european
vacaciones	férias
murallas	muralhas
descendiente	descendente
abiertos	abertos
sainte	sainte
eta	eta
pts	pts
cóndor	condor
reduce	reduz
coronado	coroado
esperando	esperando
manifestación	manifestação
robles	carvalhos
trajo	trouxe
mansión	mansão
suplente	substituto
convencional	convencional
philippe	philippe
asesinatos	assassinatos
fieles	fiéis
southern	southern
concha	concha
implementación	implementação
correctamente	corretamente
perdida	perdida
ciudadanía	cidadania
modern	modern
significativo	significativo
desastre	desastre
warren	warren
elías	elias
ltd	ltd
identificado	identificado
ejecutar	executar
studio	studio
law	law
destinada	destinada
calificación	qualificação
dramática	dramática
antoine	antoine
plástico	plástico
armadura	armadura
guipúzcoa	guipúzcoa
espaciales	espacial
habido	havido
dedicados	dedicados
bebé	bebê
hits	hits
tenor	tenor
mortal	mortal
tallos	caules
casino	casino
leipzig	leipzig
delegado	delegado
adoptado	adotado
library	library
colinas	colinas
extranjeras	estrangeiras
apolo	apollo
membrana	membrana
etnia	etnia
ruido	ruído
ricos	ricos
radar	radar
wagner	wagner
quieren	querem
teatros	teatros
añadido	adicionado
fabricantes	fabricantes
trabajan	trabalham
pilares	pilares
solía	costumava
guarnición	guarnição
edwards	edwards
fábricas	fábricas
roman	roman
oliva	oliva
conservadores	conservadores
contener	conter
secos	secos
escape	escape
obtuvieron	conseguiram
shakespeare	shakespeare
marín	marín
für	für
under	under
eugenia	eugenia
cap	cap
desarrollados	desenvolvidos
baños	banheiros
alternativas	alternativas
alternativas	alternativa
entiende	entende
entiende	compreende
extracción	extracção
extracción	extração
profundamente	profundamente
fresco	fresco
nacionalismo	nacionalismo
cruzar	atravessar
adulto	adulto
disciplinas	disciplinas
geográficas	geográficas
responder	responder
hermosa	linda
propiamente	propriamente
electrónicos	eletrônicos
galaxia	galáxia
age	age
cubiertas	abrangidas
cubiertas	cobertas
cubiertas	tampas
existió	existiu
dependencias	dependências
produciendo	produzindo
abu	abu
bola	bola
lázaro	lázaro
wolf	wolf
certificado	certificado
vigor	vigor
rita	rita
usaba	usava
uss	uss
escándalo	escândalo
tanque	tanque
sólido	sólido
kiev	kiev
serpiente	serpente
testigos	testemunhas
economista	economista
submarino	submarino
códigos	códigos
prevención	prevenção
abiertas	abertas
descubierta	descoberta
progresivo	progressivo
editó	editou
estudia	estuda
paloma	pomba
folk	folk
ira	ira
ira	raiva
atractivo	atraente
volar	voar
recta	reta
ecuatoriano	equatoriano
publishing	publishing
entregado	entregue
etiopía	etiópia
dick	dick
jefferson	jefferson
centroamérica	centroamérica
celeste	celeste
palermo	palermo
asientos	assentos
dominios	domínios
falsa	falsa
tribunales	tribunais
bond	bond
cerdo	porco
dorsal	dorsal
woman	woman
women	women
blood	blood
danés	dinamarquês
studies	studies
cajas	caixas
pacific	pacific
ring	ring
fiebre	febre
geometría	geometria
pink	pink
doblaje	dobragem
hoteles	hotéis
blas	blas
bull	bull
ayala	ayala
derrotas	derrotas
macizo	maciço
sacramento	sacramento
neil	neil
documentales	documentários
introducir	introduzir
libia	líbia
canciller	chanceler
collins	collins
aldeas	aldeias
silvia	silvia
inmaculada	imaculada
conjuntamente	conjuntamente
potente	potente
desafío	desafio
respectivos	respectivos
cerebral	cerebral
determinados	determinados
santísima	santíssima
soberano	soberano
emi	emi
normandía	normandia
temporalmente	temporariamente
ánimo	ânimo
publicaron	publicaram
chart	chart
divina	divina
hablantes	falantes
quedaba	ficava
quedaba	restava
ilustres	ilustres
acusaciones	acusações
sudoeste	sudoeste
prieto	prieto
oso	urso
cruzada	cruzada
teruel	teruel
nat	nat
mostrado	mostrado
via	via
excentricidad	excentricidade
camp	camp
rivadavia	rivadavia
levante	levante
reunir	reunir
aproximación	aproximação
enfrentaron	enfrentaram
mirada	olhar
hará	fará
marquesado	marquesado
sri	sri
games	games
departamental	departamental
plumas	canetas
consideración	consideração
cerrar	fechar
molino	moinho
tronco	tronco
cuarteto	quarteto
nativo	nativa
nativo	nativo
cook	cook
eeuu	eua
marquesa	marquesa
reducida	reduzida
anatomía	anatomia
monstruo	monstro
escribiendo	escrevendo
dedos	dedos
pasaje	passagem
denis	denis
anunciado	anunciado
mandó	mandou
mató	matou
futbol	futebol
vitoria	vitoria
estonia	estónia
bacterias	bactérias
ortodoxa	ortodoxa
extendido	estendido
arácnidos	aracnídeos
ilegal	ilegal
foundation	foundation
apóstol	apóstolo
ejecutado	executado
denominados	denominados
intentando	tentando
escocés	escocês
crecer	crescer
luchas	lutas
helena	helena
trasera	traseira
apreciar	apreciar
recuperó	recuperou
conducido	conduzido
gabriela	gabriela
radios	rádios
coordinador	coordenador
miércoles	quarta
poseer	possuir
terrorismo	terrorismo
linares	linares
side	side
poderosa	poderosa
lunar	lunar
precipitaciones	precipitação
capturar	capturar
adquiere	adquire
niega	nega
defecto	defeito
marcada	marcada
sud	sud
viajeros	viajantes
sobrevivir	sobreviver
ferrari	ferrari
experimento	experiência
románico	românico
consideradas	consideradas
escasos	escasso
adolescentes	adolescentes
callao	callao
confirmado	confirmado
here	here
habituales	habituais
brooklyn	brooklyn
comunica	comunica
impedir	impedir
lienzo	tela
ascendió	ascendeu
empiezan	começam
taekwondo	taekwondo
solidaridad	solidariedade
gard	gard
evans	evans
accesible	acessível
georg	georg
certificados	certificados
castigo	punição
complejidad	complexidade
renacentista	renascentista
adrián	adrian
head	head
nordeste	nordeste
gallo	galo
nuestras	nossas
ivan	ivan
matthew	matthew
parlamentarias	parlamentares
salomón	salomão
nbc	nbc
exportación	exportação
colectiva	coletiva
colectiva	coletivo
susana	susana
hambre	fome
residuos	resíduos
socialismo	socialismo
américas	américas
directorio	diretório
square	square
cruza	atravessa
leones	leões
consigo	consigo
amy	amy
prohibición	proibição
notablemente	notavelmente
dean	dean
alusión	alusão
leonor	leonor
habitan	habitam
irregular	irregular
videoclip	videoclipe
consecutivos	consecutivos
escudos	escudos
operar	operar
films	films
terapia	terapia
instalado	instalado
famosas	famosas
fallo	falha
barro	lama
banca	banca
banca	bancário
hubiese	tivesse
únicas	únicas
acompañada	acompanhada
luchadores	lutadores
stuttgart	estugarda
edificación	edificação
riesgos	riscos
eco	eco
acosta	acosta
seguramente	certamente
vienen	vêm
apellidos	apelido
apellidos	sobrenome
desarrollaron	desenvolveram
class	class
presentadora	apresentadora
comisario	xerife
decenas	dezenas
campana	campainha
pib	pib
tía	tia
rivalidad	rivalidade
húmedo	húmido
embajadores	embaixadores
hospitales	hospitais
morelos	morelos
astronomía	astronomia
alcanzan	alcançam
alcanzan	atingem
leal	leal
terroristas	terroristas
visuales	visuais
establecimientos	estabelecimentos
guido	guido
comisiones	comissões
detención	detenção
algoritmo	algoritmo
inversiones	investimentos
criaturas	criaturas
lloyd	lloyd
mercancías	mercadorias
construye	constrói
margaret	margaret
hills	hills
ten	ten
jennifer	jennifer
agregar	adicionar
marinas	marinhas
tela	tecido
ataca	ataca
lorca	lorca
refugiados	refugiados
cantera	pedreira
marcel	marcel
dylan	dylan
harold	harold
god	god
dictionary	dictionary
forest	forest
descubridor	descobridor
énfasis	ênfase
combinado	combinado
