이시하라	ishihara
포장	wrapping
머큐리	mercury
독재자	dictator
엑스트라	extras
간판	billboard
간판	signboard
간판	signage
딸기	strawberry
딸기	strawberries
플리머스	plymouth
힐베르트	hilbert
칼럼	column
칼럼	columns
그레고리	gregory
지시	directive
지시	instructions
속력	speed
명예훼손	defamation
명예훼손	libel
연금술사	alchemist
연금술사	alchemy
염화	chloride
조던	jordan
클라라	clara
피어슨	pearson
르완다	rwanda
몬테비데오	montevideo
사라지는	disappearing
휴일	holiday
휴일	holidays
토이	toy
폴리	polly
폴리	paulie
폴리	poly
도덕	moral
도덕	morals
도덕	morality
파노라마	panorama
파노라마	panoramic
파노라마	panoramas
마피아	mafia
스팸	spam
월경	menstruation
월경	periods
월경	menses
교구장	diocesan
스탠	stan
지능	intelligence
기업가	entrepreneurs
브리스틀	bristol
제국주의	imperialism
비둘기	dove
비둘기	pigeons
비둘기	pigeon
비둘기	doves
평원	plain
평원	plains
아편	opium
후지이	fujii
왜곡	curl
시나	cinna
로키	rocky
윌리	willy
윌리	wiley
윌리	willie
도움말	handbook
도움말	help
다카야마	takayama
만들었습니다	created
노랑	yellow
반지름	radius
아타튀르크	atatürk
랜덤	random
포도	vitis
포도	vineyards
포도	grape
포도	vines
포도	grapes
상표	trademark
상표	trademarks
레볼루션	revolution
조제프	joseph
슈미트	schmidt
슈미트	schmitt
애슐리	ashley
애슐리	ashleigh
국민주의	nationalism
국민주의	nationalist
피라미드	pyramid
피라미드	pyramids
수녀	nun
수녀	nuns
로리	lori
사무국	secretariat
카네기	carnegie
청동	bronzes
청동	bronze
시작하기	start
히토시	hitoshi
아카리	akari
웨이	wei
웨이	way
재키	jackie
재키	jacky
잘츠부르크	salzburg
플라자	plaza
광화문	optical
소지	possession
컵스	cubs
제노바	genoa
제노바	genova
구별	distinction
구별	distinguishing
챔피언쉽	championship
메카	mecca
메카	mech
타이탄	titan
타이탄	titans
마이어	meier
마이어	meyer
부자	rich
부자	wealthy
인격	personality
히로	hiro
활주로	runway
후지모토	fujimoto
마스크	mask
마스크	masks
법령	decree
포레스트	forrest
최적화	optimized
최적화	optimization
최적화	optimizing
최적화	optimize
최적화	optimise
드래곤스	dragons
잔인한	cruel
수직으로	vertically
아테나	athena
에드윈	edwin
커맨드	command
메뉴	menu
메뉴	menus
토르	thor
케이프	cape
프랜차이즈	franchise
프랜차이즈	franchises
카니발	cannibal
카니발	carnival
명백하게	clearly
명백하게	obviously
컨트롤러	controllers
컨트롤러	controller
칼리	carly
상대적	relative
받음	received
마룬	maroon
이식	porting
이식	transplantation
이식	transplant
캔디	candies
캔디	candy
ㅠㅠ	yuyu
스케이트	skating
스케이트	skate
스케이트	skates
소득	incomes
소득	income
고통	agony
고통	suffering
고통	pain
예약	appointment
예약	schedule
예약	appointments
예약	reservation
예약	booking
다름	different
수평	horizontally
수평	horizontal
다양성	diversity
핫토리	hattori
콜린스	collins
티저	teaser
마이크로프로세서	microprocessors
마이크로프로세서	microprocessor
스트리밍	streaming
스트리밍	streamed
스트리밍	stream
프레디	freddie
프레디	freddy
협업	collaborate
협업	collaboration
협업	collab
고아	goa
고아	orphans
고아	orphan
고아	goan
네덜란드어	dutch
예제	example
예제	examples
연설	speeches
연설	speech
안드레아스	andreas
점검	overhaul
점검	inspect
점검	inspection
점검	check
점검	maintenance
그릴	grill
그릴	grills
불량	defective
댄서	dancers
댄서	dancer
선원	sailors
강간	rape
강간	raped
다루기	handling
감옥	prisons
감옥	jail
감옥	prison
분수	fractions
분수	fountain
분수	fountains
분수	fraction
분수	fractional
화상	burned
화상	burns
화상	burn
스파이크	spike
바람직한	desirable
디스코	disco
손해배상	damages
콘솔	consoles
콘솔	console
군주제	monarchy
어둠	dark
어둠	darkness
어둠	blackness
컨퍼런스	conferences
프랑코	franco
파이터즈	fighters
루팡	lupin
스킬	skills
스킬	skill
다마스쿠스	damascus
논스톱	nonstop
파고	fargo
포켓	pocket
협의회	council
배워	learn
하이퍼	hyper
루스벨트	roosevelt
루프	loops
루프	loop
상실	loss
협의	consultation
외계인	alien
외계인	aliens
토바고	tobago
어릴적	childhood
아픈	sick
천년	millennia
합리적	rational
합리적	reasonable
닛코	nikkō
묶여	tied
비어	empty
비어	blank
저택	mansion
트로피	trophy
트로피	trophies
색깔	colors
신비	mysticism
신비	mysteries
신비	mysterious
호프	hopf
독서	reading
해킹	hacks
해킹	compromised
해킹	hacked
해킹	hack
해킹	hacking
마쓰다	mazda
마쓰다	matsuda
스털링	sterling
스털링	stirling
매트릭스	matrix
레너드	leonard
오메가	omega
폭파	demolition
폭파	bombing
소화	digestion
소화	digested
소화	digest
사가미	sagami
발레리	valeriy
발레리	valery
발레리	valeri
비행장	airfield
실현	realized
실현	realizing
실현	actualization
미크로네시아	micronesia
혁신	innovations
혁신	innovation
입체	solid
입체	steric
레몬	lemon
레몬	lemons
안티	anti
사무엘	samuel
아시리아	assyrian
아시리아	assyria
앉은	sitting
초점	focus
초점	focal
성벽	walls
성벽	ramparts
복음주의	gospel
삽화	artwork
삽화	illustration
삽화	illustrated
삽화	illustrations
테레사	teresa
테레사	theresa
매튜	matthew
마그네슘	magnesium
보어	boer
보어	bohr
알바	alba
케이지	cage
징계	disciplinary
자연적으로	naturally
밝게	bright
밝게	brighter
소환	ring
소환	subpoena
소환	summoned
소환	summons
적색편이	redshift
프레임워크	framework
프레임워크	frameworks
센스	sense
시민권	citizenship
로우	lowe
백신	vaccines
백신	vaccine
열이	fever
트빌리시	tbilisi
사물	things
아즈마	azuma
사르데냐	sardinia
사르데냐	sardinian
크레타	crete
밀가루	flour
가우스	gauss
지포스	geforce
나노	nano
구운	grilled
구운	baked
구운	roasted
레지스터	registers
레지스터	register
팬들	fans
식별	identification
식별	identify
식별	identifying
마르크	marks
마르크	mark
마르크	marc
모로	morrow
모로	moro
인프라	infrastructure
모피	furs
모피	fur
리치먼드	richmond
암스트롱	armstrong
대나무	bamboo
수위	janitor
녹화	recording
녹화	record
녹화	recorded
획기적인	breakthrough
밸브	valve
밸브	valves
짐바브웨	zimbabwe
짐바브웨	zimbabwean
타오위안	taoyuan
슬픔	grief
슬픔	sadness
슬픔	sorrow
슬픔	sad
셀레우코스	seleucus
클레이	clay
염색체	chromosomes
염색체	chromosome
염색체	chromosomal
아나	ana
치히로	chihiro
신학교	seminary
곡물	crops
곡물	cereals
곡물	cereal
곡물	grains
먹기	eating
먹기	eat
남자친구	boyfriends
남자친구	boyfriend
팔레르모	palermo
앤티가	antigua
스토크	stoke
조엘	joel
루프트한자	lufthansa
스완지	swansea
가시	thorn
가시	splinter
노먼	norman
보트	boats
보트	boating
보트	boat
라이베리아	liberia
드레스덴	dresden
임팩트	impact
대출	loan
대출	loans
대출	lending
미녀	beauty
최강	strongest
최강	beaters
이슈	issue
이슈	issues
카일	kyle
마사코	masako
안경	spectacles
안경	eyeglasses
안경	glasses
안드로메다자리	andromedae
안드로메다자리	andromeda
후루카와	furukawa
문화유산	heritage
피자	pizzas
피자	pizza
끔찍한	terrible
낭만주의	romantic
연인들	lovers
기온	temperature
기온	temperatures
티베트족	tibetan
입력합니다	enter
에스컬레이터	escalator
실력	skill
카스티야	castile
카스티야	castilian
지질학	geologic
지질학	geologist
지질학	geologists
지질학	geological
지질학	geology
청구	charges
청구	charge
청구	billing
싸우다	fight
투르크	turk
모자이크	mosaics
모자이크	mosaic
어휘	lexicon
어휘	vocabulary
연금	pension
연금	pensions
언급	mention
언급	mentions
조나단	jonathan
모잠비크	mozambique
모잠비크	mozambican
뮤지션	musician
뮤지션	musicians
베르나르	bernard
엘살바도르	salvadoran
오리	ducks
믿음	faith
믿음	belief
믿음	beliefs
브래들리	bradley
기회	chances
기회	chance
기회	opportunity
기회	opportunities
보라색	purple
컨텐츠	content
고장	failures
피고인	accused
피고인	defendant
깁슨	gibson
오아시스	oasis
에세이	essay
리프	leaf
칼라	collar
명시적으로	explicitly
스쿼드	squad
공감	react
공감	reactions
공감	empathy
공감	reaction
폭격	bombing
서클	circles
서클	circle
커트	kurt
커트	curt
셰익스피어	shakespeare
언더그라운드	underground
떴다	outing
권위	authority
미라	mummy
미라	mira
할인	discount
할인	discounts
엠마	emma
인체	human
쿼크	quark
카즈키	kazuki
바쁜	busy
제니트	zenit
소용돌이	swirl
소용돌이	whirls
소용돌이	vortex
소용돌이	whirlpool
유용하다	useful
데릭	derek
채권	bond
채권	bonds
사냥꾼	trappers
사냥꾼	hunters
사냥꾼	hunter
스트림	streams
스트림	stream
티아라	tiara
티아라	tia
팔렸다	sold
케네스	kenneth
연못	pond
연못	ponds
무언가	something
크레용	crayon
게재	delivery
스텔스	stealth
파장	wavelength
파장	wavelengths
요시카와	yoshikawa
탑승	boarding
탑승	aboard
자아	ego
베니스	venice
습윤	humid
창립자	founder
변이	stool
변이	variation
플루토늄	plutonium
리카르도	ricardo
에비스	ebisu
세로로	lengthwise
세로로	vertical
길버트	gilbert
안드레	andre
안드레	andré
로버스	rovers
펭귄	penguins
펭귄	penguin
물류	logistics
물류	fulfillment
루터교	lutheran
마키노	makino
변속기	transmission
다이토	taito
갑작스러운	abrupt
조수	tide
조수	assistant
아카이브	archive
정체성	identities
정체성	identity
정착	settled
다이렉트	direct
희생	sacrifices
희생	sacrifice
도박	gambling
도박	betting
도박	gamble
캔버라	canberra
아름다워	beautiful
점원	clerks
점원	clerk
발급	issued
발급	claims
유학생	students
스윙	swinging
스윙	swing
터키어	turkish
그레그	greg
그레그	gregg
테러리스트	terrorist
테러리스트	terrorists
하단	bottom
컴백	comeback
충격	shocking
충격	shock
충격	shocked
교차	cross
교차	intersection
코로나	coronal
코로나	corona
부두	voodoo
부두	pier
슬라이드	slides
슬라이드	slide
슬라이드	carousel
잠재적	potential
디제이맥스	djmax
검정색	black
애슬레틱	athletic
풍자	sarcasm
풍자	satirical
풍자	satire
간디	liver
터치스크린	touchscreen
쓰루미	tsurumi
가속	acceleration
가속	accelerated
테크노	techno
노스웨스트	northwest
상속	inherits
상속	heir
상속	heirs
상속	inheritance
크리스토프	kristoff
맞춤법	spelling
버디	buddy
시어도어	theodore
조종	manipulate
보헤미아	bohemia
간략하게	briefly
휠체어	wheelchairs
휠체어	wheelchair
럭키	lucky
스노보드	snowboarding
스노보드	snowboard
미타	mita
인스턴트	instant
애틀랜틱	atlantic
호놀룰루	honolulu
정치국	politburo
쇼크	shock
단말기	device
아바나	havana
가와카미	kawakami
나이로비	nairobi
셰퍼드	shepherd
그라나다	granada
루키	lou
부드럽게	soft
부드럽게	smooth
부드럽게	gently
묘사	description
묘사	depictions
묘사	portrayal
제미니	gemini
미란다	miranda
항만	harbor
트랜지스터	transistor
세이	essay
코발트	cobalt
몰락	downfall
차이점	diff
차이점	difference
차이점	differences
논리학	logic
버틀러	butler
마르셀	marcelle
마르셀	marcel
이니셜	initial
이니셜	initials
일치	matches
일치	matching
일치	match
일치	matched
모리야마	moriyama
성숙한	mature
갈라타사라이	galatasaray
나오코	naoko
비정상적인	abnormal
코스트	coast
바스크	basque
음절	syllable
간섭	intervention
간섭	interference
간섭	interferences
켈러	kähler
켈러	keller
동방신기	tvxq
비너스	venus
손상	damaged
손상	damage
소매	retailing
소매	retail
소매	sleeves
소매	sleeve
인피니티	infinity
호흡	breath
호흡	breathe
호흡	respiratory
호흡	breathing
호흡	respiration
경쟁력	competitive
경쟁력	competitiveness
불완전한	imperfect
캐럴	carol
캐럴	carroll
파이브	five
긴자	ginza
루피	rupees
루피	rupee
사라예보	sarajevo
두번째로	secondly
침대	beds
침대	bed
모닝	morning
카린	karin
페루자	perugia
악당	villain
인디언스	indians
사노	sano
보르네오	borneo
합법적인	legit
합법적인	legal
나미비아	namibia
나미비아	namibian
휴식	break
휴식	resting
휴식	rest
휴식	relaxation
리코	ricoh
북극	arctic
퀄컴	qualcomm
똑바로	straight
캘거리	calgary
친절한	kind
로테르담	rotterdam
빌드	build
빌드	builds
학술지	journal
실리콘	silicon
실리콘	silicone
생선	fish
히로사키	hirosaki
레프	lev
히로코	hiroko
리에주	liège
브루나이	brunei
쌓인	stacked
움직여	move
냉방	cooling
급속한	rapid
정화	purify
정화	purification
나카타	nakata
원고	plaintiff
원고	plaintiffs
크리스티	christie
해외로	overseas
해외로	abroad
유리코	yuriko
엑스포	expo
엑스포	expos
컴파일러	compilation
컴파일러	compilers
컴파일러	compiler
앙상블	ensemble
시체	body
시체	corpses
시체	corpse
시체	cadaver
거미	gummy
거미	spider
거미	spiders
그릇	bowl
그릇	bowls
힐러리	hillary
힐러리	hilary
모델링	modeling
모델링	modelling
캅카스	caucasus
캅카스	cop
나카니시	nakanishi
촛불	candle
촛불	candlelight
촛불	candles
가축	livestock
가축	cattle
웨딩	wedding
무스카트	muscat
스타트	startups
우랄	ural
상점	shop
상점	shops
상점	stores
상점	store
스티븐스	steven
스티븐스	stevens
부재	absence
바꾸기	replace
바꾸기	switch
바꾸기	swap
바꾸기	change
카운트다운	countdown
분홍색	pink
분홍색	pinks
요리사	cook
요리사	chef
할당된	assigned
저작권자	copyright
말하기	speaking
말하기	speak
헤더	header
헤더	heather
헤더	headers
산술	arithmetic
십자	cross
의자	chair
레일	rail
레일	rails
사산	stillborn
사산	stillbirth
간격	gap
간격	interval
간격	spacing
간격	gaps
카스트로	castro
라이스	rice
페르미	fermi
사춘기	adolescent
사춘기	puberty
사춘기	adolescence
베넷	bennett
액정	lcd
후드	hood
페인	payne
페인	paine
요셉	joseph
포커	poker
프론티어	frontiers
프론티어	frontier
디아블로	diablo
커플	couples
커플	couple
불안	insecure
불안	anxiety
퀸즈	queens
프린터	printing
프린터	printer
프린터	printers
터미네이터	terminator
일렉트로니카	electronica
인문학	humanities
양서류	amphibians
채소	vegetable
채소	vegetables
문구	caption
문구	text
문구	phrases
문구	stationery
스트라스부르	strasbourg
키르기스스탄	kyrgyzstan
단층	fault
도마뱀	lizards
도마뱀	lizard
무라타	murata
이끼	moss
계몽	enlightenment
바트	bart
바트	baht
시리우스	sirius
킹스턴	kingston
소실	disappearance
협조	cooperate
부활절	easter
랄프	ralph
클릭	click
클릭	clicks
하디	hardy
직물	textile
직물	fabrics
직물	textiles
파스타	pasta
벽화	murals
벽화	mural
메시	messi
다스	darth
북서	northwestern
북서	northwest
북서	nw
페르시아어	persian
노르딕	nordic
매리너스	mariners
플랜	plan
플랜	plans
의미있는	meaningful
해명	clarification
신용	credit
미아	mia
야채	vegetable
야채	vegetables
렌더링	rendering
렌더링	render
바이애슬론	biathlon
적분	integral
삼각주	delta
사각형	square
사각형	quadrilateral
사각형	rectangle
사각형	rectangular
청소	cleanups
청소	cleaning
청소	clean
청소	cleaned
거기	there
세미	semi
중등	secondary
베이시스트	bassist
캐롤	carol
캐롤	carroll
캐롤	carole
엘리	ellie
엘리	eli
부채	debts
부채	liabilities
부채	debt
눈부신	dazzling
히로세	hirose
발효	fermented
발효	fermentation
체리	cherry
체리	cherries
코덱	codec
코덱	codecs
친족	kin
경관	officer
경관	landscape
퍼텐셜	potential
생각하기	think
수용체	receptor
버섯	mushrooms
버섯	mushroom
익숙한	familiar
파이팅	fighting
튀니스	tunis
매력	glamour
매력	glamorous
매력	allure
매력	charm
매력	charming
태양광	solar
선진	developed
선진	advancement
공연장	venue
타카기	takagi
조건부	conditional
메세지	message
사쿠마	sakuma
아우디	audi
벨트	belts
벨트	belt
비엔나	vienna
아사쿠사	asakusa
예의	etiquette
예의	decorum
예의	manners
예의	polite
예의	courtesy
예의	courteous
노리치	norwich
선구자	pioneers
받았습니다	received
아키오	akio
블라디보스토크	vladivostok
인플레이션	inflation
카나코	kanako
인질	hostage
인질	hostages
켈트	celtic
후지사와	fujisawa
생태	ecological
증언	testify
증언	witness
증언	testimony
트루먼	truman
노보루	noboru
모하마드	mohammad
오마르	omar
축하	celebrations
축하	congratulation
축하	celebration
일반인	general
싱어	singer
바바	baba
관세	tariffs
관세	customs
관세	tariff
벨파스트	belfast
잔혹한	cruel
얼라이언스	alliance
하이드	hyde
이탈	churn
벨라	bella
인사이드	inside
네번째	fourth
제네시스	genesis
브릿	brit
잉글리시	english
스쿼시	squash
냉각	cooling
냉각	refrigeration
레즈비언	lesbian
레즈비언	lesbians
포클랜드	falkland
차단되었습니다	blocked
램프	lamp
램프	lamps
포격	shelling
포격	bombardment
새크라멘토	sacramento
콴타스	qantas
힉스	hicks
힉스	higgs
영화관	theatres
영화관	theaters
영화관	theater
레지옹	legion
깨진	broken
특공대	commando
풀기	extract
풀기	solve
아카사카	akasaka
딜런	dillon
딜런	dylan
선샤인	sunshine
폴란드어	polish
마스터즈	masters
회상	throwback
표본	sample
체류	dwells
체류	dwell
체류	sojourn
보내기	sending
보내기	send
황소자리	tauri
황소자리	taurus
위조	forger
위조	forgery
위조	forged
위조	counterfeiting
위조	counterfeit
마사시	masashi
모가미	mogami
고래자리	cetus
게오르기	georgy
모모코	momoko
고추	chilli
고추	pepper
고추	chilies
고추	chili
가슴이	chest
인용된	quoted
오리엔트	orient
아나톨리아	anatolia
스탠더드	standard
스토어	stores
스토어	store
패치	patches
패치	patch
포트리스	fortress
탐험	exploring
탐험	explorer
탐험	expedition
탐험	explore
탐험	exploration
탐험	explorers
터치스톤	touchstone
대처	coping
대처	thatcher
덕이	doug
클라리넷	clarinet
제레미	jeremy
강아지	puppies
강아지	puppy
버터	butter
버터	buttered
캐피탈	capitol
캐피탈	capital
예언자	prophet
예언자	prophets
평형	equilibrium
제곱	square
마트	mart
면책	immunity
앨리슨	allison
앨리슨	alison
쇼팽	chopin
애너하임	anaheim
자동화	automates
자동화	automated
자동화	automating
자동화	automate
자동화	automation
나카이	nakai
매력적인	charming
샤프	sharp
신타로	shintaro
채워	fill
백조자리	cygnus
백조자리	cygni
양곤	yangon
마나	mana
폴로	polo
포츠머스	portsmouth
기차	train
기차	trains
강좌	courses
쿠키	cookies
쿠키	cookie
이오니아	ionian
복잡도	complexity
발명	invent
발명	invention
발명	inventions
발명	inventing
발명	invented
발명	inventor
보좌관	aides
편견	prejudiced
편견	bias
편견	prejudice
조지타운	georgetown
버퍼	buffer
버퍼	buffers
증인	witnesses
증인	witness
모니카	monica
클라인	klein
응답하라	respond
평화로운	peaceful
끝없는	endless
이웃집	neighbor
더러운	nasty
더러운	filthy
더러운	dirty
스프링필드	springfield
부서	department
노드	node
노드	nodes
박해	persecution
박해	oppression
바흐	bach
다무라	tamura
발전기	generators
발전기	generator
트라이앵글	triangle
욕구	desire
욕구	desires
선포	declared
선포	declare
바벨	babel
타지키스탄	tajik
타지키스탄	tajikistan
스웨덴어	swedish
잠비아	zambia
잠비아	zambian
길거리	street
길거리	streets
글로리아	gloria
흡혈귀	vampire
무엇이든	whatever
무엇이든	anything
레이아웃	layouts
레이아웃	layout
스케치	sketches
스케치	sketch
스케치	sketching
스케치	sketched
자극	stimulus
자극	stimulation
자극	stimulated
자극	stimulating
자극	irritation
역사학	historiography
갑옷	armor
갑옷	armour
평행	parallel
미드웨이	midway
슈트	suit
현명한	wise
김치	kimchi
시온	zion
나카하라	nakahara
아스타나	astana
노부유키	nobuyuki
수잔	susan
장례	burial
장례	funeral
아라키	araki
프라이부르크	freiburg
그리스인	greeks
열기	open
열기	opens
셔틀	shuttle
셔틀	shuttles
순교자	martyrs
순교자	martyr
피스	peace
정밀	precision
같음	equals
샌드위치	sandwich
샌드위치	sandwiches
모의	mockup
모의	mock
그라비아	gravure
센타우루스자리	centaurus
센타우루스자리	centauri
에이전시	agency
바리	bari
아토스	athos
디렉터리	directory
디렉터리	folders
디렉터리	folder
디렉터리	directories
떨어지지	fall
리어	lear
열정	enthusiasm
열정	enthusiastic
열정	passionate
열정	passion
열정	passions
이동식	removable
예배	adoration
예배	worship
수백만	millions
미즈호	mizuho
글로브	globe
기린	giraffe
기린	kirin
기린	giraffes
수년	years
아이패드	ipad
파산	bankrupt
파산	bankruptcy
버펄로	buffalo
이시바시	ishibashi
무작위로	randomly
무작위로	random
징병제	conscription
배경색	background
이겨	beat
우울	depressed
우울	depressing
우울	melancholia
우울	melancholy
낙하산	parachute
홀로코스트	holocaust
클론	clones
클론	clone
디스커버리	discovery
우지	uji
테크	tech
샐리	sally
절약	saving
알마티	almaty
곱셈	multiplication
곱셈	multiply
스와	suwa
투르	tours
교정	corrective
교정	calibration
교정	correction
교정	corrected
교정	braces
교정	proofing
서대문	seodaemun
앙투안	antoine
리히텐슈타인	liechtenstein
리히텐슈타인	lichtenstein
변동이	variation
아니오	no
장례식	funeral
장례식	funerals
오데사	odessa
사모아	samoan
사모아	samoa
레이먼드	raymond
저널리스트	journalist
저널리스트	journalists
차드	chadian
차드	chad
장학금	scholarships
장학금	scholarship
무하마드	muhammad
불가사의	fushigi
체르노빌	chernobyl
강력	powerful
해석학	analytical
해석학	analysis
카사블랑카	casablanca
어디로	where
커먼즈	commons
레지던트	resident
레지던트	residents
레지던트	residency
파라오	pharaohs
파라오	pharaoh
소음	noise
소음	noises
공백	spaces
공백	whitespace
갇힌	trapped
웹페이지	webpage
웹페이지	webpages
제조사	vendor
제조사	manufacturer
레슬리	lesley
레슬리	leslie
에미레이트	emirate
에미레이트	emirates
응원	cheer
응원	cheerleading
학대	abuse
올림포스	olympus
세계화	globalization
먹이	prey
에리크	erik
에리크	eric
퍼레이드	parade
퍼레이드	parades
리버티	liberty
로크	locke
투르크메니스탄	turkmenistan
투르크메니스탄	turkmen
기저	basis
포위전	siege
코카콜라	coke
흐른	runny
오스트레일리아인	australians
화합	harmony
포탈	portals
포탈	portal
히브리	hebrew
맥도날드	mcdonald
맥도날드	macdonald
맥도날드	mcdonalds
윤리학	ethics
브레스트	brest
통치자	ruler
낚시	angling
낚시	fishing
밀리미터	millimetres
밀리미터	millimeter
밀리미터	millimetre
밀리미터	centimeter
밀리미터	millimeters
노퍽	norfolk
기울여	tilt
커스텀	custom
비참한	miserable
디랙	dirac
호환성	compatibility
수마트라	sumatran
수마트라	sumatra
전망	prospect
전망	prospects
전망	outlook
메콩	mekong
앨릭스	alex
거란	khitan
보나파르트	bonaparte
선덜랜드	sunderland
동정	sympathy
동정	compassion
칼리아리	cagliari
전자공학	electronics
수익	revenue
수익	yield
수익	earnings
수익	revenues
수익	profits
수익	monetization
검토하기	review
랠프	ralph
전구	bulb
수명	lifespan
아이오딘	iodine
돌연변이	mutagen
돌연변이	mutant
돌연변이	mutation
마크로스	macross
데이지	daisy
토리	tory
토리	tori
무신론	atheism
무신론	atheist
무신론	atheists
실험실	laboratory
실험실	laboratories
실험실	lab
홈즈	holmes
튀르크	turkic
페레스	peres
페레스	pérez
간지	kanji
플랑드르	flemish
지우	clear
지우	erase
반대편	opposite
수렴	convergence
프로그래머	programmers
프로그래머	programmer
관광객	sightseers
관광객	tourist
관광객	tourists
제럴드	gerald
제럴드	jerald
습작	humid
도끼	ax
도끼	hatchet
도끼	axe
월리스	wallace
재판소	court
둘레	perimeter
둘레	perimeters
둘레	girth
상업용	commercial
수영장	pools
수영장	pool
이민자	immigrant
환영	welcome
데이먼	damon
자발적	voluntary
황소	bull
황소	ox
안달루시아	andalusian
안달루시아	andalucia
음악원	conservatory
화랑	gallery
스택	stack
스택	stacks
큐슈	kyushu
에픽	epic
에픽	epik
블로거	blogger
블로거	bloggers
친구들이	friends
파인	pine
재무	financial
재무	finance
치과	dentist
치과	dentists
치과	dental
치과	dentistry
알렌	alan
인코딩	encode
인코딩	encoding
몰리	mollie
몰리	molly
몰리	morley
트루	tru
화살	arrows
화살	arrow
심리학자	psychologist
섹션	section
섹션	sections
햄릿	hamlet
요시노부	yoshinobu
구문	phrase
구문	syntax
그린란드	greenland
그린란드	greenlandic
루브르	louvre
초원	grassland
초원	meadow
무시	ignore
무시	discard
무시	dismiss
무시	ignored
땅콩	peanut
땅콩	nut
땅콩	nuts
땅콩	peanuts
닐스	nils
대표자	representative
가끔은	sometimes
미러	mirrors
미러	mirror
다카오카	takaoka
결제	pay
결제	checkout
결제	payment
결제	payments
트럼프	trump
갈릴레이	galilei
브룩	brooke
브룩	brook
카이사르	caesar
아름답다	beautiful
단자	connector
역설	paradox
역설	paradoxes
불행한	unhappy
불행한	unfortunate
안도라	andorra
안도라	andorran
마리야	marie
띄어쓰기	spacing
폐기물	waste
폐기물	wastes
허가서	license
호위함	frigate
어린시절	childhood
달빛	moonlight
어메이징	amazing
브렛	brett
알토	alto
올리비아	olivia
브라질리아	brasilia
브라질리아	brasília
칼데라	caldera
켄타	kenta
급한	urgent
솔리드	solid
외할아버지	grandfather
캐머런	cameron
눈물이	tears
단순하게	simply
의사소통	communication
의사소통	communicative
충전	charge
충전	recharge
넓이	wide
베스	beth
임상	clinical
최단	shortest
전세	charter
몽키	monkey
터빈	turbine
터빈	turbines
사슴	deer
시에라	sierra
로건	logan
카와시마	kawashima
기독교인	christians
소원	wish
소원	wishes
수다	talkative
병행	concurrent
존경하는	respected
