occidentaux	occidentales
castro	castro
inventé	inventado
sidney	sidney
ténor	tenor
aveugle	ciego
ferry	ferry
espionnage	espionaje
vies	vidas
segment	segmento
tabac	tabaco
scalemajor	scalemajor
timeaxis	timeaxis
tutelle	tutela
side	side
monarque	monarca
réunions	reuniones
nbc	nbc
butler	butler
tissus	tejidos
review	review
spencer	spencer
dépasser	sobrepasar
connecticut	connecticut
afficher	mostrar
affronte	enfrenta
entités	entidades
sélectionnés	seleccionados
pensez	piense
hercule	hércules
forcé	forzado
zur	zur
solde	saldo
récolte	cosecha
gustav	gustav
attaqué	atacado
oregon	oregón
oregon	oregon
apprécié	disfrutado
cape	cape
monté	montado
jésuite	jesuita
voyageur	viajero
traitements	tratamientos
leslie	leslie
serpents	serpientes
cuir	cuero
utah	utah
carnaval	carnaval
condamnés	condenados
essayiste	ensayista
cacher	ocultar
neuilly	neuilly
intrigue	intriga
plotarea	plotarea
kentucky	kentucky
disent	dicen
schneider	schneider
ned	ned
probabilité	probabilidad
académique	académico
roll	roll
accusation	acusación
châssis	chasis
responsabilités	responsabilidades
lyrique	lírica
gain	ganancia
laser	láser
composant	componente
noté	anotado
sauvetage	rescate
existé	existido
nina	nina
doigts	dedos
détruits	destruidos
convoi	convoy
atterrissage	aterrizaje
blaise	blaise
encre	tinta
hills	hills
remplir	llenar
remplir	rellenar
progressiste	progresista
invitation	invitación
souffre	sufre
cercles	círculos
arche	arca
collaborateurs	colaboradores
restaurants	restaurantes
viaduc	viaducto
comptent	cuentan
gravures	grabados
demandent	piden
demandent	preguntan
émergence	aparición
gratuit	gratis
préférence	preferencia
composent	componen
alabama	alabama
stan	stan
queensland	queensland
holstein	holstein
escalade	escalada
claudia	claudia
allusion	alusión
alla	alla
mécanismes	mecanismos
mathilde	mathilde
oslo	oslo
bombardements	bombardeos
ice	ice
suffisant	suficiente
wendy	wendy
hôtes	anfitriones
rhodes	rhodes
caché	oculto
klein	klein
mrc	mrc
renommer	renombrar
cincinnati	cincinnati
ltd	ltd
cyril	cyril
judith	judith
cie	cía
carol	carol
promenade	paseo
rita	rita
dupont	dupont
avancer	avanzar
séparer	separar
massive	massive
online	online
visites	visitas
atteignent	alcanzan
albanais	albanés
head	head
pub	pub
portland	portland
acceptée	aceptada
prétexte	pretexto
julius	julius
mitterrand	mitterrand
sacrifice	sacrificio
socialisme	socialismo
difficilement	difícilmente
adrian	adrian
dialecte	dialecto
juventus	juventus
genèse	génesis
guerriers	guerreros
recteur	rector
sabre	sabre
offert	ofrecido
loups	lobos
damien	damien
frise	frisia
itinéraire	itinerario
itinéraire	ruta
pertinence	relevancia
complexité	complejidad
zhang	zhang
rechercher	buscar
fondations	fundaciones
béatrice	beatriz
jonas	jonas
slalom	slalom
natal	natal
préside	preside
tabs	tabs
antoinette	antoinette
prestigieux	prestigioso
hector	héctor
bienvenue	bienvenido
shaw	shaw
accompagner	acompañar
sortent	salen
incline	inclina
papiers	papeles
pêcheurs	pescadores
villers	villers
vecteur	vector
créent	crean
grange	granero
break	break
choisis	escoge
éclate	estalla
statuts	estatutos
malcolm	malcolm
fonda	fonda
dommage	lástima
slovaque	eslovaco
moldavie	moldavia
nationalistes	nacionalistas
armés	armados
script	guión
script	script
accordé	concedido
détention	detención
ward	ward
bastia	bastia
matthieu	mateo
chaux	cal
textile	textil
pionnier	pionero
assise	sentada
wehrmacht	wehrmacht
mystique	místico
mystique	mística
when	when
zoo	zoológico
lotus	lotus
fischer	fischer
innocent	inocente
parking	aparcamiento
trek	trek
assurant	asegurando
leclerc	leclerc
boule	bola
fabriqué	fabricado
comportements	comportamientos
emprisonné	encarcelado
leçons	lecciones
cardinaux	cardenales
locomotives	locomotoras
assises	sentadas
paraguay	paraguay
oran	orán
ruth	ruth
expressions	expresiones
tactique	táctica
balzac	balzac
originaux	originales
vera	vera
boeing	boeing
newton	newton
armstrong	armstrong
sauvé	salvado
récompensé	recompensado
sauve	salva
alonso	alonso
phrases	frases
jambes	piernas
cracovie	cracovia
transit	tránsito
sensibilité	sensibilidad
épidémie	epidemia
soulèvement	levantamiento
possessions	posesiones
atomique	atómico
oreille	oreja
oreille	oído
gil	gil
défenseurs	defensores
ambiance	ambiente
céréales	cereales
pts	pts
servait	servía
confirmer	confirmar
diminuer	disminuir
castle	castle
intermédiaires	intermediarios
obstacles	obstáculos
délégués	delegados
rabat	rabat
demanda	preguntó
cherbourg	cherburgo
habsbourg	habsburgo
équipés	equipados
sociologue	sociólogo
ajoutent	agregan
voté	votado
chalon	chalon
offrent	ofrecen
anatomie	anatomía
voltaire	voltaire
rogers	rogers
occurrence	ocurrencia
rubrique	rúbrica
typiquement	típicamente
vérification	verificación
renouvellement	renovación
corrèze	corrèze
plumes	plumas
entrepreneur	empresario
martín	martín
généalogie	genealogía
oricon	oricon
jung	jung
jamie	jamie
psychanalyse	psicoanálisis
manœuvre	maniobra
winter	winter
pompiers	bomberos
vagues	olas
combien	cuánto
népal	nepal
cérémonies	ceremonias
martyr	mártir
conversation	conversación
bactéries	bacterias
désignée	designada
véronique	verónica
biographies	biografías
chuck	chuck
discographie	discografía
faillite	quiebra
kyoto	kioto
invisible	invisible
cambodge	camboya
réacteur	reactor
départementaux	departamentales
standards	estándares
dossiers	carpetas
panthéon	panteón
légumes	verduras
niger	níger
prose	prosa
vain	vano
anthropologie	antropología
dupuis	dupuis
weber	weber
cédric	cedric
intervalle	intervalo
quarantaine	cuarentena
concurrents	competidores
symptômes	síntomas
estimations	estimaciones
jackie	jackie
scope	scope
dissous	disuelto
réplique	réplica
staline	stalin
finissent	terminan
ban	ban
azerbaïdjan	azerbaiyán
arcs	arcos
tgv	tgv
walsh	walsh
anecdote	anécdota
directeurs	directores
cessé	cesado
canard	pato
monstres	monstruos
bits	bits
chirac	chirac
panorama	panorama
icône	icono
progressif	progresivo
garnier	garnier
size	size
osaka	osaka
oreilles	orejas
patrouille	patrulla
aoc	aoc
jadis	antaño
zagreb	zagreb
creek	creek
dauphiné	dauphiné
vaud	vaud
fusée	cohete
prieur	prior
grès	arenisca
notation	notación
prairies	praderas
bennett	bennett
permettrait	permitiría
rendement	rendimiento
requêtes	consultas
reynolds	reynolds
obtiennent	consiguen
obtiennent	obtienen
canvas	canvas
annexion	anexión
brad	brad
jolie	guapa
bénéfice	beneficio
grandi	crecido
colmar	colmar
pourront	podrán
electric	electric
bassins	cuencas
leroy	leroy
athletic	athletic
amélie	amélie
évangile	evangelio
tapis	alfombras
solides	sólidos
marius	marius
entiers	enteros
pratiquer	practicar
wall	wall
exposée	expuesta
cahier	cuaderno
spécifiquement	específicamente
permanence	permanencia
hélicoptère	helicóptero
déplacé	desplazado
attribuer	asignar
saxophone	saxofón
drive	drive
willy	willy
marron	marrón
josh	josh
crédits	créditos
battue	golpeada
heavy	heavy
avocats	abogados
cia	cia
utc	utc
exécuter	ejecutar
illustrer	ilustrar
constamment	constantemente
transporter	transportar
glacier	glaciar
champignons	hongos
champignons	setas
attractions	atracciones
coton	algodón
artois	artois
extinction	extinción
trous	agujeros
implication	implicación
consécutive	consecutiva
déplace	mueve
tyler	tyler
façades	fachadas
grains	granos
résistants	resistentes
sensibles	sensibles
birmingham	birmingham
primes	primas
beatles	beatles
kenneth	kenneth
ellen	ellen
herbe	hierba
maximilien	maximiliano
manitoba	manitoba
fabien	fabien
dépendance	dependencia
nassau	nassau
communiquer	comunicarse
détachement	destacamento
observateur	observador
substances	sustancias
bravo	bravo
curtis	curtis
sibérie	siberia
investissements	inversiones
jouait	jugaba
interaction	interacción
wisconsin	wisconsin
trophées	trofeos
terrasse	terraza
herman	herman
maturité	madurez
damas	damasco
financer	financiar
lima	lima
désaccord	desacuerdo
infini	infinito
unicode	unicode
boucher	carnicero
partagent	comparten
lin	lino
crâne	cráneo
guitares	guitarras
régent	regente
assis	sentado
guerrier	guerrero
visiter	visitar
agences	agencias
rus	rus
bresse	bresse
angela	ángela
détenus	detenidos
becker	becker
have	have
dresde	dresde
ajaccio	ajaccio
découverts	descubiertos
ent	ent
cycles	ciclos
quantités	cantidades
iron	iron
missionnaires	misioneros
correction	corrección
séparée	separada
laffont	laffont
détection	detección
manufacture	manufactura
owen	owen
nevers	nevers
girard	girard
effondrement	colapso
days	days
jesse	jesse
htm	htm
porteur	portador
génocide	genocidio
réalisateurs	reveladores
octave	octavio
rapprocher	acercar
définitif	definitivo
orthodoxes	ortodoxos
disait	decía
edwin	edwin
disciple	discípulo
atteignant	alcanzando
exceptionnel	excepcional
employée	empleada
progressive	progresiva
crimée	crimea
wade	wade
faubourg	faubourg
directive	directiva
produites	producidas
béarn	bearn
rat	rata
hello	hello
luca	luca
motion	motion
denise	denise
signaux	señales
bretons	bretones
coat	coat
développent	desarrollan
mann	mann
angola	angola
passionné	apasionado
grottes	cuevas
réflexions	reflexiones
tristan	tristán
appellent	llaman
millénaire	milenio
romance	romance
hauteurs	alturas
supporters	hinchas
vastes	vastas
run	run
filtre	filtro
trahison	traición
laboratoires	laboratorios
alignbars	alignbars
sénégalais	senegalés
lucy	lucy
parfaite	perfecta
het	het
gers	gers
avancé	avanzado
théâtres	teatros
joël	joel
bio	bio
onzième	undécimo
sri	sri
happy	happy
étiquette	etiqueta
acquise	adquirida
fontaines	fuentes
villiers	villiers
frappé	golpeado
montana	montana
médiation	mediación
byzantine	bizantina
mystérieux	misterioso
berg	berg
aristote	aristóteles
billet	billete
dateformat	dateformat
journalisme	periodismo
maïs	maíz
aliments	alimentos
chen	chen
human	human
atlantic	atlantic
aides	ayudas
figurer	figurar
accompagnement	acompañamiento
agriculteurs	agricultores
céline	celine
see	see
douai	douai
adaptations	adaptaciones
rage	rabia
répétition	repetición
curie	curie
affirmer	afirmar
sanction	sanción
far	far
élévation	elevación
quantique	cuántica
recommandation	recomendación
réparation	reparación
consécration	consagración
régis	regulados
jenny	jenny
klaus	klaus
calgary	calgary
découvrent	descubren
bart	bart
nid	nido
motivation	motivación
spa	spa
croisière	crucero
hassan	hassan
clarke	clarke
confirmation	confirmación
régence	regencia
diffuser	difundir
allez	vamos
baptême	bautismo
hal	hal
narbonne	narbonne
batteries	baterías
orlando	orlando
pâques	pascua
appliqué	aplicado
croisés	cruzados
baptisée	bautizada
ponte	ponte
ariège	ariège
abolition	abolición
chelsea	chelsea
quimper	quimper
mad	mad
ruine	ruina
senior	senior
hypothèses	hipótesis
olive	oliva
duncan	duncan
participations	participaciones
plateaux	bandejas
sorcière	bruja
mauvaises	malas
roch	roch
porche	porche
sagesse	sabiduría
décorations	decoraciones
montmorency	montmorency
wells	wells
comparable	comparable
jake	jake
vaincu	derrotado
vaincu	vencido
phillips	phillips
liu	liu
duke	duke
descriptions	descripciones
libertaire	libertario
immédiat	inmediato
transformations	transformaciones
camarades	camaradas
brandebourg	brandeburgo
montparnasse	montparnasse
attaquent	atacan
valois	valois
chats	gatos
commençant	comenzando
abréviation	abreviatura
géants	gigantes
exploitations	explotaciones
sharon	sharon
delle	delle
lapin	conejo
gene	gene
reportage	reportaje
logistique	logística
there	there
rer	rer
laure	laura
laure	laure
banquier	banquero
cri	cri
silésie	silesia
portable	portátil
true	true
insigne	insignia
god	god
héroïne	heroína
indian	indian
horaires	horarios
gabrielle	gabrielle
pirate	pirata
mélodie	melodía
lentement	despacito
cohérence	coherencia
nageur	nadador
lane	lane
judo	judo
ghana	ghana
catch	catch
pam	pam
citroën	citroën
voûtes	bóvedas
kayak	kayak
aérodrome	aeródromo
collier	collar
navette	lanzadera
fall	fall
casque	casco
poznań	poznań
molécule	molécula
camion	camión
exige	requiere
exige	exige
consécutives	consecutivos
diminue	disminuye
beethoven	beethoven
exprimé	expresado
provoquant	provocando
tribunaux	tribunales
bruins	bruins
détaillée	detallada
mason	mason
prêts	préstamos
rebonds	rebotes
pratiqué	practicado
class	class
reed	reed
évacuation	evacuación
volontairement	voluntariamente
pertinent	relevante
situent	localizan
temporairement	temporalmente
télescope	telescopio
annexes	anexos
cole	cole
justify	justify
armistice	armisticio
falaise	acantilado
rectangulaire	rectangular
prophète	profeta
brillant	brillante
deep	deep
trouvaient	encontraban
approvisionnement	abastecimiento
drapeaux	banderas
forges	forges
notaire	notario
autochtones	indígenas
produisant	produciendo
larousse	larousse
vinci	vinci
transmettre	transmitir
exact	exacto
indépendamment	independientemente
serveurs	servidores
cloître	claustro
recensements	censos
excès	exceso
significative	significativo
significative	significativa
régulation	regulación
respecte	respeta
carton	cartón
certificat	certificado
infrastructure	infraestructura
modernisation	modernización
violente	violenta
âmes	almas
dictature	dictadura
cloches	campanas
continua	continuó
hunt	hunt
inédits	inéditos
fbi	fbi
maryland	maryland
marocaine	marroquí
ten	ten
naufrage	naufragio
morin	morin
séances	sesiones
singulier	singular
fiscalité	fiscalidad
garantie	garantía
reliefs	relieves
jeremy	jeremy
bouclier	escudo
jambe	pierna
amical	amistoso
mobilité	movilidad
déterminé	determinado
résister	resistir
semblables	similares
her	her
pink	pink
bouteille	botella
absolu	absoluto
vache	vaca
trouvés	encontrados
artisanat	artesanía
exclusion	exclusión
birmanie	birmania
mariages	bodas
folklore	folclore
nuages	nubes
meurtres	asesinatos
livré	entregado
obligations	obligaciones
obligations	bonos
pharmacie	farmacia
price	price
strauss	strauss
basés	basados
hydraulique	hidráulica
burton	burton
adresses	direcciones
rda	rda
dakota	dakota
guides	guías
réorganisation	reorganización
pistolet	pistola
donnera	dará
partagée	compartida
stand	stand
frégate	fragata
poules	gallinas
préhistoire	prehistoria
renoncer	renunciar
fisher	fisher
boîtes	cajas
our	our
prestation	prestación
glenn	glenn
alpine	alpina
after	after
interdire	prohibir
béziers	béziers
attiré	atraído
héritière	heredera
conservées	conservados
monastères	monasterios
never	never
diana	diana
manières	modales
facebook	facebook
southern	southern
reproche	reproche
sergueï	serguéi
javier	javier
vivait	vivía
secrétariat	secretaría
boire	beber
complété	completado
years	years
déc	dic
gènes	genes
pins	pinos
clube	clube
foster	foster
chroniqueur	columnista
reptiles	reptiles
martyrs	mártires
gervais	gervais
scaleminor	scaleminor
cendres	cenizas
rwanda	ruanda
mtv	mtv
poitrine	pecho
couvrant	cubriendo
assemblées	asambleas
pot	pot
pot	maceta
posséder	poseer
berkeley	berkeley
séquences	secuencias
imprimé	impreso
suffrage	sufragio
communisme	comunismo
brie	brie
stat	stats
barthélemy	bartolomé
autobus	autobuses
jin	jin
mademoiselle	señorita
présentées	presentadas
qatar	qatar
survivre	sobrevivir
déportation	deportación
chantal	chantal
couper	cortar
bourgeoisie	burguesía
humidité	humedad
mongolie	mongolia
calvaire	calvario
expliqué	explicado
fréquent	frecuentes
confirmée	confirmada
cao	cao
giacomo	giacomo
iranien	iraní
tsar	zar
inondations	inundaciones
maintenu	mantenido
supporter	soportar
carthage	cartago
mortes	muertas
taches	manchas
gouverneurs	gobernadores
protégées	protegidas
démons	demonios
call	call
ein	ein
fluide	fluido
orale	oral
hanovre	hannover
flamande	flamenca
insérer	insertar
virgin	virgin
parlée	hablada
options	opciones
nuremberg	nuremberg
chutes	caídas
électrons	electrones
fontenay	fontenay
éruption	erupción
boss	boss
enrico	enrico
janet	janet
intersection	intersección
comparer	comparar
sacha	sacha
croyances	creencias
pardon	perdón
fidélité	fidelidad
voyager	viajar
protéine	proteína
iris	iris
annoncée	anunciada
façons	maneras
concentre	concentra
équations	ecuaciones
latéral	lateral
abd	abd
asile	asilo
montbéliard	montbéliard
enseignements	enseñanzas
terrorisme	terrorismo
fixer	fijar
héritiers	herederos
uranium	uranio
poussé	empujado
semblait	parecía
pompidou	pompidou
isolé	aislado
aubin	aubin
adolescents	adolescentes
dégradation	degradación
sullivan	sullivan
pile	pila
œuf	huevo
ruban	cinta
prononcer	pronunciar
rigueur	rigor
chanté	cantado
lunaire	lunar
néolithique	neolítico
rex	rex
prendra	tomará
enseigner	enseñar
vieilles	viejas
verne	verne
madison	madison
platon	platón
exceptions	excepciones
chi	chi
yvonne	yvonne
cambrai	cambrai
rightarm	rightarm
odeur	olor
annuellement	anualmente
leaders	líderes
esclave	esclavo
bristol	bristol
supports	soportes
pionniers	pioneros
