préférence	präferenz
spécifiquement	spezifisch
déplacé	verschoben
saxophone	saxophon
drive	drive
willy	willy
josh	josh
bombes	bomben
territorial	territorialen
crédits	mittel
heavy	heavy
avocats	rechtsanwälte
avocats	anwälte
cia	cia
utc	utc
exécuter	ausführen
illustrer	illustrieren
porta	porta
transporter	transportieren
glacier	gletscher
prolongation	verlängerung
époques	epochen
champignons	pilze
eduardo	eduardo
coton	baumwolle
artois	artois
insertion	einfügen
extinction	erlöschen
extinction	aussterben
trous	löcher
déplace	bewegt
tyler	tyler
façades	fassaden
portion	portion
grains	körner
résistants	resistent
sensibles	sensiblen
sensibles	empfindlich
birmingham	birmingham
primes	prämien
beatles	beatles
lame	klinge
kenneth	kenneth
photographique	fotografische
ellen	ellen
evt	evt
herbe	gras
maximilien	maximilian
manitoba	manitoba
fabien	fabien
dépendance	abhängigkeit
nassau	nassau
communiquer	kommunizieren
détachement	abordnung
observateur	beobachter
substances	substanzen
prétend	behauptet
bravo	bravo
curtis	curtis
contestation	anfechtung
sibérie	sibirien
investissements	investitionen
interaction	interaktion
wisconsin	wisconsin
trophées	trophäen
terrasse	terrasse
herman	herman
maturité	reife
damas	damaskus
financer	finanzieren
lima	lima
désaccord	uneinigkeit
infini	unendlichkeit
utc+	utc+
unicode	unicode
répondu	beantwortet
boucher	metzger
lin	leinen
calcio	calcio
crâne	schädel
guitares	gitarren
assis	sitzend
guerrier	krieger
visiter	besuchen
agences	agenturen
rus	rus
bresse	bresse
angela	angela
détenus	insassen
détenus	häftlinge
becker	becker
have	have
dresde	dresden
ajaccio	ajaccio
cycles	zyklen
quantités	mengen
iron	iron
missionnaires	missionare
correction	korrektur
laffont	laffont
détection	erkennung
détection	nachweis
manufacture	manufaktur
owen	owen
nevers	nevers
girard	girard
effondrement	zusammenbruch
effondrement	kollaps
days	days
jesse	jesse
htm	htm
porteur	träger
génocide	völkermord
mas	mas
réalisateurs	regisseure
octave	octave
éditorial	leitartikel
définitif	endgültig
définitif	endgültigen
orthodoxes	orthodoxen
edwin	edwin
exceptionnel	außergewöhnlichen
progressive	schrittweise
edouard	edouard
crimée	krim
wade	wade
spirituelle	spirituelle
faubourg	faubourg
directive	direktive
directive	richtlinie
béarn	béarn
rat	ratte
hello	hello
luca	luca
motion	motion
croiseur	kreuzer
denise	denise
signaux	signale
coat	coat
atomes	atome
cure	kur
angola	angola
passionné	leidenschaftlich
grottes	höhlen
réflexions	reflexionen
tristan	tristan
millénaire	jahrtausend
run	run
trahison	verrat
laboratoires	laboratorien
lucy	lucy
het	het
gers	gers
avancé	fortgeschritten
joël	joël
monnaies	währungen
bio	bio
fresque	fresko
onzième	elften
onzième	elfte
sri	sri
happy	happy
villiers	villiers
montana	montana
médiation	vermittlung
byzantine	byzantinischen
radios	radios
aristote	aristoteles
billet	ticket
billet	schein
journalisme	journalismus
maïs	mais
étudiante	studentin
chen	chen
human	human
atlantic	atlantic
aides	beihilfen
américa	américa
accompagnement	begleitung
agriculteurs	landwirte
céline	celine
indices	indizes
douai	douai
adaptations	anpassungen
rage	tollwut
répétition	wiederholung
curie	curie
far	far
ramener	zurückbringen
recommandation	empfehlung
réparation	reparatur
consécration	weihe
jenny	jenny
klaus	klaus
calgary	calgary
bart	bart
nid	nest
motivation	motivation
spa	spa
croisière	kreuzfahrt
hassan	hassan
clarke	clarke
confirmation	bestätigung
régence	regentschaft
diffuser	verbreiten
baptême	taufe
hal	hal
narbonne	narbonne
leon	leon
batteries	batterien
orlando	orlando
dinamo	dinamo
pâques	ostern
ponte	ponte
ariège	ariège
abolition	abschaffung
chelsea	chelsea
quimper	quimper
mad	mad
ruine	ruine
senior	senior
hypothèses	annahmen
olive	olive
duncan	duncan
participations	beteiligungen
sorcière	hexe
sagesse	weisheit
helena	helena
compatriote	landsmann
montmorency	montmorency
wells	wells
comparable	vergleichbar
jake	jake
vaincu	besiegt
phillips	phillips
défensif	defensive
liu	liu
duke	duke
descriptions	beschreibungen
libertaire	libertären
camarades	kameraden
brandebourg	brandenburg
tower	tower
montparnasse	montparnasse
valois	valois
rachat	übernahme
deportivo	deportivo
chats	katzen
géants	riesen
exploitations	betriebe
sharon	sharon
delle	delle
lapin	kaninchen
gene	gene
reportage	reportage
etienne	etienne
logistique	logistik
there	there
rer	rer
laure	laure
banquier	bankier
silésie	schlesien
true	true
insigne	abzeichen
god	god
héroïne	heroin
indian	indian
gabrielle	gabrielle
pirate	pirat
mélodie	melodie
lentement	langsam
cohérence	konsistenz
brigadier	brigadier
nageur	schwimmer
lane	lane
judo	judo
ghana	ghana
catch	catch
pam	pam
tardive	späte
citroën	citroën
kayak	kajak
aérodrome	flugplatz
collier	halskette
navette	shuttle
casque	kopfhörer
poznań	posen
molécule	molekül
camion	lkw
consécutives	aufeinanderfolgenden
beethoven	beethoven
exprimé	geäußert
tribunaux	gerichte
bruins	bruins
mason	mason
prêts	darlehen
rebonds	rebounds
ill	ill
pratiqué	geübt
class	class
reed	reed
évacuation	evakuierung
joel	joel
temporairement	vorübergehend
télescope	teleskop
annexes	anhänge
cole	cole
justify	justify
armistice	waffenstillstand
roma	roma
rectangulaire	rechteckig
prophète	prophet
deep	deep
approvisionnement	versorgung
surveiller	überwachen
drapeaux	flaggen
forges	forges
notaire	notar
souterrain	unterirdischen
autochtones	einheimischen
rapprochement	annäherung
larousse	larousse
vinci	vinci
transmettre	weiterleiten
serveurs	server
recensements	zählungen
significative	signifikant
ira	ira
régulation	regulierung
respecte	respektiere
carton	karton
certificat	zertifikat
infrastructure	infrastruktur
modernisation	modernisierung
murder	murder
sexuel	sexuell
âmes	seelen
dictature	diktatur
cloches	glocken
hunt	hunt
fbi	fbi
maryland	maryland
marocaine	marokkanischen
ten	ten
naufrage	schiffbruch
morin	morin
singulier	singular
fiscalité	besteuerung
fiscalité	steuern
garantie	garantie
reliefs	reliefs
jeremy	jeremy
bouclier	schild
jambe	bein
comic	comic
amical	freundlich
emile	emile
mobilité	mobilität
déterminé	bestimmt
résister	widerstehen
her	her
bouteille	flasche
vache	kuh
artisanat	handwerk
exclusion	ausschluss
appels	anrufe
birmanie	birma
mariages	hochzeiten
folklore	folklore
nuages	wolken
meurtres	morde
livré	geliefert
obligations	pflichten
pharmacie	apotheke
price	price
strauss	strauss
hydraulique	hydraulik
hydraulique	hydraulische
burton	burton
adresses	adressen
rda	ddr
dakota	dakota
réorganisation	reorganisation
collègue	kollege
pistolet	pistole
stand	stand
frégate	fregatte
poules	hühner
fisher	fisher
géologique	geologische
our	our
glenn	glenn
alpine	alpine
visuelle	visuelle
after	after
interdire	verbieten
béziers	béziers
attiré	angezogen
héritière	erbin
monastères	klöster
never	never
diana	diana
manières	manieren
facebook	facebook
southern	southern
reproche	vorwurf
javier	javier
renonce	verzichtet
secrétariat	geschäftsstelle
secrétariat	sekretariat
constituante	verfassungsgebenden
boire	trinken
years	years
déc	dez
gènes	gene
pins	pins
clube	clube
foster	foster
chroniqueur	kolumnist
reptiles	reptilien
martyrs	märtyrer
gervais	gervais
cendres	asche
rwanda	ruanda
mtv	mtv
poitrine	brust
italia	italia
poursuivi	verklagt
pot	topf
posséder	besitzen
berkeley	berkeley
séquences	sequenzen
imprimé	gedruckt
benoit	benoit
communisme	kommunismus
brie	brie
stat	stat
barthélemy	barthélemy
autobus	busse
jin	jin
mademoiselle	fräulein
qatar	qatar
autrichiens	österreicher
déportation	deportation
chantal	chantal
couper	ausschneiden
couper	schneiden
humidité	feuchtigkeit
mongolie	mongolei
calvaire	kalvarienberg
expliqué	erklärt
expliqué	erläutert
fréquent	häufig
cao	cao
giacomo	giacomo
tsar	zar
inondations	überschwemmungen
supporter	aushalten
supporter	ertragen
carthage	karthago
taches	flecken
gouverneurs	gouverneure
vint	kam
imposé	auferlegt
imposé	besteuert
démons	dämonen
call	call
hanovre	hannover
virgin	virgin
options	optionen
nuremberg	nürnberg
électrons	elektronen
fontenay	fontenay
entretient	unterhält
boss	boss
enrico	enrico
janet	janet
intersection	schnittpunkt
comparer	vergleichen
sacha	sascha
fidélité	treue
protéine	protein
iris	iris
équations	gleichungen
latéral	seitlichen
abd	abd
asile	asyl
montbéliard	montbéliard
terrorisme	terrorismus
héritiers	erben
uranium	uran
poussé	gedrängt
semblait	schien
pompidou	pompidou
surmonté	überwunden
isolé	isoliert
aubin	aubin
dégradation	abbau
sullivan	sullivan
pile	stapel
œuf	ei
rallyes	rallyes
prononcer	aussprechen
rigueur	strenge
chanté	gesungen
néolithique	jungsteinzeit
rex	rex
verne	verne
madison	madison
platon	plato
exceptions	ausnahmen
chi	chi
yvonne	yvonne
productrice	produzentin
cambrai	cambrai
odeur	geruch
esclave	sklave
bristol	bristol
pionniers	pioniere
signalisation	beschilderung
compatible	kompatibel
disciples	jünger
prestations	leistungen
endurance	ausdauer
viktor	viktor
hell	hell
fréquences	frequenzen
hit	hit
novi	novi
nationalisme	nationalismus
raw	raw
inclure	einschließen
correct	korrekt
freud	freud
amende	geldstrafe
manteau	mantel
torres	torres
dense	dicht
thématiques	thematischen
thématiques	thematische
affirmation	behauptung
gloria	gloria
privilèges	privilegien
danseur	tänzer
dog	dog
dominé	dominiert
vampires	vampire
dylan	dylan
barres	stäbe
grasset	grasset
naissances	geburten
philosophes	philosophen
vogue	vogue
vincennes	vincennes
instances	instanzen
gains	gewinne
blonde	blondine
agen	agen
edmonton	edmonton
volcanique	vulkanischen
améliorations	verbesserungen
harper	harper
kiss	kiss
india	india
palerme	palermo
astronomique	astronomische
douzième	zwölften
détermination	entschlossenheit
demandeur	antragsteller
démontré	nachgewiesen
vic	vic
xix	xix
exploiter	ausnutzen
lucky	lucky
nièce	nichte
directions	richtungen
montfort	montfort
auberge	herberge
lindsay	lindsay
rythmique	rhythmische
storm	storm
couronné	gekrönt
échantillon	probe
échantillon	stichprobe
dorothy	dorothy
couvrir	abdecken
gaspard	gaspard
mercier	mercier
federico	federico
pousser	schieben
améliore	verbessert
short	short
stades	stadien
russo	russo
envisage	erwägt
padoue	padua
algèbre	algebra
protecteur	beschützer
confrontation	konfrontation
infirmière	krankenschwester
eddy	eddy
bird	bird
here	here
only	only
fièvre	fieber
déficit	defizit
habité	bewohnt
danses	tänze
maya	maya
protège	schützt
hawks	hawks
african	african
protagonistes	protagonisten
iowa	iowa
marée	gezeiten
pons	pons
hughes	hughes
bars	bars
explicitement	explizit
pavel	pavel
intime	intim
thèses	thesen
rumeurs	gerüchte
caractérisé	charakterisiert
locomotive	lokomotive
tournai	tournai
mobilisation	mobilisierung
expérimental	experimentelle
expérimental	experimentell
soumettre	einreichen
socio	sozio
wii	wii
coutume	gewohnheit
pompe	pumpe
trompette	trompete
causé	verursacht
socorro	socorro
civilisations	zivilisationen
formats	formate
sue	sue
dia	dia
dynamo	dynamo
surpris	überrascht
adélaïde	adelaide
westphalie	westfalen
critiqué	kritisiert
interpréter	interpretieren
opposés	gegensätze
gestionnaire	manager
sweet	sweet
fournier	fournier
alejandro	alejandro
tchad	tschad
stop	stop
gorges	schluchten
angels	angels
particularités	besonderheiten
australian	australian
valable	gültig
céder	abtreten
christie	christie
meeting	meeting
again	again
utrecht	utrecht
orienté	orientiert
collèges	colleges
mortalité	sterblichkeit
providence	providence
montauban	montauban
rossi	rossi
interactions	interaktionen
racheté	erlöst
courtrai	kortrijk
estimation	schätzung
denver	denver
autobiographie	autobiografie
nazaire	nazaire
vallon	vallon
gardé	bewacht
morning	morning
calculs	berechnungen
yang	yang
jill	jill
fleury	fleury
masses	massen
aimer	lieben
facultés	fakultäten
riga	riga
déposée	eingereicht
issn	issn
emi	emi
list	list
fantômes	geister
contreforts	ausläufer
normands	normannen
détaillé	detailliert
détaillé	ausführlich
écrans	bildschirme
rca	rca
rebelle	rebell
honoraire	ehrenhalber
commémorative	festschrift
ambition	ehrgeiz
pov	pov
infection	infektion
gabon	gabun
tester	testen
she	she
interprétations	interpretationen
rhétorique	rhetorik
tracy	tracy
coran	koran
kane	kane
derek	derek
comités	ausschüsse
taxi	taxi
centimètres	zentimeter
carcassonne	carcassonne
fortifiée	befestigte
gautier	gautier
powell	powell
violet	violett
edo	edo
formulation	formulierung
cantal	cantal
churchill	churchill
pension	pension
want	want
lavoir	waschhaus
milwaukee	milwaukee
milliard	milliarde
pib	bip
ravitaillement	nachschub
argile	ton
joão	joão
indianapolis	indianapolis
coq	hahn
violents	gewalttätige
afc	afc
trompe	irre
imdb	imdb
subdivisions	unterteilungen
commissions	provisionen
commissions	kommissionen
recette	rezept
criminel	verbrecher
grenier	dachboden
maquis	macchia
vérone	verona
trail	trail
lectures	lesungen
charme	charme
sabine	sabine
lgbt	lgbt
prospérité	wohlstand
take	take
développeur	entwickler
multiplication	multiplikation
scénarios	szenarien
initié	initiiert
initié	eingeleitet
compression	kompression
fibres	fasern
natif	native
maghreb	maghreb
billie	billie
ratio	verhältnis
émet	emittiert
beyrouth	beirut
jamaïque	jamaika
douzaine	dutzend
guido	guido
conseille	berät
émetteur	emittenten
kyle	kyle
pochette	cover
vita	vita
fiable	zuverlässig
grégorien	gregorianischen
dante	dante
rochers	felsen
boyer	boyer
nécropole	nekropole
rejet	ablehnung
annulé	abgesagt
annulé	abgebrochen
michele	michele
reproduire	reproduzieren
morphologie	morphologie
bmw	bmw
kenny	kenny
domenico	domenico
insurgés	aufständischen
gap	gap
favorise	fördert
rituel	ritual
rolling	rolling
minéraux	mineralien
masson	masson
apollo	apollo
gravé	graviert
survécu	überlebt
palmer	palmer
hope	hope
sedan	sedan
justifie	rechtfertigt
bang	bang
encyclopedia	encyclopedia
réalisme	realismus
paula	paula
aubert	aubert
compagne	gefährtin
robots	roboter
contraste	kontrast
mouton	schaf
genus	genus
levant	levant
visuel	visuelle
intercommunale	interkommunalen
migration	migration
memphis	memphis
edmund	edmund
five	five
tranches	tranchen
curieux	neugierig
potentiellement	potentiell
potentiellement	potenziell
prairie	wiese
vanessa	vanessa
dumont	dumont
périgord	périgord
calculer	berechnen
appartements	ferienwohnungen
dec	dec
évite	vermeidet
cousine	cousine
slogan	slogan
leonardo	leonardo
chocolat	schokolade
signalé	bekanntgegeben
signalé	gemeldet
unanimité	einstimmigkeit
trans	trans
coefficient	koeffizient
vertus	tugenden
extrémités	spitzen
hygiène	hygiene
rites	riten
mutation	mutation
divin	göttlich
lara	lara
ghost	ghost
abattu	erschossen
slovène	slowenisch
nikolaï	nikolai
montreuil	montreuil
crash	absturz
colette	colette
nevada	nevada
existants	bestehende
consommateurs	verbraucher
regina	regina
bétail	vieh
défilé	parade
promesse	versprechen
commercialisé	vermarktet
gibson	gibson
drôle	lustig
ion	ion
butte	butte
croyance	glaube
résurrection	auferstehung
lopez	lopez
rémi	rémi
brive	brive
sahara	sahara
composer	komponieren
milice	miliz
close	close
érosion	erosion
injection	injektion
meubles	möbel
adjectif	adjektiv
pivot	pivot
stefano	stefano
nièvre	nièvre
centré	zentriert
révéler	offenbaren
samantha	samantha
descendre	aussteigen
licencié	entlassen
randy	randy
intellectuel	intellektuellen
absent	abwesend
laine	wolle
dolby	dolby
litres	liter
lna	nla
homosexualité	homosexualität
philipp	philipp
supplément	zuschlag
macdonald	macdonald
florian	florian
gran	gran
richardson	richardson
sulpice	sulpice
crème	sahne
crème	creme
planification	planung
collision	kollision
henriette	henriette
ellis	ellis
newman	newman
parodie	parodie
modalités	modalitäten
pensées	gedanken
richmond	richmond
serra	serra
travailliste	labour
terroriste	terrorist
otages	geiseln
indications	indikationen
warriors	warriors
alfa	alfa
papouasie	papua
beat	beat
handicap	behinderung
mecklembourg	mecklenburg
lycées	gymnasien
continents	kontinente
ger	ger
gauthier	gauthier
renée	renée
accélération	beschleunigung
fanny	fanny
formules	formeln
sylvia	sylvia
some	some
clerc	kleriker
dignité	würde
boisson	getränk
luna	luna
vikings	wikinger
moïse	moses
préparé	vorbereitet
ouragan	hurrikan
tonnerre	donner
shérif	sheriff
périgueux	périgueux
prolonge	verlängert
money	money
déclarée	deklariert
rfc	rfc
habitats	lebensräume
enseigné	gelehrt
clarinette	klarinette
connor	connor
saxon	saxon
bradley	bradley
faim	hunger
résume	fasst
refuser	ablehnen
décorateur	dekorateur
processeur	prozessor
lombard	lombard
hardcore	hardcore
nuage	wolke
doigt	finger
scission	spaltung
fusionné	verschmolzen
germaine	germaine
pause	pause
heinz	heinz
percée	durchbruch
lucius	lucius
ashley	ashley
tendre	zart
pneus	reifen
toxique	giftig
perspectives	ausblick
into	into
luther	luther
honda	honda
précurseur	vorläufer
disposait	verfügte
ottomans	osmanen
devil	devil
vietnam	vietnam
kerry	kerry
barons	barone
flamme	flamme
pèlerins	pilger
trésorier	schatzmeister
apocalypse	apokalypse
tramways	straßenbahnen
seven	seven
individuels	einzelnen
plessis	plessis
bouddhiste	buddhistischen
flammes	flammen
roosevelt	roosevelt
instrumental	instrumental
doug	doug
océanique	ozeanische
arctique	arktis
aviv	aviv
penguins	penguins
approuvé	genehmigt
lampe	lampe
biblique	biblischen
acadie	akadien
mega	mega
ulrich	ulrich
manipulation	handhabung
menacé	bedroht
coopérative	genossenschaft
nourrir	füttern
pacha	pascha
stanford	stanford
descartes	descartes
collaboré	zusammengearbeitet
martha	martha
proclamation	proklamation
chauffage	heizung
globes	globen
féministe	feministische
tragique	tragisch
sexualité	sexualität
earl	earl
rebecca	rebecca
miel	honig
exportation	export
duval	duval
claudio	claudio
estuaire	mündung
facilité	leichtigkeit
bombardier	bombardier
abu	abu
monopole	monopol
camions	lkw
corpus	corpus
creux	hohl
eugene	eugene
gallica	gallica
mafia	mafia
licences	lizenzen
émeutes	unruhen
genou	knie
jeffrey	jeffrey
déclarant	anmelder
fermer	schließen
turbo	turbo
kingdom	kingdom
faiblesse	schwäche
schleswig	schleswig
beck	beck
perdant	verlierer
elliott	elliott
expérimentale	experimentelle
bagdad	bagdad
causa	causa
moreno	moreno
nanterre	nanterre
couronnement	krönung
edge	edge
giants	giants
commander	bestellen
montmartre	montmartre
podiums	podestplätzen
fusionne	fusioniert
confronté	konfrontiert
confronté	gegenübergestellt
prologue	prolog
wei	wei
codex	codex
réaliste	realistisch
initiales	initialen
gif	gif
adolescent	teenager
coutumes	bräuche
baudouin	baudouin
chang	chang
fonctionnalités	funktionen
dose	dosis
davies	davies
bey	bey
euh	äh
faure	faure
normande	normannische
alba	alba
panne	ausfall
princeton	princeton
para	para
historia	historia
illusion	illusion
conclusions	schlussfolgerungen
réacteurs	reaktoren
ratp	ratp
olympia	olympia
zero	zero
moléculaire	molekulare
lénine	lenin
saturn	saturn
heureusement	glücklicherweise
couture	nähen
terroristes	terroristen
exclu	ausgeschlossen
tell	tell
fossés	gräben
sceau	siegel
interruption	unterbrechung
déportés	deportiert
confluent	zusammenfluss
étangs	teiche
valais	wallis
pdg	ceo
polynésie	polynesien
confession	beichte
implanté	implantiert
détermine	bestimmt
karaté	karate
bilbao	bilbao
tortue	schildkröte
spécimens	exemplare
imagination	phantasie
célébration	feier
chauffeur	fahrer
erich	erich
renforts	verstärkung
ong	nro
taureau	stier
vétérinaire	tierarzt
stèle	stele
récupère	erholt
danielle	danielle
balance	waage
captivité	gefangenschaft
échangé	getauscht
fauteuil	sessel
honduras	honduras
métrique	metrische
fret	fracht
albi	albi
horizontal	horizontal
petra	petra
marteau	hammer
orge	gerste
romano	romano
tampa	tampa
designer	designer
négocier	verhandeln
yards	yards
homer	homer
récupération	rückforderung
exercices	übungen
ethniques	ethnische
insiste	bestehe
dimitri	dimitri
sculpté	geschnitzt
ariane	ariane
tarbes	tarbes
exercé	ausgeübt
offices	ämter
commercialisation	kommerzialisierung
commercialisation	vermarktung
xive	xive
étroit	schmal
persan	persisch
sherlock	sherlock
weimar	weimar
step	step
investi	investiert
châlons	châlons
cabaret	kabarett
déclenchement	auslösung
pareil	dasselbe
compiègne	compiègne
initiatives	initiativen
expertise	fachwissen
expertise	expertise
fiancée	verlobt
fibre	faser
champignon	pilz
intérieurs	inneren
épaule	schulter
maman	mama
classer	einordnen
coteaux	coteaux
écouter	hören
hélicoptères	hubschrauber
walk	walk
garage	garage
précoce	früh
précoce	frühen
sin	sin
mikhaïl	michail
sodium	natrium
bijoux	schmuck
morvan	morvan
laon	laon
livrer	liefern
cartouche	patrone
antioche	antiochia
dreyfus	dreyfus
jurisprudence	rechtsprechung
quint	quint
celtic	celtic
rétablissement	besserung
évasion	flucht
évasion	entweichen
asia	asia
gala	gala
fragile	zerbrechlich
formellement	formell
formellement	formal
vicente	vicente
emil	emil
olivia	olivia
chauve	kahl
chauve	glatze
yannick	yannick
lozère	lozère
templiers	templer
colbert	colbert
paquet	paket
rebaptisé	umbenannt
décharge	entlastung
full	full
crystal	crystal
porsche	porsche
biennale	biennale
légitimité	legitimität
favori	favorit
picasso	picasso
jumeaux	zwillinge
constantine	constantine
selle	sattel
intentions	absichten
autoroutes	autobahnen
made	made
cargo	frachter
tolérance	toleranz
christiane	christiane
lanka	lanka
lily	lily
march	march
maple	maple
lars	lars
balkans	balkan
criminels	kriminelle
téhéran	teheran
rempli	gefüllt
rempli	ausgefüllt
merlin	merlin
livraison	lieferung
emmanuelle	emmanuelle
procession	prozession
phares	scheinwerfer
cuirassé	schlachtschiff
conan	conan
guillermo	guillermo
gfdl	gfdl
orsay	orsay
torture	folter
affiches	plakate
sida	aids
sale	schmutzig
language	language
sox	sox
murat	murat
marquise	marquise
vénétie	venetien
saragosse	saragossa
protectorat	protektorat
oratoire	oratorium
gymnase	fitnessstudio
terra	terra
chase	chase
rss	rss
hostile	feindlich
corneille	corneille
casting	casting
emilio	emilio
divertissement	unterhaltung
stella	stella
lorrain	lorrain
darwin	darwin
evil	evil
nerveux	nervös
joséphine	josephine
rich	rich
calibre	kaliber
syracuse	syrakus
concurrent	wettbewerber
foie	leber
