von	de
sechs	seis
album	álbum
museum	museu
musik	música
gebäude	edifícios
begründung	justificação
wenig	pouco
kreis	círculo
frankreich	frança
pro	pro
thomas	thomas
grund	razão
möglich	possível
thema	tema
rolle	papel
werk	obra
gewünscht	desejado
entwicklung	desenvolvimento
meine	minha
meine	meu
bau	construção
zweite	segunda
frankfurt	frankfurt
stuttgart	stuttgart
stuttgart	estugarda
benutzer	usuários
maria	maria
vater	pai
sehen	ver
frauen	mulheres
buch	livro
provinz	província
dir	te
quellen	fontes
bleibt	permanece
kilometer	quilómetros
stunden	horas
martin	martin
ernst	sério
schule	escola
leipzig	leipzig
https	https
ludwig	luís
archivierung	arquivamento
dorf	vila
dorf	aldeia
robert	robert
tochter	filha
staaten	estados
gesperrt	bloqueado
stark	forte
gewählt	eleito
oben	acima
mann	homem
spielen	jogar
iii	iii
weiß	branco
bar	bar
blieb	permaneceu
county	condado
seiten	páginas
richtung	direção
richtung	direcção
köln	colónia
partei	partido
wer	quem
kleine	pequena
http	http
version	versão
international	internacional
tage	dias
rahmen	moldura
offizielle	oficial
weniger	menos
autor	autor
fußballspieler	futebolista
wirklich	realmente
preis	preço
genau	exatamente
genau	exato
spiel	jogo
teilweise	parcial
burg	castelo
schweiz	suíça
serie	série
erreichte	alcançou
eingesetzt	implantado
verschiedene	vários
jemand	alguém
arbeiten	trabalhar
tag	dia
norden	norte
entstand	originou
literatur	literatura
millionen	milhões
übernahm	assumiu
krieg	guerra
besser	melhor
sprache	língua
zeigt	mostra
danke	obrigado
danke	obrigada
kunst	arte
pdf	pdf
schauspieler	ator
ehemaligen	antiga
hätte	teria
auswahl	seleção
spieler	jogador
links	esquerda
warum	porquê
otto	otto
from	from
konnten	puderam
beschreibung	descrição
online	online
direkt	direto
schriftsteller	escritor
alter	idade
beginn	início
klasse	classe
obwohl	embora
gemeinden	municípios
bischof	bispo
erschien	apareceu
höhe	altitude
häufig	frequentes
süden	sul
gruß	saudação
entfernt	removido
gehören	pertencem
kleinen	pequeno
kleinen	pequenos
christian	christian
johannes	joão
erwähnt	mencionado
chr	chr
letzte	última
informationen	informaçoes
bezeichnung	denominação
saint	saint
ihnen	lhes
meister	mestre
zuvor	anteriormente
stellt	restaura
insel	ilha
klar	claro
joseph	joseph
veröffentlicht	publicado
ursprünglich	originalmente
regierung	governo
carl	carl
sieben	sete
bevölkerung	população
osten	leste
van	van
gleich	igual
problem	problema
starb	morreu
bayern	bayern
westen	oeste
lage	localização
mitglieder	membros
national	national
graf	conde
david	david
präsident	presidente
betrieb	exploração
bad	bad
baden	baden
kaiser	imperador
arten	espécies
geboren	nascido
richard	richard
sitz	sede
zog	puxou
wasser	água
hermann	hermann
san	san
karriere	carreira
zehn	dez
center	center
uns	nos
system	sistema
bilder	imagens
enthält	contém
main	main
mutter	mãe
linie	linha
west	west
acht	oito
scheint	parece
weit	longe
ziel	alvo
grüße	saudações
roman	roman
liga	liga
spiele	jogos
sachsen	saxônia
wolfgang	wolfgang
folgen	siga
walter	walter
leider	infelizmente
uhr	relógio
liegen	deitado
geben	dar
meinung	opinião
kultur	cultura
alexander	alexandre
trotz	despeito
projekt	projeto
folgte	seguiu
maler	pintor
paar	casal
max	max
sommer	verão
runde	ronda
william	william
institut	instituto
raum	espaço
armee	exército
jean	jean
aufgenommen	tiradas
tun	fazer
vereinigten	unidos
regel	regra
gefunden	encontrado
daten	dados
erledigt	feito
theater	teatro
lag	gal
wollte	queria
person	pessoa
kloster	mosteiro
city	city
schrieb	escreveu
hilfe	ajuda
gegeben	dado
entstanden	surgiram
reich	império
kamen	vieram
schnell	rápido
teile	peças
world	world
gmbh	gmbh
google	google
besten	melhores
republik	república
setzte	sentou
italien	itália
fragen	perguntas
general	general
hälfte	metade
euro	euro
verbindung	conexão
nähe	proximidade
anders	anders
vertrag	tratado
vertrag	contrato
james	james
top	top
bruder	irmão
künstler	artista
england	inglaterra
erfolg	sucesso
früher	antigamente
wissen	conhecimento
länge	comprimento
groß	grande
geschrieben	escrito
abschnitt	secção
rechts	direita
trainer	treinador
see	lago
spielt	joga
hohen	alto
zeitschrift	revista
finde	encontre
führen	conduzir
etc	etc
ausbildung	formação
park	park
george	george
wappen	brasão
zürich	zurique
wort	palavra
komponist	compositor
zahl	número
zusätzlich	além
dresden	dresden
homepage	homepage
schreiben	escrever
rudolf	rudolf
nahe	próximo
tore	gols
wahl	escolha
männer	homens
schauspielerin	atriz
hannover	hanôver
werde	vou
werde	serei
gründete	baseou
beste	melhor
zeitung	jornal
spd	spd
schlacht	batalha
richtig	certo
richtig	correto
akademie	academia
gehen	ir
stil	estilo
sagen	dizer
charles	charles
gebaut	construído
american	american
größte	maior
funktion	função
wahrscheinlich	provavelmente
till	till
herzog	duque
zentrum	centro
jede	cada
jede	qualquer
liebe	amor
rom	roma
nachfolger	sucessor
wenige	poucos
grenze	fronteira
truppen	tropas
werner	werner
verwendung	utilização
sieg	vitória
veröffentlichte	publicou
entwickelt	desenvolvido
china	china
hohe	alta
falls	falls
besitzt	possui
besitzt	possua
leicht	leve
besitz	posse
verbunden	ligado
autoren	autores
all	all
tiefe	profundidade
allein	sozinho
bürgermeister	prefeito
polen	polónia
link	link
nord	nord
bestehen	insistir
verheiratet	casado
km²	km²
produktion	produção
herrschaft	dominação
berg	montanha
sla	sla
alt	velho
punkt	ponto
andreas	andreas
stiftung	fundação
aktiv	ativo
gute	boa
punkte	pontos
minuten	minutos
bleiben	ficar
rang	rank
diente	serviu
historischen	histórico
finale	final
tour	tour
wollen	querer
ergebnis	resultado
mark	mark
württemberg	württemberg
falsch	errado
gold	ouro
weise	sábio
außer	excepto
außer	exceto
möglichkeit	possibilidade
leiter	escada
rennen	corrida
del	del
union	união
japan	japão
fläche	superfície
webseite	site
müller	müller
albert	albert
dank	agradecimentos
kanton	cantão
düsseldorf	düsseldorf
erkennen	reconhecer
politik	política
right	right
position	posição
schwer	pesado
gruppen	grupos
weder	nem
satz	frase
ersetzt	substitui
hauptsächlich	principalmente
indem	colocando
indem	fornecendo
stimmen	vozes
geführt	guiado
engl	engl
wert	valor
späteren	posterior
frank	frank
klaus	klaus
kritik	críticas
kritik	crítica
inhalt	conteúdo
heinz	heinz
bekannte	conhecidos
beteiligt	borá
wochen	semanas
fritz	fritz
kategorien	categorias
louis	louis
records	records
selten	raros
schüler	alunos
dritte	terceira
fluss	rio
admin	admin
club	clube
bremen	bremen
relativ	relativamente
relativ	relativo
erklärt	explica
fort	fort
musiker	músicos
gesehen	viu
fanden	encontraram
nimmt	toma
adolf	adolf
schiff	navio
fußball	futebol
bedeutet	significa
bietet	oferece
vertreter	representante
hessen	hesse
organisation	organização
les	les
halten	manter
hand	mão
sammlung	coleção
www	www
unterstützung	apoio
meisterschaft	campeonato
sinn	sinn
sinn	sentido
bilden	formando
westfalen	vestefália
herren	cavalheiros
herren	senhores
karte	mapa
probleme	problemas
alfred	alfred
erscheint	aparece
orte	localidades
hallo	olá
vergleich	comparação
php	php
hof	pátio
halle	halle
staat	estado
langen	langen
dient	serve
anton	anton
neun	nove
genommen	tomado
wirtschaft	economia
college	faculdade
brachte	trouxe
markt	mercado
städte	cidades
kapelle	capela
verloren	perdido
ausgezeichnet	excelente
russland	rússia
bonn	bona
jugend	juventude
spanien	espanha
post	post
soldaten	soldados
lebt	vive
umgebung	arredores
bücher	livros
medien	mídia
entscheidung	decisão
einfluss	influência
monate	meses
beschrieben	descrito
übernommen	assumido
schutz	proteção
christoph	cristóvão
cdu	cdu
rechte	direitos
erkennbar	reconhecível
stück	peça
programm	programa
live	live
namens	chamado
jazz	jazz
unten	abaixo
papst	papa
themen	tópicos
gerhard	gerhard
erschienen	apareceu
junge	menino
eltern	pais
sprachen	línguas
internet	internet
folgt	segue
größe	tamanho
start	lançamento
spricht	fala
hauptstadt	capital
abschluss	conclusão
philosophie	filosofia
friedhof	cemitério
philipp	filipe
lehrer	professores
würden	fariam
würden	seriam
betrug	fraude
kopf	cabeça
zusammenarbeit	cooperação
nein	não
gebracht	trazido
brücke	ponte
usw	etc
zerstört	destruído
zerstört	destruída
bundesliga	bundesliga
teilen	compartilhar
nacht	noite
versionen	versões
lesen	ler
daniel	daniel
idee	idéia
rot	vermelho
eindeutig	claramente
daraus	daí
bestimmt	determina
turm	torre
lebte	vivia
lebte	viveu
klein	pequeno
klein	klein
interesse	interesse
genug	suficiente
zuerst	primeiro
enzyklopädie	enciclopédia
kind	criança
münster	münster
svg	svg
studien	estudos
direktor	diretor
marie	marie
gustav	gustav
freiburg	friburgo
fehlt	falta
modell	modelo
bildung	educação
washington	washington
island	islândia
gesagt	dito
you	you
kampf	luta
vertreten	representada
vertreten	representou
vertreten	representado
abteilung	divisão
durchgeführt	realizado
beginnt	começa
schwarz	preto
ulrich	ulrich
kurt	kurt
single	solteiro
regeln	regras
fiel	caiu
wald	floresta
ferdinand	ferdinand
löschung	supressão
dollar	dólar
music	music
besondere	especial
jürgen	jürgen
sänger	cantor
département	département
heidelberg	heidelberg
fischer	fischer
schweden	suécia
ergebnisse	resultados
verkauft	vendido
vandalismus	vandalismo
zwölf	doze
juden	judeus
border	border
henry	henry
elisabeth	isabel
möglicherweise	possivelmente
brandenburg	brandemburgo
stieg	subiu
suche	pesquisa
breite	largura
royal	royal
festival	festival
übersetzung	tradução
folgten	seguiram
pfalz	palatinado
state	state
beziehungen	relações
rhein	reno
bewegung	movimento
erfüllt	cumprido
opfer	sacrifício
bayerischen	bávara
erde	terra
angegeben	especificado
typ	tipo
united	united
open	open
mainz	mainz
boden	chão
grand	grand
siedlung	assentamento
radio	rádio
entdeckt	descoberto
bernhard	bernhard
bernhard	bernardo
vorschlag	proposta
erzbischof	arcebispo
ungarn	hungria
stammen	provêm
historiker	historiador
pierre	pierre
software	software
rock	rock
entsprechenden	correspondente
aufstieg	ascensão
verwaltung	administração
lebten	viveram
wiki	wiki
bank	banco
rein	puro
mannschaften	equipes
tor	tor
tor	gol
herbst	outono
schulen	escolas
ebene	nível
schmidt	schmidt
gehörten	pertenciam
essen	comer
göttingen	göttingen
richter	juiz
ausstellung	exposição
aufgabe	tarefa
geld	dinheiro
kirchen	igrejas
lösung	solução
north	north
tiere	animais
rheinland	renânia
werbung	publicidade
winter	inverno
unterschied	diferença
familien	famílias
inseln	ilhas
offensichtlich	obviamente
objekte	objectos
objekte	objetos
anteil	proporção
society	society
house	house
nürnberg	nuremberga
blick	olhar
herr	senhor
silber	prata
hintergrund	fundo
französisch	francês
theorie	teoria
air	air
jährlich	anual
erweitert	avançado
unterstützt	suporta
produziert	produzido
allgemein	geral
treffen	encontro
arbeitet	trabalha
architekt	arquiteto
jurist	jurista
fällt	cai
south	south
führung	liderança
bestimmte	certos
bestimmte	certas
ordnung	ordem
tragen	vestindo
herbert	herbert
wichtigsten	principais
westlichen	ocidental
zeichen	sinais
früheren	anterior
kraft	força
komplett	completo
braunschweig	brunsvique
verhalten	comportamento
sport	desporto
mittel	meios
mittel	dotações
verbreitung	difusão
theodor	teodoro
sofort	imediatamente
wissenschaft	ciência
gesetz	lei
journalist	jornalista
moskau	moscovo
hamburger	hambúrguer
edit	edit
verfügt	dispõe
verfügt	disponha
stimme	voz
qualität	qualidade
aufnahme	gravação
veröffentlichung	publicação
zahlen	números
galerie	galeria
black	black
aufgaben	tarefas
fehler	erro
filme	filmes
stadion	estádio
moderne	modernidade
basel	basileia
org	org
sur	sur
situation	situação
wichtig	importante
leistung	potência
handbuch	manual
gespielt	jogado
motor	motor
offiziell	oficialmente
dieter	dieter
texte	textos
gott	deus
rat	conselho
villa	villa
dichter	poeta
helmut	helmut
nationalen	nacional
beschäftigt	ocupado
hergestellt	fabricado
tal	vale
fotos	fotos
sagt	diz
gewinnen	ganhar
woche	semana
berufen	invocar
schreibt	escreve
erich	erich
fernsehen	televisão
schleswig	schleswig
stein	pedra
preußen	prússia
nennt	chama
wettbewerb	concorrência
wären	seriam
natur	natureza
dienen	servir
braucht	precisa
kosten	custo
teilnehmer	participantes
bildete	fêz
archiv	arquivo
chor	coro
stefan	stefan
bach	bach
polizei	polícia
jakob	jacó
gebildet	formado
html	html
super	super
australien	austrália
hall	hall
urv	urv
zeiten	tempos
flughafen	aeroporto
kreuz	cruz
aussage	depoimento
png	png
länder	países
niemand	ninguém
zukunft	futuro
änderungen	alterações
bern	berna
revolution	revolução
tradition	tradição
kanada	canadá
veröffentlichungen	publicações
straßen	estradas
architektur	arquitetura
umbenannt	renomeado
arzt	médico
parallel	paralelo
medizin	medicina
praxis	prática
angeboten	oferecido
zählen	contando
zählen	contagem
rest	descanso
rest	restante
rest	resto
bibliothek	biblioteca
konrad	konrad
druck	pressão
freund	amigo
antwort	resposta
geschlossen	fechado
love	love
landwirtschaft	agricultura
könnten	poderiam
salzburg	salzburgo
fahrzeuge	veículos
portal	portal
erstellt	criado
schiffe	navios
schwester	irmã
augen	olhos
min	min
beispiele	exemplos
theologe	teólogo
simon	simon
don	don
präsidenten	presidentes
antrag	pedido
führten	conduziram
julius	julius
nominiert	nomeados
anwendung	aplicação
lieber	prefiro
lake	lake
formel	fórmula
santa	santa
red	red
geburtstag	aniversário
niederlage	derrota
chicago	chicago
formen	formas
video	vídeo
wolf	wolf
elf	onze
elf	elf
aufgelöst	dissolvido
übersetzt	traduzido
mädchen	meninas
glaube	fé
hätten	teriam
suchen	procurar
wissenschaften	ciências
trug	usava
architekten	arquitetos
foto	foto
ergänzt	completado
ergänzt	completada
herausgeber	editor
einheit	unidade
nordosten	nordeste
ritter	cavaleiro
hersteller	fabricante
lief	correu
rückkehr	retorno
rückkehr	regresso
darmstadt	darmstadt
bringt	traz
verantwortlich	responsável
zeitraum	período
tom	tom
menge	quantidade
zentimeter	centímetro
zentimeter	centímetros
besitzen	possuir
versuchte	tentou
tübingen	tübingen
parteien	partidos
energie	energia
wesentlichen	essencial
bürger	cidadão
kennen	conhecer
arthur	arthur
life	life
holstein	holstein
auszeichnungen	prêmios
teilnahme	participação
besuch	visita
definition	definição
lae	lae
original	original
prag	praga
bot	bot
teams	equipas
verstehen	compreender
ehefrau	esposa
indien	índia
beschreibt	descreve
josé	josé
schlecht	ruim
shift	shift
südwesten	sudoeste
politisch	politicamente
leser	leitor
turnier	torneio
körper	corpo
chemie	química
bildhauer	escultor
bericht	relatório
angriff	ataque
sängerin	cantora
sprechen	falar
gewonnen	ganhado
kontakt	contato
bist	és
evangelische	evangélica
diskutiert	discutiu
diskutiert	discute
luft	ar
mexiko	méxico
kommission	comissão
reise	viagem
gebiete	territórios
erhält	recebe
mehrheit	maioria
nordwesten	noroeste
datum	data
british	british
marine	marinha
variante	variante
tat	tat
kalifornien	califórnia
sicherheit	segurança
kassel	kassel
meer	mar
theologie	teologia
heft	dobrador
gast	convidado
nächste	próxima
konzept	conceito
türkei	turquia
bronze	bronze
entstehen	surgem
lieder	músicas
persönlich	pessoalmente
verwenden	usar
grenzen	limites
oper	ópera
smith	smith
fenster	janela
farbe	cor
commons	commons
poly	poli
matthias	matthias
geändert	modificado
russisch	russo
horst	horst
unternehmer	empresário
karten	mapas
prinzip	princípio
struktur	estrutura
grafschaft	condado
beruf	profissão
südosten	sudeste
alben	álbuns
aktuell	atual
boot	barco
stimmt	verdade
szene	cena
parlament	parlamento
licht	luz
ausdruck	expressão
oxford	oxford
ungefähr	aproximadamente
verschoben	movido
zeigte	mostrou
argumente	argumentos
spitze	ponta
hugo	hugo
morgen	amanhã
holz	madeira
qualifikation	qualificação
industrie	indústria
material	material
king	king
manfred	manfred
edward	edward
erhielten	receberam
one	one
prozess	processo
best	best
elemente	elementos
existieren	existir
anhalt	anhalt
inneren	interior
adam	adão
adam	adam
unbekannt	desconhecido
feld	campo
dänemark	dinamarca
arts	arts
würzburg	würzburg
imho	imho
kriterien	critérios
standard	padrão
pflanzen	plantas
änderung	mudança
vereinigung	unificação
infanterie	infantaria
brüder	irmãos
förderung	promoção
albrecht	albrecht
kiel	kiel
interview	entrevista
spiegel	espelho
ausnahme	excepção
ausnahme	exceção
mecklenburg	mecklemburgo
zug	comboio
töchter	filhas
königin	rainha
geplant	planejada
lizenz	licença
veranstaltungen	eventos
ändern	mudar
high	high
diskussionen	discussões
verstanden	entendeu
verstanden	entendi
talk	talk
blieben	permaneceram
vertrat	representou
aachen	aachen
figuren	personagens
sendung	remessa
argument	argumento
zentrale	central
erlaubt	permite
läuft	corre
wiesbaden	wiesbaden
besaß	possuía
lauf	corra
verkehr	transportes
show	show
landschaft	paisagem
gegner	adversário
blau	azul
gemeinsamen	comum
stern	estrela
abs	abs
herstellung	fabricação
ausreichend	suficiente
hockey	hóquei
antonio	antonio
lee	lee
bestätigt	confirmado
berichtet	relatou
einheiten	unidades
israel	israel
brasilien	brasil
klavier	piano
durchmesser	diâmetro
gericht	tribunal
helfen	ajudar
bestritt	contestou
bewohner	moradores
barbara	barbara
orchester	orquestra
augsburg	augsburg
unsere	nossa
entstehung	surgimento
unbedingt	necessariamente
früh	cedo
physik	física
einträge	entradas
gouverneur	governador
belgien	bélgica
treffer	hit
ähnliche	semelhante
cambridge	cambridge
auto	carro
graz	graz
francisco	francisco
vergangenheit	passado
presse	imprensa
verhindern	prevenir
wann	quando
definiert	definido
religion	religião
jena	jena
linien	linhas
sender	transmissor
fallen	armadilhas
besetzung	ocupação
methode	método
hektar	hectare
zweck	finalidade
gelesen	lido
gründer	fundador
farben	cores
texas	texas
meyer	meyer
entscheiden	decidir
erklärung	declaração
handel	comércio
ausland	estrangeiro
solange	solange
monat	mês
studenten	estudantes
letzter	último
windows	windows
funktionen	funções
listen	listas
dinge	coisas
lübeck	lübeck
eigenschaften	propriedades
günter	günter
fließt	flui
versuchen	tentar
widerstand	resistência
design	design
entschieden	decidido
offizier	oficial
ältesten	ancião
erklären	explicar
kongress	congresso
volk	povo
white	white
universitäten	universidades
nachgewiesen	comprovada
günther	günther
gottfried	gottfried
code	código
management	gerência
songs	músicas
beziehung	relacionamento
karlsruhe	karlsruhe
grad	graus
grad	grau
mathematik	matemática
bund	convênio
amsterdam	amsterdam
verbessern	melhorar
nsdap	nsdap
vorgesehen	previsto
geschützt	protegido
profil	perfil
glauben	fé
wikimedia	wikimedia
las	las
einschließlich	incluindo
millimeter	milímetro
dvd	dvd
fuß	pé
portugal	portugal
begriffe	termos
vergeben	perdoar
tabelle	tabela
zuschauer	telespectadores
arnold	arnold
reaktion	reação
sozialen	social
wahlen	eleições
schriftstellerin	escritora
party	festa
entfernen	remover
ausgestattet	equipado
automatisch	automaticamente
harry	harry
regionen	regiões
außen	fora
außen	exterior
verfassung	constituição
getrennt	separado
entfernung	distância
gefahr	perigo
minister	ministro
speziell	especificamente
mitarbeit	colaboração
leopold	leopold
plan	plano
interessant	interessante
sowjetischen	soviético
generation	geração
wunsch	desejo
drittel	terço
oblast	oblast
verurteilt	condenado
waffen	armas
dietrich	dietrich
erhoben	cobrado
mfg	mfg
schneider	schneider
schneider	alfaiate
gemeinschaft	comunidade
zugang	acesso
garten	jardim
weisen	sábios
thüringen	turíngia
tonnen	toneladas
afrika	áfrica
wagner	wagner
bedingungen	condições
niederlande	holanda
hafen	porto
entschied	decidiu
verbindungen	conexões
verbindungen	ligações
kontrolle	controle
emil	emil
langsam	lento
langsam	devagar
norwegen	noruega
angeblich	supostamente
sebastian	sebastião
initiative	iniciativa
maßnahmen	medidas
oscar	oscar
medaille	medalha
dritter	terceira
dritter	terceiro
freiheit	liberdade
sicherlich	certamente
route	rota
baron	barão
verschieben	mover
projekte	projetos
felix	félix
kamera	câmera
priester	sacerdote
charakter	personagem
erklärte	explicou
big	big
darstellen	retratar
organisationen	organizações
ziehen	puxar
fahrer	motorista
magdeburg	magdeburg
kommentar	comentário
vorbei	perto
time	time
eindruck	impressão
möglichkeiten	oportunidades
grenzt	roça
donau	danúbio
spielten	jogaram
mission	missão
kombination	combinação
first	first
prinz	príncipe
kapitel	capítulo
juan	juan
drehbuch	roteiro
versuche	tentativas
alternative	alternativa
praktisch	prático
value	value
jacques	jacques
biografie	biografia
gründe	razões
mündet	desagua
phase	fase
junioren	juniores
françois	françois
antike	antiguidade
korrekt	correto
behandlung	tratamento
edits	edits
erstellen	criar
unterscheidet	diferencia
unterscheidet	distingue
pokal	troféu
eng	eng
jack	jack
mary	mary
nikolaus	nicolau
baute	construiu
freunde	amigos
frieden	paz
stub	stub
bereichen	domínios
bereichen	áreas
ruf	reputação
herz	coração
pov	pov
fuhr	dirigi
fuhr	dirigia
ägypten	egito
größer	maior
studio	estúdio
spanisch	espanhol
kollegen	colegas
not	not
hill	hill
irrelevant	irrelevante
bruno	bruno
regensburg	ratisbona
dortmund	dortmund
aktion	ação
mannheim	mannheim
griechenland	grécia
umfasste	incluiu
neustadt	neustadt
leo	leo
gestaltung	concepção
anspruch	reivindicação
angebot	oferta
zweifel	dúvidas
reine	pura
produzent	produtor
township	township
lager	rolamentos
beck	beck
jones	jones
blue	blue
umgeben	cercado
kat	kat
net	net
wirkt	atua
hitler	hitler
wiederholt	repete
tatsache	fato
rainer	rainer
übernehmen	assumir
mathematiker	matemático
operation	cirurgia
studie	estudo
zusätzliche	adicional
schließen	fechar
patienten	doentes
bernd	bernd
vol	vol
anlagen	instalações
alleine	sozinho
flucht	fuga
abt	abade
maschinen	máquinas
verbesserung	melhoria
erforderlich	necessário
michel	michel
vorkommen	ocorrência
sonne	sol
nannte	chamou
verboten	proibido
erweiterung	extensão
virginia	virgínia
geschichten	histórias
modelle	modelos
brown	brown
vorstand	diretoria
statistik	estatística
fälle	casos
weimar	weimar
endlich	finalmente
anne	anne
erfahrungen	experiências
falle	armadilha
treten	chutar
grab	túmulo
weber	weber
earl	earl
zieht	puxa
verbindet	conecta
samuel	samuel
methoden	métodos
williams	williams
ukraine	ucrânia
mühle	moinho
rolf	rolf
verwendete	utilizou
rostock	rostock
bauern	camponeses
linz	linz
untergebracht	alojados
funktioniert	funciona
festung	fortaleza
joe	joe
rumänien	roménia
computer	computador
grün	verde
marburg	marburg
east	east
einleitung	introdução
nachrichten	notícias
kanal	canal
werte	valores
ansprache	alocução
entlassen	demitido
damen	senhoras
sprach	falou
moment	momento
zitat	citação
krankenhaus	hospital
dame	dama
diskutieren	discutir
ring	anel
mail	mail
dynastie	dinastia
innsbruck	innsbruck
existenz	existência
braun	marrom
giovanni	giovanni
zählte	contei
zählte	contava
ziele	objetivos
bühne	palco
anerkennung	reconhecimento
städtischen	urbano
konflikt	conflito
fahrzeug	veículo
young	young
kandidaten	candidatos
vielzahl	variedade
gewalt	violência
interessiert	interessados
hören	ouvir
passt	encaixa
dokumentation	documentação
krone	coroa
amerika	américa
format	formato
voll	cheio
gewinn	lucro
umgebaut	reconstruída
frühe	early
merkmale	características
ständig	constantemente
boston	boston
major	major
sächsischen	saxão
stephan	estêvão
jacob	jacob
erreichten	alcançaram
persönlichkeiten	personalidades
youtube	youtube
erzeugt	gerado
venedig	veneza
rollen	rolos
beteiligung	participação
alpen	alpes
logo	logotipo
creek	creek
trier	trier
bands	bandas
madrid	madrid
militärische	militar
barcelona	barcelona
halbinsel	península
freiherr	freiherr
carolina	carolina
sekunden	segundos
episode	episódio
blätter	folhas
siegen	vencer
volkszählung	recenseamento
scott	scott
dach	telhado
athen	atenas
sucht	vício
bgcolor	bgcolor
sitze	assentos
potsdam	potsdam
einst	outrora
besucher	visitantes
mailand	milão
entgegen	contrariando
schritt	passo
eberhard	eberhard
traten	ocorreram
real	real
sagte	disse
kardinal	cardeal
analyse	análise
organisiert	organizado
streit	disputa
koch	cozinheiro
weiterleitung	encaminhamento
ausstellungen	exposições
roger	roger
schlug	bateu
tempel	templo
gedacht	pensado
erfahrung	experiência
carlos	carlos
täglich	diário
abgelehnt	rejeitado
umfang	circunferência
laufen	correr
kern	núcleo
dörfer	aldeias
bill	bill
schließt	fecha
ben	ben
forum	fórum
preise	preços
philosoph	filósofo
goldenen	dourado
times	times
oliver	oliver
diplomat	diplomata
wissenschaftler	cientista
malerei	pintura
gewicht	peso
erhöht	aumenta
absolut	absolutamente
kenne	conheço
who	who
glück	felicidade
veränderungen	mudanças
autorin	autora
gitarre	guitarra
patrick	patrick
behörden	autoridades
rechtsanwalt	advogado
umwelt	ambiente
ingenieur	engenheiro
manager	gerenciador
senat	senado
reisen	viagens
rundfunk	radiodifusão
