and	in
many	številni
many	mnogi
many	veliko
south	južno
south	jug
south	južna
september	september
september	septembra
like	kot
between	med
october	oktobra
october	oktober
three	tri
three	trije
three	tremi
three	three
june	junij
june	june
june	junija
well	no
use	uporaba
use	use
use	uporabi
war	vojno
war	vojne
war	vojna
under	pod
them	njimi
them	jih
them	njih
april	april
april	aprila
born	rojen
born	rojena
born	rojene
born	rojeni
born	rodil
december	december
december	decembra
link	link
link	poveži
link	povezava
later	pozneje
later	kasneje
part	delno
part	del
november	november
november	novembra
further	nadalje
further	nadaljnje
players	igralci
players	igralca
players	igralce
players	akterji
list	spisek
list	seznam
please	prosim
following	sledim
february	februarja
february	februar
known	znana
known	znane
known	znan
known	znani
known	znano
known	poznan
name	ime
group	skupino
group	skupinsko
group	skupinski
group	skupinska
group	skupina
history	zgodovina
history	zgodovino
series	serijo
series	serije
series	serija
just	le
just	samo
north	severna
north	severni
north	severno
north	sever
work	dela
work	delo
before	pred
before	preden
before	prej
season	sezono
season	sezona
both	obe
both	oba
high	visoko
high	visoka
through	skoz
through	skozi
district	okrožje
now	zdaj
now	sedaj
comments	komentarjev
comments	komentarji
comments	opombe
comments	pripombe
because	ker
football	football
football	nogomet
football	fuzbal
music	glasba
music	muzika
music	glasbo
however	kakorkoli
diff	diff
century	stoletje
league	league
league	ligo
league	liga
debate	debata
debate	razprava
title	naslov
title	naziv
articles	členi
articles	članki
articles	izdelki
john	john
john	janez
john	janeza
same	ista
same	enaka
same	enako
same	isto
including	vključno
could	lahko
english	angleško
english	angleščina
english	angleži
english	angleški
album	album
album	albuma
number	številka
number	število
against	proti
against	zoper
family	druzina
family	družina
user	uporabnika
user	uporabnik
area	območje
area	površina
area	področje
became	postala
became	postal
york	yorku
york	york
york	yorka
life	zivljenje
life	life
life	življenje
british	britanski
british	britanci
british	britansko
international	mednarodne
international	mednarodni
international	mednarodna
international	mednarodno
game	igro
game	tekma
game	tekmo
game	igra
above	zgoraj
club	klub
club	club
your	tvoje
your	tvoji
your	vaš
your	tvoj
your	tvoja
your	vaša
until	do
until	dokler
early	zgodnje
early	zgodnja
early	zgodnji
early	zgodaj
best	najboljša
best	najboljši
best	best
best	najboljše
west	zahodna
west	zahod
west	zahodno
house	house
house	hiša
house	hisa
house	hiška
company	družbo
company	četa
company	podjetje
company	družba
general	splošno
general	splošni
general	splošna
left	levica
left	levi
left	levo
left	leva
very	zelo
here	tukaj
don	dona
don	don
living	živeti
living	živel
living	živela
day	dan
day	day
place	plac
place	kraj
party	zabava
party	zabavo
party	žur
party	party
college	fakulteta
college	kolidž
result	rezultat
result	izid
keep	obdrži
keep	ohrani
appropriate	ustrezno
appropriate	primerno
appropriate	ustrezna
appropriate	primerna
appropriate	ustrezen
four	four
four	štirje
four	štiri
subsequent	naknadni
even	celo
class	razred
class	pouk
government	vladna
government	vlado
government	vladno
government	vlada
government	vladni
government	vlade
how	kako
called	poklical
each	vsak
each	vsaka
found	najdeno
found	najdeni
found	najdena
found	najden
center	središče
center	center
per	per
style	stil
style	slog
com	com
long	dolge
long	dolg
long	dolgo
long	dolgi
long	dolga
country	dežela
country	država
country	državo
back	zadaj
back	hrbet
back	nazaj
way	pot
way	način
www	www
modify	spremeni
end	konec
make	naredi
public	javnosti
public	javna
public	javnost
public	javno
played	igral
played	igrala
played	igralo
won	zmagali
won	zmagala
won	zmagal
released	sproščeno
released	izpuščeni
released	izpuščen
released	izpuščena
added	dodana
added	dodane
added	dodanih
added	dodan
added	dodani
added	dodano
support	podporo
support	podpore
support	podpora
games	tekme
games	igre
games	igrah
games	igrice
games	iger
former	nekdanje
former	nekdanja
former	nekdanji
those	tiste
films	filmi
church	cerkev
east	vzhodni
east	vzhod
east	vzhodna
east	vzhodno
line	črta
line	vrstica
major	major
members	člane
members	poslanci
members	članice
members	člani
good	pridni
good	pridna
good	dober
much	much
much	veliko
image	sliko
image	podoba
image	slika
show	pokaži
show	prikaži
show	oddaja
still	vseeno
still	še
think	misli
below	spodaj
town	mestu
town	mesto
last	zadnji
last	nazadnje
last	poslednje
last	zadnje
last	zadnja
system	sistem
right	desno
right	right
right	pravica
right	prav
song	pesem
non	non
notable	opaznih
section	odsek
section	poglavje
section	razdelek
section	oddelek
single	enotnega
single	single
single	samski
single	samska
included	vključeni
included	vključena
included	vključene
included	vključen
included	vključeno
align	uskladiti
home	domača
home	doma
home	domov
home	dom
women	ženskam
women	žensk
women	ženske
television	televizijo
television	televizija
seed	semenski
seed	seme
seed	semena
member	članica
member	član
member	poslanec
goals	cilji
sources	vire
sources	viri
book	knjigo
book	knjiga
station	postajo
station	postaji
station	postaja
order	naročila
order	naroči
order	red
order	naročilo
old	stare
old	star
old	staro
old	stara
old	stari
information	obveščanje
information	podatki
information	informacija
information	informacije
information	podatek
set	nastavi
set	komplet
own	lastno
own	lastne
own	lastna
own	lastni
text	besedilo
band	band
band	bend
band	ansambel
point	točka
point	point
point	točko
local	krajevna
local	krajevni
local	lokalni
local	krajevno
local	lokalno
around	naokrog
around	okoli
around	okrog
river	reka
river	reki
river	river
river	reke
top	top
top	vrh
main	glavne
main	main
main	glavni
main	glavno
main	glavna
language	jezikovno
language	jezikovna
language	jezik
french	francosko
french	francoska
french	francoščina
french	francoski
https	https
named	poimenovana
off	off
off	izklop
note	opomba
career	kariera
career	kariere
career	kariero
original	prvotna
original	izvirnik
original	izvirno
original	prvotni
original	original
age	starost
service	storitve
service	storitev
service	servis
established	ustanovljena
established	ustanovljen
established	ugotovljena
established	vzpostavljen
located	nahaja
said	said
population	prebivalstvo
population	populacija
air	zrak
air	zračno
air	zračna
air	air
german	nemško
german	nemec
german	nemška
german	nemščina
german	nemški
law	pravo
law	zakon
military	vojaška
military	vojaški
military	vojska
military	vojaško
great	super
great	odlično
within	znotraj
clubs	klubi
clubs	klubov
clubs	klube
clubs	palice
published	objavljene
published	objavljena
published	objavljeno
published	objavljeni
published	objavljen
president	predsednik
president	predsednica
park	parkiraj
park	park
official	uradnik
official	uradna
official	uradno
official	uradni
case	case
case	zaboj
case	primer
london	london
times	krat
times	časi
times	times
although	čeprav
small	majhno
small	majhni
small	majhen
small	majhne
small	majhna
third	tretje
third	tretji
third	tretja
different	drugačna
different	drugačen
different	drugačni
different	drugačno
get	dobil
get	dobi
village	vasi
village	vasica
closed	zaprto
closed	zaprt
closed	zaprte
closed	zaprti
closed	zaprta
art	umetnost
art	umetnosti
art	art
player	igralec
player	predvajalnik
player	igralca
final	končna
final	končni
community	skupnost
community	skupnosti
held	držal
held	potekala
again	spet
again	znova
again	ponovno
army	armada
army	vojska
army	vojsko
award	nagrada
award	nagrado
without	brez
death	smrt
built	zgrajeno
built	zgrajen
built	zgrajeni
built	zgradil
built	zgrajena
men	moške
men	možje
men	men
men	moški
men	moška
large	velika
large	velike
deletion	izbris
deletion	brisanje
white	bel
white	bela
white	belo
white	beli
white	bele
along	vzdolž
five	pet
five	five
central	osrednje
central	centralne
central	centralno
central	osrednji
central	centralni
road	pot
road	cesta
children	otroci
free	svoboden
free	prosto
free	free
free	svobodna
free	brezplačno
free	brezplačna
took	vzela
took	vzel
england	anglija
england	england
england	angliji
england	anglije
england	anglijo
include	vključi
association	združenje
down	dol
down	navzdol
given	dano
given	danih
source	vir
california	california
california	kalifornija
man	moški
man	mož
man	človek
version	različica
version	različice
written	pisno
written	napisano
written	napisana
written	pisna
written	zapisano
created	ustvarjen
created	ustvarjeno
created	ustvaril
created	ustvarjena
created	ustvarjene
media	medijev
media	mediji
media	media
black	črno
black	črne
black	črn
black	črni
black	črna
though	čeprav
php	php
report	prijavi
report	poročilo
building	zgradba
building	stavba
take	vzemite
take	vzemi
division	razdelek
division	delitev
division	deljenje
division	oddelek
division	divizija
comment	komentar
having	imeti
king	king
king	kralj
edit	urejanje
stadium	stadion
died	umrla
died	umrl
ship	ladjo
ship	ladja
research	raziskave
research	raziskava
research	raziskovanje
record	plošča
record	rekord
record	zapis
archive	arhiv
places	kraji
undo	razveljavi
cup	pokal
cup	skodelico
cup	skodelica
cup	lonček
records	evidenca
records	zapisi
records	evidence
often	pogosto
received	prejeto
received	prejeti
received	prejeta
power	power
power	moč
education	izobrazba
education	izobraževanja
education	izobraževanje
category	kategorijo
category	kategorija
water	vode
water	vodo
water	voda
political	politični
political	politično
political	politična
species	vrsta
species	vrste
field	field
field	polje
near	blizu
australia	avstralijo
australia	avstralije
australia	avstraliji
australia	avstralija
video	posnetek
video	video
video	videoposnetek
need	potrebo
need	potreba
island	island
island	otok
island	otoku
form	oblika
form	obrazec
form	obliko
find	poišči
find	najdi
served	služil
play	igraj
project	projekt
project	projekta
radio	radia
radio	radio
works	dela
works	deluje
proposed	predlagano
proposed	predlagani
proposed	predlagane
proposed	predlagan
proposed	predlagana
proposed	predlaganih
every	vsak
every	vsaka
every	vsako
development	razvoj
example	zgled
example	primer
live	živi
live	živeti
live	živel
live	live
live	živeli
live	živela
union	union
union	unije
union	unija
union	sindikat
india	indija
india	indijo
next	naslednji
next	naslednja
special	specialno
special	posebna
special	posebne
special	poseben
special	posebno
court	sodišče
court	dvor
region	regiji
region	regija
little	male
little	mali
short	kratki
short	kratko
short	kratek
short	kratka
short	kratke
william	william
province	pokrajina
province	provinca
western	zahodna
western	zahodni
western	western
western	zahodno
son	sinko
son	sine
son	sin
son	son
france	francijo
france	francija
france	france
council	svet
council	sveta
others	drugi
others	drugih
others	druge
royal	kraljevi
royal	kraljevsko
royal	royal
royal	kraljevo
current	tok
current	trenutni
current	trenutna
current	sedanji
street	ulico
street	street
street	ulica
full	poln
full	full
full	polno
full	polni
full	polna
red	rdeča
red	rdeči
red	rdeč
red	rdeče
red	red
too	preveč
department	oddelek
san	san
help	pomagaj
help	pomoč
help	pomagajte
preserved	ohranjena
preserved	ohranjen
preserved	ohranjeno
james	james
open	odpri
open	odprto
force	sila
force	force
force	silo
position	položaj
position	lega
position	stališče
position	pozicija
head	glavo
head	glava
head	head
director	direktor
director	direktorica
director	režiser
father	oče
track	steza
track	skladbo
track	tir
track	proga
track	progi
http	http
canada	kanada
canada	kanado
never	nikdar
never	nikoli
australian	avstralski
george	george
jpg	jpg
level	nivo
level	stopnja
level	raven
late	zamuja
late	pozno
late	pozen
late	pozni
late	pozna
summer	summer
summer	poletna
summer	poletni
summer	poletno
summer	poleti
summer	poletje
society	družbo
society	društvo
society	družba
moved	preselil
moved	prestavljen
moved	premaknjena
office	pisarna
office	urad
period	obdobje
championship	prvenstvo
round	krog
round	okrogla
round	okrogle
round	rundo
round	okrogel
round	okroglo
story	zgodba
story	zgodbo
songs	pesmi
various	različni
various	različne
various	razne
file	datoteka
file	datoteko
days	dnevi
days	dni
days	dneve
land	zemljišča
land	dežela
land	kopno
land	zemljišče
land	zemljo
business	poslovanje
business	posel
business	posli
reason	razlog
reason	razlogi
america	ameriki
america	amerika
america	ameriko
america	america
million	milijon
million	milijoni
million	milijonov
million	miljon
european	evropski
european	evropska
european	evropsko
term	izraz
term	termin
six	šest
six	six
post	objava
post	post
post	objavi
post	objavo
why	zakaj
produced	proizvedena
produced	proizvedeno
produced	proizveden
making	izdelovanje
subject	predmet
subject	osebek
subject	subjekt
young	mladi
young	mlad
young	mlada
young	young
young	mlado
total	skupaj
total	skupno
david	david
science	znanost
science	znanosti
related	povezano
related	povezani
rock	skalo
rock	rock
rock	kamen
rock	skala
archived	arhivirana
railway	železnice
railway	železniški
railway	železnica
led	vodil
led	povedel
students	dijaki
students	študentje
students	študenti
students	študente
students	učenci
started	začel
started	začela
news	novica
news	novice
described	opisano
described	opisane
described	opisan
described	opisani
described	opisana
role	vloga
election	izvolitev
election	volitve
albums	albume
albums	albumov
present	prisotna
present	prisotni
present	prisotno
present	sedanjost
present	prisoten
indian	indijansko
indian	indijsko
indian	indijski
indian	indijanec
indian	indijska
kingdom	kraljestvo
kingdom	kraljevina
books	knjige
books	knjig
important	pomembno
important	pomemben
important	pomembna
northern	severna
northern	severno
northern	severni
northern	severne
love	ljubezni
love	love
love	ljubezen
run	beži
run	zbeži
run	teči
canadian	kanadska
canadian	kanadsko
canadian	kanadski
press	tiska
press	pritisni
press	tisk
press	novinarji
rather	raje
type	type
type	vrsta
type	tip
act	dejanje
act	akt
editor	urednik
editor	urejevalnik
came	prišlo
came	prišel
schools	šole
schools	šol
program	program
once	nekoč
once	enkrat
issue	izdaja
social	socialno
social	družabni
social	družabno
social	socialne
social	socialna
social	družbena
germany	nemčija
production	proizvodnja
production	pridelava
production	produkcija
production	proizvodnjo
male	samec
male	samci
male	moško
male	moški
male	moška
awards	nagrade
points	točki
points	točk
points	točke
similar	podobni
similar	podoben
similar	podobna
similar	podobne
similar	podobnih
similar	podobno
professional	profesionalno
professional	strokovna
professional	strokovno
professional	poklicna
professional	poklicne
professional	strokovni
say	povej
background	ozadje
enough	dovolj
lead	svinec
either	bodisi
common	pogosti
common	pogosto
overlap	prekrivanje
overlap	prekrivanja
data	podatki
color	barve
color	barvni
color	barvo
color	barvno
color	barva
better	boljša
better	boljši
better	bolje
better	boljše
person	oseba
person	osebi
person	osebo
services	storitve
bgcolor	bgcolor
museum	muzej
battle	bitka
battle	bitko
sports	športni
sports	šport
sports	športne
sports	športna
already	ze
already	že
currently	trenutno
hall	hall
hall	dvorana
hall	hodnik
buildings	stavbe
buildings	stavb
buildings	poslopja
buildings	zgradbe
historic	zgodovinski
historic	zgodovinska
historic	zgodovinsko
date	zmenek
date	datum
deleted	izbrisan
deleted	izbrisano
deleted	črta
deleted	izbrisana
change	spremembe
change	spremeni
change	sprememba
location	lokacija
location	lokacijo
must	mora
yes	ja
yes	da
our	naše
our	naš
our	najina
our	naši
our	najin
our	naša
southern	južna
southern	južno
southern	južni
least	najmanj
lost	izgubljena
lost	izgubljeni
lost	izgubil
lost	izgubljeno
lost	izgubljen
something	nekaj
review	revizija
review	pregledovanje
review	pregled
together	skupaj
robert	robert
fact	dejstvo
less	manj
japanese	japonski
japanese	japonsko
japanese	japonci
japanese	japonec
japanese	japonska
groups	skupine
groups	skupin
groups	skupinami
groups	skupini
content	vsebnost
content	vsebina
content	vsebine
involved	vključen
involved	vpletena
involved	vpleten
isbn	isbn
board	desko
board	krovu
board	deska
board	tabla
japan	japonska
japan	japonsko
control	kontrola
control	krmiljenje
control	nadzor
control	obvladovanje
policy	politika
modern	moderna
modern	sodobno
modern	sodobna
modern	sodobni
modern	moderno
human	človeško
human	človeška
human	človeški
half	pol
half	polovica
half	polovico
design	zasnova
design	oblikovanje
design	dizajn
event	dogodek
event	prireditev
event	dogodka
events	dogodki
events	prireditve
events	dogodke
events	dogodkov
available	razpoložljivi
available	razpoložljiva
done	storjeno
done	končano
done	opravljeno
done	narejeno
washington	washington
real	resničen
real	resnično
real	resnična
real	prava
real	realno
start	začetek
start	start
start	štart
start	začni
personal	osebno
personal	osebne
personal	osebni
personal	osebna
action	dejanja
action	akcija
action	dejanje
action	ukrepanje
space	vesolje
space	prostor
space	space
space	vesoljska
areas	območja
areas	področja
areas	površine
star	zvezdica
star	zvezdo
star	zvezda
really	res
really	resnično
really	zares
china	porcelan
china	kitajski
china	kitajsko
china	kitajska
possible	možen
possible	možna
possible	možne
possible	možni
possible	možno
paul	paul
paul	pavel
working	dela
working	delovna
working	delovno
working	delovni
taken	slikano
taken	vzet
far	daleč
minister	ministrica
minister	minister
lake	jezero
lake	lake
lake	jezera
reported	poročali
reported	prijavljenih
popular	priljubljene
popular	priljubljena
popular	priljubljeno
popular	priljubljeni
popular	priljubljen
married	poročeni
married	poročen
married	poročena
founded	ustanovljena
founded	ustanovljeno
founded	ustanovljen
founded	osnovana
founded	ustanovil
europe	europe
europe	evropa
europe	evropo
europe	evropi
author	avtor
away	stran
independent	neodvisen
independent	samostojna
independent	samostojno
independent	neodvisni
independent	neodvisno
independent	neodvisna
process	proces
process	postopek
teams	ekip
teams	ekipe
teams	moštva
character	lik
character	karakter
low	nizki
low	nizka
low	nizko
low	nizek
low	nizke
michael	mihael
michael	michael
pages	strani
light	svetlo
light	svetloba
light	luč
light	lahka
big	velika
big	veliki
big	velike
big	velik
seen	videli
seen	videl
seen	viden
seen	videna
release	izpust
release	izpusti
release	sproščanje
release	sprostitev
want	želiš
episode	epizodo
episode	epizode
episode	epizoda
wrote	napisal
wrote	pisal
wrote	napisala
wrote	zapisal
republic	republike
republic	republiko
republic	republika
thomas	thomas
thomas	tomaž
companies	podjetja
companies	družbe
via	via
russian	ruska
russian	rus
russian	ruski
russian	rusko
thanks	zahvala
thanks	hvala
put	postavi
race	dirka
race	dirko
race	rasa
worked	delovalo
worked	obdelani
worked	delal
route	pot
recorded	posnet
recorded	posneto
recorded	zabeleži
recorded	zabeleženo
someone	nekdo
civil	civilno
civil	civilna
civil	civilne
police	policija
charles	karel
charles	charles
users	uporabniki
template	predloge
template	predloga
instead	namesto
eastern	vzhodni
eastern	vzhodna
eastern	vzhodno
body	truplo
body	body
body	telesa
body	telo
question	vprašanje
question	vprasanje
italian	italijanske
italian	italijanski
italian	italijansko
italian	italijanska
italian	italijan
featured	predstavljeni
featured	predstavljeno
featured	predstavljene
featured	predstavljena
featured	predstavljenih
featured	predstavljen
week	teden
editors	uredniki
texas	teksas
texas	texas
chief	poglavar
chief	načelnik
close	zapri
match	ujemanje
match	ujema
roman	rimljan
roman	rimska
roman	roman
roman	romana
roman	rimske
come	pridi
opened	odprto
tour	ogled
tour	turneja
sea	morje
actually	pravzaprav
actually	dejansko
cross	križec
cross	navzkrižna
cross	križ
cross	cross
cross	navzkrižno
playing	igrajo
playing	predvajanje
playing	igranje
health	zdravje
health	zdravja
institute	inštitut
institute	zavod
caps	kape
forces	sile
green	zeleno
green	zelene
green	green
green	zeleni
green	zelena
rights	pravice
evidence	dokazila
evidence	dokazi
evidence	dokaz
originally	prvotno
aircraft	letalo
aircraft	zrakoplovi
aircraft	zrakoplov
aircraft	letala
arts	umetnost
arts	umetnosti
range	razpon
range	oddaljenost
probably	verjetno
probably	vrjetno
consensus	soglasja
consensus	soglasje
bar	bar
problem	problem
problem	težava
problem	težavo
problem	težave
look	poglej
issues	izdaj
issues	vprašanja
average	povprečje
average	povprečna
average	povprečno
network	omrežja
network	mreža
network	omrežje
win	zmaga
win	zmagala
win	zmagal
win	zmago
shows	pokaže
shows	prikaže
shows	oddaje
shows	oddaj
wife	žena
wife	zena
wife	soproga
returned	vrnjeno
returned	vrnjena
returned	vrnjen
night	noč
magazine	revije
magazine	revijo
magazine	revija
centre	središče
centre	center
joined	združeni
joined	pridružil
joined	združena
usually	običajno
usually	navadno
usually	ponavadi
middle	sredina
middle	srednji
middle	srednja
completed	končano
completed	zaključene
completed	izpolnjeno
completed	končana
completed	zaključena
elected	izvoljeni
elected	izvoljen
elected	izvoljena
significant	precejšnje
african	afriški
african	afriška
african	afriške
african	afriško
google	google
stage	faza
stage	oder
addition	dodajanje
ireland	irsko
ireland	irska
ireland	irski
today	danes
academy	akademija
academy	akademije
academy	akademijo
saint	sveti
saint	svetnik
saint	svetnica
saint	saint
self	self
continued	nadaljevanje
continued	nadaljevalo
stations	postaje
mother	mater
mother	mamo
mother	mati
africa	afriko
africa	afrika
culture	kulture
culture	kulturo
culture	kultura
spanish	špansko
spanish	španščina
spanish	španski
spanish	španska
grand	jurja
grand	grand
committee	komite
committee	odbor
things	stvari
fire	ogenj
fire	požar
changed	spremenjen
changed	spremenjeno
gold	zlat
gold	zlato
gold	zlate
gold	zlati
gold	zlata
female	ženska
female	ženski
female	samica
female	žensko
course	potek
directed	režiral
directed	usmerjeno
directed	usmerjeni
directed	usmerjena
months	meseci
months	meseca
months	mesece
months	mesecev
chinese	kitajske
chinese	kitajski
chinese	kitajsko
chinese	kitajska
chinese	kitajci
previous	predhodna
previous	prejšnja
previous	predhodni
previous	prejšnji
previous	predhodno
developed	razvita
developed	razvite
developed	razvit
developed	razvito
developed	razviti
size	velikost
size	velikosti
mentioned	omenjeno
mentioned	omenjen
add	dodajanje
add	dodaj
festival	festival
festival	praznik
festival	praznovanje
peter	peter
peter	petra
basketball	košarka
basketball	košarko
across	počez
across	čez
performance	nastop
performance	zmogljivost
performance	uspešnost
performance	uspešnosti
standard	standardna
standard	standardno
standard	standard
means	pomeni
give	dej
give	daj
training	trening
training	usposabljanja
training	treningi
training	usposabljanje
artist	umetnik
artist	izvajalec
artist	umetnica
word	beseda
word	besedo
blue	modro
blue	modre
blue	modri
blue	modra
primary	primarno
primary	primarne
primary	primarna
primary	primarni
announced	napovedano
announced	napovedala
value	vrednosti
value	vrednost
christian	christian
christian	krščanski
christian	kristjan
private	zasebno
private	privat
private	zasebna
private	zasebnega
private	zasebni
catholic	katoliško
catholic	katoliški
catholic	katoliška
artists	umetniki
includes	vključuje
view	ogled
view	razgled
view	pogled
almost	skoraj
baseball	baseball
seven	seven
seven	sedem
ever	ever
ever	kdaj
technology	tehnologije
technology	tehnologijo
technology	tehnologija
future	prihodnje
future	bodoči
future	bodočnost
future	prihodnosti
future	prihodnost
formed	oblikovane
formed	oblikovani
images	podobe
images	slike
images	slik
los	los
results	rezultati
results	izidi
return	povratek
return	vrnitev
quality	kakovost
quality	kvaliteta
quality	kakovostno
quality	kakovosti
construction	gradnja
construction	konstrukcija
construction	gradbeništvo
zealand	zelandija
zealand	zelandijo
zealand	zelandije
front	fronta
front	spredaj
cover	kritje
model	model
model	vzorec
model	maneken
read	branje
read	preberite
read	preberi
material	materialno
material	material
material	gradivo
strong	močan
strong	močni
strong	močno
strong	močna
coach	trener
coach	trenerja
coach	trenerka
henry	gašper
henry	henry
footballers	nogometaši
mark	označi
mark	mark
rev	rev
organization	organizacijo
organization	organizacija
studies	študij
studies	študije
federal	zvezni
federal	zvezno
federal	zvezna
richard	richard
html	html
virginia	virginija
virginia	virginia
car	car
car	avto
car	avtomobil
attack	napadi
attack	napad
conference	konferenca
outside	zunaj
study	študija
brother	bratec
brother	brat
names	imena
names	imen
writer	pisec
writer	pisateljica
writer	pisatelj
characters	liki
characters	znaki
characters	like
characters	znakov
musical	glasbeni
musical	muzikal
musical	glasbena
nothing	nič
border	meja
border	mejo
border	meje
border	meji
medical	medicinski
medical	medicinsko
countries	države
past	pretekli
past	preteklost
past	preteklosti
writing	pisanje
makes	izdeluje
interest	obresti
provided	zagotovljenih
killed	ubitih
killed	ubit
killed	ubita
killed	umorjen
killed	umorjena
medal	medaljo
medal	medalja
signed	podpisana
signed	podpisano
signed	podpisan
signed	podpisani
largest	največje
label	nalepka
label	oznaka
fair	pošteno
fair	pravično
fair	sejem
search	iskanje
search	išči
bay	zaliv
bay	bay
reference	referenca
reference	sklic
reference	sklicevanje
especially	posebej
especially	zlasti
removed	odstranjena
removed	odstranjen
removed	odstranjene
removed	odstranjeno
library	knjižnica
library	knjižnici
eventually	sčasoma
management	upravljanje
management	obvladovanje
references	reference
references	sklicevanja
references	sklicevanje
features	lastnosti
features	značilnosti
navy	mornariška
navy	mornariški
navy	mornarice
navy	mornarica
guitar	kitara
guitar	kitare
guitar	kitaro
hill	hrib
hill	grič
hill	hill
historical	zgodovinski
historical	zgodovinsko
historical	zgodovinska
historical	zgodovinske
lower	spodnji
lower	nižja
lower	nižje
lower	spodnja
daughter	hčerka
daughter	hči
appointed	imenovan
appointed	imenovani
reading	branje
yet	še
systems	sistemi
debut	prvenec
movement	premiki
movement	gibanja
movement	premikanje
movement	gibanje
specific	specifično
specific	specifični
always	vedno
always	zmeraj
actor	igralec
natural	naravnega
natural	naravni
natural	naraven
natural	naravno
natural	naravna
natural	naravne
clear	jasna
clear	počisti
clear	jasno
coast	obalo
coast	obala
got	dobil
got	got
chicago	chicago
pennsylvania	pensilvaniji
ten	ten
performed	opravljen
performed	opravljeni
performed	opravljene
individual	individualna
individual	posamezna
individual	posamezno
individual	individualno
individual	posamezni
individual	posameznik
designed	zasnovan
designed	zasnovana
rule	pravilo
etc	etc
etc	itd
etc	idr
lists	seznami
lists	sezname
paris	paris
paris	pariz
paris	pariški
thought	misel
brown	rjavo
brown	rjavi
brown	rjave
brown	rjava
hand	roki
hand	roka
needs	rabi
needs	potrebe
needs	potrebuje
needs	potreb
reliable	zanesljiva
reliable	zanesljivi
reliable	zanesljivo
reliable	zanesljiv
smith	smith
generally	splošno
base	baza
base	osnova
base	oporišče
sometimes	včasih
florida	florido
florida	florida
capital	kapitala
capital	prestolnica
capital	kapital
valley	dolini
valley	valley
valley	dolina
valley	dolino
valley	doline
bank	banko
bank	breg
bank	bančna
bank	banka
bank	bank
gave	dal
gave	dau
gave	dala
ground	tla
ground	tleh
reached	dosežen
reached	dosežena
reached	doseženo
reached	dosežene
italy	italija
energy	energija
energy	energijo
energy	energije
energy	energetika
believe	verjemi
leader	vodja
leader	leader
active	aktivna
active	dejavno
active	aktiven
active	aktivni
active	aktivno
online	spletna
online	online
block	blokada
block	blok
block	block
bridge	most
bridge	bridge
families	družine
families	družin
changes	spremembe
followed	sledili
followed	sledilo
followed	sledila
followed	sledil
industry	industrijo
industry	panoga
industry	industrija
collection	pobiranje
collection	zbirka
collection	kolekcija
collection	zbirko
collection	zbiranje
request	zahteva
request	prošnja
request	zahtevek
soon	kmalu
leading	vodilni
leading	vodilna
olympic	olimpijski
olympic	olympic
sold	prodani
sold	prodano
sold	prodana
sold	prodan
writers	pisateljev
