reds	レッズ
ecology	エコロジー
ecology	生態学
emirates	エミレーツ
deployment	配置
deployment	配備
lepidoptera	lepidoptera
jenkins	ジェンキンス
omaha	オマハ
detected	検知
attribution	帰属
harsh	厳しい
bundesliga	ブンデスリーガ
overcome	克服
sake	日本酒
roma	ロマ
roma	ローマ
echo	反響
echo	エコー
bangkok	バンコク
bergen	ベルゲン
availability	可用性
andreas	アンドレアス
cedar	スギ
bankruptcy	破産
bankruptcy	倒産
flagship	旗艦
basement	地下
basement	地下室
spirits	スピリッツ
torture	拷問
toyota	豊田
toyota	トヨタ
wheat	小麦
wheat	コムギ
knockout	ノックアウト
homeland	家路
maiden	処女
dhaka	ダッカ
dental	歯科
christine	クリスティン
curious	好奇心
curious	興味津々
tucker	タッカー
viscount	子爵
ffffff	ffffff
pavilion	パビリオン
augustus	オーガスタス
augustus	アウグストゥス
loans	ローン
loans	融資
joey	ジョーイ
moss	コケ
parody	パロディ
yield	出来上がり
yield	利回り
sizes	サイズ
cheap	安い
stuttgart	シュトゥットガルト
dialects	方言
backup	バックアップ
sanskrit	サンスクリット
councillor	参事官
knife	ナイフ
premiership	プレミアシップ
gonzález	ゴンサレス
yesterday	きのう
yesterday	昨日
transform	変換
transform	変形
vegetation	植生
tickets	切符
tickets	チケット
braves	ブレーブス
plural	複数
pomeranian	ポメラニアン
sicily	シチリア
speeds	スピード
zip	zip
updates	アップデート
updates	更新
restriction	制限
measurements	測定
dynamo	ダイナモ
predicted	予言
feast	ごちそう
poker	ポーカー
kane	ケーン
trevor	トレヴァー
trevor	トレバー
sidney	シドニー
holidays	祝日
holidays	休日
comfortable	快適
fletcher	フレッチャー
floyd	フロイド
snail	カタツムリ
genocide	ジェノサイド
saga	サガ
saga	佐賀
fossils	化石
buying	購入
smoking	喫煙
subdivision	細分
subdivision	区画
leather	レザー
leather	皮革
def	デフ
def	def
patch	パッチ
porto	ポルト
valencia	バレンシア
tracy	トレイシー
downloaded	ダウンロード
breakfast	朝食
mercy	慈悲
mercy	マーシー
ore	鉱石
bottle	ボトル
angola	アンゴラ
humanitarian	人道的
humanitarian	人道
decorations	装飾
decorations	デコレーション
slide	滑り台
slide	スライド
invalid	無効
guru	グル
freshwater	淡水
telescope	望遠鏡
dense	濃密
satisfied	満足
coral	サンゴ
xavier	ザビエル
helena	ヘレナ
rowing	ボート
binary	バイナリ
merchants	商人
wound	傷口
dixon	ディクソン
kuwait	クウェート
suffer	苦しむ
blacklisted	ブラックリスト
nord	ノール
caves	洞窟
regent	摂政
riverside	リヴァーサイド
shane	シェーン
balanced	バランス
fitzgerald	フィッツジェラルド
highlight	ハイライト
payments	決済
payments	支払い
tendency	傾向
lópez	ロペス
joyce	ジョイス
belle	ベル
rouge	ルージュ
clue	手がかり
cure	治癒
slope	スロープ
slope	斜面
slope	傾き
manning	マニング
boyd	ボイド
paraguay	パラグアイ
preview	プレビュー
dodgers	ドジャース
qatar	カタール
import	輸入
buddy	バディ
dock	ドッキング
dock	ドック
penguin	ペンギン
cologne	ケルン
providers	プロバイダ
supervision	監督
lease	賃貸
lease	貸す
lease	賃貸借
toys	おもちゃ
toys	オモチャ
toys	玩具
buck	バック
hang	ハング
bulldogs	ブルドッグ
portable	ポータブル
dell	デル
dell	dell
irving	アーヴィング
tibet	チベット
composite	コンポジット
composite	複合
councillors	参事官
salary	給料
salary	俸給
salary	給与
dropping	ドロップ
fragments	断片
fragments	フラグメント
objectives	目的
caesar	シーザー
tragedy	悲劇
unesco	ユネスコ
cameroon	カメルーン
slot	slot
slot	スロット
sophie	ソフィー
granite	花崗岩
jenny	ジェニー
venezuelan	ベネズエラ
pirate	海賊
seasonal	季節
delegation	委任
delegation	委嘱
portfolio	ポートフォリオ
machinery	機械
miners	鉱夫
embedded	組み込み
keen	キーン
gandhi	ガンジー
testimony	証言
duchess	公爵夫人
reflection	反射
reflection	リフレクション
freshman	一年生
booth	ブース
rudolf	ルドルフ
león	レオン
courage	勇気
riots	暴動
pier	桟橋
formatting	フォーマット
formatting	整形
woodland	疎林
auction	競売
auction	オークション
cbc	cbc
specifications	仕様
secrets	秘密
sutton	サットン
ups	ups
repairs	修理
que	que
bypass	バイパス
slopes	スロープ
slopes	傾き
alps	アルプス山脈
alps	アルプス
liner	ライナー
ease	やす
cet	cet
investments	投資
exeter	エクセター
din	din
kay	ケイ
rent	レンタル
rent	家賃
rent	借りる
rent	レント
highlands	高地
induced	誘発
crane	クレーン
crane	ツル
simulation	シミュレーション
schemes	スキーム
latitude	緯度
lance	ランス
keeper	キーパー
asset	アセット
asset	資産
prospect	見通し
knocked	ノック
merits	長所
prejudice	害する
prejudice	偏見
prejudice	先入観
highlighted	ハイライト
stance	スタンス
gymnasium	体育館
gloria	グロリア
trent	トレント
horizon	地平線
horizon	ホライズン
horizon	水平線
yemen	イエメン
riot	暴動
renovation	リフォーム
quinn	クイン
excluded	除外
elena	エレナ
successive	歴代
anger	怒り
hierarchy	ヒエラルキー
decoration	装飾
decoration	デコレーション
nerve	神経
disability	障害
giuseppe	ジュゼッペ
boot	ブート
boot	ブーツ
exceed	上回る
scan	スキャン
rca	rca
flowing	流れる
sensors	センサ
sensors	センサー
battlefield	戦場
shells	シェル
shells	貝殻
cottage	コテージ
honduras	ホンジュラス
shepherd	シェパード
reservation	留保
reservation	予約
mapping	写像
mapping	マッピング
mongolia	モンゴル
nash	ナッシュ
sharks	サメ
ricky	リッキー
shirley	シャーリー
exercises	演習
ribbon	リボン
infant	幼児
infant	乳児
mild	軽度
peers	ピア
correspondent	特派員
renovated	リフォーム
proceeds	代価
reproduction	模写
reproduction	生殖
mercedes	メルセデス
compliance	コンプライアンス
bombay	ボンベイ
premises	構内
premises	敷地
hawaiian	ハワイアン
poly	ポリ
handbook	ハンドブック
rené	ルネ
transactions	取引
transactions	トランザクション
jerome	ヒエロニムス
jerome	ジェローム
shark	サメ
choices	選択肢
doom	ドゥーム
diagnosis	診断
referencing	参照
firearms	銃器
firearms	火器
stoke	ストーク
bride	花嫁
lindsay	リンジー
wartime	戦時
worry	心配
vacuum	バキューム
vacuum	真空
heating	暖房
radius	半径
radius	radius
celebrities	有名人
meta	メタ
rehabilitation	リハビリテーション
rehabilitation	更生
rehabilitation	再生
rehabilitation	リハビリ
synonym	同義語
synonym	類義語
ambiguous	曖昧
sailor	船員
inspection	検査
inspection	検問
ancestors	先祖
honda	本多
honda	ホンダ
honda	本田
barn	バーン
barn	納屋
controller	コントローラ
controller	コントローラー
assert	assert
burden	重荷
burden	負担
fruits	フルーツ
fruits	果実
fruits	果物
ruby	ルビ
ruby	ルビー
lunch	昼食
lunch	ランチ
nationalism	ナショナリズム
photographers	カメラマン
mick	ミック
classroom	教室
forums	フォーラム
cups	cups
cups	カップ
challenger	チャレンジャー
recommendation	おすすめ
recommendation	推薦
instant	インスタント
instant	瞬間
falcon	ファルコン
planted	播種
nordic	ノルディック
coordination	連携
coordination	調整
coordination	コーディネート
hammond	ハモンド
dances	踊り
barracks	バラック
precipitation	降水
precipitation	沈殿
bucharest	ブカレスト
ranger	レインジャー
lily	ユリ
lily	リリー
surveys	調査
surveys	アンケート
albion	アルビオン
wicket	wicket
schmidt	シュミット
subtropical	亜熱帯
visa	visa
visa	ビザ
visa	査証
matching	マッチング
pregnancy	妊娠
commit	コミット
expectations	期待
carmen	カルメン
harvest	収穫
kashmir	カシミール
theft	盗難
theft	窃盗
flames	炎上
wesley	ウェズリー
pga	pga
beats	ビーツ
arlington	アーリントン
sterling	スターリング
sonic	ソニック
transparent	透明
dedication	献身
dedication	奉納
clarence	クラレンス
katherine	キャサリン
nervous	緊張
nervous	神経質
excluding	除外
sunset	夕焼け
sunset	日没
reward	報酬
narrator	語り手
antoine	アントワーヌ
ally	アライ
ally	アリー
primitive	プリミティブ
lopez	ロペス
chronic	慢性
chronic	持病
donations	募金
donations	寄付
imaging	イメージング
europa	エウロパ
duet	デュエット
intel	intel
broncos	ブロンコス
buddha	ブッダ
buddha	仏陀
pig	ブタ
whale	クジラ
beaches	ビーチ
attributes	属性
minerals	鉱物
frozen	フローズン
fischer	フィッシャー
gains	利得
dee	ディー
peaceful	平和
typhoon	台風
hank	ハンク
manually	手動
shortened	短縮
tram	トラム
alignment	アライメント
alignment	配置
ivory	象牙
hastings	ヘイスティングス
traces	トレース
constellation	星座
healing	ヒーリング
frames	フレーム
lorenzo	ロレンツォ
lorenzo	ロレンソ
specification	仕様
risks	リスク
viking	バイキング
pottery	陶芸
pottery	陶器
bloody	ブラッディ
eden	エデン
peruvian	ペルー
interference	干渉
candy	キャンディ
candy	キャンディー
bitter	苦い
bitter	ビター
trends	トレンド
individually	個別
individually	個別に
funk	ファンク
basque	バスク
synagogue	シナゴーグ
latvian	ラトビア
pot	ポット
paths	パス
var	var
guarantee	保証
guarantee	保証書
guarantee	保障
intact	無傷
lacrosse	ラクロス
raj	ラジ
immigrant	移民
aus	aus
blessed	祝福
servers	サーバ
servers	サーバー
ecological	生態学
rabbit	ウサギ
rabbit	うさぎ
phi	ファイ
sectors	セクター
powder	粉末
powder	パウダー
mega	メガ
mega	mega
vfl	vfl
clips	クリップ
coventry	コヴェントリー
vic	ビック
summers	サマーズ
detect	検知
detect	検出
precision	精度
conservatory	温室
sunshine	サンシャイン
sunshine	日光
sunshine	日差し
flowering	開花
savings	貯蓄
savings	貯金
savings	節約
savings	預金
underwater	水中
mccarthy	マッカーシー
toxic	毒性
screening	選考
screening	スクリーニング
phenomena	現象
liver	レバー
liver	肝臓
benedict	ベネディクト
hollow	中空
mob	暴徒
mob	モブ
dawson	ドーソン
emi	emi
emi	えみ
brett	ブレット
alert	アラート
seventeen	seventeen
reunion	同窓会
reunion	再会
collision	衝突
lighter	ライター
filling	中身
matthews	マシューズ
willis	ウィリス
vowel	母音
drainage	排水
lambert	ランバート
seth	セス
kai	kai
kai	カイ
wow	wow
noun	名詞
factories	工場
valentine	バレンタイン
plasma	プラズマ
virtue	美徳
bryant	ブライアント
carnival	カーニバル
notices	通知
bates	ベイツ
partisan	パルチザン
ballad	バラード
ballad	バラッド
dairy	酪農
hay	干し草
kolkata	コルカタ
momentum	運動量
momentum	勢い
peerage	爵位
ricardo	リカルド
endurance	持久力
blame	責め
gaza	ガザ
hal	hal
convent	修道院
dealer	ディーラー
neal	ニール
frost	フロスト
bugs	バグ
bugs	不具合
consistency	一貫性
fuller	フラー
shannon	シャノン
watershed	流域
extant	現存
lanes	車線
whitney	ホイットニー
pupil	生徒
pupil	瞳孔
limitations	制限
lovers	恋人
intentions	意図
comply	従う
securities	証券
prohibition	禁酒
prohibition	禁止
prohibition	禁酒令
acute	急性
acute	アキュート
container	容器
container	コンテナ
notation	表記
notation	記法
omar	オマール
taipei	台北市
taipei	台北
dining	ダイニング
survivor	サバイバー
corpus	コーパス
shaft	シャフト
nicole	ニコル
marker	マーカー
locals	地元
locals	地元民
cove	コーブ
cove	入り江
dont	dont
pour	注ぐ
suspicious	不審
expense	費用
expense	経費
prosecution	訴追
prosecution	公訴
prosecution	検察官
noah	ノア
terrestrial	地上波
countess	伯爵夫人
tender	テンダー
tender	柔らかい
dudley	ダドリー
dudley	ダッドリー
barrett	バレット
fathers	父親
pas	pas
colts	コルツ
denomination	名称
softball	ソフトボール
compression	圧縮
micro	マイクロ
sovereignty	主権
brady	ブレイディ
shadows	シャドウズ
breach	違反
behavioral	行動
monasteries	修道院
monasteries	僧院
rope	ロープ
spare	スペア
cache	キャッシュ
duplicate	重複
duplicate	複製
notorious	汚名
ronnie	ロニー
odds	確率
andre	アンドレ
mos	mos
maternal	母方
steal	盗む
identifies	識別
pension	年金
scenario	シナリオ
specimen	標本
specimen	見本
dolphins	イルカ
gloucestershire	グロスタシャー
metals	金属
oceania	オセアニア
lightweight	ライトウェイト
processor	プロセッサ
somalia	ソマリア
switching	スイッチング
switching	切り替え
descended	降臨
pyramid	ピラミッド
eps	eps
nina	ニーナ
val	val
val	ヴァル
wolfgang	ヴォルフガング
cooling	冷却
dash	ダッシュ
rita	リタ
timing	タイミング
peters	ペータース
peters	ピーターズ
stalin	スターリン
presumed	推定
mayer	メイヤー
beaver	ビーバー
gustav	グスタフ
motorsport	モータースポーツ
spike	スパイク
titans	タイタンズ
apps	アプリ
cal	カル
hassan	ハサン
hassan	ハッサン
dundee	ダンディー
translate	翻訳
flesh	肉体
medalist	メダリスト
pistol	ピストル
mikhail	ミハイル
expired	期限切れ
expired	失効
benson	ベンソン
travis	トラヴィス
distances	距離
asteroid	小惑星
cow	カウ
accommodation	宿泊
warwick	ワーウィック
textile	繊維
textile	織物
clarification	釈明
qualities	資質
marching	行軍
marx	マルクス
usd	usd
diane	ダイアン
specify	指定
fritz	フリッツ
doyle	ドイル
statues	彫像
nigel	ナイジェル
qing	清国
sheikh	シャイフ
cafe	カフェ
orphan	孤児
monaco	モナコ
sen	セン
illustrator	イラストレーター
celebrations	お祝い
strain	変形
pronunciation	発音
disco	ディスコ
talented	才能
forestry	林業
forestry	農林
exam	試験
advantages	利点
advantages	長所
mood	気分
mood	ムード
wheeler	ウィーラー
karachi	カラチ
beth	ベス
subpages	subpages
swimmer	競泳
swimmer	水泳
tunnels	トンネル
wagon	ワゴン
offshore	オフショア
darren	ダレン
gerard	ジェラード
consul	領事
consul	執政官
excuse	言い訳
salon	サロン
trigger	引き金
trigger	トリガー
pipes	パイプ
pipes	パイプス
atoms	原子
invisible	不可視
ibrahim	イブラヒム
inception	インセプション
werner	ヴェルナー
gifts	ギフト
gifts	贈り物
livestock	家畜
confirmation	確認
volcano	火山
jupiter	ジュピター
jupiter	木星
taxi	タクシー
disagreement	不一致
dresden	ドレスデン
refuse	拒否
detention	拘禁
detention	勾留
detention	留置
detention	収容
scripts	スクリプト
iris	アイリス
elvis	エルヴィス
elvis	エルビス
dorset	ドーセット
mel	メル
lorraine	ロレーヌ
fabric	布地
fabric	生地
fabric	織物
shin	シン
starter	スターター
clip	クリップ
villain	悪役
immune	免疫
bologna	ボローニャ
flexible	フレキシブル
samoa	サモア
tai	タイ
gamma	ガンマ
cherokee	チェロキー
homeless	ホームレス
triumph	トライアンフ
prefix	プレフィックス
obsolete	時代遅れ
consortium	コンソーシアム
effectiveness	実効
advocated	提唱
souls	霊魂
retire	引退
dissolution	解散
unemployment	失業
malay	マレー
dana	ダナ
clarinet	クラリネット
sodium	ナトリウム
moldova	モルドバ
crow	カラス
crow	クロウ
columnist	コラムニスト
quantities	数量
pseudonym	偽名
eclipse	eclipse
organs	臓器
organs	機関
château	シャトー
countryside	田舎
angelo	アンジェロ
dir	dir
regina	レジーナ
rectangular	長方形
transfers	転送
yacht	ヨット
secondly	次に
algorithms	アルゴリズム
nassau	ナッソー
sánchez	サンチェス
bart	バート
genius	天才
punch	パンチ
specialty	特製
continuation	続行
continuation	続き
continuation	継続
abdullah	アブドゥッラー
remedy	救済
comfort	慰め
branded	烙印
teamb	teamb
shooter	シューティング
lotus	ハス
lotus	ロータス
dwarf	ドワーフ
dwarf	小人
antwerp	アントワープ
knox	ノックス
terrace	テラス
terrace	棚田
tri	tri
sandstone	砂岩
renault	ルノー
fleming	フレミング
judy	ジュディ
happiness	ハピネス
happiness	幸福
happiness	幸せ
warehouse	倉庫
miracle	ミラクル
miracle	奇跡
leisure	レジャー
leisure	余暇
kindergarten	幼稚園
synthetic	合成
sage	セージ
adviser	顧問
adviser	アドバイザー
trim	整える
trim	トリム
irregular	不定期
irregular	不規則
atom	原子
normandy	ノルマンディー
financing	融資
passive	パッシブ
shiva	シヴァ
breakdown	内訳
badminton	バドミントン
fiber	繊維
fiba	fiba
mice	マウス
carlisle	カーライル
wage	賃金
loving	愛する
loving	あつい
worried	心配
gambling	賭け事
gambling	ギャンブル
gambling	賭博
basel	バーゼル
randolph	ランドルフ
mothers	母親
auditorium	講堂
descendant	子孫
damages	ダメージ
damages	損害賠償
eleanor	エレノア
calvin	カルヴィン
dover	ドーバー
dover	ドーヴァー
mafia	マフィア
deny	拒否
deny	否定
shapes	形状
shapes	シェイプ
madras	マドラス
essence	エッセンス
essence	本質
emotions	感情
myers	マイヤーズ
saturn	土星
domains	ドメイン
hanover	ハノーバー
hanover	ハノーファー
mets	メッツ
sketches	スケッチ
augusta	オーガスタ
sponsorship	スポンサー
bmw	bmw
uncommon	珍しい
aria	アーリア
aria	アリア
miranda	ミランダ
dodge	ダッジ
dodge	ドッジ
plug	プラグ
spreading	広がる
puzzle	パズル
diamonds	ダイヤモンド
roses	薔薇
roses	バラ
competitor	競合
rides	配車
lahore	ラホール
pipeline	パイプライン
levy	レヴィ
rodriguez	ロドリゲス
seymour	シーモア
jules	ジュール
accusation	告発
rendering	レンダリング
progression	progression
indefinite	無期限
mackenzie	マッケンジー
judith	ジュディス
pursuing	追及
primera	プリメーラ
polls	アンケート
cope	コープ
beds	ベッド
howe	ハウ
calcutta	コルカタ
calcutta	カルカッタ
desperate	必死
lafayette	ラファイエット
uniforms	ユニフォーム
tips	tips
tips	ヒント
conclusions	結論
destiny	運命
reporters	リポーター
daytime	昼間
aurora	オーロラ
goodbye	さようなら
webpage	ウェブページ
coordinate	座標
steering	ステアリング
pepper	ペッパー
pepper	胡椒
pepper	コショウ
drunk	酔っぱらい
scouting	ボーイスカウト
swim	泳ぐ
swim	水泳
swim	泳ぎ
persecution	迫害
expenses	費用
expenses	経費
agnes	アグネス
query	問い合わせ
accomplishments	実績
pérez	ペレス
fool	愚か者
fool	フール
brave	ブレイブ
brave	勇者
brave	勇敢
mozart	モーツァルト
gil	ギル
dirt	ダート
noel	ノエル
inventory	在庫
inventory	棚卸
ethiopian	エチオピア
meanings	意味
indef	indef
rgb	rgb
imagination	イマジネーション
imagination	想像
imagination	想像力
barber	理容師
barber	床屋
slogan	スローガン
reich	ライヒ
łódź	ウッチ
łódź	ウッチー
amusement	アミューズメント
amusement	娯楽
drops	ドロップ
sept	三軒茶屋
demolition	解体
hague	ハーグ
bronx	ブロンクス
ancestor	先祖
fence	フェンス
turin	トリノ
crush	クラッシュ
algerian	アルジェリア
exploring	探検
reunited	再会
wii	wii
cone	円錐
cone	コーン
württemberg	ヴュルテンベルク
continuity	連続
verification	検証
verification	認証
owl	フクロウ
owl	ふくろう
namibia	ナミビア
pratt	プラット
tate	テート
tate	テイト
romeo	ロミオ
romeo	ロメオ
regulated	規制
lonely	孤独
lonely	寂しい
shire	シャイア
newsletter	ニュースレター
newsletter	会報
ink	インク
dwight	ドワイト
menu	メニュー
steelers	スティーラーズ
pointless	無意味
declare	申告
declare	宣言
supernatural	超自然
privileges	特権
commercials	コマーシャル
faithful	忠実
knock	ノック
jubilee	ジュビリー
lamb	子羊
lamb	ラム
hesse	ヘッセン
hesse	ヘッセ
logistics	物流
dub	dub
dub	ダブ
elisabeth	エリザベート
apache	apache
antenna	アンテナ
fin	フィン
advise	助言
trump	切り札
kidnapped	誘拐
turtle	カメ
greenwich	グリニッジ
cake	ケーキ
neologism	新語
hobart	ホバート
pulse	パルス
pulse	脈拍
irrigation	灌漑
kyoto	京都
vera	ヴェラ
honestly	正直
ninja	忍者
ninja	ニンジャ
transcription	転写
curse	呪い
scoreb	scoreb
cycles	サイクル
node	ノード
habit	習慣
viewer	ビューア
shields	シールド
analyst	アナリスト
interval	間隔
interval	音程
interval	インターバル
interval	区間
igor	イーゴリ
oath	宣誓
filing	ファイリング
generator	ジェネレータ
bahrain	バーレーン
twist	ひねり
twist	ツイスト
griffith	グリフィス
aston	アストン
nicaragua	ニカラグア
bacon	ベーコン
bury	埋める
smithsonian	スミソニアン
premium	プレミアム
mayo	マヨ
walton	ウォルトン
colleague	同僚
curves	カーブ
curves	曲線
fraternity	友愛
jacobs	ジェイコブス
hire	雇う
isolation	隔離
isolation	孤立
raven	レイヴン
dig	ディグ
dig	掘る
patents	特許
usc	usc
holt	ホルト
wiktionary	ウィクショナリー
sonata	ソナタ
hemisphere	半球
slang	俗語
slang	スラング
thrust	推力
trout	マス
panic	パニック
tulsa	タルサ
aaa	aaa
teresa	テレサ
advancement	振興
hunger	飢え
hunger	空腹
laurent	ローラン
resign	辞任
splitting	分割
courtesy	礼儀
rodney	ロドニー
subscription	引受け
subscription	購読
perspectives	視点
pasha	パシャ
amber	琥珀
amber	アンバー
dayton	デイトン
revelation	啓示
designing	デザイン
overtime	残業
functionality	機能
ave	アヴェ
pts	pts
shocked	ショック
shocked	衝撃
autonomy	自治
frequencies	周波数
magnus	マグナス
inflation	インフレーション
passport	パスポート
passport	旅券
interpretations	解釈
baba	ババ
baba	馬場
viral	バイラル
woody	ウッディー
tab	タブ
inscriptions	碑文
motivation	モチベーション
yoga	ヨガ
rotterdam	ロッテルダム
marvin	マーヴィン
teenager	ティーンエイジャー
laurel	ローレル
overhead	頭上
balloon	風船
balloon	気球
sponsors	スポンサー
ivy	ツタ
ivy	アイビー
screw	スクリュー
screw	ねじ
screw	ネジ
wigan	ウィガン
accreditation	認定
overwhelming	圧倒的
rats	ネズミ
mali	マリ
baku	バクー
stranger	よそ者
installations	インストール
payne	ペイン
mod	mod
projection	投影
ferrari	フェラーリ
sands	サンズ
subtle	微妙
basket	バスケット
basket	かご
moroccan	モロッコ
fisheries	漁業
gfdl	gfdl
voter	有権者
resolutions	解像度
silicon	シリコン
silicon	ケイ素
rage	レイジ
aliens	エイリアン
nucleus	原子核
serviceyears	serviceyears
uranium	ウラン
complications	合併症
zambia	ザンビア
employ	雇う
isabella	イサベル
isabella	イザベッラ
marriages	結婚
amino	網野
amino	アミノ酸
accent	アクセント
robots	ロボット
slate	スレート
parachute	パラシュート
lauren	ローレン
belarusian	ベラルーシ
clearance	クリアランス
martínez	マルティネス
crimson	クリムゾン
meal	食事
islander	島民
dominion	自治領
medley	メドレー
porn	ポルノ
remnants	残党
vegetables	野菜
teammate	チームメイト
leningrad	レニングラード
laos	ラオス
wiltshire	ウィルトシャー
tense	緊張
tense	時制
ant	アリ
hectares	ヘクタール
curling	カーリング
fits	合う
inning	イニング
fernández	フェルナンデス
fury	激怒
fury	フューリー
kraków	クラクフ
confident	自信
suzuki	スズキ
suzuki	鈴木
fascist	ファシズム
marquis	侯爵
registry	登記簿
olivier	オリヴィエ
halt	停止
chronology	沿革
chronology	年表
scrapped	廃車
chandler	チャンドラー
sophisticated	洗練された
spur	拍車
textbook	教科書
landscapes	景色
landscapes	風景
commissions	コミッション
databases	データベース
approximate	おおよそ
inheritance	相続
inheritance	継承
prodcode	prodcode
ugly	醜い
ugly	みにくい
fraction	分数
transaction	取引
transaction	トランザクション
decay	崩壊
decay	減衰
lineage	系統
guam	グアム
fencing	フェンシング
mir	ミール
electrons	電子
avant	avant
turbine	タービン
install	インストール
zürich	チューリッヒ
outlet	コンセント
vince	ビンス
vince	ヴィンス
mint	ミント
katie	ケイティ
bizarre	ビザール
ign	ign
swansea	スウォンジー
wheelchair	車椅子
wheelchair	車いす
