yra	is
amžiaus	age
amžiaus	ages
auga	growing
auga	grow
klubo	hip
lietuva	lithuania
dvaro	strut
inžinierius	engineer
balstogės	białystok
prūsijos	prussian
rudenį	autumn
provincijos	provinces
aktorius	actor
futbolininkas	footballer
veikė	acted
rūšių	species
institutas	institute
raj	raj
išrinktas	elected
pavasarį	underground
senovės	ancient
xiv	xiv
direktorius	director
britų	british
kartus	times
motina	mothers
motina	mother
xiii	xiii
ilgis	length
kolūkis	kolkhoz
filmas	movie
filmas	film
didysis	big
augalų	plant
parkas	park
daina	song
išleistas	released
katalikų	catholic
tada	then
šachmatų	chess
bgcolor	bgcolor
miestai	towns
miestai	cities
petras	petras
kelių	road
kalnų	mountain
sala	island
profesorius	professor
apsaugos	protection
dalies	part
komanda	team
kūno	body
bus	will
radijo	radio
komandos	teams
afrikos	african
colspan	colspan
jaunimo	youth
žydų	jewish
vyksta	happening
prekybos	marketing
aleksandras	aleksandr
aleksandras	alexander
žinoma	course
maždaug	approx
kol	pending
rūšys	species
televizijos	television
jūrų	marine
premija	bonus
premija	prize
politikas	politician
grigaliaus	gregorian
statybos	build
choro	choir
japonijos	japan
japonijos	japanese
didžiausias	biggest
didžiausias	maximum
graikų	greek
pareigas	duties
ldk	ldk
dvaras	manor
čempionatas	championship
jai	she
alytaus	bc
paskirtas	appointed
aukso	gold
gydytojas	physician
gydytojas	doctor
taurė	cup
būdu	way
uab	uab
vasaros	summer
poetas	poet
verslo	business
dainos	song
dainos	songs
trakų	trakai
spalvos	colours
spalvos	colour
ispanijos	spain
ispanijos	spanish
xvii	xvii
reikia	need
sienos	wall
karinis	military
katedros	cathedral
žurnalistas	journalist
imperija	empire
parašė	wrote
tsr	tsr
marijos	mystery
armijos	army
turnyras	tournament
kultūra	culture
geriausias	best
vokietija	germany
švietimo	educational
gitara	guitar
gerai	ok
gerai	good
kunigaikštystės	principality
gana	ghana
gana	pretty
gana	quite
paveldo	heritage
visiškai	fully
kunigas	priest
aktorė	actor
aktorė	actress
moteris	woman
moteris	female
liublino	lublin
čempionato	championship
viii	viii
pro	pro
clubnat	clubnat
krepšinio	basketball
kinijos	chinese
vyr	senior
jiems	them
eina	goes
utenos	utena
kaimai	villages
leido	lets
žmogus	human
žmogus	man
namai	homes
namai	houses
žaidėjas	player
automobilių	automobile
automobilių	automotive
teatras	theater
teatras	theatre
saulės	sunlight
stotis	station
sutuoktinis	spouse
paminklų	monuments
lygos	league
filmų	films
keletą	few
kapinės	cemetery
spaudos	press
taikos	peace
gamybos	production
kompozitorius	composer
vietų	seater
vietų	seats
aukštis	elevation
daugiausiai	max
karas	war
darbai	works
anglijos	england
persikėlė	swept
knyga	book
parapija	parish
vidaus	internal
intakas	tributary
nepriklausomybės	independence
indijos	indian
indijos	india
greitai	quick
greitai	soon
greitai	fast
greitai	quickly
sovietų	soviet
technologijos	technologies
technologijos	technology
departamentas	department
algirdas	algirdas
palaidotas	buried
biblioteka	library
kazimieras	kazimierz
jas	them
teisininkas	lawyer
netrukus	shortly
paminklas	monument
abu	both
abu	abu
klasės	class
pilis	castle
čempionas	champion
informacija	information
mūsų	ours
architektūros	architectural
ffffff	ffffff
įmonės	undertakings
garbės	honour
garbės	honor
miško	woods
architektas	architect
jurgis	jurgis
kuria	kuria
stovi	parked
uefa	uefa
tampa	becoming
upių	rivers
rowspan	rowspan
medžiagų	materials
koplyčia	chapel
organizacija	organisation
galerija	gallery
oji	oji
valstiečių	peasant
imperatorius	emperor
sudėtis	composition
savivaldybė	municipality
ukmergės	ukmergė
knygą	book
#aaa	#aaa
vaga	vaga
tomas	tomas
tomas	tom
kunigaikštis	duke
elektros	electricity
km²	km²
knygos	books
ministerijos	ministries
tautos	nations
medžiagos	materials
kranto	shore
kompanija	company
dramos	drama
azijos	asian
departamento	departmental
stasys	stasys
roko	rocco
min	min
treneris	trainer
treneris	coach
filosofijos	philosophy
amerikoje	america
ataskaita	report
mykolas	michał
britanijos	british
jeigu	if
rinkimų	electoral
rinkimų	election
ukrainos	ukrainian
suvalkų	suwałki
istorikas	historian
rašė	wrote
laikoma	considered
apdovanojimai	prizes
jonavos	jonava
studentų	student
algimantas	algimantas
miškai	forests
vii	vii
finalas	final
fakulteto	faculty
kalnas	mountain
linija	line
aplinkos	ambient
nuolat	continuous
policijos	police
augalas	plant
dainininkė	singer
medžiaga	material
medžiaga	substance
gedimino	gediminas
mano	mine
nepaisant	notwithstanding
katedra	cathedral
akademija	academy
unesco	unesco
apima	covers
sekretorius	registrar
ignalinos	ignalina
ispanų	spanish
kurti	curtis
didžiausia	peak
dalys	chunks
dalys	shares
žaidynėse	olympics
akmuo	rock
romanas	novel
kariuomenė	army
gyvūnų	animals
gyvūnų	animal
vaivadija	voivodeship
brolis	brother
dalyvauja	participates
temperatūra	temperature
temperatūra	temperatures
asociacijos	associations
asociacijos	association
fizikos	physics
pajėgų	retreat
nationalcaps	nationalcaps
popiežius	pope
didelis	big
didelis	large
greta	greta
pajėgos	forces
žiemos	winter
lyga	league
federacijos	federation
išleista	spent
varžybose	competitions
lauko	outdoor
amžius	age
gamyba	manufacture
gamyba	production
gamyba	manufacturing
žurnalo	logbook
klaipėda	klaipeda
arabų	arab
kraštas	frame
gimnazija	gymnasium
vengrijos	hungarian
argentinos	argentina
galiausiai	eventually
baigęs	expired
mokymo	teaching
mokymo	training
dolerių	dollars
dolerių	dollar
atsisakė	refused
japonų	japanese
pranas	pranas
žaidimų	games
kilmė	origin
leftarm	leftarm
įmonė	company
įmonė	business
aktyviai	active
liberalų	liberal
tiltas	bridge
popiežiaus	papal
kazys	kazys
vladas	vladas
bendrovė	company
save	self
save	yourself
dinastija	dynasty
šakių	forks
darbas	job
darbas	work
metalo	metallic
gyvenimas	life
slavų	slavic
žaidžia	playing
bendrovės	corporate
bendrovės	company
bendrovės	companies
tiesiog	simply
tiesiog	just
žaidimas	game
medžio	tree
akmens	stone
kaliningrado	kaliningrad
currentclub	currentclub
pilies	castle
pilies	palace
kaimų	villages
paliko	left
modelis	model
naftos	oil
karinės	military
bendras	common
nationalyears	nationalyears
naujai	newly
ligos	illness
ligos	sickness
teisėjas	judge
teisėjas	referee
dievas	god
david	david
lapai	foliage
pulkininkas	symbol
pulkininkas	col
žurnalas	logbook
žurnalas	magazine
didelės	big
vyras	male
vyras	husband
vyras	man
armija	army
jūra	sea
finansų	finance
jungtinės	united
pinigų	cash
stanislovas	stanisław
darbuotojas	employee
darbuotojas	worker
projektas	project
andrius	andrius
nemuno	nemunas
mokytoja	teacher
krikščionių	christians
kinų	chinese
ištekėjusi	married
mergelės	virgo
sen	sen
motinos	mothers
linijos	lines
linijos	loop
humanitarinių	humanities
vietose	locations
judėjimo	movements
teorija	theory
filosofas	philosopher
kūnas	body
politechnikos	polytechnic
atlikėjas	performer
atlikėjas	artist
gyventi	residence
gyventi	live
gyventi	living
egipto	egypt
egipto	egyptian
galvos	head
partijų	batches
dalyvavimas	attendance
dalyvavimas	involvement
dalyvavimas	participation
atvyko	arrived
spalva	color
spalva	colour
sėkmingai	successful
sėkmingai	successfully
pedagogė	educator
laikas	timing
laikas	time
povilas	povilas
henrikas	heinrich
grand	grand
kalnuose	mountains
projekto	project
plungės	plungė
aviacijos	aviation
tapti	become
tvenkinys	reservoir
visada	always
moterys	female
moterys	women
šiauliai	šiauliai
gynėjas	defender
formulės	formula
formulės	formulae
kanados	canada
žuvų	fish
teorijos	theory
viensėdis	khutor
turėtų	should
pareigos	responsibilities
terminas	maturity
saugas	midfielder
kūriniai	works
ežerų	lakes
google	google
šviesos	luminous
šviesos	lights
pėstininkų	infantry
puolėjas	quarterback
demokratų	democrats
demokratų	democrat
emblema	emblem
varėnos	varėna
surengė	hosted
kęstutis	kęstutis
archeologijos	archaeological
tyrimai	studies
tyrimai	investigations
kalnai	mountains
danijos	denmark
psl	psi
juozapas	józef
tarnavo	served
širdies	cardiac
širdies	heart
ekonomistas	economist
viktoras	victor
funkcija	function
liga	sickness
geriausia	ideally
geriausia	best
man	me
pagalba	aid
darbininkų	workers
ona	ona
duktė	daughter
kiekis	quantity
vidutinis	moderate
žaisti	play
objektų	objects
enciklopedija	encyclopedia
teatre	theatres
teatre	theater
teatre	theatre
simbolis	symbol
patys	themselves
šventės	celebrations
šventės	holidays
metrų	meters
metrų	metres
dalyvis	peer
dalyvis	attendee
dalyvis	participant
medinė	wooden
vertė	value
biomedicinos	biomedical
gynybos	defense
gynybos	defence
karui	war
elementų	items
serijos	series
turto	asset
reicho	reich
vincas	vincas
interneto	web
interneto	internet
stoties	station
tauta	nation
tikslas	objective
tikslas	purpose
statusą	status
lietuviai	lithuanians
augalai	crops
studijos	studio
tom	tom
klasė	class
būtent	precisely
būtent	exactly
leonas	leon
gaminti	cook
estijos	estonia
šiauliuose	šiauliai
žodžiai	word
žodžiai	words
mokslas	science
medienos	wood
žaidėjai	players
aukščiausia	best
padeda	helping
pašto	postal
akmenų	stones
akmenų	rocks
japonija	japan
stadionas	stadium
įrengta	fitted
odos	leather
odos	skin
savininkas	owner
žiedai	rings
pasiekti	achieving
genčių	tribal
geležies	iron
prisijungė	joined
vyrai	men
vyrai	male
karaliaučiaus	königsberg
žvaigždės	star
gediminas	gediminas
meto	dash
ginklų	weapon
ginklų	guns
ginklų	arms
bankas	bank
dėmesio	attention
rinkimai	elections
rinkimai	election
latvija	latvia
mokymosi	learning
greitis	velocity
greitis	speed
miškas	woods
miškas	forest
osmanų	ottoman
sezonas	season
biografija	biography
abi	both
abi	abbey
abi	abi
veterinarijos	veterinary
žiemą	winter
tekstilės	textile
tekstilės	textiles
rūdos	ore
rūdos	ores
pasienio	border
kunigaikštystė	duchy
eurovizijos	eurovision
tėvai	fathers
variantas	variant
kandidatas	candidate
viduramžių	medieval
komunistų	communist
tiškevičius	tyszkiewicz
žvaigždžių	stars
nuotraukos	photographs
nuotraukos	photo
prisidėjo	complicit
aleksandro	alexander
fondo	fund
paroda	exhibition
mindaugas	mindaugas
foto	photo
mokinių	pupil
mokinių	pupils
ispanija	spain
geriau	better
saulius	saulius
saulius	saul
futbolas	soccer
futbolas	football
airijos	irish
pakankamai	sufficiently
asociacija	association
korėjos	korean
skulptorius	sculptor
radvila	radziwiłł
nba	nba
eet	eet
video	video
laivyno	fleet
laivyno	naval
peterburgo	petersburg
administracijos	administrations
tiesa	true
tiesa	truth
mokiniai	pupils
pagalbos	aid
menų	arts
vyro	husband
lengvai	easily
lengvai	easy
lengvai	readily
siena	wall
partizanų	guerrilla
julius	julius
klimatas	climate
gatvė	street
viduje	inside
baleto	ballet
paukščiai	avian
paukščiai	birds
ląstelių	cell
ląstelių	cellular
gatvės	street
gatvės	streets
draudimo	insurance
vienuolynas	monastery
izraelio	israel
augustavo	augustów
irena	irena
irena	irene
generalinis	executive
wikimedia	wikimedia
sostą	throne
james	james
mokesčių	treasure
šveicarijos	swiss
ana	ana
ana	anna
geležinkelis	railroad
geležinkelis	rail
geležinkelis	railway
keliai	roads
spalvų	colours
spalvų	colour
kijevo	kiev
roma	roma
alfonsas	alphonse
rimantas	rimantas
pavyko	managed
pavyko	succeeded
vns	vns
galios	power
mintis	idea
aktoriai	actors
pakeisti	modify
būdas	way
upelio	creek
kolonija	kolonia
kolonija	colony
pieno	dairy
palangos	palanga
nuorodos	links
įpėdinis	successor
teigė	claimed
šakos	branches
ford	ford
ilgai	long
konstantinas	constantine
paulius	paul
mūšio	battlefield
atr	atr
laimėtojas	winner
choras	choir
kūrybos	creative
revoliucijos	revolution
revoliucijos	revolutions
ryšius	ties
žiūrovų	viewers
kunigų	leviticus
laikyti	store
kapitonas	captain
kapitonas	master
kapitonas	skipper
eilėraščiai	poems
technologijų	technologies
technologijų	technology
federacija	federation
atitinka	matches
nieko	nothing
disertaciją	thesis
tarnyba	office
ligų	diseases
festivalis	festival
jėga	cool
turkijos	turkey
turkijos	turkish
judėjimas	movement
gyvenviečių	settlements
fizikas	physicist
fondas	fund
gerokai	significantly
įvykiai	events
juosta	strap
vladimiras	wladimir
vladimiras	vladimir
lomžos	łomża
masė	masses
elena	elena
elena	ellen
elena	helen
robertas	roberto
laivas	vessel
kritulių	rainfall
kritulių	precipitation
uosto	harbour
klebonas	parson
turizmo	tourism
turizmo	tourist
rock	rock
artilerijos	artillery
įkūrėjas	founder
atgal	backward
saugomų	protected
broliai	brothers
finale	finale
bendra	general
balsų	votes
balsų	voices
tikriausiai	probably
serija	series
vykdyti	execute
vykdyti	run
vykdyti	drive
praktiškai	practically
regionų	regional
kovojo	struggled
val	val
jūroje	offshore
žvaigždė	star
mikalojus	mikołaj
dėmesį	attention
gruzijos	georgian
gruzijos	georgia
milijonų	millions
chorų	choral
gamyklos	factories
šventė	holiday
šventė	feast
šventė	celebration
galia	power
žaidėjų	players
kanadoje	canada
dangaus	heaven
dangaus	sky
greičiausiai	probably
jėgos	powers
sostinės	capitals
vyresnysis	elder
vyresnysis	senior
pranciškus	francis
gintaras	amber
gintaras	gintaras
karalienė	queen
istorinis	historic
istorinis	historical
bizantijos	byzantine
dideli	large
dideli	big
agronomas	agronomist
filmai	films
filmai	movies
filmai	movie
anglies	carbon
ministrų	ministers
šiandien	today
klimato	climatic
klimato	climate
praleido	spent
energija	energy
minta	minta
varžybų	competitions
gaminami	manufactured
seinų	sejny
romualdas	romualdas
bokštas	tower
bokštas	rook
gauna	receives
coa	coa
drama	drama
institucija	institution
institucija	authority
stilius	style
įtaka	influence
dukra	daughter
vedęs	married
studija	studio
slėnis	valley
didelių	large
įrengti	mortals
įrengti	mortal
įrengti	fitted
atrodo	looks
gamykla	plant
gamykla	factory
atrado	discovered
dinamo	dinamo
kariai	warriors
kariai	troops
kariai	soldiers
lenktynių	racing
problemų	trouble
augo	relatives
namas	house
stovėjo	stood
įranga	machine
įranga	equipment
menas	arts
šaka	branch
kanalas	canal
mini	mini
laidų	wiring
krymo	crimea
krymo	crimean
dainas	songs
vokiečiai	germans
martynas	marcin
martynas	martynas
garsus	sounds
valdo	runs
valdo	manages
tamsiai	dark
filmuose	films
ferrari	ferrari
renesanso	renaissance
ligoninės	hospital
ligoninės	hospitals
ankstesnis	previous
norėjo	wished
mokytis	learning
mokytis	learn
buenos	buenos
mokslininkas	scientist
kompleksas	complex
unikalus	unique
krikščionys	christians
bangos	wavelength
bangos	waves
bangos	wave
jais	them
šokio	dance
įsigijo	acquired
statyba	construction
liuteronų	lutheran
lauke	outdoor
technika	technique
park	park
namus	homes
lėktuvas	aircraft
lėktuvas	plane
lėktuvas	airplane
lėktuvas	aeroplane
užsiėmimas	occupation
vienuolyno	monastery
ukrainoje	ukraine
ramiojo	pacific
live	live
york	york
vedėja	presenter
karinė	military
raudona	red
reformos	reform
turnyro	tournament
sodyba	mansion
rašyti	write
medžiai	trees
škotijos	scottish
kerta	crosses
veiksmas	action
religijos	religions
karalystę	realm
gylis	depth
tyrimus	inquiries
tyrimus	investigations
arvydas	arvydas
kolegijos	college
airių	irish
įlanka	bay
verslininkas	businessman
verslininkas	trader
verslininkas	entrepreneur
riba	threshold
festivalio	festival
anglija	england
meilės	love
pusiasalio	peninsula
fide	fide
ryšiai	telecommunications
elementai	elements
jungtinė	united
spėjama	guessing
spėjama	supposedly
baseinas	basin
adolfas	adolf
tilto	bridge
išrinkta	elected
pora	pair
pora	couple
regina	regina
egzistavo	existed
wien	wien
dalia	dalia
žydai	jews
darius	darius
musulmonų	muslim
demokratinės	democratic
miestus	towns
artūras	arthur
kova	struggle
gautas	received
kūryba	creation
skulptūra	sculpture
žodynas	glossary
žodynas	dictionary
žodynas	vocabulary
biuro	office
augimo	growth
monetos	coins
monetos	coin
skol	skol
liekanos	residue
liekanos	residues
savybės	features
įvykių	events
smegenų	brain
žvejyba	fishing
boleslovas	bolesław
tikras	real
tikras	sure
pasirodo	memories
statistikos	statistical
zona	zone
būrys	squad
būrys	platoon
vietovės	terrain
vietovės	locations
atitinkamai	respectively
kūrėjų	creators
ima	ima
atminimo	commemorative
atminimo	memorial
ričardas	richard
muziejų	museum
don	don
klubai	clubs
klubai	hips
geobox	geobox
advokatas	attorney
advokatas	lawyer
ežerai	lakes
masės	masses
sąvoka	notion
gyvūnai	animals
gyvūnai	livestock
gyvūnai	animal
mažoji	lesser
kuršių	curonian
ukraina	ukraine
ukraina	ukrainian
matematikas	mathematician
archeologas	archaeologist
kursus	courses
turkų	turkish
viršuje	upstairs
sesuo	sister
instrumentai	instruments
karjeros	career
karjeros	careers
supa	supa
karjera	career
karjera	careers
kalvos	hill
taškai	dots
galbūt	perhaps
galbūt	maybe
pobūdžio	nature
ekonomika	economics
ekonomika	economy
vartai	gates
vartai	gateway
vartai	gate
primena	memories
primena	recalls
kraštovaizdžio	landscape
vaisiai	fruits
vaisiai	fruit
gynyba	defense
gynyba	defence
sluoksnis	ply
baigiasi	ends
stalo	desk
kojos	legs
kojos	leg
mėgėjų	amateur
registro	registry
monetų	coin
klubų	hips
priežiūros	supervision
užimti	occupy
lkl	lkl
vadina	call
žuvis	fish
muzikantas	musician
argentinoje	argentina
paviršių	surfaces
dvd	dvd
dvd	dvds
ugnies	fire
bialos	podlaska
laikinai	temporary
versijos	versions
ali	ali
tinka	fit
tinka	suits
tėvų	parental
įrangos	equipment
lapų	leaf
albumai	albums
argentina	argentina
bielsko	bielsk
kristina	christina
kristina	kristina
kristina	christine
kristina	kris
aldona	aldona
įstaiga	organization
įstaiga	institution
žydi	bloom
skulptūros	sculptures
vaikas	kid
vaikas	child
bibliotekos	libraries
bibliotekos	library
indų	dish
vaidmenys	roles
apsauga	protection
michailas	mikhail
prekės	bag
prekės	goods
juostos	straps
juostos	tape
minimi	schizophrenia
parduota	sold
fotografijos	photographs
fotografijos	photography
fotografijos	photographic
smėlio	sand
smėlio	sandy
islamo	islamic
parodos	exhibition
parodos	exhibitions
kaulų	bone
būgnai	drums
mokslininkai	researchers
mokslininkai	scientists
čilės	chilean
krokuvos	kraków
turizmas	tourism
caro	caro
gamina	manufactures
svoris	weight
šilumos	heat
ligoninė	hospital
vaisių	fruity
vaisių	fruits
demokratijos	democracy
architektūra	architecture
lankėsi	visited
vietovė	locality
rokas	rock
santuokos	marriage
drauge	comrade
drauge	friend
sibiro	siberian
karlas	karl
kelionės	travel
kelionės	travelling
tvirtovė	fortress
sosto	throne
mokslininkų	researchers
patarėjas	adviser
specialiai	specially
automobiliai	automotive
siekiama	aim
ženklai	marks
komedija	comedy
vadovai	managers
simonas	simon
išsilavinimas	education
filosofija	philosophy
laisvai	freely
laisvai	casual
laisvai	dismissed
senas	old
socialistų	socialist
sekmadienį	sunday
demokratai	democrats
alaus	beer
alaus	beers
aptarimas	discussion
mėnulio	lunar
kristupas	krzysztof
enciklopedinis	encyclopedic
arena	arena
istorinė	historic
istorinė	historical
idėja	idea
vykdė	served
armėnijos	armenia
skydo	shield
pulko	flock
šeimų	families
elementas	element
požymiai	attributes
litų	litas
žaidimai	gaming
žaidimai	games
trumpai	briefly
trumpai	short
valign	valign
pasiekia	reaches
paveldas	heritage
jėzuitų	jesuit
dainavo	sang
minsko	minsk
kanada	canada
archyvas	archives
baroko	baroque
konservatorijos	conservatory
įstaigų	bodies
fotografas	photographer
sėkmės	success
nori	wanting
nori	want
konstitucija	constitution
jaunųjų	explored
išsiskyrė	divorced
civilinės	civil
studijoje	studio
totorių	tatar
frankų	francs
frankų	franc
fifa	fifa
aktyvus	active
tel	tel
keliavo	travelled
keliavo	traveling
stačiakampio	rectangular
šveicarija	swiss
galimybė	chance
serbų	serbian
tikrai	truly
tikrai	surely
tikrai	really
sportininkas	athlete
išvengti	avoid
joseph	joseph
sinagoga	synagogue
reikėjo	needed
auksinis	golden
auksinis	gold
niekas	nobody
vladislovas	władysław
sodas	garden
vykdo	drives
mechanikas	mechanic
kaina	price
kritikas	critic
stiklo	glass
eiti	go
veikėjai	actors
opera	opera
akis	eyes
akis	eye
darbuotojai	workers
bažnyčių	churches
vartininkas	goalkeeper
tiksliai	exactly
kolumbijos	columbia
modeliai	models
eugenijus	eugene
australija	australia
leidybos	publishing
use	tse
mėgsta	likes
mėgsta	loves
makedonijos	macedonian
tradicijos	tradition
tradicijos	traditions
kolonijos	colonies
santykis	ratio
nacių	nazi
galimybės	opportunities
baseino	pool
sukilėlių	rebel
ilgas	long
bendradarbiavimo	cooperation
demokratinė	democratic
cukraus	sugar
akių	eye
akių	wind
ivanas	ivan
deivė	goddess
sūnūs	sons
jugoslavijos	yugoslavia
jugoslavijos	yugoslav
trasa	circuit
vartų	gate
puikiai	great
puikiai	good
puikiai	excellent
skaityti	scan
aukštumos	highlands
idėjos	ideas
augusto	augusto
grįžti	return
konferencijos	conferences
kompozitorių	composers
mirtis	death
turistų	tourists
ranka	handwritten
ranka	hand
tadas	tadas
metodas	method
geografija	geography
ibn	ibn
žurnalistų	reporters
juan	juan
justinas	justin
nuotrauka	photograph
nuotrauka	photo
čikagos	chicago
gyvybės	life
metro	metro
viskas	everything
patelės	females
patelės	female
rūta	ruta
rūta	ruth
storio	thickness
tskp	cpsu
sirijos	syrian
išteklių	resources
smolensko	smolensk
vartotojų	consumer
dviračių	bicycle
salė	hall
prefektūra	prefecture
džiazo	jazz
vdu	vmu
konkursas	tender
konkursas	giveaway
tonų	tonnes
punktas	clause
inžinerijos	engineering
laukas	field
ratas	wheel
civilizacijos	civilisation
civilizacijos	civilizations
bangų	weaving
bangų	wave
savybes	qualities
youtube	youtube
himnas	anthem
populiacijos	populations
lithuania	ys
sportas	sport
panašios	analogue
transportas	transport
įrašė	taped
įtraukti	bring
keliautojas	traveller
žymi	famous
žalia	crude
žalia	green
amerika	america
atėjo	came
altlink	altlink
pakviestas	invited
gal	maybe
šiuolaikinio	contemporary
indija	india
atkurta	restored
andų	andean
atskirai	individually
romas	rum
skirtumas	difference
skirtumas	differential
viską	everything
sukilimas	uprising
priešingai	contrary
genitive	genitive
ginklai	weapons
ginklai	weapon
ginklai	guns
ginklai	arms
kaukazo	caucasus
kaukazo	caucasian
asmeninis	personal
faktiškai	withdrawal
milano	milan
botanikos	botanical
matavimo	measuring
matavimo	measurement
seka	sequence
teamb	teamb
dvasios	spirit
konstrukcijos	structures
pavasario	spring
tibeto	tibet
mergina	girlfriend
mergina	girl
egipte	egypt
dujos	gas
dujos	gases
kultūrų	intercultural
kultūrų	cultures
organizuoti	organize
organizuoja	organizes
raumenų	muscle
maroko	moroccan
debiutas	debut
kalifornijos	california
ralio	rally
mūro	masonry
gif	gif
jaunesnysis	junior
nuteistas	convicted
rebounds	rebounds
išsaugoti	preserve
išsaugoti	save
maltos	maltese
aplinka	ambient
kovoti	fighting
banga	wave
atkūrimo	restoration
donatas	donatas
rasa	dew
rasa	rasa
statybų	built
ginklas	weapons
ginklas	weapon
ginklas	gun
janina	janina
grafikos	graphic
policija	cops
policija	police
algis	algis
malūnas	windmill
tradicijas	traditions
mama	mama
mama	mum
mama	mom
mama	mother
tikėjimo	belief
asmenybės	personalities
asmenybės	personality
ansamblis	ensemble
aidas	echo
krūtinės	chest
organizatorius	organizer
organizatorius	organisers
organizatorius	organiser
monografija	monograph
danija	denmark
konfederacijos	confederation
didikų	nobles
kilę	tribes
apsaugoti	protect
tikra	true
tikra	genuine
lee	lee
graikija	greece
trumpas	short
trumpas	brief
draugas	comrade
draugas	friend
juoda	black
joms	them
vietovėje	locality
ištremtas	banished
soccerway	soccerway
ciklas	cycle
romano	romano
profesionalus	professional
aušros	dawn
karaliai	kings
alma	alma
suaugusiųjų	adult
maro	maro
skyriai	divisions
medaliu	medal
teismų	judicial
priverstas	compelled
paveldėjo	inherited
sapiega	sapieha
adresas	address
fronto	fronto
glasgow	glasgow
padėjėjas	assistant
padėjėjas	helper
pulkas	flock
pulkas	regiment
senato	senate
rolandas	roland
benediktas	benedict
kuro	fuels
mečetė	mosque
valiuta	currency
žalgiris	žalgiris
linas	linas
nužudyti	kill
slovakijos	slovakia
slovakijos	slovak
skatina	encourages
nužudytas	murdered
pilnai	fully
sniego	snow
vėžio	cancers
vėžio	cancer
lenkai	poles
religinių	religious
aušra	dawn
reino	rhine
pianistas	pianist
autobusų	bus
autobusų	arrivals
albanijos	albanian
pilnas	full
geležinkelių	rail
nilo	nile
britai	british
kolegija	college
karai	wars
estija	estonia
kovų	fights
tvora	fence
šeštadienį	saturday
pasiekimai	achievements
daniel	daniel
apskritys	counties
kun	kun
lėktuvai	aeroplanes
poilsio	resting
poilsio	rest
užkariavo	conquered
disko	disc
nutraukė	exited
raketų	rocket
raketų	missile
dalelių	particle
įmanoma	possible
atmosferos	atmospheric
universitetų	universities
asistentas	assistant
krantas	shore
viktorija	viktorija
viktorija	victoria
josé	jose
turkija	turkey
turkija	turkish
eros	eros
feliksas	felix
dizaino	designs
dizaino	design
doc	doc
penktadienį	friday
pareigūnai	officials
smulkių	petty
gubernatorius	governor
bosnijos	bosnian
karl	karl
leonardas	leonard
louis	louis
niujorkas	newyork
aiškiai	expressly
rytas	morning
etninės	ethnic
gan	pretty
gamta	nature
nuotraukų	photographs
technologija	technology
skaičiavimo	counting
napoleonas	napoleon
kapas	tomb
praha	prague
plaučių	lung
haris	harris
haris	harry
ang	ang
kapitalo	capital
metodai	methods
baltymų	protein
baltymų	proteins
durų	door
durų	doors
siaubo	horror
aukų	victims
