okrajšava	abbreviation
princip	principle
zmerno	temperate
zmerno	moderate
zmerno	moderately
naslikal	painted
graben	graben
ljubi	loves
davek	tax
kipa	kip
kipa	statue
diagram	diagram
stevens	stevens
jon	jon
champws	champws
pozitivna	positive
himna	hymn
himna	anthem
zaveze	undertakings
zaveze	commitments
tisk	press
tisk	printing
panzer	panzer
gorovje	mountains
meščani	townspeople
meščani	citizens
prehitel	overtake
jackie	jackie
opeke	bricks
režim	regime
delavca	worker
razdeljeno	divided
craig	craig
tatjana	tatiana
tatjana	tatjana
cvet	blossom
cvet	flower
izbere	selects
marne	marne
feldmaršal	feldmarschall
opremljena	equipped
opremljena	furnished
cape	cape
srebotnik	srebotnik
angleži	english
vili	villa
chan	chan
čet	thu
čet	troops
čet	troop
ville	ville
mamo	mom
mamo	mother
galaksij	galaxies
gost	guest
bitk	battles
evangelij	gospel
bruins	bruins
giacomo	giacomo
zaščiti	protect
prečka	crosses
ledvic	kidney
spomini	memories
spomini	memory
kopenski	terrestrial
bakra	copper
poklicno	occupational
poklicno	professionally
poklicno	vocational
miles	miles
kristus	christ
vsebovala	contained
predsednica	president
predsednica	chairwoman
shranjevanje	storing
shranjevanje	saving
shranjevanje	storage
zdravniki	physicians
zdravniki	doctors
raziskuje	exploring
raziskuje	explores
lopez	lopez
veri	faith
federacije	federation
hudi	severe
lisa	lisa
nedelja	sunday
sedmi	seventh
piramide	pyramid
piramide	pyramids
biolog	biologist
gerald	gerald
aus	aus
profesorica	professor
nekaterim	some
managerclubs	managerclubs
anders	anders
neil	neil
edwin	edwin
princeton	princeton
todd	todd
univerz	universities
spremenljivke	variables
prejšnji	previous
mathieu	mathieu
gradišče	gradišče
odstranitev	removal
sladkorja	sugar
ein	ein
nepravilnosti	irregularity
nepravilnosti	maladministration
nepravilnosti	anomalies
nepravilnosti	irregularities
han	han
roland	roland
billie	billie
krajevna	local
gorazd	gorazd
spreminjanje	changing
uspešnost	performance
uspešnost	effectiveness
uspešnost	success
molitve	prayers
celine	céline
celine	celine
celine	continents
battista	battista
tretjini	thirds
orel	eagle
jasna	jasna
jasna	clear
hubert	hubert
opredelitev	definition
charlotte	charlotte
bella	bella
nominiran	nominated
rumeni	yellow
papirja	paper
zaposlitev	recruitment
zaposlitev	job
zaposlitev	employment
lucija	lucy
lucija	lucia
dostopna	accessible
ušesa	ear
ušesa	ears
nataša	nataša
nataša	natasha
boljša	better
shs	shs
razpad	breakup
razpad	disintegration
razpad	collapse
razpad	decay
rektor	provost
rektor	rector
novejši	newer
petrova	petrova
označene	tagged
označene	marked
kolonija	colony
broughton	broughton
spol	gender
spol	sex
razviti	developed
razviti	develop
barry	barry
oborožitev	armaments
mcdonnell	mcdonnell
hčerke	daughters
sofija	sofia
sofija	sophia
fotografij	photos
hong	hong
trak	headband
trak	strip
trak	tape
trak	ribbon
trak	strap
mlakar	mlakar
tennessee	tennessee
sončne	solar
vidik	aspect
učiteljev	teachers
costa	costa
dokazano	proved
dokazano	proven
kit	whale
kit	kit
khl	khl
västra	västra
plašč	coat
plašč	cloak
odpovedal	canceled
sneg	snow
frentzen	frentzen
zasebni	private
spretnosti	skills
bernhard	bernhard
zmagovalci	winners
soba	room
galaksije	galaxies
novinarka	journalist
novinarka	reporter
mod	mod
napisi	inscriptions
napisi	captions
ujeli	caught
ujeli	busted
ujeli	captured
potisk	thrust
švice	switzerland
cfg	cfg
svetlana	svetlana
usmerjena	directed
usmerjena	oriented
irvine	irvine
off	off
abc	abc
evrov	euros
skok	jump
skok	leap
esej	essay
zmožnosti	ability
zmožnosti	capabilities
huda	severe
huda	badass
mitchell	mitchell
nadomestila	compensations
nadomestila	refunds
nadomestila	remuneration
nadomestila	compensation
nadomestila	allowances
padlo	fell
padlo	dropped
padlo	fall
padlo	fallen
colorado	colorado
zmes	mixture
zaslužil	deserved
zaslužil	earned
mer	mer
zapor	jail
zapor	prison
paula	paula
tradicija	tradition
tine	tine
tine	tina
praksa	practice
komedija	comedy
sprejema	accepts
sprejema	adopts
gsub	gsub
nikjer	nowhere
promocijo	promotion
slabosti	weaknesses
device	virgo
device	virgins
device	maidens
scoreb	scoreb
preprosta	simple
frölunda	frölunda
unija	union
sky	sky
dnevni	daily
julia	julia
tanja	tania
tanja	tanya
tanja	tanja
predstavljen	featured
predstavljen	presented
beck	beck
obvezno	obligatory
obvezno	mandatory
obvezno	compulsory
june	june
svobodna	free
jose	jose
jose	josé
kraljico	queen
predniki	ancestors
colin	colin
razmišljanja	thinking
nameščena	fitted
nameščena	installed
garda	guard
garda	garda
ločeni	separated
ločeni	divorced
ločeni	separate
šentvid	šentvid
suzuki	suzuki
dansko	danish
dansko	denmark
osebah	subjects
veriga	chain
hingis	hingis
reaktor	reactor
cleveland	cleveland
usoda	destiny
usoda	fate
učinkovita	efficient
učinkovita	effective
vesnina	vesnina
opisana	described
prizadevanja	efforts
prizadevanja	effort
bistvo	essence
nicholas	nicholas
poljubno	arbitrarily
fazo	phase
izpostavljenosti	exposure
izpostavljenosti	exposures
talent	talent
podrejen	submissive
podrejen	subordinate
podrejen	subordinated
pomembnosti	materiality
začetnik	beginner
amsterdam	amsterdam
gosti	guests
redir	redir
zelandija	zealand
jez	dam
party	party
dovoljenja	licences
dovoljenja	permits
dovoljenja	permissions
regij	regions
pozitiven	positive
galerije	galleries
dež	rain
ajdovščina	ajdovščina
institut	institut
nasledstvo	succession
nasledstvo	legacy
nasledstvo	inheritance
tovor	cargo
tovor	freight
tovor	payload
razporeditev	distribution
razporeditev	layout
razporeditev	arrangement
najmanjše	smallest
vdova	widow
izbruh	outbreak
izbruh	breakout
izbruh	eruption
izbruh	outburst
trikotnika	triangle
davenport	davenport
kocka	cube
nižja	lower
nenad	nenad
ledena	icy
stabilnost	stability
grobnice	tombs
slatina	slatina
krst	baptism
krst	christening
kongo	congo
kongo	conga
šiška	bangs
konflikt	conflict
arabci	arabs
uniči	destroy
uniči	ruin
uniči	destroys
razvito	developed
umetniška	artistic
mlajše	younger
anja	anja
anja	anya
lyon	lyon
breda	breda
možen	possible
založnik	publisher
morris	morris
zlatko	zlatko
zlatko	goldy
možje	husbands
možje	men
pripravljena	ready
pripravljena	prepared
označevanje	marking
označevanje	tagging
označevanje	labelling
pionirski	pioneering
fokker	fokker
jap	yup
jap	yep
steven	steven
eugene	eugene
firence	florence
avtorske	copyright
ron	ron
obstoječe	existing
veleposlanik	ambassador
ista	same
državljanstvo	nationality
državljanstvo	citizenship
usta	mouth
usta	mouths
memorial	memorial
uspešnosti	performance
ločuje	separating
poškodovana	injured
poškodovana	damaged
rolls	rolls
mas	mas
mas	masses
trideset	thirty
membrane	membrane
membrane	membranes
središčem	centred
meter	metre
meter	meter
mlado	young
vsebinsko	conceptual
vsebinsko	substantive
sous	sous
anti	anti
kazalo	index
situacijo	situation
wayne	wayne
lats	lats
litiji	litiji
osvoboditev	liberation
zasnova	design
pomorsko	maritime
howe	howe
pat	pat
hrvati	croats
zaloge	stocks
zaloge	supplies
zaloge	inventories
zaloge	stock
abeceda	alphabet
topovi	cannons
topovi	guns
zasede	ambush
mleka	milk
mag	magus
mag	mag
damjan	damjan
poletni	summer
uživanje	enjoyment
uživanje	enjoying
molitev	praying
molitev	prayers
molitev	prayer
prst	finger
prst	toe
blato	sludge
blato	mud
blato	stool
blato	faeces
blato	stools
postopno	stepwise
postopno	gradual
postopno	gradually
postopno	progressively
postopno	progressive
isonzo	isonzo
navdih	inspired
navdih	inspiration
tabele	tables
abd	abd
študente	students
disertacijo	dissertation
učbenik	textbook
luč	light
mehiški	mexican
aluminija	aluminium
gozdni	forest
bogovi	gods
kupolo	dome
razširjeno	extended
stopenj	tiers
lambert	lambert
cele	whole
stavka	strike
izziv	challenge
vrhovno	supreme
inšpektor	inspector
siriji	syria
gledalci	spectators
gledalci	audience
gledalci	viewers
primerjalno	comparative
andrews	andrews
keith	keith
garcía	garcía
src	hearts
champwd	champwd
schneider	schneider
trdo	hard
čaj	tea
spartak	spartacus
odpoved	quit
odpoved	quitting
odpoved	resignation
spominskega	votive
vzorce	samples
divji	wild
beach	beach
upokojeni	retired
odgovorna	responsible
stanovanje	flat
stanovanje	apartment
posode	dishes
posode	vessels
posode	containers
razglasila	declaring
piero	piero
načrti	blueprints
načrti	plans
jeff	jeff
baz	bases
baz	baz
murphy	murphy
vesel	glad
vesel	merry
omembe	mentioning
omembe	mentions
bezirk	bezirk
dostopen	accessible
suhi	dry
suhi	skinny
odgovoril	replied
odgovoril	answered
spredaj	front
sašo	sašo
sašo	grayson
luca	luca
pisem	letters
lepe	beautiful
uspehov	successes
uspehov	success
smiles	smiles
razdeli	split
razdeli	divide
pozdrav	greetings
pozdrav	salute
pozdrav	greeting
suverenosti	sovereignty
isaac	isaac
dem	dem
siva	gray
siva	grey
izdelava	manufacture
izdelava	manufacturing
trenutek	moment
oltarja	altar
obrobju	periphery
obrobju	outskirts
gaj	gaius
gaj	caius
bank	bank
sinonim	synonym
sestri	sisters
prid	favor
prid	favour
delce	particles
kupola	dome
sekunde	seconds
rossi	rossi
rona	ron
auflage	auflage
psihologijo	psychology
charlie	charlie
obsežne	extensive
bron	bronze
državljani	citizens
državljani	nationals
poliedrov	polyhedra
walther	walther
komandant	comandante
komandant	commandant
weber	weber
leonardo	leonardo
prepovedano	forbidden
prepovedano	prohibited
esejist	essayist
linux	linux
kritiko	criticism
razlogi	reasons
razlogi	reason
razlogi	grounds
levstik	levstik
moderno	modern
bolečino	pain
voditelji	leaders
jedrski	nuclear
hamburg	hamburg
cruz	cruz
vožnjo	ride
vožnjo	driving
poln	full
div	div
iranu	iran
mitologija	mythology
drugačna	different
šolal	schooled
oddaj	shows
teologijo	theology
zmesi	mixtures
razglašen	proclaimed
alma	alma
juels	juels
slišal	heard
verjeli	believed
odhod	departure
odhod	leaving
koža	skin
proizvajalci	producers
proizvajalci	manufacturers
najmanjši	smallest
sorodni	kindred
odvisnost	dependence
odvisnost	dependency
odvisnost	addiction
dick	dick
theodore	theodore
renesančni	renaissance
royce	royce
jupiter	jupiter
kotel	boiler
kotel	cauldron
färjestads	färjestad
wade	wade
nemudoma	immediately
krogla	sphere
krogla	bullet
prepričal	convinced
aero	aero
klopi	ticks
klopi	benches
klopi	bench
vredno	worth
konvencija	convention
mad	mad
šef	boss
delitve	divisions
absolutno	absolutely
absolutno	absolute
poraba	spending
poraba	consumption
žleze	glands
žleze	gland
zadetkov	hits
merila	criteria
desetletju	decade
jajca	eggs
jajca	balls
pretirano	exaggerated
pretirano	excessively
pretirano	excessive
nord	nord
zemljišča	land
zemeljskega	earthy
povezovanje	networking
povezovanje	integration
povezovanje	linking
povezovanje	connecting
prizori	scenes
globine	depths
izvajati	implement
nedvomno	undoubtedly
botanik	botanist
odkrit	discovered
#ffffff	#ffffff
koles	bicycles
col	col
flote	fleet
flote	fleets
nationalcaps	nationalcaps
kandidata	candidates
kandidata	candidate
venec	wreath
dvojna	double
frankov	francs
križišče	intersection
križišče	junction
križišče	crossroads
igralce	players
england	england
palice	bars
palice	sticks
palice	clubs
palice	wands
palice	rods
ločila	punctuation
moška	men
moška	male
puščava	desert
zmožnost	capability
zmožnost	ability
harvey	harvey
metka	gretel
metka	bullet
podpis	signing
podpis	signature
melodije	melodies
melodije	tunes
neapelj	naples
vzorca	samples
larry	larry
obrambno	defensive
termin	term
termin	appointment
obrne	turns
robin	robin
lesena	wooden
lesena	wood
datotek	files
samodejno	auto
samodejno	automatic
samodejno	automatically
kvartet	quartet
wallace	wallace
preprečili	averted
posebnosti	particularities
posebnosti	specificities
posebnosti	specificity
pozitivni	positive
antike	antiquity
nedavno	recently
nedavno	recent
piramida	pyramid
vesoljska	space
ricardo	ricardo
eur	eur
žagar	jigsaw
žagar	žagar
katedrale	cathedrals
zvočni	audible
slava	fame
slava	glory
madžari	hungarians
odločno	strongly
tolmin	tolmin
sočasno	concurrent
sočasno	simultaneous
sočasno	simultaneously
moto	motto
moto	moto
duševno	mental
duševno	mentally
nasprotoval	opposed
allan	allan
ekip	teams
lokacijo	location
valovi	waves
zvezno	federal
populacija	population
dokazati	demonstrate
zamenjava	swap
zamenjava	substitution
zamenjava	replacement
kače	snakes
kače	snake
skoki	jumps
skoki	jumping
delavce	workers
odposlancev	emissaries
napadalec	attacker
napadalec	assailant
srbijo	serbia
čustveno	emotional
čustveno	emotionally
saturn	saturn
encima	enzyme
verjame	believes
postanek	stopover
tokio	tokyo
dream	dream
germain	germain
matt	matt
nasledniki	successors
pérez	pérez
slovenia	slovenia
opatija	opatija
alexandre	alexandre
centralne	central
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarchy
vlaken	fibre
preprečil	foiled
mansell	mansell
propad	doom
propad	collapse
propad	downfall
turistične	tourist
ngc	ngc
clarke	clarke
krona	crown
uran	uranium
uran	uranus
zimonjić	zimonjić
celično	cellular
resnica	true
resnica	truth
bruhanje	vomit
bruhanje	vomiting
arheologi	archaeologists
arheologi	archeologists
pripadal	belonged
dodana	added
menihi	monks
champxd	champxd
funtov	quid
funtov	pounds
odziva	responding
odziva	response
tesla	tesla
sloj	layer
padli	fallen
viktorija	victoria
izbruhnila	erupted
akcija	action
tiska	press
razglašena	proclaimed
ščiti	protects
ščiti	shields
potočnik	potočnik
vickers	vickers
luknje	holes
waffen	waffen
presega	exceeds
game	gamma
hribar	hribar
vladanje	reign
andre	andre
andre	andré
ban	ban
izračuna	calculates
opredeljuje	defines
ema	emma
ema	ema
doktorat	doctorate
doktorat	phd
listina	charter
pljuč	lung
pljuč	lungs
nasprotnikov	opponents
okoliščine	circumstance
okoliščine	circumstances
altlink	altlink
izola	izola
krizo	crisis
silver	silver
léon	léon
planine	mountains
navzven	externally
navzven	outwards
navzven	outward
agent	agent
vstaja	uprising
vstaja	insurrection
vzpostavitev	establishment
priznana	recognised
priznana	acknowledged
priznana	recognized
upokojen	retired
pre	pre
kalibra	calibre
jason	jason
guillaume	guillaume
danny	danny
skrajno	extreme
ravna	flat
instrument	instrument
delec	fragment
delec	particle
nationalgoals	nationalgoals
negativna	negative
konzulat	consulate
učitelji	teachers
izkoristek	efficacy
izkoristek	efficiency
zatočišče	shelter
zatočišče	sanctuary
zatočišče	refuge
brod	brod
zaposlitve	jobs
zaposlitve	employment
sivo	gray
sivo	grey
sod	barrel
sod	cask
prizor	scene
vlakna	fibre
vlakna	fibers
vlakna	fiber
vlakna	fibres
izdelani	fabricated
keramike	ceramics
tarča	target
panis	panis
arizona	arizona
razpadla	disintegrated
zmogljivosti	capacities
zmogljivosti	capacity
zmogljivosti	capabilities
spektra	spectrum
santo	santo
dvoboj	duel
objavlja	publishes
#ffcfcf	#ffcfcf
liverpool	liverpool
meč	sword
upanje	hope
grumman	grumman
avtomobilska	automotive
indeks	index
spoštovanje	respect
chapelle	chapelle
arheološki	archeological
arheološki	archaeological
kraški	karst
definira	defines
eksplozije	explosion
eksplozije	explosions
demokratična	democratic
marin	marin
preostale	remaining
razvite	developed
moralno	morally
moralno	moral
negativni	negative
razni	miscellaneous
kalif	caliph
zadovoljstvo	satisfaction
zadovoljstvo	pleasure
predpisi	regulations
predpisi	rules
usmerjeno	directed
delovalo	worked
hribi	mountains
hribi	hills
oblačil	clothing
igrišče	playground
administrator	administrator
klasifikacija	classification
nosila	stretcher
nosila	wore
licenca	licence
licenca	license
ska	ska
tisoče	thousands
ločitev	divorce
ločitev	separation
meritev	measurements
meritev	measurement
mine	landmines
mine	mines
spopadov	confrontations
patent	patent
opiše	describes
organizacijske	organisational
župnijo	parish
glive	fungi
tommy	tommy
obiskala	visited
bra	bra
videm	udine
težavah	difficulty
doris	doris
primerni	suitable
auf	auf
hawker	hawker
tower	tower
odvisni	dependent
dodajanje	addition
dodajanje	adding
dodajanje	add
serena	serena
potrebovali	needed
običajna	usual
običajna	normal
vroče	hot
por	por
por	leeks
por	leek
komercialni	commercial
trio	trio
izbire	choices
kostanjevica	kostanjevica
manjšine	minority
manjšine	minorities
premiera	premiere
zime	winters
duhovni	spiritual
erwin	erwin
tretjič	thirdly
mišica	muscle
sredozemlju	mediterranean
algoritem	algorithm
preberite	read
posamezno	individually
posamezno	individual
posamezno	singly
ulrik	ulrik
kmetije	farms
možni	possible
hudson	hudson
darja	darja
ohranjeno	preserved
doherty	doherty
blake	blake
zlom	breaking
zlom	fracture
razglasi	declares
razglasi	declare
jezo	anger
youthclubs	youthclubs
suhoj	sukhoi
geometrija	geometry
geometrija	geometric
iraku	iraq
strategije	strategies
ogljik	carbon
elektro	electro
sekundarni	secondary
preboj	breakthrough
človeška	human
novosti	novelty
novosti	innovations
novosti	updates
oklep	armor
oklep	armour
obsežna	extensive
obsežna	ample
zaščitna	protective
ugotovitve	observations
ugotovitve	findings
leseni	wooden
geografski	geographic
barvni	color
barvni	colour
otroštva	childhood
definicije	definitions
pastir	shepherd
odkrivanje	detection
pravoslavne	orthodox
samostojnost	autonomy
samostojnost	independence
razcvet	flourish
enrico	enrico
sinove	sons
receptorjev	receptors
industrijska	industrial
pmsm	pmsm
putnam	putnam
standardna	standard
encimi	enzymes
dassault	dassault
loke	arches
loke	bows
nmi	nmi
teamb	teamb
artilerijske	firings
tokovi	currents
tokovi	flows
platon	plato
lisica	fox
kalcijev	calcium
pogovori	talks
pogovori	conversations
pogovori	interviews
pogovori	talk
nazionale	nazionale
vmesnik	interface
jajčeca	eggs
valle	valle
languedoc	languedoc
dramatikov	playwrights
pištola	pistol
pištola	gun
regionalni	regional
richardson	richardson
razširjeni	enlarged
razširjeni	extended
razširjeni	expanded
prihodnje	future
prijateljstvo	friendship
kancler	chancellor
alternative	alternative
alternative	alternatives
industries	industries
pozni	late
pogledi	views
magnus	magnus
jokerit	jokerit
sorodniki	cousins
sorodniki	relatives
podjetnik	entrepreneur
policist	officer
policist	policeman
bradley	bradley
mostovi	bridges
marseille	marseille
marseille	marseilles
lastna	own
posredovanje	transmission
posredovanje	forwarding
posredovanje	mediation
posredovanje	intervention
zaključek	completion
zaključek	closure
zaključek	conclusion
razstavi	exhibition
lucas	lucas
gibson	gibson
zborovodja	choirmaster
terme	spa
terme	terme
moon	moon
organizirano	organised
organizirano	organized
dama	lady
dama	dame
jezikovno	linguistic
jezikovno	language
nadal	nadal
ščit	shield
achille	achille
hčere	daughters
dodekaeder	dodecahedron
programiranje	programming
izpostavljenost	exposure
biološki	biological
#ffcc	#ffcc
perzijci	persians
powell	powell
utrdbo	fort
mdr	mdr
ted	ted
fam	fam
imenovanja	appointments
emilio	emilio
slab	bad
nature	natura
izbris	deletion
izbris	deleting
izbris	cancellation
izbris	delete
biologijo	biology
roku	roku
dedek	grandpa
dedek	grandfather
đoković	djokovic
ustavil	stopped
alpinist	mountaineer
opremljen	equipped
epizode	episodes
epizode	episode
izidi	outcome
izidi	results
izidi	outcomes
fisher	fisher
puščave	deserts
porto	porto
označen	tagged
realno	real
realno	realistic
realno	realistically
trinajst	thirteen
casa	casa
virusi	virus
virusi	viruses
snega	snow
snega	snowfall
mach	mach
leteči	flying
hitra	fast
reynolds	reynolds
ureditve	arrangements
priporoča	recommends
ekonomska	economic
zastrupitve	poisoning
warren	warren
komunikacija	communication
rick	rick
commons	commons
alkohol	liquor
alkohol	alcohol
soustanovitelj	cofounder
kras	crassus
kras	kras
terry	terry
osebje	personnel
osebje	staff
zbrane	collected
zbrane	gathered
jelka	tree
izvajalci	operators
izvajalci	contractors
izvajalci	performers
mile	mile
toto	toto
rolling	rolling
dodatki	additives
dodatki	bonuses
dodatki	supplements
dodatki	accessories
dodatki	appendices
mass	mass
dušo	soul
bih	bih
simetrija	symmetry
lakote	starvation
lakote	hunger
bertrand	bertrand
zaščitena	protected
kvalifikacije	qualifying
kvalifikacije	qualifications
kvalifikacije	qualification
pari	couples
pari	pairs
pari	pari
irana	iran
turbina	turbine
aktivist	activist
dominik	dominik
augusta	augusta
sen	sen
hrbet	back
chaplin	chaplin
bach	bach
tonumber	tonumber
skriva	hiding
televizija	tv
televizija	television
osvojitev	conquest
rena	rhine
rena	reno
benečani	venetians
poj	sing
gena	gena
deveto	ninth
pomanjkljivosti	shortcomings
pomanjkljivosti	deficiencies
pomanjkljivosti	defects
pomanjkljivosti	weaknesses
člena	article
upravnik	manager
upravnik	warden
gilles	gilles
uspešnica	bestseller
resnico	truth
strup	venom
strup	poison
ignacij	ignatius
preživi	survive
preživi	survives
živčni	nervous
novinarjev	journalists
geoffrey	geoffrey
zadaj	back
zadaj	rear
lipo	basswood
izhajala	stemmed
opisi	descriptions
metlika	metlika
predavanj	lectures
patrese	patrese
poskusil	tried
pooblastila	endorsements
pooblastila	powers
pooblastila	mandate
guido	guido
violinist	violinist
udeležili	attended
najmanjša	minimum
najmanjša	smallest
metalec	launcher
metalec	pitcher
kneževine	principalities
navade	habits
navade	habit
jelšah	jelšah
con	con
brezje	brezje
vittorio	vittorio
religija	religion
častniki	officers
pravokotno	perpendicular
pravokotno	rectangular
groba	rough
groba	grave
seme	semen
seme	seeds
seme	seed
verigo	chain
izboljša	improves
izboljša	improve
poznavanje	familiarity
poznavanje	knowledge
duncan	duncan
hansen	hansen
šentjur	šentjur
portorož	portorož
predvideva	anticipates
horst	horst
poznano	familiar
ujel	caught
preiskave	investigation
preiskave	inquiries
preiskave	investigations
štirinajst	fourteen
nameščeni	installed
dramo	drama
jürgen	jürgen
jürgen	jurgen
bin	bin
minute	minutes
gerard	gerard
uničiti	destroy
identiteto	identity
mehansko	mechanically
mehansko	mechanical
izjavo	statement
poštna	postal
police	policies
police	shelves
smole	resins
thierry	thierry
manageryears	manageryears
organizacijsko	organisational
demokratične	democratic
dano	given
demokracije	democracies
klobuk	hat
photo	photo
uspehi	successes
izobraževalno	educational
greene	greene
varuje	protects
pierce	pierce
japonci	japanese
objavljeni	published
nikdar	never
elektroni	electrons
predala	surrendered
škotske	scotland
škotske	scottish
leona	leona
robertson	robertson
postavljeno	raised
budistični	buddhist
potniški	passenger
zavira	inhibits
sonja	sonja
umetni	artificial
glavobol	headaches
glavobol	headache
angeli	angels
članstvo	membership
bruselj	brussels
razmišljanje	thinking
razmišljanje	contemplation
umetne	artificial
prisilil	forced
misijonar	missionary
sesalcev	mammalian
julie	julie
širitev	enlargement
širitev	expansion
legend	legends
legend	legend
malmö	malmö
dimenzije	dimensions
volji	mood
oblikovan	shaped
oblikovan	formulated
porta	porta
ayrton	ayrton
klein	klein
zob	tooth
cesarica	empress
domovina	motherland
domovina	homeland
domovina	fatherland
wiener	wiener
petja	chanting
petja	singing
italiano	italiano
opisan	described
lennon	lennon
vijak	screw
žita	grain
žita	cereals
podaljšana	extended
podaljšana	prolonged
podaljšana	elongated
prispel	arrived
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	fruit
sadje	fruits
jevgenij	yevgeny
presenetljivo	astonishing
presenetljivo	surprisingly
presenetljivo	surprising
trditve	assertions
trditve	claims
trditve	allegations
trditve	arguments
avtomobilski	automotive
čop	ponytail
tujino	abroad
sara	sarah
sara	sara
sara	cera
škocjan	škocjan
nizki	low
plodovi	fruits
priljubljeno	popular
priljubljeno	favourite
priljubljeno	trending
priljubljeno	favorite
dale	dale
jay	jay
jarek	trench
jarek	moat
jarek	ditch
premera	diameter
kampanje	campaigns
kampanje	campaign
zasnovana	designed
doseženo	reached
doseženo	accomplished
doseženo	achieved
simbolizira	symbolises
simbolizira	symbolizes
posamezna	individual
motive	motives
rjavo	brown
stosur	stosur
dukla	dukla
izjemen	exceptional
prehrani	nutrition
nielsen	nielsen
obremenitev	load
obremenitev	loading
obremenitev	debit
roll	roll
čelo	forehead
čelo	cello
zavrne	refuses
zavrne	refuse
zavrne	reject
tekmovanj	competitions
pojave	phenomena
odpovedi	cancellations
gašper	henry
lola	lola
slavi	glory
lesen	wooden
sklical	convened
blog	blog
jpl	jpl
ettore	ettore
vrtovi	gardens
potrjuje	confirms
vožnje	driving
eugen	eugen
imunski	immune
danijel	daniel
stresa	stress
einstein	einstein
linz	linz
simone	simone
castro	castro
senator	senator
vincenzo	vincenzo
podružnica	subsidiary
podružnica	branch
izpostavljeni	exposed
podvozje	undercarriage
podvozje	chassis
kmečka	peasant
betty	betty
ilustracije	illustrations
križišču	intersection
križišču	crossroads
kirche	kirche
prepovedal	forbade
najdlje	furthest
najdlje	longest
najdlje	farthest
alabama	alabama
odstranjevanje	disposal
odstranjevanje	removing
odstranjevanje	removal
zaman	vain
prefekt	prefect
