der	el
unabhängig	independiente
unabhängig	independientes
villa	villa
dichter	poeta
dichter	poetas
helmut	helmut
nationalen	nacionales
nationalen	nacional
file	file
beschäftigt	ocupado
beschäftigt	empleado
hergestellt	fabricado
tal	valle
fotos	fotos
sagt	dice
gewinnen	ganar
woche	semana
berufen	profesiones
schreibt	escribe
information	información
erich	erich
fernsehen	televisión
großes	gran
stein	piedra
sah	vio
sah	miró
grundsätzlich	básicamente
preußen	prusia
wettbewerb	concurso
wettbewerb	competencia
wären	serían
natur	naturaleza
dienen	servir
braucht	necesita
weist	asigna
startete	lanzó
kosten	coste
kosten	costo
teilnehmer	participante
teilnehmer	participantes
gelände	terreno
bildete	formó
archiv	archivos
archiv	archivo
chor	coro
stefan	stefan
history	history
zustand	estado
bach	bach
jakob	jakob
gebildet	formado
schön	hermosa
mensch	humano
html	html
super	super
australien	australia
left	left
hall	hall
urv	urv
zeiten	tiempos
kreuz	cruz
aussage	declaración
aussage	testimonio
png	png
länder	paises
länder	países
niemand	nadie
zukunft	futuro
änderungen	modificaciones
änderungen	cambios
bern	berna
revolution	revolución
tradition	tradición
kanada	canadá
veröffentlichungen	publicaciones
straßen	calles
straßen	carreteras
architektur	arquitectura
arzt	médico
parallel	paralelo
parallel	paralela
medizin	medicina
gehalten	mantenidos
praxis	consultorio
praxis	práctica
angeboten	ofrecido
angeboten	ofertas
zählen	contando
zählen	contar
rest	resto
rest	golazo
bibliothek	biblioteca
konrad	konrad
druck	presiones
druck	impresión
freund	amigo
antwort	respuesta
geschlossen	cerrado
love	love
landwirtschaft	agricultura
stets	siempre
weißen	blancos
auflösung	resolución
auflösung	disolución
salzburg	salzburgo
tritt	patada
erscheinen	demostraciones
wissenschaftlichen	científico
übertragen	transferido
übertragen	transferir
fahrzeuge	vehículos
portal	portal
kindern	niños
erstellt	creado
schiffe	barcos
pfarrer	pastor
schwester	enfermera
schwester	hermana
augen	ojos
ergibt	devuelve
min	min
beispiele	ejemplos
gezeigt	mostrado
gezeigt	demostrado
theologe	teólogo
wirkung	efectos
wirkung	efecto
notwendig	necesario
gleiche	mismo
simon	simon
simon	simón
don	don
präsidenten	presidente
präsidenten	presidentes
antrag	solicitud
julius	julius
nominiert	nominado
anwendung	aplicación
lieber	querido
films	films
formel	formula
formel	fórmula
santa	santa
science	science
geburtstag	cumpleaños
regiment	regimiento
nationale	nacional
dein	tu
niederlage	derrota
chicago	chicago
institute	institutos
formen	formas
formen	moldes
orgel	órgano
video	vídeo
video	video
versehen	proveer
wolf	wolf
elf	elf
elf	once
aufgelöst	disuelto
unterschiedliche	diferentes
übersetzt	traducido
mädchen	chica
mädchen	niña
glaube	fe
glaube	creencia
rote	rojo
rote	roja
suchen	buscar
wissenschaften	ciencias
trug	llevaba
trug	vestía
architekten	arquitectos
foto	foto
eduard	eduard
herausgeber	editor
herausgeber	editores
background	background
einheit	unidad
nordosten	noreste
nordosten	nordeste
ritter	caballero
ritter	caballeros
hersteller	fabricante
hersteller	fabricantes
lief	corrió
rückkehr	retorno
darmstadt	darmstadt
bringt	trae
verantwortlich	responsable
stellung	posición
tom	tom
menge	multitud
menge	cantidad
zentimeter	centímetro
zentimeter	centímetros
besitzen	poseer
versuchte	trató
versuchte	intentó
tübingen	tübingen
breit	ancho
parteien	partidos
energie	energía
bürger	ciudadano
bürger	ciudadanos
kennen	conozca
aktuelle	actual
arthur	arthur
arthur	arturo
life	life
leistungen	prestaciones
frühjahr	primavera
holstein	holstein
auszeichnungen	premios
teilnahme	participación
besuch	visita
definition	definición
original	original
original	originales
prag	praga
polnischen	polaco
modernen	modernas
modernen	modernos
modernen	moderno
bot	bot
verstehen	comprender
verstehen	comprensión
verstehen	entender
ehefrau	esposa
indien	india
