der	le
aufgabe	tâche
kirchen	églises
kirchen	eglises
lösung	solution
north	north
tiere	animaux
rheinland	rhénanie
werbung	publicité
winter	hiver
unterschied	différence
familien	familles
inseln	îles
offensichtlich	évidemment
objekte	objets
anteil	part
society	society
house	house
nürnberg	nuremberg
herr	monsieur
silber	argent
französisch	français
theorie	théorie
air	air
jährlich	annuel
manchmal	parfois
unterstützt	soutenu
allgemein	général
arbeitet	travaille
architekt	architecte
jurist	juriste
fällt	tombe
eingeführt	introduits
eingeführt	introduit
ortschaft	localité
south	south
existiert	existe
führung	leadership
herbert	herbert
star	star
zeichen	caractères
komplett	complètement
komplett	complet
braunschweig	braunschweig
verhalten	comportement
herkunft	origine
herkunft	origines
sport	sport
mittel	crédits
verbreitung	diffusion
theodor	theodor
sofort	immédiatement
wissenschaft	science
gesetz	loi
journalist	journaliste
moskau	moscou
edit	edit
stimme	voix
qualität	qualité
veröffentlichung	publication
zahlen	chiffres
galerie	galerie
verlassen	quitter
black	black
aufgaben	tâches
title	title
fehler	erreur
filme	films
stadion	stade
basel	bâle
org	org
wichtig	important
leistung	puissance
handbuch	manuel
gespielt	joué
motor	moteur
offiziell	officiellement
texte	textes
gott	dieu
villa	villa
dichter	poète
helmut	helmut
nationalen	nationaux
beschäftigt	occupé
hergestellt	fabriqué
tal	vallée
fotos	photos
sagt	dit
gewinnen	gagner
woche	semaine
erich	erich
fernsehen	télévision
schleswig	schleswig
preußen	prusse
wettbewerb	concours
mio	mio
natur	nature
gleichnamigen	homonyme
kosten	coût
teilnehmer	participants
archiv	archives
chor	chœur
stefan	stefan
zustand	état
bach	bach
polizei	police
jakob	jakob
schön	beau
html	html
super	super
australien	australie
left	left
flughafen	aéroport
kreuz	croix
png	png
zukunft	futur
änderungen	modifications
änderungen	changements
bern	berne
revolution	révolution
tradition	tradition
kanada	canada
straßen	routes
architektur	architecture
umbenannt	renommé
umbenannt	rebaptisé
arzt	médecin
arzt	medecin
parallel	parallèle
medizin	médecine
praxis	pratique
zählen	compter
bibliothek	bibliothèque
konrad	konrad
druck	pression
freund	ami
antwort	réponse
geschlossen	fermé
love	love
landwirtschaft	agriculture
auflösung	résolution
salzburg	salzbourg
fahrzeuge	véhicules
portal	portail
erstellt	créé
schwester	soeur
augen	yeux
min	min
beispiele	exemples
gezeigt	montré
theologe	théologien
notwendig	nécessaire
simon	simon
don	don
präsidenten	présidents
julius	julius
nominiert	nominé
anwendung	application
formel	formule
santa	santa
label	label
red	red
geburtstag	anniversaire
regiment	régiment
niederlage	défaite
chicago	chicago
institute	instituts
formen	moules
formen	formes
orgel	orgue
video	vidéo
wolf	loup
elf	onze
elf	elfe
elf	elf
aufgelöst	dissous
übersetzt	traduit
mädchen	fille
glaube	croyance
trug	portait
architekten	architectes
foto	photo
eduard	eduard
herausgeber	éditeur
einheit	unité
ritter	chevalier
hersteller	fabricant
darmstadt	darmstadt
bringt	apporte
ausbau	soutènement
verantwortlich	responsable
angeles	angeles
zeitraum	période
tom	tom
menge	quantité
zentimeter	centimètres
besitzen	posséder
versuchte	essayé
tübingen	tübingen
breit	large
parteien	partis
energie	énergie
wesentlichen	essentiel
bürger	citoyens
arthur	arthur
life	life
leistungen	prestations
holstein	holstein
auszeichnungen	récompenses
teilnahme	participation
besuch	visite
definition	définition
original	original
prag	prague
modernen	modernes
bot	bot
teams	équipes
verstehen	comprendre
ehefrau	épouse
indien	inde
beschreibt	décrit
josé	josé
schlecht	mal
schlecht	mauvais
häuser	maisons
admins	admins
leser	lecteurs
turnier	tournoi
körper	corps
chemie	chimie
bildhauer	sculpteur
bericht	rapport
angriff	attaque
sängerin	chanteuse
sprechen	parler
gewonnen	gagné
fakultät	faculté
verhältnis	ratio
bist	es
diskutiert	discuté
mexiko	mexique
kommission	commission
vereine	clubs
erhält	reçoit
erhält	obtient
mehrheit	majorité
datum	date
british	british
marine	marine
variante	variante
kalifornien	californie
sicherheit	sécurité
kassel	kassel
meer	mer
theologie	théologie
gast	invité
nächste	prochain
nächste	prochains
nächste	prochaine
konzept	concept
türkei	turquie
bronze	bronze
setzen	miser
begonnen	commencé
begonnen	commencée
lieder	chansons
persönlich	personnellement
herausgegeben	édité
verwenden	utiliser
grenzen	limites
oper	opéra
smith	smith
fenster	fenêtres
fenster	fenêtre
unterscheiden	distinguer
farbe	couleur
commons	commons
poly	poly
matthias	matthias
rede	discours
geändert	modifié
russisch	russe
horst	horst
zugeordnet	attribué
unternehmer	entrepreneur
unternehmer	entrepreneurs
karten	cartes
prinzip	principe
struktur	structure
grafschaft	comté
beruf	profession
alben	albums
aktuell	actualité
szene	scène
parlament	parlement
licht	lumière
ausdruck	expression
oxford	oxford
ungefähr	environ
verschoben	déplacé
verschoben	décalé
erwähnung	mention
argumente	arguments
spitze	dentelle
spitze	pointe
hugo	hugo
morgen	demain
holz	bois
qualifikation	qualification
industrie	industrie
material	matériel
king	king
angesehen	regardé
manfred	manfred
edward	edward
one	one
best	best
elemente	eléments
existieren	exister
abitur	baccalauréat
bistum	diocèse
anhalt	anhalt
ansicht	vue
inneren	intérieurs
adam	adam
unbekannt	inconnu
feld	champ
dänemark	danemark
jüdische	juive
würzburg	würzburg
imho	imho
kriterien	critères
standard	standard
pflanzen	plantes
landtag	landtag
änderung	changement
infanterie	infanterie
brüder	frères
albrecht	albrecht
kiel	kiel
interview	interview
spiegel	miroir
mecklenburg	mecklembourg
zug	train
verlegt	égaré
verlegt	transféré
königin	reine
geplant	planifié
lizenz	licence
veranstaltungen	événements
schrift	ecriture
ändern	changer
high	high
diskussionen	discussions
erinnert	rappelle
verstanden	compris
nationalsozialismus	nazisme
talk	talk
argument	argument
zentrale	central
abgeschlossen	terminé
wiesbaden	wiesbaden
verkehr	transports
show	spectacle
landschaft	paysage
gegner	adversaires
gegner	adversaire
gekommen	venu
blau	bleu
persönliche	personnelle
stern	étoile
abs	abs
herstellung	fabrication
ausreichend	suffisant
ausreichend	suffisante
hockey	hockey
antonio	antonio
lee	lee
bestätigt	confirmé
einheiten	unités
israel	israël
sperren	verrouiller
brasilien	brésil
klavier	piano
durchmesser	diamètre
gericht	tribunal
ältere	anciens
barbara	barbara
orchester	orchestre
augsburg	augsburg
kennt	connaît
unsere	notre
unsere	nos
abgeordneter	député
group	group
früh	précoce
früh	tôt
physik	physique
einträge	entrées
metal	metal
gouverneur	gouverneur
belgien	belgique
ähnliche	similaires
cambridge	cambridge
auto	voiture
graz	graz
magazin	magazine
francisco	francisco
vergangenheit	passé
presse	presse
gegenwart	présent
wann	quand
definiert	défini
religion	religion
jena	jena
linien	lignes
fallen	pièges
besetzung	occupation
methode	méthode
hektar	hectare
gelesen	lu
gründer	fondateur
farben	couleurs
texas	texas
meyer	meyer
entscheiden	décider
erklärung	déclaration
erklärung	explication
handel	commerce
ausland	etranger
monat	mois
studenten	étudiants
studenten	etudiants
windows	windows
funktionen	fonctions
funktionen	fonctionnalités
listen	listes
solid	solid
lübeck	lübeck
eigenschaften	propriétés
günter	günter
fließt	coule
versuchen	essayer
widerstand	résistance
design	design
entschieden	décidé
offizier	officier
erklären	expliquer
kongress	congrès
volk	peupler
white	white
universitäten	universités
nachgewiesen	démontré
günther	günther
gottfried	gottfried
code	code
beziehung	relation
karlsruhe	karlsruhe
grad	degrés
grad	degré
mathematik	mathématiques
bund	bund
amsterdam	amsterdam
verbessern	améliorer
nsdap	nsdap
geschützt	protégé
profil	profil
glauben	croire
wikimedia	wikimedia
las	las
millimeter	millimètre
dvd	dvd
fuß	pied
züge	trains
portugal	portugal
begriffe	termes
vergeben	pardonner
besetzt	occupé
tabelle	tableau
zuschauer	spectateurs
arnold	arnold
reaktion	réaction
wahlen	élections
ausgestattet	équipée
ausgestattet	équipé
automatisch	automatiquement
automatisch	automatique
harry	harry
eingetragen	enregistrée
regionen	régions
außen	extérieur
verfassung	maquillage
getrennt	séparé
entfernung	distance
gefahr	danger
minister	ministre
speziell	spécialement
leopold	leopold
interessant	intéressant
generation	génération
wunsch	désir
wunsch	souhait
oblast	oblast
verurteilt	condamné
waffen	armes
dietrich	dietrich
mfg	mfg
schneider	tailleur
entwurf	brouillon
gemeinschaft	communauté
zugang	accès
garten	jardin
weisen	sages
thüringen	thuringe
tonnen	tonnes
afrika	afrique
wagner	wagner
hafen	port
ermöglicht	permet
kontrolle	contrôle
rathaus	mairie
emil	emil
langsam	lentement
norwegen	norvège
angeblich	prétendument
sebastian	sebastian
sebastian	sébastien
initiative	initiative
maßnahmen	mesures
aktivitäten	activités
oscar	oscar
medaille	médaille
dritter	troisième
dritter	tiers
freiheit	liberté
baron	baron
verschieben	déplacer
projekte	projets
felix	felix
kamera	caméra
priester	prêtre
charakter	caractère
charakter	personnage
big	big
street	street
ausgeführt	exécuté
organisationen	organisations
ziehen	glisser
fahrer	chauffeur
fahrer	conducteur
magdeburg	magdeburg
kommentar	commentaire
küste	côte
time	time
debüt	débuts
gedichte	poèmes
produkte	produits
möglichkeiten	possibilités
möglichkeiten	opportunités
donau	danube
spielten	jouaient
mission	mission
kombination	combinaison
first	first
prinz	prince
endgültig	définitif
endgültig	définitivement
kapitel	chapitre
juan	juan
drehbuch	scénario
versuche	tentatives
ortschaften	localités
alternative	alternative
infrastruktur	infrastructure
praktisch	pratiquement
jacques	jacques
biografie	biographie
gründe	raisons
phase	phase
junioren	juniors
françois	françois
korrekt	correcte
korrekt	correct
behandlung	traitement
verändert	changé
erstellen	créer
unterscheidet	distingue
user	user
meisterschaften	championnats
eng	eng
bauten	constructions
jack	jack
handeln	agir
mary	mary
freunde	amis
frieden	paix
stub	stub
ruf	réputation
herz	cœur
herz	coeur
pov	pov
eröffnung	ouverture
ägypten	égypte
european	european
studio	studio
spanisch	espagnol
kollegen	collègues
not	not
hill	hill
bruno	bruno
regensburg	regensburg
dortmund	dortmund
aktion	action
gemälde	peintures
mannheim	mannheim
griechenland	grèce
neustadt	neustadt
leo	leo
ufer	rive
ufer	rivage
anspruch	revendication
angebot	offre
zweifel	doutes
reine	pure
reine	pur
produzent	producteur
township	township
beck	beck
jones	jones
blue	blue
umgeben	entouré
kat	kat
nachweis	détection
net	net
wirkt	agit
hitler	hitler
springer	springer
wiederholt	répète
wiederholt	répété
rainer	rainer
brand	brand
mathematiker	mathématicien
überarbeitet	révisé
operation	opération
publikationen	publications
studie	etude
schließen	fermer
patienten	patients
bernd	bernd
anlagen	equipement
flucht	évasion
abt	abbé
maschinen	machines
verbesserung	amélioration
eventuell	eventuellement
michel	michel
vorkommen	occurrence
sonne	soleil
verboten	interdit
erweiterung	élargissement
virginia	virginie
geschichten	histoires
brown	brown
statistik	statistiques
fälle	cas
weimar	weimar
endlich	enfin
abend	soirée
anne	anne
erfahrungen	expériences
stellvertretender	adjoint
schwere	lourd
schwere	gravité
falle	piège
bay	bay
grab	tombeau
markus	markus
weber	weber
earl	earl
verbindet	lie
getötet	tué
samuel	samuel
methoden	méthodes
williams	williams
ukraine	ukraine
engagement	engagement
mühle	moulin
rolf	rolf
rostock	rostock
bauern	paysans
bauern	fermiers
linz	linz
funktioniert	fonctionne
festung	forteresse
joe	joe
rumänien	roumanie
plätze	places
computer	ordinateur
computer	ordinateurs
grün	vert
marburg	marburg
east	east
einleitung	introduction
nachrichten	nouvelles
kanal	canal
werte	valeurs
entlassen	licencié
damen	dames
oberliga	oberliga
sprach	parlé
sprach	parlait
zitat	citation
krankenhaus	hôpital
publikum	public
dame	dame
diskutieren	discuter
ring	anneau
bestehende	existants
andré	andré
mail	mail
dynastie	dynastie
militär	militaire
militär	militaires
bekommt	obtient
innsbruck	innsbruck
gesang	chant
existenz	existence
braun	brun
giovanni	giovanni
zählte	comptait
ziele	objectifs
anerkennung	reconnaissance
städtischen	urbain
konflikt	conflit
fahrzeug	véhicule
young	young
kandidaten	candidats
kandidaten	candidat
rio	rio
vielzahl	variété
gewalt	violence
interessiert	intéressé
hören	écouter
dokumentation	documentation
krone	couronne
format	format
voll	plein
front	front
gewinn	bénéfice
befördert	promu
umgebaut	reconstruit
merkmale	caractéristiques
abstand	espacement
boston	boston
major	major
beschäftigte	salariés
stephan	stephan
jacob	jacob
bereit	prêt
persönlichkeiten	personnalités
langer	langer
youtube	youtube
venedig	venise
mündung	embouchure
mündung	estuaire
rollen	rôles
beteiligung	participation
alpen	alpes
logo	logo
creek	creek
trier	trèves
träger	porteur
madrid	madrid
halbinsel	péninsule
carolina	carolina
sekunden	secondes
episode	épisode
unterschiedlich	différent
blätter	feuilles
lokalen	locaux
volkszählung	recensement
infos	infos
ton	argile
scott	scott
dach	toit
athen	athènes
bgcolor	bgcolor
sitze	sièges
potsdam	potsdam
besucher	visiteurs
mailand	milan
schritt	étape
arbeiter	ouvriers
real	real
kardinal	cardinal
führer	guide
oberfläche	surface
analyse	analyse
organisiert	organisé
organisiert	organisée
streit	querelle
streit	dispute
koch	cuisinier
ausstellungen	expositions
roger	roger
tempel	temple
bearbeitung	usinage
erfahrung	expérience
carlos	carlos
denken	penser
breslau	wrocław
abgelehnt	refusé
laufen	courir
dörfer	villages
bill	bill
brief	lettre
ben	ben
ermöglichen	permettre
forum	forum
fahren	conduire
physiker	physicien
preise	prix
preise	tarifs
philosoph	philosophe
goldenen	doré
times	times
oliver	oliver
diplomat	diplomate
wissenschaftler	scientifiques
malerei	peinture
gewicht	poids
erhöht	augmente
absolut	absolument
who	oms
glück	bonheur
gitarre	guitare
series	series
patrick	patrick
rechtsanwalt	avocat
umwelt	environnement
ingenieur	ingénieur
manager	gestionnaire
manager	manager
senat	sénat
reisen	voyage
rundfunk	radiodiffusion
hoffmann	hoffmann
zugänglich	accessible
reinhard	reinhard
din	din
erinnerung	souvenir
urteil	verdict
urteil	jugement
botschafter	ambassadeur
drehbuchautor	scénariste
eingefügt	inséré
marx	marx
moritz	moritz
fdp	fdp
road	road
media	media
üblichen	habituel
üblichen	habituels
bauen	construire
filmografie	filmographie
that	that
auge	oeil
katharina	catherine
geburt	naissance
systeme	systèmes
america	america
rose	rose
feuer	feu
prüfung	essai
vergessen	oublié
vergessen	oublier
distrikt	district
iso	iso
bestanden	insisté
gedreht	tourné
behauptet	prétend
irland	irlande
pennsylvania	pennsylvanie
eugen	eugen
kunden	clients
himmel	ciel
hundert	cent
mike	mike
adresse	adresse
eingang	entrée
eva	eva
western	western
green	green
anhänger	remorque
columbia	columbia
betreibt	exploite
kontext	contexte
sichtbar	visible
blues	blues
details	détails
info	info
herrscher	souverains
planung	planification
wirtschaftlichen	économique
komponisten	compositeurs
