základného	basic
obeť	sacrifice
obeť	victim
úspešná	successful
úspešná	success
postupy	procedures
days	days
dvanástich	twelve
bielorusko	belarus
bielorusko	belarusian
tokio	tokyo
komunistická	communist
označenia	marking
označenia	designation
označenia	labels
označenia	indications
označenia	markings
označenia	marks
koncerte	concert
islam	islam
pokles	decline
pokles	drop
pokles	decrease
daní	taxes
pius	pius
odbory	divisions
odbory	unions
utrpel	suffered
špeciálna	special
databázy	database
databázy	databases
civilizácie	civilization
civilizácie	civilizations
civilizácie	civilisations
pechoty	infantry
lyon	lyon
stien	walls
nastala	occurred
mobilné	mobile
jednoduchá	simple
hmyz	insects
hmyz	insect
memorial	memorial
dvadsať	twenty
nákladov	cost
luftwaffe	luftwaffe
zmenilo	changed
vysvetľuje	explains
členstvo	memberships
členstvo	membership
bouches	bouches
piloti	pilots
dozvedel	learned
srsť	hair
srsť	fur
najdlhšie	longest
prezývku	nickname
vráti	returns
miss	miss
kuba	kuba
kuba	cuba
bolesti	pain
bolesti	pains
opereta	operetta
stanovisko	opinion
alojz	alojz
pečať	seal
imagesize	imagesize
pekingu	beijing
pekingu	peking
faktorov	factors
ostáva	remains
ostáva	stays
nevyhnutné	necessary
nevyhnutné	unavoidable
nevyhnutné	inevitable
nevyhnutné	vital
nevyhnutné	essential
zatknutý	arrest
zatknutý	arrested
zatknutý	apprehended
scalemajor	scalemajor
vonkajší	outdoor
vonkajší	outer
vonkajší	external
aplikácií	applications
aplikácií	apps
molekúl	molecules
jedine	only
večné	perpetual
večné	eternal
večné	everlasting
nic	nothing
nic	nic
nástroja	instrument
nástroja	tool
konštruktér	constructor
tennessee	tennessee
techniku	technique
raymond	raymond
cicavcov	mammalian
cicavcov	mammals
cicavcov	mammal
public	public
príznaky	symptoms
príznaky	signs
bruntál	bruntál
prijatá	received
prijatá	accepted
prijatá	admitted
prijatá	adopted
joan	joan
rozhodnuté	resolved
rozhodnuté	decided
patriarcha	patriarch
dunaji	danube
múr	wall
manhattan	manhattan
texase	texas
stráže	guards
kristus	christ
rozsiahly	extensive
rozsiahly	vast
aristoteles	aristotle
edwards	edwards
financie	finance
financie	financials
financie	finances
plotarea	plotarea
klatovy	klatovy
nedeľu	sunday
svitavy	svitavy
pomocný	auxiliary
maďarov	hungarians
ibm	ibm
kľúč	key
ochorenie	illness
ochorenie	disease
ochorenie	sickness
kostolov	churches
nadal	nadal
jacob	jacob
ťažba	extraction
ťažba	mining
ťažba	logging
lesné	forest
centrá	centers
centrá	centres
indonézie	indonesia
bytia	being
vlastná	own
vlastná	custom
ministrov	ministers
ministrov	ministerial
múzeá	museums
kováč	blacksmith
šírenie	spreading
šírenie	dissemination
šírenie	spread
obnovená	resumed
obnovená	renewed
obnovená	restored
botanik	botanist
kyselín	acids
benz	benz
zeman	zeman
phoenix	phoenix
gilmour	gilmour
rozvíjať	evolve
rozvíjať	develop
populárny	popular
metre	meters
metre	subway
metre	metres
rak	rak
rak	cancer
hovorovo	colloquially
obavy	fears
obavy	concerns
obavy	concern
verlag	verlag
cit	cit
dlhší	longer
frekvencia	frequency
minútu	minute
register	register
register	registry
bosna	bosnia
tvoje	your
tvoje	yours
maximum	maximum
coa	coa
cas	cas
cas	cass
prijaté	taken
prijaté	received
prijaté	accepted
prijaté	admitted
prijaté	adopted
dno	bottom
voz	wagon
hradiště	hradiště
dôstojníkov	officers
američania	americans
frederick	frederick
rozdeľuje	divides
rozdeľuje	splits
oheň	fire
garcía	garcía
ložiská	bearings
zrážky	collision
zrážky	deductions
zrážky	precipitation
zrážky	haircuts
alberto	alberto
byzantský	byzantine
russell	russell
kopca	uphill
kopca	hill
kritici	critics
demokracia	democracy
autorstvo	authorship
kus	piece
možná	possible
slávny	famous
turbo	turbo
brazílie	brazil
nezávislých	independent
nezávislých	independents
planétu	planet
spoločenský	sociable
spoločenský	social
postupnosť	sequence
arnold	arnold
naplno	fullest
ľahšie	easier
usporiadané	arranged
reaguje	reacts
reaguje	responds
reaguje	responsive
harold	harold
studio	studio
teoreticky	theoretically
bohuslav	bohuslav
podáva	lodges
černych	chernykh
kódy	codes
podporovať	support
podporovať	encourage
koryto	riverbed
ľudmila	ludmilla
akt	acp
akt	act
sultán	sultan
nepriamo	indirect
nepriamo	indirectly
pápeži	popes
povedomia	awareness
modelka	model
urata	urata
občianskeho	civic
uskutočňuje	conducts
blízkom	middle
vlk	wolf
volkswagen	volkswagen
sociológ	sociologist
chemická	chemical
comba	comba
zur	zur
vyznamenanie	commendation
kongresu	congress
lászló	lászló
robot	bot
robot	robot
námornej	maritime
pevný	solid
alexandrovič	alexandrovich
zahraničné	foreign
stuttgart	stuttgart
kovy	metal
kovy	metals
hamburg	hamburg
oslobodenie	exemption
oslobodenie	liberation
oslobodenie	relief
bydlisko	resident
bydlisko	residence
bydlisko	domicile
mag	mag
bobby	bobby
náhodou	accidentally
napísali	written
napísali	wrote
tiger	tiger
nadácie	foundations
detaily	details
kolektív	collective
automobilový	automotive
philippe	philippe
ľad	ice
lese	woods
mostov	bridges
jadrovej	nuclear
rap	rap
výraznejšie	sharper
odolnosť	robustness
odolnosť	resistance
odolnosť	resilience
jay	jay
podobnú	similar
teórií	theories
čou	zhou
záhreb	zagreb
leonardo	leonardo
sľuby	promises
sľuby	pledges
sľuby	vows
prepojenie	linking
prepojenie	interconnection
vertebrata	vertebrata
súčet	sum
umiestnenia	placement
umiestnenia	locations
umiestnenia	placements
umiestnenia	location
formátu	format
záhrade	garden
záujmov	interests
derby	derby
teréne	terrain
robinson	robinson
zubov	teeth
bela	bela
sierra	sierra
prusko	prussia
portugalský	portuguese
case	case
vlakov	trains
soľ	salt
miestni	locals
castle	castle
zjednotenie	unification
zjednotenie	unifying
väzba	bind
väzba	binding
väzba	bonding
väzba	custody
väzba	bond
tradícia	tradition
povesti	rumors
abovsko	abaúj
nástupcu	successor
aktuálny	current
aktuálny	topical
katalóg	catalogue
katalóg	catalog
nelson	nelson
rastú	grow
sčítanie	census
výklad	interpretation
výklad	interpret
znamenal	meant
výzbroje	armaments
pozemné	terrestrial
pozemné	ground
ondřejov	ondřejov
pohľady	sights
pohľady	views
cestná	road
zásah	interference
zásah	intervention
warner	warner
zdravotné	medical
zdravotné	health
chybu	mistake
založiť	base
jules	jules
prúdov	streams
komédia	comedy
watanabe	watanabe
kresťanov	christians
angel	angel
továrne	factories
faktor	factor
litva	lithuania
zavraždený	murdered
zavraždený	assassinated
phil	phil
rob	rob
zastúpené	represented
spôsobujú	causing
výkonný	executive
výkonný	xo
ponúkol	offered
presun	transfer
presun	move
presun	moving
presun	movement
carter	carter
poistenie	insurance
finančne	financially
kroky	steps
kroky	footsteps
zmazať	delete
bohatý	rich
erich	erich
informatiky	informatics
suchá	dry
poddruh	subspecies
slnečná	solar
automobilky	automakers
infraštruktúra	infrastructure
svetom	world
nahrávanie	uploading
nahrávanie	upload
nahrávanie	recording
nahrávanie	record
čítať	read
záchranu	rescue
wood	wood
klavirista	pianist
kabíny	cabins
kabíny	booths
dutiny	cavity
dutiny	sinuses
dutiny	cavities
mer	mer
schopní	able
organické	organic
rybníky	ponds
portálu	portal
orientačné	indicative
vyvinuli	evolved
skutočné	real
skutočné	genuine
skutočné	actual
domény	domains
návštevy	visitors
návštevy	visit
návštevy	visits
predstaviť	introduce
predstaviť	imagine
citát	quote
citát	quotation
odborov	unions
štvrté	fourth
vzduchom	airborne
jonas	jonas
barry	barry
equus	equus
licencie	licences
licencie	licenses
licencie	licence
licencie	licensing
nákladu	cargo
budovať	build
hlboké	deep
odhad	estimated
odhad	estimate
odhad	estimation
vojnový	war
folk	folk
koalície	coalition
charakteristiky	characteristics
charakteristiky	features
briti	britons
briti	british
briti	brits
čínske	chinese
mama	mama
mama	mom
mama	mother
mama	mum
zisku	profit
zaznamenané	recorded
zaznamenané	noted
prepustený	released
prepustený	discharged
venuša	venus
väzení	prison
centrálne	central
centrálne	centrally
porážku	defeat
budúci	next
harvard	harvard
olympic	olympic
nepriateľov	enemies
geometria	geometry
reprezentácia	representation
priatelia	friends
verše	verses
socialistická	socialist
prince	prince
vrtuľníky	choppers
vrtuľníky	helicopters
titan	titan
cook	cook
diely	parts
diely	cuts
charlotte	charlotte
veciach	matters
počuť	hear
chemicky	chemically
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
predstavenie	performance
predstavenie	show
bohato	richly
vraždy	homicide
vraždy	murder
vraždy	murders
podvozok	chassis
podvozok	bogie
zavedená	introduced
ensign	ensign
lisa	lisa
vybrať	choose
vybrať	select
činiteľ	factor
premenné	variable
premenné	variables
fred	fred
adrian	adrian
dvořák	dvořák
štandardy	standards
planéte	planet
čisté	net
čisté	pure
čisté	clean
ukončený	terminated
súbežne	simultaneously
súbežne	parallel
tvrdenia	claims
tvrdenia	allegations
tvrdenia	arguments
tvrdenia	assertions
alois	alois
ručne	handmade
ručne	manually
súkromný	private
scaleminor	scaleminor
plody	fruit
plody	fruits
fórum	forums
fórum	forum
pestovanie	growing
pestovanie	planting
pestovanie	cultivation
relácia	session
relácia	relation
cooper	cooper
nahradená	superseded
nahradená	replaced
logiky	logic
pohyby	movements
pohyby	moves
psychológ	psychologist
slávnosti	festival
slávnosti	festivities
slávnosti	fete
terminológia	terminology
bytosti	beings
bytosti	creatures
samice	females
samice	female
súradnice	coordinate
súradnice	coordinates
senátu	senate
grafický	graphical
grafický	graphic
plukovník	colonel
joj	joj
michelangelo	michelangelo
potomkov	offspring
potomkov	descendants
melbourne	melbourne
korunu	crown
agent	agent
tém	topics
kapitola	chapter
železo	iron
jaroslava	jaroslava
spisy	writings
podvozku	bogie
labe	elbe
konečný	final
efektívne	efficient
efektívne	effectively
efektívne	effective
efektívne	efficiently
najnovšie	recent
najnovšie	newest
najnovšie	latest
poľnohospodárske	agricultural
dramaturg	dramaturg
podal	handed
dolní	dolní
kaplnke	chapel
sasko	saxony
modra	blue
modra	modra
jadrom	core
papiera	paper
platňa	plate
spol	associates
hlasovať	vote
hlasovať	voting
liverpool	liverpool
opravy	corrections
opravy	repairs
opravy	fixes
opravy	repair
dia	dia
mačky	cats
trestné	criminal
trestné	penal
brigády	brigades
brigády	brigade
teológia	theology
varšave	warsaw
následné	subsequent
ľudský	human
potrieb	needs
útek	escaping
útek	escape
zaťaženie	load
zaťaženie	loads
zaťaženie	loading
tal	tal
vlastnil	owned
sarah	sarah
venované	devoted
československo	czechoslovakia
spolupracovať	collaborate
spolupracovať	cooperate
vyhlásenia	statements
vyhlásenia	declarations
vyhlásenia	announcements
sebastian	sebastian
klaus	klaus
obsahujúce	containing
dôsledky	implications
dôsledky	consequences
chomutov	chomutov
váhy	scales
váhy	libra
váhy	weights
zámer	intention
zámer	intent
hladina	level
čreva	bowel
hkm	hkm
iniciatívy	initiatives
iniciatívy	initiative
symbolov	symbols
mons	mons
empire	empire
vietname	vietnam
piatok	friday
tvarov	shapes
štúdiá	studios
používateľ	user
made	made
letci	fliers
etapy	stages
pristál	landed
rozširuje	broadens
rozširuje	extends
rozširuje	expands
osád	settlements
žltý	yellow
abd	abd
odmietli	declined
novšie	newer
jamie	jamie
náčelník	chief
náčelník	chieftain
sociálny	social
porto	porto
rozdielne	different
rozdielne	divergent
deutsche	deutsche
adresu	address
rumunský	romanian
lebky	skulls
lebky	skull
úseky	sections
priemyselná	industrial
pretekár	racer
kras	karst
kras	kras
uhlie	coal
uhlie	charcoal
abeceda	alphabet
komédie	comedy
komédie	comedies
vrh	litter
kopa	pile
duchovné	spiritual
extra	extra
nickelback	nickelback
matematickej	numeracy
udržanie	maintaining
vzdať	surrender
snahu	effort
nárok	claim
nárok	entitlement
chýb	mistakes
chýb	errors
chýb	bugs
medi	copper
pokryté	covered
poskytnúť	provide
zavedený	introduced
jednotlivcov	individuals
archeológ	archaeologist
archeológ	archeologist
organizmus	organism
junior	junior
životy	lives
frekvencie	frequencies
frekvencie	frequency
autobus	bus
výrobcu	producer
výrobcu	manufacturer
tisícročia	millennium
prednášky	lectures
prednášky	lecture
ulrich	ulrich
akademický	academic
návrhov	suggestions
praktické	practical
estadio	estadio
počasie	weather
nominácia	nomination
trio	trio
skúsenosť	experience
najmladší	youngest
sklo	glass
preložené	translated
disciplíne	discipline
wwe	wwe
nešpecifikovaná	unspecified
elektrických	electrical
elektrických	electric
adresy	addresses
family	family
operáciu	surgery
vzdialený	distant
vzdialený	remote
naučil	learned
naučil	taught
existoval	existed
porasty	plantations
dmitrij	dmitri
pohlavia	gender
pohlavia	sexes
pohlavia	sex
wars	wars
dallas	dallas
karibiku	caribbean
broughton	broughton
timeaxis	timeaxis
zrýchlenie	acceleration
core	core
paralelne	parallel
lipa	lipa
challenger	challenger
bytov	flats
bytov	bytes
bytov	apartments
centrálny	central
rodičmi	parents
eddie	eddie
nymburk	nymburk
ross	ross
média	media
fritz	fritz
afganistane	afghanistan
prístupné	accessible
rádia	radio
afrických	african
terminál	terminal
memoriam	memoriam
konstantin	konstantin
výstupy	outputs
výstupy	outcomes
bruins	bruins
armstrong	armstrong
lekára	physician
lekára	doctor
rukopis	manuscript
shoemaker	shoemaker
projektom	projects
prózy	prose
margaret	margaret
samostatnú	standalone
pridáva	adds
nebezpečné	dangerous
nebezpečné	hazardous
pristáli	landed
škótsku	scotland
škótsku	scotch
berkeley	berkeley
outline	outline
venovaná	dedicated
bočné	lateral
platnosť	valid
platnosť	validity
výchovu	upbringing
child	child
zostať	staying
zostať	stay
polo	polo
sporné	questionable
sporné	contentious
sporné	disputed
neba	heaven
baktérie	bacteria
baktérie	germs
main	main
grafika	artwork
grafika	graphics
vodcov	leaders
estónsko	estonia
sodný	sodium
schopností	abilities
medzinárodne	internationally
médium	media
médium	psychic
médium	medium
vyhláška	ordinance
vyhláška	edict
vyhláška	decree
úteku	escaping
úteku	runaway
geometrie	geometry
fakticky	factually
zachránil	saved
pravdepodobnosť	probabilities
pravdepodobnosť	odds
pravdepodobnosť	likelihood
pravdepodobnosť	probability
guide	guide
airbus	airbus
komentár	comment
komentár	comments
neskoro	late
dokázať	demonstrate
dokázať	prove
vybraný	chosen
vybraný	selected
zvon	bell
kult	cult
usb	usb
veží	towers
tajne	secretly
reedy	reedy
dodáva	delivers
dodáva	adds
dodáva	supplied
kryštály	crystals
unit	unit
lightgrey	lightgrey
belfort	belfort
riadil	drove
príbuzných	relatives
polomer	radius
nákladné	costly
nákladné	freight
nechce	wants
užitočné	useful
užitočné	helpful
športovcov	sportsmen
športovcov	athletes
dos	dos
terénu	terrain
plemena	breed
otázok	questions
kantónov	cantons
širokú	broad
širokú	wide
buffalo	buffalo
pripravený	ready
chemickej	chemical
špecifikácie	specifications
obnoviť	reset
obnoviť	restore
obnoviť	refresh
obnoviť	resume
ueda	ueda
vodiča	driver
vajíčka	eggs
zavedené	introduced
zavedené	implemented
odborník	expert
odborník	specialist
bordeaux	bordeaux
sietí	nets
sietí	networks
louny	louny
matematické	mathematical
magazín	magazine
vypukla	erupted
chápe	understands
hrdinovia	heroes
bloky	chunks
bloky	blocks
táborov	camps
predkov	ancestors
predkov	ancestral
nikde	nowhere
guinea	guinea
ralph	ralph
dáma	lady
populárna	popular
drámy	drama
pavilón	pavilion
hospodárska	economic
hodnotenia	reviews
hodnotenia	ratings
hodnotenia	evaluations
hodnotenia	assessments
robotník	laborer
robotník	worker
premena	conversion
premena	metamorphosis
premena	transformation
vyriešiť	resolve
vyriešiť	solve
mobile	mobile
živí	feeds
živí	alive
pietro	pietro
roland	roland
ignác	ignác
spracovania	processing
výslovnosť	pronunciation
priehrady	dams
vydávanie	issuing
vydávanie	issue
vydávanie	issuance
vydávanie	publishing
autorka	author
politikov	politicians
uzavretá	enclosed
uzavretá	closed
jeruzalem	jerusalem
stôp	feet
stôp	tracks
stôp	traces
kennedy	kennedy
pilotov	pilots
mhk	mhk
značný	considerable
odráža	reflected
odráža	mirrored
odráža	reflects
spoločná	joint
dolu	down
progress	progress
obľúbené	favourite
obľúbené	popular
obľúbené	favourites
obľúbené	favorite
obľúbené	favorites
kino	kino
kino	cinema
značku	brand
bomba	bomb
aplikácia	application
aplikácia	app
vyšetrenie	examination
uplatnenie	applicability
ázijské	asian
zástupcu	deputy
štandardný	default
štandardný	standard
psychológie	psychology
zameranie	focusing
zameranie	targeting
zameranie	focus
meter	metre
meter	meter
príbehov	tales
príbehov	stories
jevgenij	yevgeny
pozor	careful
pozor	attention
podrobnosti	details
podrobnosti	detail
obnovenie	restoration
obnovenie	renewal
oldřich	oldřich
metódu	method
malta	mortar
malta	malta
uzol	node
uzol	knot
prednosť	priority
prednosť	primacy
prednosť	preference
prednosť	precedence
ean	ean
káder	ayatollah
menšiny	minority
menšiny	minorities
prietok	flow
zrušení	repealing
striedavo	alternating
striedavo	alternately
prevzaté	taken
mŕtvy	dead
vyrábali	manufactured
leonard	leonard
menšiu	smaller
algoritmus	algorithm
ovládanie	control
ovládanie	controls
strieborná	silver
vchod	entrance
niesol	carried
popravený	executed
bel	bel
neoficiálne	unofficial
neoficiálne	unofficially
chicagu	chicago
tvoj	your
tvoj	yours
sekundárne	secondary
skok	jump
zoskupenie	cluster
zoskupenie	grouping
gnu	gnu
obmedzenia	limitations
obmedzenia	restrictions
obmedzenia	limits
obmedzenia	constraints
reakciu	reaction
tisíce	thousands
nezahŕňa	excludes
pec	furnace
pec	oven
pec	kiln
pec	pec
testovanie	testing
železníc	railways
otvorene	openly
original	original
ekvivalent	equivalent
formáte	format
kapitánom	captain
belo	belo
šľachtic	nobleman
bejzbal	baseball
križovatky	intersection
križovatky	junction
križovatky	crossings
križovatky	crossroads
križovatky	intersections
križovatky	junctions
hollywood	hollywood
obchodník	trader
vegas	vegas
široko	widely
rekonštrukcie	refurbishment
rekonštrukcie	reconstruction
ken	ken
sedimenty	sediments
žiadal	claimed
chaos	chaos
viacej	more
schneider	schneider
collins	collins
vysielač	transmitter
symbolizuje	symbolises
symbolizuje	symbolizes
nominácie	nominations
chýbajú	missing
alba	alba
sledovanie	tracking
sledovanie	monitoring
sledovanie	surveillance
sledovanie	follow
scénu	scene
bohatstvo	fortune
bohatstvo	riches
bohatstvo	wealth
titulok	headline
titulok	caption
titulok	title
ovocie	fruit
ovocie	fruits
kaneda	kaneda
kamery	cameras
observatórium	observatory
proste	just
minca	coin
označiť	tag
označiť	mark
videli	spotted
videli	seen
videli	saw
baptiste	baptiste
náboženská	religious
kvapaliny	liquids
kvapaliny	fluids
nápad	idea
morgan	morgan
mhd	mhd
albánska	albanian
albánska	albania
hovoril	spoken
hovoril	talked
hovoril	spoke
navrhnutá	designed
miestnosť	room
letel	flown
letel	flew
zásob	inventory
zásob	inventories
zásob	stock
hole	hole
dateformat	dateformat
brothers	brothers
tóth	tóth
vládcu	ruler
planina	planina
monika	monika
monika	monica
ovplyvnená	influenced
ovplyvnená	affected
heineken	heineken
rozdelenia	distributions
presnosť	punctuality
presnosť	precision
presnosť	accuracy
jam	jam
komplexné	comprehensive
komplexné	complex
uložená	saved
turecký	turkish
zemetrasenie	earthquake
zemetrasenie	quake
zemetrasenie	earthquakes
pochopiť	understand
pochopiť	understanding
zväzkov	bundles
efekty	effects
doložené	evidenced
zeppelin	zeppelin
plošina	platform
plošina	plateau
myslel	thought
myslel	thinking
his	bip
obmedzená	limited
obmedzená	restricted
uverejnil	posted
beck	beck
obchody	stores
obchody	business
obchody	trades
obchody	deals
obchody	shops
kentaur	centaur
realizácia	realisation
realizácia	implementation
realizácia	realization
realizácia	execution
kriticky	critically
kužele	cones
zachrániť	save
zachrániť	rescue
pohrebu	funeral
slabo	weakly
slabo	poorly
beskydy	beskids
zvukové	audible
dosiahne	achieves
dosiahne	reaches
rozpad	disintegration
rozpad	decay
apoštolov	apostles
jindřich	jindřich
houston	houston
slabé	weak
hercegovina	herzegovina
pearl	pearl
priemerne	average
alignbars	alignbars
presadiť	enforce
kolesá	wheels
uzavretý	enclosed
prichádzajú	arriving
mississippi	mississippi
zajatcov	captives
zajatcov	prisoners
blog	blog
samec	male
ramená	shoulders
ramená	arms
plní	performs
libreto	libretto
western	western
vedené	guided
špecifický	specific
trvalé	durable
trvalé	permanent
trvalé	lasting
baňa	mine
beroun	beroun
fci	fci
gilbert	gilbert
double	double
dakota	dakota
očí	eyes
vrstvu	layer
formáty	formats
baker	baker
utiekol	escaped
utiekol	fled
mini	mini
pracovníci	workers
kolumbii	colombia
zoskupenia	cluster
zoskupenia	clusters
zoskupenia	groupings
zoskupenia	grouping
urobila	did
ovplyvnené	influenced
ovplyvnené	affected
existovalo	existed
kansas	kansas
ľudská	human
šťastný	happy
konfliktov	conflicts
trek	trek
breh	shore
mladí	young
povinný	mandatory
povinný	compulsory
graz	graz
krásne	beautiful
krásne	lovely
známky	stamps
známky	grades
rektor	rector
predal	sold
obor	giant
prekonať	surpass
prekonať	overcome
predpokladu	assumption
prezidentských	presidential
ira	ira
brániť	defend
bohatá	rich
turecká	turkish
site	sieve
site	site
martín	martín
maxim	maxim
príbuzné	relatives
príbuzné	related
súrodenci	siblings
rozmer	dimension
primátor	mayor
jordan	jordan
rozpočet	budget
darkgrey	darkgrey
philipp	philipp
franklin	franklin
batérie	battery
batérie	batteries
neplatný	invalid
academia	academia
npr	nrp
knižnici	library
zriadené	established
backgroundcolors	backgroundcolors
