மற்றும்	and
தொலைக்காட்சி	tv
தொலைக்காட்சி	television
முன்னாள்	ex
முன்னாள்	former
எண்ணிக்கை	count
எண்ணிக்கை	chunk
எண்ணிக்கை	frequency
தவிர	exclude
தவிர	except
நடிகர்	actor
பாடல்கள்	songs
இன்று	today
சட்டம்	frame
சட்டம்	law
சட்டம்	legal
சட்டம்	act
அருகில்	near
அருகில்	nearby
நேரம்	time
முதலாவது	first
நாம்	we
நாம்	let
நாம்	lets
மூலமாக	via
மூலமாக	through
மூலமாக	by
உணவு	food
குறித்து	about
பெப்ரவரி	february
பகுதிகள்	segments
பகுதிகள்	component
பகுதிகள்	regions
பகுதிகள்	parts
பகுதிகள்	areas
நிறுவனங்கள்	organizations
நிறுவனங்கள்	companies
ஜனவரி	january
எழுத்தாளர்கள்	writers
நல்ல	good
அடுத்த	next
சதுர	sq
படம்	picture
படம்	photo
படம்	image
பாதுகாப்பு	defense
பாதுகாப்பு	safe
பாதுகாப்பு	protection
பாதுகாப்பு	safety
பாதுகாப்பு	security
தஞ்சாவூர்	thanjavur
தந்தை	father
பங்கு	role
பார்க்கப்பட்ட	viewed
பயன்படுத்தி	using
அவர்களின்	their
செய்த	made
நியூ	niue
பதிவு	impression
பதிவு	signup
பதிவு	register
பதிவு	record
பதிவு	registration
பதிவு	post
இருக்க	be
ஐரோப்பிய	european
அதனால்	so
முழுவதும்	fully
முழுவதும்	completely
முழுவதும்	full
முழுவதும்	complete
பயனர்	user
தொடர்	serial
தொடர்	continue
தொடர்	proceed
போன்றவை	etc
ஜூன்	jun
ஜூன்	june
வழியாக	via
உறுப்பினர்	member
உறுப்பினர்	membership
உறுப்பினர்	client
ஆசிரியர்	editor
ஆசிரியர்	teacher
ஆசிரியர்	author
ஆஃப்	off
முக்கியமான	important
முக்கியமான	critical
தொடர்பு	contact
செய்தார்	did
ஜூலை	july
ஆற்றல்	energy
கிலோ	kg
கிலோ	kilo
வேலை	work
வேலை	job
இருக்கலாம்	maybe
சமய	religious
பணி	job
பணி	work
பணி	task
கதை	story
அதிகமாக	barely
இடையே	between
பட்டம்	graduation
பட்டம்	degree
பட்டம்	kite
வழி	trail
வழி	way
அப்போது	then
விடுதலை	liberation
விடுதலை	freedom
ஆகஸ்ட்	august
தேதி	date
பிறந்த	birth
இன்னும்	and
இன்னும்	still
ஜான்	john
ஜான்	jon
ஜான்	jaan
அடுத்து	next
ஆவது	th
சேவை	service
கருத்து	comment
கருத்து	feedback
கருத்து	theme
காரணம்	reason
காரணம்	cause
தனி	private
தனி	separate
அவருக்கு	him
நீண்ட	boing
நீண்ட	long
பள்ளி	school
மற்றொரு	another
மகன்	son
சர்வதேச	international
எல்லா	all
பொருட்கள்	objects
பொருட்கள்	items
பொருட்கள்	products
பொருட்கள்	supplies
மின்	electric
என்றால்	if
என்றால்	means
இயக்கத்தில்	on
ஏழு	seven
நடைபெற்ற	held
முன்னர்	previously
முன்னர்	earlier
முன்னர்	before
பொறியியல்	engineering
கா	gaw
கா	kha
கா	ka
அமைப்புகள்	organizations
அமைப்புகள்	settings
மொழிகள்	languages
அத்துடன்	also
முழு	full
முதன்மை	top
முதன்மை	primary
முதன்மை	main
மணி	mani
மணி	hour
மணி	bell
தொகுப்பு	package
தொகுப்பு	collection
தொகுப்பு	composition
தொலைவில்	far
தொலைவில்	away
மருத்துவ	medical
வணிக	commercial
திருமணம்	marry
திருமணம்	married
திருமணம்	marriage
திருமணம்	wedding
நீங்கள்	you
இயேசு	jesus
கருதப்படுகிறது	considered
நடித்த	starring
இருந்தால்	if
பொதுவான	common
பொதுவான	public
பொதுவான	general
சமயம்	religion
சமயம்	community
எதிராக	against
காஞ்சிபுரம்	kanchipuram
ஸ்ரீ	shree
ஸ்ரீ	sri
ஸ்ரீ	sree
ஸ்ரீ	shri
விட்டு	leave
பக்கம்	page
உள்ளிட்ட	entered
அதிகம்	high
அதிகம்	more
அவன்	he
நாட்கள்	days
திருத்தந்தை	pope
மாற்றம்	conversion
மாற்றம்	change
கொண்டிருக்கும்	servile
கழகம்	association
வேண்டிய	airless
இறுதி	end
இறுதி	final
//	//
இணைய	internet
வகைகள்	types
வகைகள்	modes
வகைகள்	categories
ஒருநாள்	odi
சீன	chinese
பொருளாதார	economic
பொருளாதார	economical
பொருளாதார	economics
இயற்கை	natural
இயற்கை	nature
தலைமை	chief
தலைமை	leadership
வேதியியல்	chemistry
நிதி	finance
போக்குவரத்து	transportation
போக்குவரத்து	transport
இருந்தன	were
புகழ்	excuses
புகழ்	fame
புகழ்	praise
முன்பு	ago
முன்பு	before
அதிகமான	high
அதிகமான	max
அதிகமான	greater
கீழே	down
கீழே	downgrade
கீழே	below
கீழே	bottom
பிப்ரவரி	february
செய்தி	story
செய்தி	news
செய்தி	message
அமெரிக்காவின்	americas
உதவி	help
பிரெஞ்சு	french
மலை	mountain
உடன்	with
செயலாளர்	secretary
வெவ்வேறு	distinct
வெவ்வேறு	different
படைகள்	force
படைகள்	troops
விழுப்புரம்	villupuram
விழுப்புரம்	viluppuram
தேர்தலில்	election
என்ன	what
எல்	el
பால்	paul
பால்	milk
பால்	milky
வீரர்கள்	players
வீரர்கள்	soldiers
அழைக்கப்படும்	called
அதனை	it
தன்மை	behaviour
தன்மை	behavior
மிகப்பெரிய	large
மிகப்பெரிய	huge
மிகப்பெரிய	biggest
விடுதலைப்	liberation
கணினி	computer
கணினி	system
வரலாற்று	historic
வரலாற்று	historical
இத்தகைய	such
இத்தகைய	accustomed
தேவையான	required
நவீன	modern
நவீன	cool
சிகிச்சை	therapy
சிகிச்சை	treatment
தொகுதிகள்	blocks
ஒன்றாக	together
மாநிலம்	state
நோக்கி	towards
திருவண்ணாமலை	tiruvannamalai
திருவண்ணாமலை	thiruvannamalai
தற்போதைய	current
தற்போதைய	present
வருகின்றன	coming
தேர்வு	selection
தேர்வு	select
தேர்வு	choice
பலர்	many
ஊர்	town
அல்ல	not
தூதரகம்	embassy
நோபல்	noble
நோபல்	nobel
திருநெல்வேலி	tirunelveli
முடிவு	end
முடிவு	result
முடிவு	conclusion
பத்து	ten
கிடைக்கும்	available
வானூர்தி	aviation
வானூர்தி	aircraft
தோற்றம்	style
தோற்றம்	look
தோற்றம்	appearance
தோற்றம்	looking
நன்றி	thanks
நன்றி	tq
வயது	age
அவரை	him
சிங்	singh
சிங்	xing
இதழ்கள்	petals
இதழ்கள்	magazines
தனிப்பட்ட	personal
தனிப்பட்ட	private
தனிப்பட்ட	unique
என்பதால்	since
கோயில்கள்	temples
மென்பொருள்	software
பொழுது	when
சோவியத்	soviet
தேவை	required
தேவை	needed
தேவை	need
தேவை	wanted
சக்தி	energy
சக்தி	power
அவர்களது	thier
அவர்களது	their
இல்லாமல்	without
கிமீ	km
நிகழ்வுகள்	events
போரில்	battle
போட்டி	tournament
போட்டி	match
போட்டி	competition
போட்டி	contest
உட்பட	including
ஏறத்தாழ	almost
மாகாணம்	province
கொல்லப்பட்டனர்	killed
க்கு	for
கத்தோலிக்க	catholic
மூன்றாவது	third
முந்தைய	prev
முந்தைய	earlier
முந்தைய	previous
இருந்தாலும்	anyhow
இருந்தாலும்	though
கடலூர்	cuddalore
முடியாது	cannot
இயக்கம்	motion
இயக்கம்	operation
இயக்கம்	movement
முனைவர்	phd
ஆண்டுகளுக்கு	skudai
குறிப்பிடத்தக்க	significant
நடிகர்கள்	actors
உரை	text
குறிப்பு	reference
குறிப்பு	note
விருதுகள்	awards
குறைவான	low
குறைவான	less
கடந்த	past
கடந்த	last
ஆண்	male
ஆண்	men
பிரதேச	divisional
திறன்	skill
திறன்	capacity
திறன்	ability
கொள்கை	policy
உங்கள்	your
உரிமை	ownership
உரிமை	rights
இல்லாத	without
இல்லாத	free
இலக்கியம்	literature
அடங்கும்	included
அடங்கும்	includes
வடிவம்	shape
வடிவம்	format
நாடாளுமன்ற	parliamentary
நாடாளுமன்ற	parliament
வாழ்ந்த	lived
பிரதேசம்	pradesh
ஒன்றை	one
பயிற்சி	training
பயிற்சி	practice
பயிற்சி	tutorial
கோட்டை	castle
கோட்டை	fort
உயிர்	life
உயிர்	revive
உயிர்	vowel
சேர்த்து	include
தீவுகள்	islands
காந்தி	gandhi
எழுத்து	script
எழுத்து	character
எழுத்து	writing
எழுத்து	spelling
விளக்கம்	description
வேலூர்	vellore
சூரிய	solar
எழுதி	burner
எதிரான	against
எட்டு	eight
உலகம்	worldwide
உலகம்	world
உலகம்	globe
உலகம்	global
ஏனெனில்	because
சேலம்	salem
சாதாரண	plain
சாதாரண	normal
அரசியல்வாதிகள்	politicians
கூடுதல்	extra
கூடுதல்	additional
வழங்கப்பட்டது	granted
இந்தி	hindi
வெளியிடப்பட்டது	released
வெளியிடப்பட்டது	published
தாய்	thai
தாய்	tai
தாய்	mother
பண்டைய	ancient
தடை	banned
தடை	ban
தடை	abort
தடை	interrupt
தடை	blocked
விமான	aviation
இப்போது	now
தெலுங்கு	telugu
குழந்தை	baby
குழந்தை	infant
குழந்தை	kid
குழந்தை	child
கண்டு	found
கண்டு	find
விக்கி	wiki
விக்கி	vicky
பணியாற்றினார்	worked
சிங்கப்பூர்	singapore
கடவுள்	god
கடவுள்	deity
மையம்	locus
மையம்	center
மையம்	centre
சட்ட	legal
பின்வரும்	following
காட்சி	show
காட்சி	scene
காட்சி	display
காட்சி	view
வங்கி	banking
வங்கி	bank
நடிகை	actress
சங்கம்	sangam
சங்கம்	association
பயணம்	travel
பயணம்	journey
பயணம்	trip
தீவு	island
தில்லி	delhi
நிர்வாக	administrative
ஒளி	light
ஆசிய	asian
விகிதம்	ratio
விகிதம்	rate
விகிதம்	percent
சாலை	road
கொழும்பு	colombo
குடியரசு	republic
நகரங்கள்	cities
பிள்ளை	pillai
பிள்ளை	pillay
அனைத்தும்	everything
அனைத்தும்	all
மேலாண்மை	management
சிவகங்கை	sivagangai
சிவகங்கை	sivaganga
இங்கே	here
இயற்பியல்	physics
இதழ்	magazine
கலைஞர்	artist
குறிப்பிடத்தக்கது	significant
குறிப்பிடத்தக்கது	remarkable
ஒலிம்பிக்	olympic
ஒலிம்பிக்	olympics
மலேசிய	malaysian
தேனி	theni
மாவட்டங்கள்	districts
உருவாக்கப்பட்டது	created
எவ்வாறு	how
தொடங்கியது	started
வெள்ளை	white
இருப்பது	being
சுற்றி	around
எப்படி	how
அல்	al
பில்லியன்	billion
பில்லியன்	billions
பேரரசு	empire
நீளம்	length
ஆராய்ச்சி	research
தளம்	domain
தளம்	site
தளம்	platform
தளம்	base
விழா	festival
விழா	ceremony
பக்கத்தில்	page
சங்க	sangam
சங்க	sanga
ஏற்பட்டது	occurred
புற	remote
முன்னணி	front
முன்னணி	foreground
புவியியல்	geography
அடையாளம்	tag
அடையாளம்	identification
அடையாளம்	id
அடையாளம்	identity
அடையாளம்	sign
குறியீடு	symbol
குறியீடு	code
குறியீடு	id
குறியீடு	encoding
செயல்	action
செயல்	function
செயல்	operation
மன்னன்	king
மன்னன்	mannan
பயன்பாடு	usage
பயன்பாடு	application
பயன்பாடு	app
முறைகள்	methods
சொந்த	personal
சொந்த	own
வார்ப்புரு	template
கிரேக்க	greek
காதல்	love
காதல்	romantic
இவன்	ivan
இருவரும்	both
பதிலாக	instead
வகைப்பாடு	classification
எடுத்துக்	taken
எடுத்துக்	take
எடுத்துக்	jest
கனடா	canada
குழந்தைகள்	kids
குழந்தைகள்	children
அனைவரும்	everybody
அனைவரும்	all
அனைவரும்	everyone
}}}}}	}}}}}
ஆரம்ப	starting
தகவல்கள்	information
வில்லியம்	william
பெயர்கள்	names
அணு	atom
பின்பு	then
மாணவர்கள்	students
சரியான	perfect
சரியான	correct
உருவாக்கப்பட்ட	created
உள்ளார்	in
சபை	assembly
சபை	council
தொடர்புடைய	associated
/////	/////
மருத்துவம்	medicine
மருத்துவம்	medical
கிராமம்	village
தாக்குதல்	assault
தாக்குதல்	offensive
தாக்குதல்	attack
தாக்குதல்	attacking
கேரள	kerala
மதிப்பு	value
கருவிகள்	tools
படை	force
மனைவி	wife
பதவி	position
பதவி	role
}}}}}}	}}}}}}
அஞ்சல்	mail
அஞ்சல்	zip
உதவும்	help
சொற்கள்	words
திரு	mr
வெளியீடு	release
வெளியீடு	output
வெளியீடு	publication
எதிர்	opposite
மிக்க	distressing
மிக்க	merciful
தொழில்நுட்ப	technical
வெளியே	out
வானொலி	radio
கிராமங்கள்	villages
முக்கியத்துவம்	importance
மீன்	fish
மீன்	fibers
போதும்	enough
மஞ்சள்	yellow
வருவாய்	income
வருவாய்	revenue
மலேசியா	malaysia
கிலோமீட்டர்	kilometre
கிலோமீட்டர்	kilometers
கொள்ளும்	feud
உள்ளூர்	local
கிட்டத்தட்ட	almost
கடைசி	last
குரு	guru
ஆனாலும்	but
படத்தில்	photo
எதிர்ப்பு	resistance
எதிர்ப்பு	opposition
ஒன்பது	nine
வான்	wan
வான்	van
சிறப்பாக	great
சிறப்பாக	better
சிறப்பாக	best
நன்கு	well
தொடங்கினார்	started
பேராசிரியர்	prof
பேராசிரியர்	professor
பதிப்பகம்	publishing
தனியார்	private
தூத்துக்குடி	thoothukudi
தரவு	data
பஞ்சாப்	punjab
நம்பிக்கை	faith
நம்பிக்கை	confidence
நம்பிக்கை	faithful
நம்பிக்கை	trust
நம்பிக்கை	hope
நம்பிக்கை	belief
இடங்கள்	locations
இடங்கள்	places
பெரிதும்	greatly
பரவலாக	worshiped
பரவலாக	widely
மரபு	idioms
மரபு	heredity
மரபு	legacy
மும்பை	mumbai
விற்பனை	sell
விற்பனை	selling
விற்பனை	marketing
விற்பனை	sales
விற்பனை	sale
வருடம்	year
மேலே	top
மேலே	up
மேலே	above
ஏற்கனவே	already
அம்மன்	amman
என்றாலும்	though
கடன்	credit
கடன்	loan
கடன்	debt
கடன்	loans
இக்	ick
விலை	price
விலை	pricing
செய்திகள்	news
செய்திகள்	messages
சோதனை	test
சோதனை	testing
திண்டுக்கல்	dindigul
பிபிசி	bbc
யாழ்ப்பாணம்	jaffna
///	///
உருவாக்க	generate
அவர்களுக்கு	theirs
அவர்களுக்கு	them
அரசன்	monarch
அரசன்	king
போட்டிகள்	competitions
ஆகியவற்றில்	batha
கை	hand
அரசியல்வாதி	politician
பறவைகள்	birds
புதுக்கோட்டை	pudukkottai
ஒலி	sound
ஒலி	audio
குறிப்புகள்	notes
குறிப்புகள்	tips
பெண்களின்	girls
ஜே	jay
இயக்குனர்	director
நாகப்பட்டினம்	nagapattinam
உயிரியல்	biology
திருச்சிராப்பள்ளி	tiruchirappalli
தொடக்கம்	startup
தொடக்கம்	start
தொடக்கம்	beginning
தொடக்கம்	initiation
தொடக்கம்	starting
பூங்கா	park
இளம்	young
அருகே	near
கிமு	bc
டாக்டர்	dr
உயர்ந்த	high
உயர்ந்த	highest
உயர்ந்த	elevated
காவல்	police
குடும்பம்	family
ஆதரவு	support
ஆதரவு	endorsement
கைது	arrest
கைது	arrested
திருவள்ளூர்	tiruvallur
திருவள்ளூர்	thiruvallur
எழுதினார்	wrote
வலது	right
தன்னை	himself
இராகம்	raga
இராகம்	raaga
மாலை	evening
மாலை	eve
ஆய்வுகள்	studies
ஆய்வுகள்	diagnostics
குறிக்கிறது	stands
எடுத்து	taking
எடுத்து	take
சிவப்பு	redo
சிவப்பு	red
நடைபெற்றது	held
எதுவும்	nothing
முஸ்லிம்	muslim
இன்றும்	today
தலைவர்கள்	chiefs
தலைவர்கள்	leaders
இரத்த	blood
இருந்தனர்	were
சிவன்	sivan
சிவன்	shiva
ஜார்ஜ்	george
முழுமையான	complete
இரண்டும்	both
காங்கிரஸ்	congress
இங்குள்ள	depicting
அவள்	she
சுவாமி	swami
சுவாமி	swamy
வரிசை	serial
வரிசை	order
வரிசை	row
காற்று	wind
மாத	monthly
பயனர்கள்	users
கான்	khan
இரவு	night
நடவடிக்கை	activity
நடவடிக்கை	action
அவரின்	his
நேரங்களில்	times
தாம்	courted
தாம்	dham
வழக்கு	case
அகாதமி	academy
பிரதமர்	pm
சேவைகள்	services
தளத்தில்	site
மக்கள்தொகை	population
கவிதை	poem
கவிதை	poetry
இதுவரை	far
நேரடியாக	directly
அறிக்கை	report
அறிக்கை	statement
விருதுநகர்	virudhunagar
பணம்	money
பணம்	cash
பணம்	currency
உண்மையான	real
உண்மையான	genuine
உண்மையான	true
பிரிவுகள்	sections
பிரிவுகள்	categories
அடிக்கடி	frequently
அடிக்கடி	often
அடிக்கடி	frequent
மரம்	wood
மரம்	tree
இராணுவ	military
இதர	misc
சீனா	china
உண்மையில்	actually
உண்மையில்	really
ரயில்	train
கவிஞர்	poet
சுதந்திர	independent
சுதந்திர	independence
சுதந்திர	freedom
செய்தல்	making
வெளியிட்டார்	issued
வடிவமைப்பு	configuration
வடிவமைப்பு	design
வடிவமைப்பு	configure
வடிவமைப்பு	format
திராவிட	dravidian
திராவிட	dravida
வெப்பநிலை	temperature
இன்னொரு	another
நிலையை	status
கப்பல்	ship
அறிமுகம்	introduction
அறிமுகம்	about
காங்கிரசு	congress
கோயம்புத்தூர்	coimbatore
வரி	line
வரி	tax
காட்டும்	returns
மாறாக	rather
மாறாக	alternately
மாறாக	contrary
குரல்	voice
இயக்குநர்	director
ஜேம்ஸ்	james
தயாரிப்பு	preparation
தயாரிப்பு	product
தயாரிப்பு	production
புள்ளி	point
இணைப்புக்கள்	connections
இணைப்புக்கள்	attaches
இணைப்புக்கள்	links
கருவி	device
கருவி	scope
கருவி	tool
டேவிட்	david
இயங்கும்	active
இயங்கும்	running
புராணம்	puranas
புராணம்	legend
நிகழ்ச்சி	show
நாமக்கல்	namakkal
பௌத்த	buddhist
எழுதப்பட்ட	written
கொலை	murder
வண்ணம்	color
வண்ணம்	colour
நிலையங்கள்	salons
நிலையங்கள்	stations
பரப்பளவு	area
உறுதி	confirmed
நடத்திய	conducted
வழக்கம்	regular
வழக்கம்	custom
குறைவாக	low
குறைவாக	less
கலைஞர்கள்	performers
கலைஞர்கள்	artists
செ	deaf
பாகிஸ்தான்	pakistan
பாகிஸ்தான்	pakistani
சற்று	slightly
அங்கே	there
இன	races
இன	ethnic
இன	racial
வசதி	facility
வசதி	comfort
வசதி	feature
வசதி	comfortable
வழங்கப்படும்	provided
வழங்கப்படும்	offered
முயற்சி	try
முயற்சி	effort
கதைகள்	narratives
கதைகள்	stories
அரபு	arab
அரபு	arabic
இவற்றை	these
பிரான்சு	france
ஈரோடு	erode
விண்வெளி	space
மாற்றங்கள்	changes
அடர்த்தி	density
படங்கள்	photos
படங்கள்	pictures
படங்கள்	images
ஆயிரம்	thousand
வார்ப்புருக்கள்	templates
இனம்	breed
இனம்	race
இனம்	ethnicity
புரிந்து	understand
செய்கிறது	thaw
வாக்குகள்	votes
திருவாரூர்	tiruvarur
திருவாரூர்	thiruvarur
ரூபாய்	rupees
ரூபாய்	rupee
அமைச்சர்	minister
கூட்டு	union
கூட்டு	add
கூட்டு	sum
