அணில்	squirrel
இறால்	shrimp
மகள்கள்	daughters
பாடிஸ்டா	bautista
உற்சவம்	utsav
மாறுதல்	switching
கிரேக்கர்கள்	greeks
ஜலந்தர்	jalandhar
கென்	ken
அரிப்பு	itching
இந்தூர்	indore
ஸ்ரீதேவி	sridevi
வசதிக்காக	convenience
துங்கு	tunku
எரிச்சல்	irritability
எரிச்சல்	grumpy
எரிச்சல்	irritation
சர்தார்	sardar
சத்தியம்	promise
மினி	mini
மதிப்புமிக்க	valuable
விசா	visa
சர்ச்சைகள்	problems
சர்ச்சைகள்	controversy
இரைச்சல்	noise
பணவீக்கம்	inflation
விஷயங்கள்	things
முடிவுற்றது	done
லகு	lagu
பயந்து	scared
ஆயிரமாண்டு	millennium
கிராஸ்	cross
பாபி	bobby
ரெய்கி	reiki
மனைவியை	wife
கொத்து	digest
வைக்கப்பட்டுள்ள	kept
திறம்	effective
கின்னஸ்	guinness
எந்திரம்	machine
தங்கியுள்ளது	varies
இயல்பாகவே	inherently
மெதுவான	slow
மெதுவான	slower
பர்மிய	burmese
சாட்	chad
அறிமுகப்படுத்திய	introduced
மடோனா	madonna
திராட்சை	grape
திராட்சை	grapes
முத்தம்	kiss
கோதிக்	gothic
பேரணி	rally
கொடியை	flag
அறிவாற்றல்	witty
அறிவாற்றல்	cognitive
இஸ்மாயில்	ismail
அரவிந்த்	aravind
அரவிந்த்	arvind
டிரில்லியன்	billion
டிரில்லியன்	trillion
நிறுவப்பட்டுள்ளது	installed
பறக்க	fly
பலன்கள்	benefits
தனித்துவம்	unique
மயிலாப்பூர்	mylapore
பிறந்தநாள்	birthday
மார்வெல்	marvel
தொழில்சார்	occupational
மாற்றுதல்	conversion
தன்மைகள்	entities
தன்மைகள்	properties
கடக்கும்	crossing
முகமை	agency
வாக்கர்	walker
எய்ட்ஸ்	aids
குடியிருப்புகள்	apartments
கழித்தல்	subtract
கழித்தல்	subtraction
கிளாப்டன்	clapton
பிரின்ஸ்	prince
குருவாயூர்	guruvayur
ஒப்பு	dummy
வருகிறான்	coming
அசாதாரண	extraordinary
பட்	butt
தானியங்கு	auto
தானியங்கு	automatic
நடராசர்	nataraja
பிறவி	birth
குஞ்சுகள்	chicks
நெப்டியூன்	neptune
வெற்று	empty
வெற்று	blank
நின்	nin
வட்டாரம்	county
சூரி	suri
கலைக்களஞ்சியங்கள்	encyclopedia
ஆர்ட்	art
சுன்	chun
கீழ்நிலை	lower
தேடு	search
பணிக்காக	deployed
ஹாசன்	hassan
ஹெலன்	helen
சணல்	sack
சணல்	jute
விழி	awake
ருமேனியா	roman
ருமேனியா	romania
தைவான்	taiwan
அக்கா	akka
அக்கா	didi
வடிவியல்	geometry
ஹோஸ்ட்	host
வெற்றியாளர்	winner
ஈரமான	wet
லிபியா	libya
விஞ்ஞானம்	science
சுற்றுப்புற	ambiance
ஜா	jha
ஜா	ja
ஜா	jaa
மடக்கை	logarithm
மடக்கை	logarithmic
கூப்பர்	cooper
வில்லெம்	willem
வில்லெம்	wilhelm
கிறிஸ்துவ	christian
ஏலம்	auction
ஏலம்	bid
விவரிக்க	describe
சாம்பியன்ஸ்	champions
பரவ	spread
மொராக்கோ	morocco
கொடுமை	sick
கொடுமை	horrible
அம்பிகா	ambika
ஆர்வத்துடன்	zeal
எம்மி	emmy
பாராளுமன்றம்	parliament
டக்	tuck
டக்	doug
சேமிக்கும்	saving
நடமாடும்	float
நடமாடும்	floating
கட்டணங்கள்	charges
கட்டணங்கள்	payments
சாய்ஸ்	choice
ஸ்டூடியோ	studio
அலாஸ்கா	alaska
அர்ஜுன்	arjun
விற்பனையில்	selling
சம்பத்	sampath
சதுரங்கம்	chessboard
சதுரங்கம்	chess
எழுத்துருக்கள்	fonts
குரலில்	voice
கிரகணம்	ecliptic
கிரகணம்	eclipse
பிளேயர்	player
சரத்குமார்	sarathkumar
பாலகிருஷ்ணன்	balakrishnan
சாயம்	dye
குலாம்	ghulam
துணுக்குகள்	particles
ராண்டார்	randor
முன்னேற்றங்கள்	improvements
சுனில்	sunil
ராமகிருஷ்ணன்	ramakrishnan
கடற்கரைகள்	beaches
அட்டவணைகள்	catalogues
அட்டவணைகள்	tables
அட்டவணைகள்	catalogs
கோரிக்கைகளை	requests
சுவாச	respiratory
புண்ணிய	sore
பொலிவியா	bolivia
கிறித்தவர்	christian
கொண்டுவரும்	brings
யாக்கோபு	jacob
பரிந்துரைக்கப்படுகிறது	recommended
யுகம்	yuga
சமணம்	jain
தீர்வை	tariff
சதாசிவ	sadasiva
சிலந்தி	spider
மார்க்ஸ்	marx
மார்க்ஸ்	marks
தடிமன்	bold
திருமணங்கள்	weddings
திருமணங்கள்	marriages
}}%	}}%
உடல்நிலை	sick
குமாரசுவாமி	kumaraswamy
குழம்பு	curry
ஹாஜி	haji
க்காக	for
புரவன்	host
சிறைச்சாலை	prison
ஞாயிற்றுக்கிழமை	sundays
ஞாயிற்றுக்கிழமை	sunday
மசோதா	bill
செவி	chevy
செவி	ear
இனப்படுகொலை	genocide
கத்தார்	qatar
எழுதவும்	write
உயர்த்த	raise
தூண்டியது	pushing
ஊற்றி	pour
வாக்காளர்கள்	voters
சுவாமிநாதன்	swaminathan
நேர்த்தியான	elegant
முகவர்	agent
புரி	puri
அமோனியா	ammonia
தத்	dutt
அய்யா	sir
அல்பிரட்	alfred
உயரும்	rise
நிர்ணய	establishment
தானா	thana
இரைப்பை	stomach
கோபேன்	cobain
பூட்டோ	bhutto
விசிறி	fan
மூடப்பட்டது	closed
பாஸ்கா	pesach
ஈஸ்டர்	easter
உணர்வுகளை	feelings
வெளியேறு	leave
வெளியேறு	exit
வெளியேறு	eject
சங்கரன்	sankaran
அனில்	anil
அம்பாந்தோட்டை	hambantota
பிரேசிலிய	brazilian
போராடிய	fought
தக்காளி	tomato
தக்காளி	tomatoes
குடை	umbrella
போல்ட்	bolt
கிரான்ட்	grant
தொப்புள்	navel
துரிதமாக	quickly
பழம்பெரும்	legendary
பதினோரு	eleven
வெடிகுண்டு	bomb
கிளைவ்	clive
கட்டடக்கலை	architecture
அளக்க	measure
உதவியாளர்	assistant
உதவியாளர்	helper
நீயே	yourself
வல்லுனர்	expert
சுவாசம்	breath
நீங்களே	yourself
வறட்சி	drought
முரளிதரன்	muralitharan
மக்களே	people
சிறுபான்மையினர்	minority
எமிலி	emily
இருமல்	cough
மேசை	table
மேசை	desktop
லூதர்	luther
கருங்கல்	granite
ஆதரவான	supportive
கூட்டுத்தொகை	sort
கம்பளி	wool
நிர்வகித்தல்	managing
காரணத்தை	reason
வூ	woo
மார்க்சியம்	marxism
டென்	den
கூ	koo
சொற்பொழிவு	lecture
சொற்பொழிவு	speech
சொற்பொழிவு	implants
எளிது	easy
மோசே	moses
வாய்ப்புகளை	chances
பிரம்மம்	brahman
வளையங்கள்	loops
வளையங்கள்	rings
பொடி	powdered
பொடி	powder
பொடி	podi
சட்டமன்றத்தின்	legislators
மங்களூர்	mangalore
தாரை	jet
மாதவி	madhavi
போர்னியோ	borneo
ஸ்டார்க்	starc
ஸ்டார்க்	stark
நரி	fox
நாசிக்	nashik
ஜானி	johny
ஜானி	jani
ஜானி	johnny
பாட்	pat
தூங்கும்	sleeping
எங்க	enga
போன்றவற்றிற்கு	ect
கண்ணாடிகள்	eyewear
கண்ணாடிகள்	glasses
சிங்கை	singh
ஒளிப்பதிவாளர்	cinematographer
பிரிக்கிறது	separates
மகாராணி	queen
கடமைகள்	duties
வாசு	vasu
யேல்	yale
லாவோஸ்	laos
மால்	mall
மால்	mal
மால்கம்	malcolm
நார்	fibre
நார்	fiber
சுன்னி	sunni
புதிர்	mystery
புதிர்	puzzle
பிராந்தியம்	region
சந்திரா	chandra
ரகசியம்	secret
ரகசியம்	secrecy
ஜோஷி	joshi
பசுமையான	evergreen
பெர்னார்ட்	bernard
மேகம்	cloud
கெல்வின்	kelvin
பேக்கர்	baker
ஓமோ	omo
தீட்சை	diksha
அபராதம்	crossing
வைணவம்	vaishnavism
அளவியல்	measurements
இல்ல	home
சம்பா	samba
மெய்யப்பன்	meiyappan
கோவிந்த	govinda
மன்ஹாட்டன்	manhattan
றோயல்	royal
நைட்ரேட்டு	nitrate
நபியின்	prophet
லிசா	lisa
கோன்	gon
கோன்	kone
கோன்	kon
சைகை	signal
சைகை	gesture
தாழ்வு	low
தாழ்வு	inferiority
பிரபஞ்ச	cosmic
கம்போங்	kampung
மொரிசியசு	mauritius
மகேந்திரன்	mahendran
மொழிபெயர்ப்பாளர்	translator
விற்கப்பட்டது	sold
ஹில்டன்	hilton
சீசியம்	caesium
உடலுறவு	sex
நேர்மையான	sincere
நேர்மையான	honest
தோற்றார்	predators
சீன்	sean
பன்னிரெண்டு	twelve
செனான்	xenon
நவராத்திரி	navaratri
நவராத்திரி	navratri
மோடி	modi
முறையீடு	appeal
அதிகாரமும்	authority
சக்ரவர்த்தி	chakravarthy
பெட்ரோலியம்	petroleum
நெஞ்சு	chest
அமர்	ammar
அமர்	amar
அபூர்வ	apoorva
திவான்	dewan
அயோத்தி	ayodhya
பிணையம்	network
மாமன்	uncle
போட	put
சிதைந்த	corrupted
அன்வர்	anwar
ராஜம்	rajam
ஏப்	apr
நுண்கணிதம்	calculus
வரையறுக்க	define
மாநாட்டு	conference
சேவல்	cock
சேவல்	rooster
யூன்	yoon
லின்	lynn
லின்	lyn
லின்	lin
லின்	lynne
சுந்தரி	sundari
தன்னிச்சையான	spontaneous
எறும்பு	ant
அல்லாஹ்	god
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgy
பாட்னா	patna
திருப்தி	satisfy
திருப்தி	satisfied
ரூபா	roopa
கன்	gan
இமாம்	imam
துரியோதனன்	duryodhana
பாம்	bam
பாம்	palm
பட்டறைகள்	workshops
இறங்கும்	landing
இணக்கம்	compliance
ஹதீஸ்	hadith
நிரந்தரமான	everlasting
சத்யா	sathya
வருகிறேன்	bye
தியாகராஜன்	thiagarajan
மரணத்தை	death
காசா	casa
காசா	gaza
பயிற்சியை	training
அருணா	aruna
மாயை	delusion
மாயை	illusion
விற்பனையாளர்கள்	sellers
அமைப்பாளர்	organizer
அமைப்பாளர்	composer
கண்களை	eyes
செர்பியா	serbia
வேண்டுதல்	request
ஓய்வுபெற்ற	retired
நம்ப	believe
பியானோ	piano
தட்டை	flat
வெல்லும்	vellum
மறுசுழற்சி	recycle
மறுசுழற்சி	recycled
கலந்துரையாடல்	discussion
ஐயப்பன்	ayyappan
ஆலத்தூர்	alathur
விரிவுரை	lecture
வென்	wen
பாதுகாப்பில்	custody
சங்கீதம்	psalm
ஹிந்து	hindu
மிருதங்கம்	mridangam
உறவுமுறை	relationship
சூரத்	surat
சேர்க்கப்பட்டார்	added
அரக்கன்	monster
சமுத்திரம்	ocean
முக்கோணங்கள்	triangles
சொந்தமானது	owned
பாராட்டு	appreciation
பாராட்டு	applause
அச்சிட்டு	prints
துத்தநாகம்	galvanized
பின்பும்	after
தோழர்	comrade
தோழர்	companion
போராடும்	fighting
விலகல்	deviation
அர்ஜென்டினா	argentina
அர்ஜென்டினா	argentine
ரத்தம்	blood
தாமான்	taman
ஆனந்தன்	anandan
வெடி	explosion
வெடி	explosions
பழமொழி	proverb
நர்மதா	narmada
உறிஞ்சி	sucker
கற்பனைக்	fantasy
கம்	gum
மெசியா	messiah
ஹெப்பர்ன்	hepburn
குட்டை	short
காதலர்	lover
பிற்பகல்	pm
யூரியா	urea
கம்பகா	gampaha
மீறல்	violation
குப்தா	gupta
மாணவன்	student
டானியல்	daniel
கனரக	heavy
சந்தா	subscribe
சந்தா	subscription
தொங்கும்	hanging
ஒருமை	singular
கொண்டாடுகின்றனர்	celebrating
வாங்குதல்	purchase
வாங்குதல்	purchasing
வாங்குதல்	buying
நதிகள்	rivers
ஊடுருவல்	transparent
ஊடுருவல்	transparency
ஏர்பஸ்	airbus
தவளை	frog
கரம்	karam
பிரடெரிக்	frederick
சாளுக்கியர்	chalukyas
வேலைவாய்ப்பின்மை	unemployment
டில்லி	delhi
ராதாகிருஷ்ணன்	radhakrishnan
துளு	tulu
நான்சி	nancy
இரண்டரை	eliminating
ஹார்மோன்	hormonal
ஆறுதல்	comfort
பாகவத	bhagavata
சுங்	chung
பலவீனமான	weak
தகடுகள்	plates
வலியை	pain
விதிமுறைகளை	terms
தாள்கள்	sheets
கல்வியாளர்கள்	academics
கல்வியாளர்கள்	educators
நாத்	nath
கிரீஸ்	greece
சீக்கியம்	sikhism
உதயம்	sunrise
மேத்தா	mehta
தோமா	thoma
கரீபியன்	caribbean
ஹோலி	holly
ஹோலி	holi
ஏற்கவில்லை	disagree
சண்டைகள்	fights
வராக	varaha
பானம்	drink
நித்திய	eternity
நித்திய	eternal
மடத்தில்	monastery
மண்டை	skull
சிபிஐ	cpi
பெய்யும்	pei
மாலி	mali
டைலர்	tyler
பேபி	baby
உக்ரைனிய	fairytale
புகழை	reputation
குயின்ஸ்லாந்து	queensland
எத்தனால்	ethanol
சீக்ரெட்	secret
ஓட்டோமான்	ottoman
தொப்பி	cap
தொப்பி	hat
ஒத்ததாக	synonymous
ஈதர்	ether
சிக்மா	sigma
இழக்க	lose
துப்பறியும்	detective
கம்பிகள்	wires
உபகரணம்	equipment
உபகரணம்	apparatus
வண்ணங்கள்	colours
வண்ணங்கள்	colors
கோலி	kohli
தமிழ்நெட்	tamilnet
கடினமானது	difficult
நுனி	tip
தருமபுரி	dharmapuri
படவில்லை	slide
பெண்ணுக்கு	girl
கதாநாயகன்	hero
லலிதா	lalitha
பீரங்கிகள்	mortars
பீரங்கிகள்	tanks
காஸ்ட்ரோ	castro
விவேகானந்தா	vivekanand
பருந்து	kite
உறவுகளை	relationships
கட்டளைகள்	commands
ஜன	jan
ஜன	jana
காஜா	gajah
உரித்தான	deserved
பெருக்க	gain
மேம்படுத்தவும்	upgrade
கசிவு	leak
மகரிஷி	maharishi
பிளாஸ்மா	plasma
எங்களுக்கு	us
உட்	ud
விஜயநகரம்	vizianagaram
முதலாளி	boss
பதஞ்சலி	patanjali
வடிவமைப்புகள்	formats
லாபம்	profit
ஆடைகளை	clothes
பட்டாம்பூச்சி	butterfly
ஆடுகள்	goats
நாட்களை	days
சிம்லா	shimla
சிம்லா	simla
நியாயம்	justice
நியாயம்	fair
இடவியல்	topology
பிறப்பிடம்	native
குளுக்கோஸ்	glucose
முனி	muni
எரிக்சன்	ericsson
பன்னீர்	paneer
வேலன்	velan
காதில்	whisper
காதில்	ear
நகர்த்த	moved
ஹாங்	hong
சிறப்பை	excellence
மறுமொழி	reply
கொண்டேன்	jō
கின்	kin
பெட்ரோலிய	petroleum
தேசாய்	desai
அன்பே	dear
அன்பே	sweetheart
பிரதிநிதித்துவம்	represent
சிமெண்ட்	cement
ஷங்கர்	shanker
ஷங்கர்	shankar
போய்விட்டது	gone
மின்சுற்று	circuit
நாகா	naga
கலப்பை	plow
உடைமை	property
பில்போர்ட்	billboard
பயணித்த	traveled
அதனோடு	alongs
மாடி	floor
கர்னல்	colonel
புதுமையான	innovative
ஷான்	shan
கன்னித்	virgin
கோவிந்த்	govind
லோங்	llong
வந்தேன்	came
வௌவால்	bat
பல்லி	lizard
டயர்	tyre
டயர்	tire
மோட்டார்ஸ்	motors
நைக்	nike
ஆங்	ang
ஆங்	ong
ஆங்	aung
கிணறுகள்	wells
கதவுகள்	doors
வாசகர்கள்	readers
கலிலியோ	galileo
அப்பாஸ்	abbas
ரசிகர்	fan
விரல்கள்	fingers
கலப்பின	biracial
கனவுகள்	dreams
பிரையன்	brian
பிரையன்	bryan
பாலஸ்தீன	palestinian
வெங்கட்	venkat
வியாசர்	vyasa
கப்பம்	blackmail
கப்பம்	bum
ஜார்க்கண்ட்	jharkhand
காணவில்லை	missing
கல்பனா	kalpana
இனிமேல்	anymore
பிச்சை	begging
பிச்சை	beg
ஜோஸ்	jose
ஜோஸ்	joes
ஜோஸ்	jos
ஜோஸ்	josé
ஜோஸ்	joss
நேரான	straight
நேரான	linear
உயிரோடு	alive
பிலிப்பைன்	philippine
ராஷ்டிரிய	rashtriya
பிரார்த்தனை	pray
பிரார்த்தனை	praying
பிரார்த்தனை	prayer
பொருத்தி	mounted
கார்பனேட்டு	carbonate
தொழிலாளி	worker
அகர்வால்	agarwal
அகர்வால்	agrawal
அகர்வால்	aggarwal
ஆன்ம	spiritual
ராஜ்கோட்	rajkot
பைரவி	bhairavi
ருபீடியம்	rubidium
பிரியாணி	biryani
ராமமூர்த்தி	ramamurthy
மஹால்	mahal
யுத்த	battle
விலா	vila
விலா	ribs
கனமான	heavy
வியாழக்கிழமை	thursday
நெகிரி	negeri
எரிசக்தி	fuel
எரிசக்தி	calorie
எரிசக்தி	energy
பிரித்தல்	separation
புத்தி	smart
டாட்	tot
டாட்	dot
ஹன்னா	hannah
ஹன்னா	hanna
அழியாத	indestructible
மடியில்	lap
தட்டில்	plate
வேலு	velu
சலுகைகள்	offers
ரிலையன்ஸ்	reliance
ஹாக்கி	hockey
