cappelle	capelas
zia	tia
rimosso	removido
our	our
traduzioni	traduções
happy	happy
seguirono	seguiram
estrazione	extracção
estrazione	extração
minerali	minerais
ticino	ticino
mondi	mundos
mozart	mozart
fissa	fixa
distinguere	distinguir
bmw	bmw
campionessa	campeã
monarchia	monarquia
adolfo	adolfo
installazione	instalação
salire	subir
spin	spin
michigan	michigan
comunali	municipais
violoncello	violoncelo
applicata	aplicada
passano	passam
collaboratori	colaboradores
monferrato	monferrato
esposti	expostos
ampliare	alargar
leon	leon
grotte	grutas
alessandra	alessandra
definiti	definidos
abiti	vestidos
assi	eixos
filologo	filólogo
ostilità	hostilidade
rodríguez	rodríguez
hop	hop
compleanno	aniversário
cristoforo	cristóvão
ernest	ernest
carrara	carrara
severo	severo
return	return
cecil	cecil
cantautrice	compositora
governi	governos
esistere	existir
comandanti	comandantes
attraversato	atravessou
dovute	devidas
arizona	arizona
wagner	wagner
promosse	promovidas
cristallo	cristal
vercelli	vercelli
secco	seco
annibale	aníbal
cosimo	cosimo
body	body
amanda	amanda
picco	pico
negozi	lojas
rca	rca
cancellazioni	cancelamentos
dit	dit
ignazio	ignazio
ronald	ronald
naso	nariz
melbourne	melbourne
pastorale	pastoral
ghost	ghost
harvey	harvey
isaac	isaac
pausa	pausa
razze	raças
know	know
formando	formando
hunt	hunt
coloni	colonos
testimone	testemunha
mercati	mercados
scendere	descer
palmer	palmer
scrivi	escreva
reed	reed
emily	emily
napoletana	napolitana
acquisito	adquirido
rivalità	rivalidade
provoca	provoca
sequel	sequela
hms	hms
reality	reality
transizione	transição
taiwan	taiwan
bye	bye
circondato	cercado
pour	pour
cardinali	cardeais
müller	müller
xxi	xxi
cantato	cantou
freccia	seta
stellare	estelar
colpevole	culpado
protocollo	protocolo
claire	claire
folla	multidão
concorrente	concorrente
libia	líbia
television	television
uniforme	uniforme
josh	josh
ribellione	rebelião
fausto	fausto
dimostrazione	demonstração
concesse	concedidas
frequentare	frequentar
run	run
aperti	abertos
duchessa	duquesa
cavo	cabo
gallese	galês
tell	tell
carmelo	carmelo
separata	separada
siviglia	sevilha
invita	insta
omicidi	homicídios
residente	residente
umbria	umbria
atletico	atlético
holmes	holmes
diga	barragem
entrano	entram
reato	delito
continuamente	continuamente
militante	militante
sismica	sísmica
contemporaneo	contemporâneo
class	class
santissima	santíssima
trasformare	transformar
disposto	disposto
got	got
associati	associados
vertice	cimeira
gregory	gregory
riferito	relatou
procuratore	procurador
operatori	operadores
rinunciare	desistir
menzione	menção
spostata	deslocada
verbo	verbo
suggerisce	sugere
uguali	iguais
creatore	criador
leva	alavanca
macchia	mancha
intenzioni	intenções
rudolf	rudolf
dovuti	devidos
soglia	limiar
ortodossa	ortodoxa
hope	hope
liberato	liberado
guardare	olhar
rajon	rajon
nuotatore	nadador
perielio	periélio
rivali	rivais
manoscritti	manuscritos
rettore	reitor
folk	folk
beatles	beatles
costruttori	construtores
tendono	tendem
significativa	significativa
bombardamenti	bombardeamentos
lou	lou
tubo	tubo
adottata	adotada
decisivo	decisivo
canonico	canónico
rex	rex
gestisce	gere
soffitto	teto
giove	júpiter
comprensione	entendimento
comprensione	compreensão
fisici	físicos
recensioni	opiniões
arrivata	chegou
vangelo	evangelho
caratterizzati	caracterizados
cesena	cesena
rogers	rogers
imperatrice	imperatriz
ieri	ontem
intervallo	intervalo
poetica	poética
winter	winter
divisi	divididos
circuit	circuit
violinista	violinista
pericoloso	perigoso
view	view
citate	citadas
citate	citados
true	true
analogo	análogo
secondario	secundário
slovenia	eslovénia
gaio	caio
organista	organista
crociera	cruzeiro
sonic	sonic
anteprima	visualização
carol	carol
han	han
pura	pura
inaugurazione	inauguração
adolf	adolf
correre	correr
orale	oral
rione	rione
eccezionalmente	excepcionalmente
beat	beat
sprint	sprint
dinamo	dínamo
liberty	liberty
trinità	trindade
guillermo	guillermo
gallia	gália
svolgimento	desenrolar
aggiungendo	adicionando
australian	australian
violento	violento
riforme	reformas
cipro	chipre
bird	bird
demoni	demônios
circostante	envolvente
favorire	favorecimento
massachusetts	massachusetts
presidenti	presidentes
mine	minas
digimon	digimon
carità	caridade
leggende	lendas
saverio	saverio
molecole	moléculas
sacrificio	sacrifício
architetti	arquitetos
cava	pedreira
porterà	trará
sospetto	suspeito
terminale	terminal
vada	vá
lombardi	lombardi
benzina	gasolina
zar	czar
elementare	elementar
reggente	regente
five	five
rispettare	respeitar
olanda	holanda
fatica	fadiga
generazioni	gerações
hal	hal
derivati	derivados
consentito	permitido
cantare	cantar
vivevano	viviam
provinciali	provinciais
referendum	referendo
apostolo	apóstolo
fischio	assobio
facciamo	fazemos
lodi	lodi
contee	condados
gestore	gerenciador
gestore	gestor
teramo	teramo
israeliano	israelense
indie	indie
africano	africano
suite	suite
guillaume	guillaume
see	eee
lino	lino
capaci	capazes
ira	ira
make	make
curtis	curtis
efficienza	eficiência
nina	nina
veneta	veneta
significativi	significativos
ritmica	rítmica
nodo	nó
heaven	heaven
unire	unir
unire	mesclar
ostacoli	obstáculos
sinfonia	sinfonia
massacro	massacre
rolling	rolling
fall	fall
leoni	leões
boemia	boêmia
derivata	derivada
centimetri	centímetros
ginnastica	ginástica
identificare	identificar
amanti	amantes
mason	mason
odore	cheiro
marca	marca
qualificate	qualificadas
bridge	bridge
alain	alain
frutta	fruta
algeria	argélia
gradualmente	gradualmente
calice	cálice
crimini	crimes
organico	orgânico
estinzione	extinção
girare	vire
stellari	estelares
totali	totais
trattare	lidar
innamora	apaixona
catene	correntes
rara	rara
rimuovere	remover
eyes	eyes
ultimate	ultimate
face	face
sinonimi	sinónimos
vettore	vetor
mons	mons
fabbricato	fabricado
sensibilità	sensibilidade
dominazione	dominação
causando	causando
gola	garganta
annuario	anuário
irene	irene
songs	songs
sai	sabe
offrire	oferecer
soap	soap
mvp	mvp
gatti	gatos
cameron	cameron
evidenti	evidentes
naturalista	naturalista
sforza	sforza
cintura	cinto
gorizia	gorizia
uccisione	matança
marziale	marcial
giovan	giovan
battezzati	batizados
parchi	parques
attacca	ataca
trovati	encontrados
distanze	distâncias
abbandona	abandona
uruguay	uruguai
certezza	certeza
felix	felix
cook	cook
disposte	dispostas
materie	matérias
birra	cerveja
collegate	conectadas
mitragliatrici	metralhadoras
fallito	falhou
esplicitamente	explicitamente
dita	dedos
klaus	klaus
continuando	continuando
altopiano	planalto
screenshot	screenshot
rivolto	virado
confessa	confessa
universitaria	universitária
knight	knight
jeremy	jeremy
elegante	elegante
but	but
operaio	operário
becker	becker
adiacente	adjacente
cannes	cannes
volare	voar
democratici	democratas
organizzati	organizados
pontificia	pontifícia
giuridico	jurídico
hepworth	hepworth
sentimento	sentimento
tubi	canos
tubi	tubos
scafo	casco
positivi	positivos
money	money
sopravvivere	sobreviver
ricercatori	pesquisadores
cifre	dígitos
consorzio	consórcio
mensile	mensal
lanciare	lançar
inviare	enviar
trek	trek
vasi	vasos
ritrovamento	achado
previste	previstas
provenienza	proveniência
contrastare	contrariar
stili	estilos
costanza	constança
uruguaiano	uruguaio
superfici	superfícies
succede	acontece
povertà	pobreza
fibre	fibras
avellino	avellino
ettari	hectares
crociata	cruzada
aggiunti	adicionados
concorrenza	concorrência
abitati	habitados
ampie	amplas
beck	beck
xxx	xxx
annualmente	anualmente
caduto	caiu
leslie	leslie
animato	animado
jedi	jedi
annunziata	annunziata
bizantina	bizantina
portava	levava
competenze	competências
quartetto	quarteto
funzionario	funcionário
productions	productions
stadi	estádios
prezzi	preços
rinuncia	renúncia
enzima	enzima
scelti	escolhidos
poetessa	poetisa
coloniale	colonial
aviatore	aviador
gang	gang
lana	lã
adiacenti	adjacentes
disastro	desastre
riuscirà	conseguirá
costanzo	costanzo
testimoni	testemunhas
signoria	senhoria
coltivazione	cultivo
magnus	magnus
quattordici	catorze
tronco	tronco
inserisce	insere
registri	registos
considerazioni	considerações
straordinario	extraordinário
camere	quartos
alimentari	alimentares
vicinanza	proximidade
qualifiche	qualificações
continuano	continuam
consecutivi	consecutivos
archeologia	arqueologia
cresta	crista
apprezzato	apreciado
solido	sólido
straniera	estrangeira
muri	paredes
catanzaro	catanzaro
servito	servido
muso	focinho
apparente	aparente
owen	owen
kenneth	kenneth
randy	randy
marta	marta
children	children
short	short
oslo	oslo
grammy	grammy
abbigliamento	vestuário
serpente	cobra
felicità	felicidade
particolarità	particularidades
illustrato	ilustrado
avvicina	aproxima
most	most
straordinaria	extraordinária
interessati	interessados
vincente	ganhando
peggio	pior
doria	doria
trasmessi	transmitidos
bosnia	bósnia
sappiamo	sabemos
rivolte	motins
cornice	moldura
nona	nona
lapide	lápide
urss	urss
celebrato	comemorado
hits	hits
circostanti	circundantes
offerto	oferecido
vampiro	vampiro
maturità	maturidade
drive	drive
vasca	banheira
dottorato	doutoramento
station	station
miracolo	milagre
corda	corda
ninja	ninja
triangolo	triângulo
incinta	grávida
datata	datada
greatest	greatest
feltrinelli	feltrinelli
annessione	anexação
gallerie	galerias
confermata	confirmada
cittadella	cidadela
fortunato	sortudo
human	human
cos	cos
afelio	afélio
corsica	córsega
inviati	enviadas
inviati	enviados
carnevale	carnaval
impulso	impulso
lucy	lucy
eco	eco
lars	lars
genoa	genoa
urbino	urbino
powell	powell
mind	mind
lento	lento
pacific	pacific
riteneva	considerava
illustratore	ilustrador
venduta	vendida
mars	mars
jonas	jonas
public	public
fortificazioni	fortificações
thailandia	tailândia
rit	rit
tornando	voltando
radiazione	radiação
vario	variado
sopravvivenza	sobrevivência
vitagraph	vitagraph
accompagnata	acompanhada
caratterizza	caracteriza
xavier	xavier
visitatori	visitantes
roberta	roberta
saltare	saltar
bizantini	bizantinos
alpha	alpha
rappresentati	representados
derek	derek
nestor	nestor
stoccarda	estugarda
castiglione	castiglione
tullio	tullius
galli	galos
atlantic	atlantic
church	church
disputare	disputar
nutre	alimenta
seguaci	seguidores
ricostruito	reconstruído
fusoliera	fuselagem
nominata	nomeada
butler	butler
sospeso	suspenso
apostoli	apóstolos
walt	walt
volti	rostos
cooperazione	cooperação
verlag	verlag
altamente	altamente
egiziano	egípcio
mississippi	mississippi
armeno	arménio
rilascio	liberação
uniche	únicas
ashley	ashley
afghanistan	afeganistão
miranda	miranda
armistizio	armistício
attilio	attilio
tolto	tirado
missile	míssil
pugno	punho
liegi	liège
astronomia	astronomia
pensione	pensão
saudita	saudita
masse	massas
forest	forest
depositi	depósitos
corruzione	corrupção
chiedendo	pedindo
direttiva	directiva
avviato	iniciado
spettro	espectro
pannelli	painéis
garcia	garcia
conosco	conheço
look	look
illuminazione	iluminação
doge	doge
incrociatori	cruzadores
singapore	singapura
fisher	fisher
minacce	ameaças
intraprendere	empreender
dovere	dever
armstrong	armstrong
mangiare	comer
aurora	aurora
trappola	armadilha
albano	albano
bucarest	bucareste
karen	karen
esposta	exposta
meccanismi	mecanismos
ritengono	considerem
bang	bang
intraprese	empreendidas
fattoria	fazenda
marinai	marinheiros
camp	camp
barriera	barreira
petrolio	petróleo
protestante	protestante
manifesta	manifesta
jaime	jaime
avanguardia	vanguarda
primario	primário
bin	bin
duncan	duncan
amata	amada
nettamente	nitidamente
arancione	laranja
legnano	legnano
lipsia	leipzig
tyler	tyler
elite	elite
joel	joel
alpini	alpinos
incisione	gravura
wendy	wendy
stand	stand
assassinato	assassinado
rom	rom
quattrocento	quatrocentos
sacramento	sacramento
disposizioni	disposições
complete	completas
complete	complete
protetto	protegido
carburante	combustível
tuoi	teus
xbox	xbox
rabbia	raiva
erroneamente	erroneamente
julien	julien
edwin	edwin
kenny	kenny
spinto	empurrado
uscite	saídas
seven	seven
foce	foz
manhattan	manhattan
colpita	impressionada
finanziario	financeiro
imparare	aprender
lasciata	deixada
dignità	dignidade
ridotte	reduzidas
rari	raros
cacciatori	caçadores
romanico	românico
cavità	cavidade
espressioni	expressões
australe	austral
violenta	violenta
debito	dívida
commesso	cometido
assumendo	assumindo
iniziando	começando
hank	hank
decimale	decimal
adventures	adventures
falco	falcão
torinese	torinese
foster	foster
ristampa	reedição
lirica	lírica
madame	madame
riportano	relatam
iscrizioni	inscrições
marx	marx
daniela	daniela
storm	storm
fretta	pressa
elsa	elsa
battesimo	batismo
laurent	laurent
interazione	interação
diagnosi	diagnóstico
africana	africana
adulto	adulto
carla	carla
critics	critics
child	child
ferita	ferida
conservate	conservadas
glasgow	glasgow
controlla	confira
controlla	verifique
installato	instalado
hawaii	havaí
reliquie	relíquias
dolci	doces
shanghai	xangai
malcolm	malcolm
pole	pole
espressa	expressa
poggio	poggio
false	false
evil	evil
operativi	operacionais
improvviso	súbito
dans	dans
censura	censura
browser	navegador
ombre	sombras
nasa	nasa
alonso	alonso
sconosciuta	desconhecida
ducale	ducal
sicilie	sicílias
margini	margens
incrocio	cruzamento
catturati	capturados
eastern	eastern
stevens	stevens
doug	doug
gilles	gilles
imo	omi
imo	imo
pakistan	paquistão
rod	rod
invisibile	invisível
ltd	ltd
unesco	unesco
mammiferi	mamíferos
biologia	biologia
wall	wall
propulsione	propulsão
sonata	sonata
crema	creme
esclusiva	exclusivo
next	next
profeta	profeta
cartone	papelão
attivamente	ativamente
vogliamo	queremos
provenza	provença
brigate	brigadas
incredibile	incrível
innamorata	apaixonada
comunicare	comunicar
chiare	claras
discreto	discreto
assegnazione	atribuição
bond	bond
basilea	basileia
sviluppati	desenvolvidos
censore	censor
ana	ana
viveva	vivia
cerchi	jantes
rap	rap
sparta	esparta
baroni	barões
persiano	persa
six	six
chiari	claros
visite	visitas
veronica	veronica
generare	gerar
valvole	válvulas
tolosa	toulouse
maya	maia
pink	pink
decima	décima
parodia	paródia
wells	wells
alejandro	alejandro
pasqua	páscoa
ordina	ordenar
made	made
too	too
marketing	marketing
ventura	ventura
etica	ética
turni	turnos
cole	cole
ribelle	rebelde
dinamica	dinâmica
trampolino	trampolim
emi	emi
seconde	segundas
montato	montado
then	then
plastica	plástico
vantaggi	vantagens
risolto	resolvido
clarke	clarke
gun	gun
adottare	adotar
punte	pontas
narrazione	narração
distribuiti	distribuídos
osservatore	observador
fair	fair
disturbi	perturbações
diamante	diamante
coinvolgimento	envolvimento
quote	quotas
divino	divino
caos	caos
ripeto	repito
divorzio	divórcio
planet	planet
shaw	shaw
imperatori	imperadores
globe	globe
volontario	voluntário
hughes	hughes
linux	linux
ivo	ivo
funzionale	funcional
compongono	compõem
misteriosa	misteriosa
alaska	alasca
tradurre	traduzir
attribuzione	atribuição
attendere	aguarde
nunzio	núncio
nicolás	nicolás
riti	ritos
tipografia	tipografia
affermazioni	afirmações
lasciano	deixam
adesione	adesão
reich	reich
angels	angels
indonesia	indonésia
doctor	doctor
appennino	appennino
applicato	aplicado
cara	querida
esegue	executa
causata	causada
palatinato	palatinado
processore	processador
uccidendo	matando
ricostruire	reconstruir
mann	mann
mesoregione	mesorregião
proteste	protestos
membrana	membrana
banche	bancos
validi	válidos
piombo	chumbo
gustav	gustav
nazisti	nazistas
nazisti	nazis
sita	sita
bon	bon
faro	faro
edimburgo	edimburgo
hood	hood
doppiatori	dubladores
cripta	cripta
uovo	ovo
rifiuti	resíduos
map	map
sostenendo	apoiando
sysop	sysop
cancelliere	chanceler
primogenito	primogénito
sonda	sonda
subiti	sofridos
boeing	boeing
applicare	aplicar
livio	lívio
grasso	gordura
innumerevoli	inúmeros
innumerevoli	incontáveis
aggregato	agregado
consacrato	consagrado
collettivo	coletivo
febbre	febre
sella	sela
dott	dr
cacciatore	caçador
mattoni	tijolos
seta	seda
ideali	ideais
liberali	liberais
microregione	microrregião
animati	animados
estetica	estética
sonno	sono
shadow	shadow
occupare	ocupar
eccezionale	excepcional
incisioni	gravuras
lopez	lopez
progressivo	progressivo
sardo	sardo
rischi	riscos
sottoposta	submetida
rumore	ruído
specializzato	especializado
cedere	ceder
palestina	palestina
ferdinand	ferdinand
rinascita	renascimento
pompeo	pompeu
kyle	kyle
abc	abc
sciatore	esquiador
scout	escoteiro
scout	escuteiros
arabia	arábia
osservata	observada
attrazione	atração
divieto	proibição
earl	earl
nana	nana
intelligente	inteligente
minoranza	minoria
navarra	navarra
abraham	abraham
meriti	méritos
say	say
michelle	michelle
molecola	molécula
diocesano	diocesano
beautiful	beautiful
square	square
anversa	antuérpia
steel	steel
magica	mágica
bompiani	bompiani
significative	significativas
bacio	beijo
spara	dispara
elisa	elisa
rispose	respondeu
supergigante	supergigante
sensibile	sensível
mediaset	mediaset
generico	genéricos
generico	genérico
their	their
guarnigione	guarnição
dici	dizes
coll	coll
incantesimo	feitiço
spade	espadas
senna	senna
oliva	azeitona
oliva	oliva
conteneva	continha
gira	vira
bureau	bureau
orsini	orsini
innocenzo	inocêncio
ramírez	ramírez
medievali	medievais
diamond	diamond
mappe	mapas
soccer	soccer
chang	chang
miniera	mina
umanista	humanista
battute	piadas
determina	determina
richiedere	exigir
richiedere	solicitar
selezionato	selecionado
nido	ninho
pubblicamente	publicamente
situati	localizados
bundesliga	bundesliga
riso	arroz
player	player
occupano	ocupam
volpe	raposa
poker	poker
mortale	mortal
opzione	opção
federato	federada
strana	estranha
interviste	entrevistas
guitar	guitar
sostituisce	substitui
vinti	vencidos
some	some
cantoni	cantões
denver	denver
costruttore	construtor
pci	pci
württemberg	württemberg
board	board
baptiste	baptiste
toscano	toscano
intel	intel
elettrici	elétricos
provengono	provêm
southern	southern
guidare	conduzir
batte	bate
bonifacio	bonifácio
loira	loire
madison	madison
ricevendo	recebendo
lupi	lobos
abuso	abuso
moretti	moretti
spiriti	espíritos
dirty	dirty
wisconsin	wisconsin
gesuita	jesuíta
linguista	linguista
finendo	acabando
lang	lang
restaurato	restaurado
antifascista	antifascista
tunisia	tunísia
nostre	nossas
sconfiggendo	derrotando
joey	joey
sophie	sophie
povero	pobre
rivelazione	revelação
meyer	meyer
sottili	finos
lavorava	trabalhava
possiedono	possuem
spia	espião
becco	bico
viso	rosto
fischer	fischer
schiena	costas
risparmio	poupança
mercanti	mercadores
brooks	brooks
dorothy	dorothy
concessa	concedida
facebook	facebook
sostituendo	substituindo
motion	motion
position	position
byron	byron
gómez	gómez
annie	annie
fianchi	quadris
bull	bull
finanza	finanças
pressioni	pressões
deboli	fracos
metalli	metais
mit	mit
chirurgia	cirurgia
diminuzione	diminuição
conferenze	conferências
andrés	andrés
seguiti	seguidos
loc	loc
vulcano	vulcão
dialoghi	diálogos
adelaide	adelaide
preparatore	preparador
radiale	radial
concludere	concluir
dirigere	dirigir
chiesetta	igrejinha
schmidt	schmidt
ice	ice
molecolare	molecular
sepoltura	enterro
cohen	cohen
tumore	tumor
cliente	cliente
biografico	biográfico
rovina	ruína
break	break
scade	expira
harvard	harvard
bolognese	bolonhesa
incoronazione	coroação
affermare	afirmar
mantello	manto
angoli	cantos
edge	edge
duchi	duques
sospetti	suspeitos
tributo	tributo
approfondimento	aprofundamento
imposta	definir
zhang	zhang
estone	estónio
control	control
miti	mitos
tigre	tigre
portico	alpendre
spiegazioni	explicações
hudson	hudson
basate	baseadas
subsp	subsp
bordeaux	bordéus
provocando	provocando
biblioteche	bibliotecas
amiche	amigas
corolla	corolla
giuridica	jurídica
tales	tales
emiliano	emiliano
piazzale	piazzale
mercurio	mercúrio
cancellate	apagadas
martirio	martírio
piattaforme	plataformas
fascio	feixe
consisteva	consistiu
consisteva	consistia
uci	uci
montenegro	montenegro
missionario	missionário
vasco	vasco
damiano	damiano
remake	remake
passate	passem
vicariato	vicariato
disturbo	transtorno
burton	burton
birmingham	birmingham
quotidiana	diária
row	row
fleming	fleming
determinazione	determinação
font	font
berlina	sedan
cold	cold
creek	creek
emerge	emerge
suddivisioni	subdivisões
suprema	suprema
marchesi	marquesas
metallica	metálica
ruth	ruth
dee	dee
scartamento	bitola
amministrazioni	administrações
kane	kane
occasionalmente	ocasionalmente
price	price
friends	friends
complessità	complexidade
cliff	cliff
adventure	adventure
cum	cum
rifiutato	recusado
chirurgo	cirurgião
destinate	destinadas
celebrazione	celebração
resistere	resistir
ecuador	equador
sainte	sainte
fiandre	flandres
circondata	rodeada
koch	koch
cox	cox
numerazione	numeração
viterbo	viterbo
montevideo	montevidéu
cantieri	estaleiros
toledo	toledo
lombarda	lombarda
lanciata	lançada
segmento	segmento
teodoro	teodoro
ass	ass
ginocchio	joelho
sullivan	sullivan
consultato	consultado
wind	wind
jackie	jackie
turisti	turistas
mancini	mancini
duetto	dueto
lara	lara
early	early
ellis	ellis
conquistata	conquistada
chiavi	chaves
difensiva	defensiva
celle	células
parente	parente
magnetico	magnético
vivi	vivos
contribuendo	contribuindo
vandalismo	vandalismo
nativo	nativo
punizione	punição
martello	martelo
rangers	rangers
ricche	ricas
kingdom	kingdom
atomi	átomos
spa	spa
templi	templos
avvisi	avisos
pittsburgh	pittsburgh
ein	ein
caserma	quartel
elicottero	helicóptero
fondare	fundar
escluso	excluído
geografico	geográfico
affluente	afluente
offerte	ofertas
rain	rain
montgomery	montgomery
trailer	trailer
marcelo	marcelo
accento	sotaque
cbs	cbs
helsinki	helsínquia
mother	mother
caserta	caserta
progettista	desenhador
lecco	lecco
mista	mista
brandon	brandon
medina	medina
islanda	islândia
compositori	compositores
